FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776223294331,29.085683,-458.4159,169.2106,-228.8224,0.146636,-0.693088,0.69999,0.09023,0.435949,-2.060561,2.081079,-0.420079,-0.128663,0.472228,0.504668,3.064143,-0.06138
2,1776223294342,29.096794,-458.0968,168.9479,-228.4573,0.146536,-0.693052,0.700026,0.090386,0.435612,-2.060264,2.080997,-0.419817,-0.129434,0.472206,0.504507,3.064166,-0.061322
3,1776223294353,29.107905,-457.4417,169.0218,-228.2197,0.146644,-0.693002,0.700068,0.090274,0.435964,-2.06025,2.081257,-0.419677,-0.129809,0.472221,0.50457,3.064195,-0.061333
4,1776223294365,29.119017,-457.0977,168.843,-227.7196,0.146613,-0.692874,0.700194,0.09032,0.435859,-2.059816,2.081577,-0.419408,-0.130567,0.472213,0.504629,3.064142,-0.061348
5,1776223294376,29.130128,-456.4403,169.0255,-227.6295,0.146671,-0.693089,0.699993,0.090142,0.436077,-2.060671,2.081195,-0.419272,-0.130934,0.472216,0.504688,3.064176,-0.061268
6,1776223294387,29.141239,-456,169.0078,-227.3332,0.146549,-0.69289,0.700187,0.090359,0.43566,-2.059815,2.081508,-0.419127,-0.131311,0.472205,0.504676,3.064177,-0.061305
7,1776223294398,29.15235,-455.3899,168.8784,-227.0342,0.146595,-0.692967,0.700115,0.090253,0.435823,-2.060174,2.081422,-0.41885,-0.132051,0.472205,0.504646,3.064164,-0.061338
8,1776223294409,29.163462,-454.8913,168.8377,-226.4635,0.146706,-0.693048,0.700031,0.090098,0.436191,-2.060601,2.081364,-0.41871,-0.132416,0.47222,0.504817,3.064198,-0.061222
9,1776223294420,29.174573,-454.6559,169.1025,-226.2105,0.146701,-0.693104,0.699997,0.089942,0.436218,-2.060957,2.081452,-0.418557,-0.132811,0.472212,0.504668,3.064161,-0.061239
10,1776223294431,29.185684,-454.3442,168.8971,-225.8139,0.146895,-0.692881,0.700178,0.08994,0.436796,-2.060295,2.081992,-0.418267,-0.133542,0.472229,0.504774,3.064177,-0.061326
11,1776223294442,29.196795,-454.1487,168.8509,-225.5976,0.146658,-0.692955,0.700137,0.090077,0.436054,-2.060349,2.081702,-0.418121,-0.133919,0.472217,0.504707,3.064248,-0.061237
12,1776223294453,29.207907,-453.6383,168.951,-225.3508,0.146897,-0.692903,0.700164,0.089872,0.436818,-2.060445,2.082035,-0.417838,-0.134639,0.472198,0.504762,3.064131,-0.061351
13,1776223294465,29.219018,-453.1879,168.961,-225.0484,0.146764,-0.6931,0.699986,0.089957,0.436401,-2.060926,2.081402,-0.417686,-0.135014,0.472213,0.504811,3.064225,-0.061292
14,1776223294476,29.230129,-452.8355,168.7639,-224.3092,0.146918,-0.693033,0.700023,0.089931,0.436867,-2.060758,2.081544,-0.417551,-0.135403,0.472174,0.50465,3.064128,-0.061172
15,1776223294487,29.24124,-452.1284,168.5787,-224.2084,0.147001,-0.692941,0.700088,0.090004,0.437093,-2.060396,2.081647,-0.417254,-0.136141,0.472154,0.504622,3.064105,-0.061316
16,1776223294498,29.252351,-451.5496,168.5209,-223.884,0.146998,-0.693053,0.699978,0.089998,0.437088,-2.060738,2.081327,-0.417105,-0.136502,0.472147,0.504709,3.064023,-0.061232
17,1776223294509,29.263463,-451.1995,168.4369,-223.573,0.14696,-0.693101,0.699946,0.089946,0.436986,-2.060942,2.081296,-0.4168,-0.137262,0.472123,0.504597,3.063993,-0.061139
18,1776223294520,29.274574,-450.3485,168.5508,-223.4874,0.147155,-0.692876,0.700156,0.08972,0.437626,-2.060548,2.082198,-0.416653,-0.137614,0.472111,0.50456,3.063939,-0.061234
19,1776223294531,29.285685,-450.2421,168.6175,-222.9522,0.147309,-0.692855,0.700131,0.089831,0.438054,-2.060349,2.081986,-0.416481,-0.137994,0.472123,0.504514,3.064006,-0.061202
20,1776223294542,29.296796,-449.6926,168.6145,-222.7133,0.146982,-0.692804,0.700225,0.090025,0.437031,-2.059963,2.082028,-0.416319,-0.138358,0.472137,0.5045,3.064024,-0.061153
21,1776223294553,29.307908,-449.1773,168.6378,-222.3941,0.147304,-0.692757,0.700237,0.089759,0.438057,-2.060148,2.082392,-0.415997,-0.139075,0.472128,0.504528,3.063988,-0.061317
22,1776223294565,29.319019,-449.0252,168.2251,-222.1046,0.147169,-0.692804,0.700209,0.089839,0.437636,-2.060189,2.08221,-0.41568,-0.139812,0.472129,0.504569,3.063983,-0.061223
23,1776223294576,29.33013,-448.6092,168.1512,-221.8943,0.147177,-0.692945,0.700075,0.089785,0.437673,-2.060674,2.081876,-0.415513,-0.140146,0.472149,0.50467,3.063997,-0.061297
24,1776223294587,29.341242,-448.1349,168.065,-221.6018,0.147147,-0.69302,0.700004,0.089813,0.437576,-2.060862,2.08163,-0.415331,-0.14052,0.472161,0.504741,3.06406,-0.061382
25,1776223294598,29.352353,-447.5242,168.4415,-221.2893,0.147393,-0.692926,0.700056,0.089728,0.438332,-2.060686,2.08189,-0.414997,-0.14125,0.472159,0.504781,3.064069,-0.061219
26,1776223294609,29.363464,-447.0733,168.4941,-221.1064,0.147333,-0.693041,0.699954,0.089731,0.438151,-2.061026,2.081583,-0.414841,-0.141614,0.472146,0.504727,3.064033,-0.061281
27,1776223294620,29.374575,-446.659,168.3148,-221.0683,0.147271,-0.693001,0.699994,0.089828,0.437942,-2.060789,2.081583,-0.414668,-0.141977,0.47215,0.504765,3.063985,-0.061322
28,1776223294631,29.385687,-446.2031,168.2765,-220.776,0.147345,-0.693091,0.699895,0.08978,0.438175,-2.061115,2.081348,-0.414315,-0.142701,0.472171,0.504783,3.064109,-0.061246
29,1776223294642,29.396798,-445.8203,168.4016,-220.2609,0.14726,-0.693084,0.699929,0.089717,0.437937,-2.061168,2.081525,-0.414146,-0.143046,0.472167,0.504878,3.064079,-0.061281
30,1776223294653,29.407909,-445.1619,168.516,-219.8147,0.147421,-0.693135,0.699846,0.089704,0.438421,-2.061337,2.081294,-0.413808,-0.143757,0.472155,0.504899,3.064018,-0.061303
31,1776223294665,29.41902,-444.6771,168.5877,-219.4157,0.14735,-0.693297,0.699702,0.089695,0.438212,-2.061828,2.080876,-0.413626,-0.144109,0.472166,0.504889,3.064063,-0.061308
32,1776223294676,29.430132,-444.1231,168.5105,-219.2032,0.147423,-0.693167,0.699807,0.089752,0.438413,-2.061375,2.081122,-0.413444,-0.144488,0.472163,0.504783,3.064091,-0.061278
33,1776223294687,29.441243,-443.7125,168.4105,-218.8263,0.147312,-0.693,0.69999,0.089797,0.438071,-2.060823,2.08161,-0.413097,-0.145208,0.472153,0.504753,3.064062,-0.061368
34,1776223294698,29.452354,-443.2825,168.4651,-218.5717,0.147457,-0.693197,0.699772,0.089742,0.438517,-2.061474,2.081029,-0.412902,-0.145594,0.47216,0.504641,3.064055,-0.061265
35,1776223294709,29.463466,-442.723,168.5543,-218.3342,0.147453,-0.693193,0.699769,0.089803,0.43849,-2.06139,2.080945,-0.41254,-0.146312,0.472163,0.504634,3.064093,-0.06125
36,1776223294720,29.474577,-442.3496,168.4774,-218.0839,0.147451,-0.693084,0.69988,0.089781,0.438489,-2.061091,2.081302,-0.412352,-0.146648,0.472186,0.504684,3.064143,-0.061377
37,1776223294731,29.485688,-441.8109,168.623,-217.8372,0.147573,-0.69301,0.69992,0.08984,0.438836,-2.060801,2.081348,-0.41215,-0.14702,0.472213,0.504567,3.064234,-0.061357
38,1776223294742,29.4968,-441.3263,168.5987,-217.6982,0.147465,-0.693158,0.699776,0.089999,0.438474,-2.061049,2.080725,-0.411778,-0.147749,0.472215,0.504556,3.064245,-0.061348
39,1776223294753,29.507911,-440.8097,168.5824,-217.497,0.147466,-0.693053,0.699897,0.089864,0.438512,-2.0609,2.08125,-0.411598,-0.148089,0.472215,0.504562,3.064238,-0.061411
40,1776223294765,29.519022,-440.239,168.6573,-217.4011,0.147507,-0.692964,0.699971,0.089912,0.438622,-2.060575,2.08141,-0.411224,-0.148822,0.472212,0.504453,3.064233,-0.061315
41,1776223294776,29.530133,-439.8102,168.6562,-217.1053,0.147455,-0.693152,0.699792,0.089937,0.438461,-2.061105,2.080849,-0.411036,-0.149184,0.472207,0.504472,3.064209,-0.061251
42,1776223294787,29.541245,-439.3137,168.5738,-216.8641,0.147486,-0.693112,0.699812,0.090038,0.438528,-2.060864,2.080785,-0.410832,-0.149527,0.472231,0.504525,3.064279,-0.061387
43,1776223294798,29.552356,-438.8941,168.525,-216.5876,0.1474,-0.693289,0.699665,0.089955,0.438292,-2.061491,2.080451,-0.410447,-0.150242,0.472236,0.504496,3.064282,-0.061377
44,1776223294809,29.563467,-438.3392,168.4161,-216.2167,0.147387,-0.693056,0.699892,0.090008,0.438241,-2.060734,2.081061,-0.410255,-0.150583,0.472241,0.504498,3.064284,-0.061329
45,1776223294820,29.574579,-437.8746,168.3089,-215.9686,0.147419,-0.692988,0.699965,0.089911,0.438362,-2.06065,2.081395,-0.409885,-0.151295,0.472216,0.504409,3.064233,-0.06139
46,1776223294831,29.58569,-437.3947,168.27,-215.597,0.147392,-0.693118,0.699844,0.089897,0.438285,-2.061053,2.081054,-0.40968,-0.15164,0.472231,0.504474,3.064272,-0.061417
47,1776223294842,29.596801,-436.838,168.4603,-215.4592,0.147339,-0.693067,0.699902,0.089931,0.438117,-2.060858,2.081182,-0.40949,-0.151986,0.47224,0.504406,3.064313,-0.061363
48,1776223294853,29.607912,-436.361,168.5817,-215.0226,0.147193,-0.693188,0.699801,0.090021,0.437661,-2.061109,2.080773,-0.40911,-0.152656,0.472228,0.504537,3.064241,-0.061354
49,1776223294865,29.619024,-435.8312,168.766,-215.0029,0.14741,-0.693118,0.699855,0.089782,0.438368,-2.061192,2.081225,-0.408911,-0.152994,0.472231,0.504635,3.064224,-0.061436
50,1776223294876,29.630135,-435.3042,168.7854,-214.7484,0.147527,-0.6932,0.699756,0.089721,0.438732,-2.06151,2.081007,-0.408725,-0.153342,0.472218,0.504648,3.064163,-0.061318
51,1776223294887,29.641246,-434.975,168.5174,-214.6431,0.147416,-0.69315,0.699834,0.089693,0.438408,-2.061393,2.081272,-0.408334,-0.154028,0.472209,0.504726,3.064129,-0.061282
52,1776223294898,29.652358,-434.4562,168.5022,-214.5478,0.147404,-0.69314,0.699849,0.089668,0.438379,-2.061396,2.081347,-0.408133,-0.154362,0.472209,0.504748,3.06411,-0.061322
53,1776223294909,29.663469,-433.8864,168.3838,-214.3138,0.147341,-0.693149,0.699834,0.089823,0.438152,-2.061234,2.081112,-0.407717,-0.155045,0.472234,0.504729,3.064211,-0.061327
54,1776223294920,29.67458,-433.319,168.482,-214.195,0.147208,-0.693234,0.699777,0.08982,0.437755,-2.061492,2.080949,-0.407507,-0.155392,0.472247,0.504734,3.064212,-0.061334
55,1776223294931,29.685691,-432.8598,168.4041,-213.7215,0.147275,-0.693173,0.699825,0.089809,0.43796,-2.061324,2.081105,-0.4073,-0.155733,0.472245,0.504777,3.064231,-0.061353
56,1776223294942,29.696804,-432.2413,168.4225,-213.511,0.147187,-0.693256,0.699765,0.089783,0.437704,-2.061602,2.080957,-0.406888,-0.156409,0.472235,0.504803,3.064206,-0.06138
57,1776223294953,29.707923,-431.7235,168.3647,-213.2723,0.147196,-0.693324,0.699694,0.089796,0.437727,-2.061786,2.080731,-0.406685,-0.15677,0.47221,0.504741,3.064137,-0.061292
58,1776223294965,29.719034,-431.1493,168.2369,-212.8174,0.147366,-0.693308,0.699679,0.089754,0.438243,-2.061792,2.080738,-0.406284,-0.157447,0.472175,0.504775,3.064006,-0.061383
59,1776223294976,29.730145,-430.6548,168.2525,-212.5236,0.147231,-0.693365,0.699646,0.089796,0.437832,-2.061909,2.080587,-0.406073,-0.157798,0.472178,0.504744,3.064052,-0.061333
60,1776223294987,29.741257,-430.3083,168.3224,-212.4608,0.147313,-0.693278,0.699728,0.089694,0.4381,-2.061774,2.080956,-0.405855,-0.158145,0.472179,0.504767,3.064072,-0.061235
61,1776223294998,29.752368,-429.7876,168.4224,-212.2708,0.147143,-0.693349,0.699683,0.089778,0.437574,-2.061882,2.080721,-0.405434,-0.158826,0.472179,0.504775,3.064044,-0.061336
62,1776223295009,29.763479,-429.2426,168.3543,-211.9871,0.147304,-0.69326,0.699746,0.089711,0.438071,-2.061698,2.080989,-0.405228,-0.159159,0.472172,0.504774,3.064009,-0.06129
63,1776223295020,29.77459,-428.7033,168.3815,-211.7203,0.147211,-0.693338,0.699693,0.08967,0.437803,-2.061983,2.080882,-0.405016,-0.159523,0.472155,0.504661,3.063988,-0.061201
64,1776223295031,29.785701,-428.209,168.3528,-211.5994,0.14731,-0.69333,0.69968,0.08967,0.438099,-2.061959,2.080844,-0.404573,-0.160212,0.472149,0.504595,3.06399,-0.061215
65,1776223295042,29.796813,-427.7789,168.4164,-211.4739,0.147256,-0.6934,0.69963,0.08961,0.437952,-2.062241,2.080767,-0.40437,-0.16054,0.47213,0.504537,3.06392,-0.061267
66,1776223295053,29.807924,-427.2564,168.4501,-211.1941,0.147271,-0.693316,0.699708,0.089634,0.437991,-2.061959,2.08097,-0.404143,-0.160893,0.472138,0.504469,3.063963,-0.061194
67,1776223295065,29.819035,-426.8367,168.3422,-211.1585,0.147245,-0.693353,0.699659,0.089765,0.437882,-2.061912,2.080664,-0.403723,-0.161538,0.472116,0.504581,3.063893,-0.061189
68,1776223295076,29.830147,-426.1111,168.5778,-210.9838,0.147152,-0.693456,0.699569,0.089825,0.437588,-2.062144,2.080322,-0.403496,-0.161893,0.472113,0.504476,3.063922,-0.061204
69,1776223295087,29.841258,-425.6041,168.4671,-210.801,0.147196,-0.693421,0.699586,0.089892,0.437702,-2.06196,2.08029,-0.403038,-0.162572,0.47212,0.504375,3.063959,-0.061157
70,1776223295098,29.852369,-424.9876,168.5539,-210.5672,0.147263,-0.693408,0.699589,0.089852,0.437913,-2.06197,2.080351,-0.402824,-0.162904,0.472097,0.504357,3.063946,-0.061083
71,1776223295109,29.86348,-424.4492,168.5388,-210.378,0.147169,-0.693403,0.69961,0.08989,0.437622,-2.061907,2.080366,-0.402387,-0.163547,0.47209,0.504377,3.063875,-0.061092
72,1776223295120,29.874591,-423.9882,168.3873,-209.771,0.14728,-0.693532,0.699478,0.089729,0.437995,-2.062487,2.080171,-0.402387,-0.163547,0.47209,0.504377,3.063875,-0.061092
73,1776223295131,29.885703,-423.381,168.3768,-209.546,0.147327,-0.693495,0.699516,0.089647,0.438156,-2.062477,2.080383,-0.401932,-0.164198,0.472101,0.504407,3.063899,-0.061128
