FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
3601,1776223916245,40.144121,-486.7279,149.4563,-273.2821,0.370376,-0.595394,0.613737,0.362843,0.953498,-1.532783,1.580005,-0.421985,-0.078771,0.459455,0.658982,-3.041184,0.079221
3602,1776223916256,40.155233,-486.453,149.6366,-272.8356,0.370281,-0.595392,0.613784,0.362864,0.953243,-1.532764,1.580111,-0.421972,-0.079551,0.459475,0.658927,-3.041086,0.079306
3603,1776223916267,40.166344,-486.0772,149.5568,-272.3702,0.370295,-0.595388,0.613781,0.362861,0.95328,-1.532755,1.580107,-0.421967,-0.079953,0.459488,0.65898,-3.041045,0.079264
3604,1776223916278,40.177455,-485.7652,149.4412,-271.9915,0.370191,-0.595351,0.613856,0.362902,0.952995,-1.53263,1.580268,-0.42196,-0.080357,0.459488,0.659046,-3.040982,0.079252
3605,1776223916289,40.188566,-485.4434,149.4161,-271.5549,0.370257,-0.595359,0.613836,0.362854,0.953186,-1.532686,1.580253,-0.421957,-0.080764,0.459504,0.659042,-3.040953,0.079268
3606,1776223916300,40.199678,-485.1087,149.3816,-271.0666,0.370248,-0.595375,0.61381,0.362879,0.953152,-1.532709,1.580168,-0.421952,-0.081586,0.459496,0.659119,-3.040933,0.07917
3607,1776223916311,40.210789,-484.5795,149.3435,-270.5239,0.370257,-0.595296,0.613897,0.362855,0.953186,-1.532522,1.580408,-0.421951,-0.082399,0.459497,0.659155,-3.040898,0.079178
3608,1776223916322,40.2219,-484.2929,149.3095,-270.0943,0.370238,-0.595314,0.613888,0.362861,0.953133,-1.532565,1.580381,-0.421942,-0.082795,0.459497,0.659077,-3.040882,0.079153
3609,1776223916334,40.233011,-484.1484,149.3975,-269.7643,0.370214,-0.595266,0.61404,0.362705,0.953144,-1.532556,1.580891,-0.421946,-0.083213,0.459497,0.659188,-3.040863,0.079187
3610,1776223916345,40.244123,-483.7466,149.6274,-269.064,0.370311,-0.595388,0.613858,0.362715,0.953387,-1.532863,1.580414,-0.421965,-0.083597,0.459475,0.659021,-3.040983,0.079214
3611,1776223916356,40.255234,-483.4381,149.5414,-268.5031,0.370235,-0.595421,0.613829,0.362787,0.953158,-1.532893,1.580286,-0.421947,-0.08442,0.459509,0.659136,-3.040856,0.079151
3612,1776223916367,40.266345,-483.0196,149.4469,-268.1803,0.37027,-0.595395,0.613879,0.36271,0.953284,-1.532884,1.580473,-0.421964,-0.085242,0.459473,0.659257,-3.040989,0.079127
3613,1776223916378,40.277456,-482.6391,149.4532,-267.7321,0.370184,-0.595479,0.613751,0.362876,0.952989,-1.532979,1.580017,-0.421962,-0.085625,0.459482,0.659309,-3.040957,0.079149
3614,1776223916389,40.288568,-482.4258,149.309,-267.1552,0.370385,-0.595334,0.613877,0.362695,0.953589,-1.532738,1.580479,-0.421961,-0.086001,0.459491,0.659346,-3.040937,0.079135
3615,1776223916400,40.299679,-482.1582,149.4052,-266.8786,0.370388,-0.595253,0.613936,0.362725,0.953581,-1.532506,1.580609,-0.421969,-0.086374,0.459472,0.659296,-3.040975,0.079178
3616,1776223916411,40.31079,-481.9534,149.3951,-266.5703,0.370434,-0.595327,0.613864,0.36268,0.95372,-1.53273,1.580456,-0.421955,-0.087093,0.459498,0.659295,-3.04095,0.079132
3617,1776223916422,40.321901,-481.735,149.2374,-266.2947,0.370338,-0.595398,0.613834,0.362711,0.953458,-1.532892,1.580356,-0.421961,-0.087463,0.45948,0.659249,-3.041005,0.079143
3618,1776223916434,40.333012,-481.6432,149.1737,-266.0271,0.370273,-0.595349,0.61389,0.362763,0.953268,-1.532727,1.58046,-0.42197,-0.088142,0.45948,0.659233,-3.041004,0.079106
3619,1776223916445,40.344124,-481.4579,149.1491,-265.752,0.370329,-0.59535,0.613892,0.362701,0.953439,-1.532774,1.580513,-0.421977,-0.088478,0.459472,0.659167,-3.041063,0.079176
3620,1776223916456,40.355235,-481.1794,149.2614,-265.0604,0.370101,-0.595396,0.613918,0.362814,0.952803,-1.532809,1.580495,-0.42197,-0.089113,0.459483,0.659139,-3.04099,0.079167
3621,1776223916467,40.366346,-480.7474,149.4066,-264.7955,0.370124,-0.595398,0.614033,0.362594,0.952962,-1.532976,1.580956,-0.421988,-0.089425,0.459467,0.659138,-3.04108,0.079121
3622,1776223916478,40.377457,-480.5277,149.3701,-264.459,0.370124,-0.595462,0.613976,0.362584,0.952965,-1.533148,1.580817,-0.421973,-0.089721,0.459482,0.65907,-3.041005,0.079075
3623,1776223916489,40.388568,-480.2997,149.3349,-264.1484,0.370138,-0.595449,0.613979,0.362585,0.953,-1.533115,1.580825,-0.421993,-0.090328,0.459453,0.65912,-3.041061,0.079091
3624,1776223916500,40.399679,-480.1099,149.5532,-264.0295,0.370205,-0.595436,0.613996,0.362509,0.953208,-1.533138,1.580926,-0.42201,-0.090619,0.459425,0.659104,-3.041185,0.079136
3625,1776223916511,40.410791,-479.5883,149.4855,-263.4816,0.369961,-0.595568,0.613903,0.3627,0.952493,-1.533335,1.580542,-0.421998,-0.091161,0.459439,0.659058,-3.041123,0.079113
3626,1776223916522,40.421902,-479.3707,149.5285,-263.2655,0.370014,-0.595516,0.613995,0.362575,0.952687,-1.533294,1.580873,-0.422004,-0.091427,0.459443,0.659007,-3.041148,0.079113
3627,1776223916534,40.433013,-479.2766,149.5007,-262.8544,0.369821,-0.59545,0.614111,0.362684,0.952141,-1.533044,1.581089,-0.421983,-0.091686,0.459457,0.659007,-3.041034,0.079099
3628,1776223916545,40.444124,-479.2361,149.5612,-262.6006,0.369876,-0.595453,0.614094,0.362652,0.952298,-1.533076,1.581068,-0.421988,-0.092197,0.459467,0.658953,-3.041043,0.079106
3629,1776223916556,40.455236,-478.985,149.499,-262.3163,0.369624,-0.59535,0.614185,0.362923,0.951524,-1.532614,1.581101,-0.421963,-0.092461,0.459488,0.659013,-3.040939,0.079044
