FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770205724949,0.000003,-134.9058,438.4583,-860.0717,0.751485,-0.110022,0.142951,0.634611,1.717788,-0.251494,0.326766,0.207286,0.408351,0.460059,-2.753859,1.112958,-0.178453
1,1770205724960,0.011114,-134.8918,438.4551,-860.0554,0.751509,-0.109975,0.142985,0.634582,1.717863,-0.251390,0.326847,0.207267,0.408365,0.460059,-2.753921,1.112908,-0.178465
2,1770205724971,0.022225,-134.8211,438.5437,-860.0759,0.751485,-0.109964,0.142942,0.634623,1.717777,-0.251361,0.326742,0.207269,0.408356,0.460067,-2.753867,1.112903,-0.178454
3,1770205724982,0.033337,-134.8448,438.4671,-860.0792,0.751459,-0.109943,0.143030,0.634637,1.717710,-0.251311,0.326944,0.207271,0.408358,0.460067,-2.753906,1.112899,-0.178439
4,1770205724993,0.044448,-134.8332,438.4582,-860.0984,0.751427,-0.109942,0.142978,0.634687,1.717603,-0.251303,0.326818,0.207280,0.408364,0.460053,-2.753944,1.112916,-0.178460
5,1770205725004,0.055559,-134.8586,438.5554,-860.1448,0.751429,-0.109880,0.143078,0.634673,1.717616,-0.251164,0.327048,0.207268,0.408368,0.460051,-2.753953,1.112895,-0.178396
6,1770205725015,0.066670,-134.8190,438.6552,-860.1032,0.751408,-0.109873,0.143101,0.634694,1.717554,-0.251146,0.327097,0.207276,0.408356,0.460063,-2.753875,1.112945,-0.178443
7,1770205725026,0.077781,-134.7875,438.6787,-860.1058,0.751406,-0.109851,0.143109,0.634698,1.717546,-0.251094,0.327115,0.207277,0.408361,0.460055,-2.753926,1.112929,-0.178464
8,1770205725037,0.088893,-134.7745,438.7234,-860.1181,0.751401,-0.109843,0.143123,0.634703,1.717530,-0.251075,0.327147,0.207277,0.408353,0.460067,-2.753859,1.112942,-0.178491
9,1770205725049,0.100004,-134.7519,438.7391,-860.1740,0.751399,-0.109760,0.143140,0.634715,1.717519,-0.250885,0.327184,0.207275,0.408370,0.460044,-2.753938,1.112910,-0.178420
10,1770205725060,0.111115,-134.7440,438.7982,-860.1898,0.751412,-0.109742,0.143143,0.634702,1.717557,-0.250846,0.327191,0.207271,0.408358,0.460060,-2.753888,1.112911,-0.178443
11,1770205725071,0.122226,-134.7715,438.8107,-860.1416,0.751402,-0.109717,0.143148,0.634718,1.717523,-0.250786,0.327202,0.207286,0.408352,0.460056,-2.753901,1.112956,-0.178455
12,1770205725082,0.133337,-134.6955,438.7777,-860.1304,0.751407,-0.109707,0.143175,0.634708,1.717541,-0.250764,0.327264,0.207264,0.408352,0.460073,-2.753868,1.112906,-0.178471
13,1770205725093,0.144449,-134.6778,438.8251,-860.1460,0.751419,-0.109695,0.143157,0.634699,1.717577,-0.250737,0.327225,0.207274,0.408363,0.460048,-2.753937,1.112893,-0.178447
14,1770205725104,0.155560,-134.7416,438.7406,-860.1240,0.751437,-0.109660,0.143183,0.634678,1.717632,-0.250661,0.327287,0.207277,0.408357,0.460052,-2.753886,1.112949,-0.178438
15,1770205725115,0.166671,-134.7948,438.6380,-860.1251,0.751484,-0.109722,0.143211,0.634606,1.717787,-0.250809,0.327360,0.207281,0.408359,0.460049,-2.753909,1.112917,-0.178418
16,1770205725126,0.177783,-134.7410,438.5415,-860.1224,0.751446,-0.109668,0.143273,0.634646,1.717674,-0.250683,0.327496,0.207276,0.408353,0.460067,-2.753880,1.112926,-0.178428
17,1770205725137,0.188894,-134.8503,438.4627,-860.1354,0.751466,-0.109659,0.143314,0.634614,1.717743,-0.250664,0.327595,0.207268,0.408362,0.460062,-2.753905,1.112899,-0.178436
18,1770205725149,0.200005,-134.9397,438.5502,-860.0915,0.751505,-0.109696,0.143310,0.634563,1.717866,-0.250753,0.327592,0.207286,0.408356,0.460052,-2.753896,1.112950,-0.178418
19,1770205725160,0.211116,-134.9707,438.5625,-860.0939,0.751496,-0.109693,0.143315,0.634572,1.717840,-0.250747,0.327604,0.207296,0.408354,0.460053,-2.753883,1.113023,-0.178430
20,1770205725171,0.222227,-134.9229,438.3823,-859.9968,0.751533,-0.109661,0.143331,0.634530,1.717952,-0.250678,0.327644,0.207281,0.408348,0.460067,-2.753885,1.112907,-0.178415
21,1770205725182,0.233339,-134.8676,438.4073,-860.1894,0.751496,-0.109679,0.143380,0.634560,1.717848,-0.250716,0.327752,0.207275,0.408355,0.460061,-2.753871,1.112924,-0.178450
22,1770205725193,0.244450,-134.8295,438.3767,-860.2444,0.751477,-0.109709,0.143366,0.634580,1.717790,-0.250783,0.327717,0.207272,0.408356,0.460069,-2.753875,1.112905,-0.178432
23,1770205725204,0.255561,-134.8349,438.5679,-860.1989,0.751488,-0.109663,0.143288,0.634593,1.717807,-0.250675,0.327538,0.207283,0.408357,0.460054,-2.753890,1.112945,-0.178381
24,1770205725215,0.266673,-134.7759,438.5142,-860.2631,0.751489,-0.109724,0.143266,0.634587,1.717812,-0.250816,0.327488,0.207259,0.408357,0.460076,-2.753877,1.112892,-0.178486
25,1770205725226,0.277784,-134.7274,438.6707,-860.2034,0.751522,-0.109709,0.143207,0.634564,1.717904,-0.250783,0.327358,0.207267,0.408367,0.460052,-2.753963,1.112842,-0.178406
26,1770205725237,0.288895,-134.7013,438.6786,-860.2317,0.751526,-0.109725,0.143215,0.634554,1.717921,-0.250822,0.327376,0.207286,0.408348,0.460067,-2.753867,1.112959,-0.178431
27,1770205725249,0.300006,-134.6743,438.6760,-860.2547,0.751515,-0.109702,0.143227,0.634569,1.717884,-0.250767,0.327401,0.207270,0.408355,0.460064,-2.753871,1.112884,-0.178438
28,1770205725260,0.311118,-134.6638,438.6911,-860.2830,0.751531,-0.109696,0.143241,0.634547,1.717936,-0.250756,0.327437,0.207279,0.408350,0.460066,-2.753865,1.112941,-0.178452
29,1770205725271,0.322229,-134.6254,438.5300,-860.2175,0.751554,-0.109679,0.143249,0.634521,1.718007,-0.250719,0.327459,0.207278,0.408355,0.460056,-2.753908,1.112917,-0.178418
30,1770205725282,0.333340,-134.7149,438.4593,-860.0958,0.751565,-0.109702,0.143276,0.634498,1.718048,-0.250774,0.327524,0.207270,0.408346,0.460084,-2.753853,1.112897,-0.178445
31,1770205725293,0.344452,-134.7035,438.4599,-860.1008,0.751569,-0.109714,0.143267,0.634493,1.718060,-0.250802,0.327502,0.207278,0.408348,0.460065,-2.753870,1.112922,-0.178436
32,1770205725304,0.355563,-134.7037,438.5038,-860.0771,0.751579,-0.109721,0.143256,0.634483,1.718091,-0.250818,0.327481,0.207285,0.408348,0.460061,-2.753871,1.112979,-0.178424
33,1770205725315,0.366674,-134.8063,438.6577,-860.1769,0.751558,-0.109676,0.143301,0.634505,1.718027,-0.250714,0.327579,0.207266,0.408360,0.460066,-2.753884,1.112891,-0.178447
34,1770205725326,0.377786,-134.9750,438.6476,-860.1873,0.751593,-0.109655,0.143376,0.634450,1.718146,-0.250672,0.327758,0.207279,0.408356,0.460059,-2.753898,1.112913,-0.178424
35,1770205725337,0.388897,-134.8850,438.5848,-860.2006,0.751607,-0.109647,0.143414,0.634427,1.718192,-0.250655,0.327849,0.207280,0.408340,0.460083,-2.753810,1.112937,-0.178441
36,1770205725349,0.400008,-134.8928,438.5804,-860.2256,0.751562,-0.109658,0.143427,0.634475,1.718058,-0.250677,0.327870,0.207278,0.408357,0.460062,-2.753914,1.112883,-0.178444
37,1770205725360,0.411119,-134.9617,438.4915,-860.0933,0.751616,-0.109688,0.143421,0.634407,1.718228,-0.250752,0.327867,0.207286,0.408355,0.460061,-2.753896,1.112975,-0.178471
38,1770205725371,0.422231,-134.8925,438.3094,-860.1492,0.751613,-0.109718,0.143460,0.634397,1.718226,-0.250821,0.327957,0.207290,0.408356,0.460052,-2.753921,1.112961,-0.178428
39,1770205725382,0.433342,-134.8798,438.4364,-860.1136,0.751617,-0.109649,0.143515,0.634392,1.718239,-0.250664,0.328084,0.207284,0.408346,0.460064,-2.753846,1.112951,-0.178441
40,1770205725393,0.444453,-134.8390,438.4149,-860.0202,0.751634,-0.109612,0.143427,0.634398,1.718275,-0.250580,0.327880,0.207280,0.408355,0.460058,-2.753899,1.112874,-0.178415
41,1770205725404,0.455565,-134.8674,438.5368,-860.0361,0.751617,-0.109640,0.143451,0.634407,1.718231,-0.250641,0.327936,0.207285,0.408355,0.460052,-2.753924,1.112941,-0.178409
42,1770205725415,0.466676,-134.8843,438.5389,-860.0286,0.751612,-0.109639,0.143445,0.634415,1.718212,-0.250639,0.327920,0.207286,0.408353,0.460063,-2.753901,1.112956,-0.178455
43,1770205725426,0.477787,-134.8817,438.5422,-860.0642,0.751604,-0.109633,0.143409,0.634433,1.718182,-0.250624,0.327836,0.207290,0.408359,0.460047,-2.753926,1.112959,-0.178385
44,1770205725437,0.488898,-134.8688,438.6514,-860.1348,0.751608,-0.109636,0.143411,0.634428,1.718193,-0.250631,0.327840,0.207275,0.408353,0.460067,-2.753843,1.112957,-0.178511
45,1770205725449,0.500009,-134.8254,438.5359,-860.1367,0.751625,-0.109635,0.143401,0.634410,1.718246,-0.250629,0.327820,0.207283,0.408350,0.460065,-2.753853,1.112919,-0.178484
46,1770205725460,0.511121,-134.7501,438.5573,-860.1088,0.751638,-0.109663,0.143365,0.634398,1.718284,-0.250696,0.327741,0.207276,0.408357,0.460064,-2.753873,1.112927,-0.178467
47,1770205725471,0.522232,-134.7882,438.6338,-860.1068,0.751635,-0.109729,0.143423,0.634377,1.718292,-0.250849,0.327874,0.207288,0.408348,0.460060,-2.753872,1.112883,-0.178430
