FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769798208570,0.000000,594.1542,261.7064,-466.8161,0.693353,0.070458,-0.021738,0.716816,1.534490,0.155934,-0.048110,0.125543,-0.396617,0.306650,3.019460,-0.133910,0.085172
1,1769798208581,0.011111,594.1712,261.7813,-466.8286,0.693332,0.070515,-0.021747,0.716830,1.534436,0.156060,-0.048129,0.125555,-0.396605,0.306633,3.019508,-0.133911,0.085233
2,1769798208592,0.022223,594.2011,261.7513,-466.9290,0.693326,0.070456,-0.021812,0.716840,1.534416,0.155928,-0.048272,0.125534,-0.396621,0.306633,3.019493,-0.133962,0.085180
3,1769798208603,0.033334,594.2078,261.7835,-466.9081,0.693326,0.070448,-0.021812,0.716841,1.534416,0.155910,-0.048272,0.125557,-0.396614,0.306638,3.019499,-0.133871,0.085221
4,1769798208614,0.044446,594.1777,261.7544,-466.9641,0.693330,0.070417,-0.021864,0.716838,1.534426,0.155841,-0.048388,0.125540,-0.396622,0.306626,3.019505,-0.133958,0.085193
5,1769798208625,0.055557,594.1779,261.7927,-466.9891,0.693313,0.070436,-0.021848,0.716853,1.534380,0.155883,-0.048353,0.125557,-0.396608,0.306633,3.019510,-0.133860,0.085172
6,1769798208636,0.066668,594.1632,261.8382,-466.9516,0.693347,0.070430,-0.021851,0.716821,1.534475,0.155872,-0.048360,0.125567,-0.396614,0.306631,3.019500,-0.133848,0.085236
7,1769798208647,0.077779,594.2165,261.8251,-466.9135,0.693361,0.070471,-0.021846,0.716803,1.534517,0.155964,-0.048348,0.125566,-0.396619,0.306648,3.019465,-0.133819,0.085213
8,1769798208658,0.088891,594.1539,261.8071,-466.8497,0.693378,0.070462,-0.021817,0.716789,1.534562,0.155944,-0.048286,0.125560,-0.396613,0.306660,3.019429,-0.133808,0.085190
9,1769798208670,0.100002,594.1047,261.7231,-466.9012,0.693359,0.070449,-0.021801,0.716809,1.534509,0.155915,-0.048249,0.125544,-0.396614,0.306626,3.019510,-0.133863,0.085143
10,1769798208681,0.111113,594.1461,261.7957,-466.8055,0.693348,0.070464,-0.021824,0.716817,1.534478,0.155947,-0.048301,0.125564,-0.396616,0.306655,3.019440,-0.133856,0.085227
11,1769798208692,0.122224,594.1483,261.8431,-466.7551,0.693366,0.070408,-0.021790,0.716806,1.534526,0.155824,-0.048225,0.125545,-0.396613,0.306641,3.019483,-0.133932,0.085220
12,1769798208703,0.133335,594.0576,261.8274,-466.7452,0.693329,0.070434,-0.021747,0.716842,1.534421,0.155879,-0.048130,0.125556,-0.396614,0.306621,3.019523,-0.133860,0.085207
13,1769798208714,0.144447,594.1371,261.6174,-466.8776,0.693375,0.070445,-0.021740,0.716795,1.534552,0.155906,-0.048114,0.125556,-0.396611,0.306633,3.019511,-0.133847,0.085159
14,1769798208725,0.155558,594.1652,261.7031,-466.9267,0.693359,0.070468,-0.021757,0.716808,1.534508,0.155957,-0.048152,0.125542,-0.396620,0.306619,3.019544,-0.133903,0.085190
15,1769798208736,0.166669,594.1921,261.6957,-466.9720,0.693333,0.070475,-0.021680,0.716835,1.534436,0.155971,-0.047980,0.125552,-0.396616,0.306624,3.019534,-0.133879,0.085205
16,1769798208747,0.177780,594.1945,261.7390,-466.9921,0.693337,0.070461,-0.021659,0.716834,1.534444,0.155939,-0.047934,0.125546,-0.396609,0.306614,3.019542,-0.133938,0.085180
17,1769798208758,0.188892,594.1959,261.7910,-467.0152,0.693349,0.070460,-0.021675,0.716821,1.534479,0.155939,-0.047970,0.125552,-0.396619,0.306638,3.019486,-0.133876,0.085172
18,1769798208770,0.200003,594.2121,261.7795,-467.0322,0.693356,0.070445,-0.021669,0.716817,1.534496,0.155904,-0.047956,0.125550,-0.396610,0.306616,3.019556,-0.133920,0.085216
19,1769798208781,0.211114,594.2145,261.8334,-467.0569,0.693347,0.070457,-0.021643,0.716825,1.534472,0.155931,-0.047899,0.125557,-0.396618,0.306643,3.019462,-0.133868,0.085224
20,1769798208792,0.222225,594.2141,261.8910,-467.0815,0.693354,0.070458,-0.021652,0.716818,1.534491,0.155935,-0.047920,0.125551,-0.396617,0.306614,3.019545,-0.133899,0.085229
21,1769798208803,0.233336,594.4250,261.9612,-466.8765,0.693418,0.070418,-0.021648,0.716759,1.534668,0.155848,-0.047910,0.125551,-0.396617,0.306638,3.019485,-0.133895,0.085196
22,1769798208814,0.244448,594.4507,262.0284,-466.8705,0.693408,0.070421,-0.021658,0.716769,1.534639,0.155854,-0.047934,0.125545,-0.396612,0.306628,3.019507,-0.133922,0.085169
23,1769798208825,0.255559,594.4751,262.1003,-466.8669,0.693411,0.070418,-0.021658,0.716766,1.534649,0.155848,-0.047933,0.125561,-0.396606,0.306621,3.019535,-0.133863,0.085195
24,1769798208836,0.266670,594.2205,261.7863,-466.8191,0.693419,0.070442,-0.021654,0.716756,1.534673,0.155903,-0.047926,0.125557,-0.396608,0.306650,3.019464,-0.133824,0.085175
25,1769798208847,0.277781,594.2723,261.7544,-466.9336,0.693426,0.070449,-0.021622,0.716750,1.534690,0.155917,-0.047855,0.125553,-0.396616,0.306646,3.019473,-0.133901,0.085235
26,1769798208858,0.288893,594.2449,261.7600,-466.9330,0.693418,0.070444,-0.021631,0.716758,1.534668,0.155906,-0.047874,0.125542,-0.396619,0.306641,3.019483,-0.133931,0.085194
27,1769798208870,0.300004,594.2439,261.8094,-466.9445,0.693425,0.070454,-0.021656,0.716750,1.534688,0.155929,-0.047928,0.125548,-0.396613,0.306628,3.019520,-0.133897,0.085169
28,1769798208881,0.311115,594.2605,261.8995,-467.0730,0.693430,0.070467,-0.021660,0.716743,1.534703,0.155957,-0.047939,0.125567,-0.396610,0.306641,3.019489,-0.133834,0.085225
29,1769798208892,0.322226,594.2614,261.9685,-467.0976,0.693420,0.070466,-0.021660,0.716753,1.534676,0.155955,-0.047938,0.125563,-0.396614,0.306636,3.019499,-0.133854,0.085186
30,1769798208903,0.333338,594.3942,262.0052,-466.9247,0.693465,0.070481,-0.021689,0.716707,1.534803,0.155990,-0.048004,0.125558,-0.396618,0.306619,3.019534,-0.133887,0.085232
31,1769798208914,0.344449,594.4093,262.0808,-466.9253,0.693468,0.070477,-0.021664,0.716705,1.534811,0.155982,-0.047948,0.125552,-0.396617,0.306631,3.019508,-0.133910,0.085207
32,1769798208925,0.355560,594.2415,261.8461,-466.8496,0.693421,0.070474,-0.021608,0.716753,1.534678,0.155973,-0.047823,0.125542,-0.396619,0.306648,3.019459,-0.133930,0.085196
33,1769798208936,0.366671,594.1923,261.7742,-466.8700,0.693403,0.070434,-0.021659,0.716773,1.534626,0.155882,-0.047935,0.125551,-0.396608,0.306633,3.019508,-0.133897,0.085195
34,1769798208947,0.377783,594.0776,261.6669,-466.9533,0.693435,0.070502,-0.021626,0.716735,1.534720,0.156037,-0.047864,0.125540,-0.396613,0.306662,3.019412,-0.133886,0.085162
35,1769798208958,0.388894,594.0538,261.6885,-466.9626,0.693440,0.070547,-0.021599,0.716728,1.534734,0.156135,-0.047804,0.125551,-0.396617,0.306636,3.019496,-0.133928,0.085233
36,1769798208970,0.400005,594.0817,261.5819,-466.8927,0.693429,0.070569,-0.021547,0.716737,1.534706,0.156184,-0.047687,0.125565,-0.396609,0.306628,3.019526,-0.133811,0.085197
37,1769798208981,0.411116,594.0574,261.6199,-466.8979,0.693466,0.070534,-0.021545,0.716705,1.534805,0.156108,-0.047685,0.125547,-0.396617,0.306612,3.019555,-0.133932,0.085203
38,1769798208992,0.422228,594.1747,261.6502,-466.8283,0.693468,0.070517,-0.021577,0.716703,1.534812,0.156072,-0.047756,0.125563,-0.396620,0.306634,3.019486,-0.133878,0.085249
39,1769798209003,0.433339,594.2354,261.7096,-466.7895,0.693462,0.070540,-0.021559,0.716708,1.534796,0.156122,-0.047714,0.125552,-0.396616,0.306629,3.019509,-0.133890,0.085220
40,1769798209014,0.444450,594.2385,261.7475,-466.7766,0.693448,0.070558,-0.021561,0.716720,1.534757,0.156161,-0.047720,0.125560,-0.396607,0.306616,3.019572,-0.133833,0.085192
41,1769798209025,0.455561,594.2195,261.7099,-466.7305,0.693437,0.070515,-0.021558,0.716734,1.534724,0.156066,-0.047712,0.125553,-0.396625,0.306636,3.019486,-0.133888,0.085221
42,1769798209036,0.466673,594.1369,261.8030,-466.8127,0.693444,0.070518,-0.021549,0.716727,1.534744,0.156071,-0.047693,0.125550,-0.396621,0.306638,3.019472,-0.133913,0.085222
43,1769798209047,0.477784,593.9633,261.7122,-466.8445,0.693416,0.070493,-0.021584,0.716756,1.534665,0.156014,-0.047771,0.125546,-0.396607,0.306628,3.019518,-0.133948,0.085230
44,1769798209058,0.488895,594.0829,261.6813,-466.9001,0.693373,0.070495,-0.021626,0.716796,1.534547,0.156018,-0.047862,0.125557,-0.396611,0.306638,3.019486,-0.133870,0.085223
45,1769798209070,0.500006,594.0967,261.7391,-466.8257,0.693410,0.070529,-0.021650,0.716757,1.534651,0.156095,-0.047915,0.125539,-0.396615,0.306633,3.019507,-0.133914,0.085143
46,1769798209081,0.511117,594.1050,261.6829,-466.7947,0.693404,0.070533,-0.021659,0.716761,1.534636,0.156104,-0.047935,0.125549,-0.396619,0.306653,3.019450,-0.133885,0.085198
47,1769798209092,0.522229,594.2115,261.7835,-466.8294,0.693377,0.070525,-0.021685,0.716788,1.534560,0.156083,-0.047992,0.125555,-0.396612,0.306631,3.019521,-0.133899,0.085219
48,1769798209103,0.533340,594.2253,261.8595,-466.8339,0.693370,0.070519,-0.021691,0.716794,1.534541,0.156070,-0.048006,0.125543,-0.396611,0.306641,3.019496,-0.133894,0.085181
49,1769798209114,0.544451,594.2389,261.9308,-466.8353,0.693364,0.070524,-0.021678,0.716801,1.534523,0.156081,-0.047976,0.125545,-0.396611,0.306628,3.019518,-0.133955,0.085206
50,1769798209125,0.555563,594.4115,261.8254,-466.8714,0.693322,0.070568,-0.021703,0.716836,1.534411,0.156176,-0.048031,0.125558,-0.396613,0.306631,3.019511,-0.133854,0.085196
51,1769798209136,0.566674,594.3732,261.8216,-466.8669,0.693332,0.070538,-0.021730,0.716828,1.534437,0.156110,-0.048090,0.125551,-0.396618,0.306612,3.019545,-0.133887,0.085180
52,1769798209147,0.577785,594.3276,261.7141,-466.8763,0.693276,0.070562,-0.021748,0.716880,1.534281,0.156161,-0.048129,0.125569,-0.396618,0.306655,3.019430,-0.133804,0.085229
53,1769798209158,0.588896,594.2792,261.7154,-466.8515,0.693273,0.070612,-0.021736,0.716878,1.534277,0.156270,-0.048104,0.125548,-0.396616,0.306626,3.019520,-0.133910,0.085181
54,1769798209170,0.600008,594.1232,261.8216,-466.8816,0.693311,0.070601,-0.021762,0.716841,1.534383,0.156249,-0.048162,0.125548,-0.396623,0.306614,3.019544,-0.133911,0.085216
55,1769798209181,0.611119,594.1670,261.8328,-466.9450,0.693292,0.070614,-0.021771,0.716858,1.534331,0.156275,-0.048181,0.125576,-0.396609,0.306629,3.019527,-0.133801,0.085224
56,1769798209192,0.622230,594.1478,261.8061,-466.8225,0.693403,0.070575,-0.021775,0.716755,1.534637,0.156196,-0.048192,0.125564,-0.396611,0.306631,3.019512,-0.133849,0.085210
57,1769798209203,0.633342,594.0490,261.8215,-466.8403,0.693377,0.070574,-0.021754,0.716781,1.534563,0.156192,-0.048146,0.125550,-0.396616,0.306638,3.019484,-0.133914,0.085221
58,1769798209214,0.644453,594.0531,261.8413,-466.8784,0.693381,0.070523,-0.021772,0.716781,1.534574,0.156080,-0.048186,0.125552,-0.396615,0.306616,3.019546,-0.133880,0.085205
59,1769798209225,0.655564,593.9785,261.7633,-466.8730,0.693400,0.070540,-0.021752,0.716762,1.534626,0.156119,-0.048142,0.125554,-0.396617,0.306638,3.019489,-0.133818,0.085172
60,1769798209236,0.666675,594.0582,261.6688,-466.7698,0.693409,0.070521,-0.021755,0.716755,1.534650,0.156077,-0.048147,0.125560,-0.396607,0.306638,3.019500,-0.133827,0.085198
61,1769798209247,0.677786,594.2007,261.7408,-466.9266,0.693411,0.070482,-0.021789,0.716756,1.534654,0.155991,-0.048222,0.125547,-0.396621,0.306641,3.019486,-0.133862,0.085170
62,1769798209258,0.688898,594.1860,261.8074,-466.9495,0.693390,0.070535,-0.021756,0.716771,1.534600,0.156106,-0.048149,0.125560,-0.396613,0.306655,3.019452,-0.133855,0.085238
63,1769798209270,0.700009,594.1340,261.8251,-466.8676,0.693439,0.070535,-0.021763,0.716725,1.534734,0.156110,-0.048165,0.125549,-0.396622,0.306633,3.019495,-0.133921,0.085196
64,1769798209281,0.711120,594.1802,261.8276,-466.8615,0.693434,0.070492,-0.021786,0.716733,1.534718,0.156015,-0.048217,0.125570,-0.396606,0.306641,3.019487,-0.133868,0.085251
65,1769798209292,0.722231,594.1608,261.8740,-466.8658,0.693432,0.070525,-0.021729,0.716733,1.534713,0.156087,-0.048090,0.125548,-0.396614,0.306626,3.019509,-0.133877,0.085182
66,1769798209303,0.733342,594.1934,261.7098,-466.9709,0.693429,0.070488,-0.021769,0.716739,1.534703,0.156004,-0.048180,0.125548,-0.396606,0.306633,3.019506,-0.133942,0.085219
67,1769798209314,0.744454,594.1602,261.7619,-467.0122,0.693420,0.070486,-0.021784,0.716746,1.534681,0.156000,-0.048212,0.125540,-0.396619,0.306641,3.019484,-0.133905,0.085169
68,1769798209325,0.755565,594.0326,261.7166,-466.9362,0.693428,0.070490,-0.021748,0.716740,1.534700,0.156009,-0.048132,0.125553,-0.396610,0.306633,3.019510,-0.133872,0.085195
69,1769798209336,0.766676,593.9760,261.6009,-466.8531,0.693408,0.070477,-0.021744,0.716761,1.534644,0.155979,-0.048125,0.125571,-0.396605,0.306650,3.019466,-0.133801,0.085215
70,1769798209347,0.777787,593.9561,261.6221,-466.8163,0.693417,0.070478,-0.021740,0.716752,1.534669,0.155981,-0.048116,0.125545,-0.396623,0.306626,3.019506,-0.133954,0.085206
71,1769798209358,0.788898,593.9503,261.5999,-466.7646,0.693406,0.070487,-0.021743,0.716761,1.534641,0.156001,-0.048121,0.125572,-0.396601,0.306646,3.019489,-0.133829,0.085238
72,1769798209370,0.800009,593.9340,261.6192,-466.7574,0.693407,0.070467,-0.021738,0.716763,1.534642,0.155958,-0.048110,0.125544,-0.396613,0.306643,3.019484,-0.133906,0.085195
73,1769798209381,0.811121,594.1331,261.6859,-466.6780,0.693392,0.070464,-0.021825,0.716775,1.534600,0.155948,-0.048302,0.125563,-0.396617,0.306648,3.019454,-0.133798,0.085201
74,1769798209392,0.822232,594.1852,261.7231,-466.7588,0.693401,0.070433,-0.021847,0.716768,1.534625,0.155882,-0.048352,0.125566,-0.396610,0.306631,3.019527,-0.133791,0.085210
75,1769798209403,0.833343,594.1732,261.7954,-466.7448,0.693408,0.070436,-0.021814,0.716762,1.534645,0.155889,-0.048279,0.125540,-0.396615,0.306643,3.019472,-0.133891,0.085157
76,1769798209414,0.844454,594.1754,261.8488,-466.7517,0.693412,0.070446,-0.021802,0.716758,1.534656,0.155912,-0.048252,0.125565,-0.396610,0.306631,3.019512,-0.133843,0.085198
77,1769798209425,0.855566,594.1836,261.9232,-466.7444,0.693437,0.070441,-0.021789,0.716735,1.534724,0.155901,-0.048223,0.125560,-0.396615,0.306626,3.019511,-0.133860,0.085234
78,1769798209436,0.866677,594.2673,261.8109,-466.8692,0.693428,0.070413,-0.021849,0.716744,1.534698,0.155838,-0.048356,0.125547,-0.396614,0.306641,3.019474,-0.133858,0.085209
79,1769798209447,0.877788,594.1939,261.8102,-466.9064,0.693439,0.070392,-0.021883,0.716735,1.534729,0.155793,-0.048432,0.125553,-0.396624,0.306653,3.019438,-0.133884,0.085224
80,1769798209458,0.888900,594.1980,261.8661,-466.9147,0.693446,0.070402,-0.021882,0.716727,1.534748,0.155815,-0.048430,0.125554,-0.396617,0.306624,3.019522,-0.133873,0.085194
81,1769798209470,0.900011,594.1973,261.9297,-466.9304,0.693436,0.070392,-0.021902,0.716737,1.534721,0.155794,-0.048475,0.125554,-0.396615,0.306624,3.019520,-0.133918,0.085244
82,1769798209481,0.911123,594.1620,261.8708,-466.8458,0.693476,0.070402,-0.021882,0.716698,1.534832,0.155817,-0.048430,0.125548,-0.396608,0.306638,3.019484,-0.133907,0.085184
83,1769798209492,0.922234,594.1965,261.7625,-466.9797,0.693433,0.070394,-0.021908,0.716739,1.534714,0.155797,-0.048487,0.125567,-0.396606,0.306624,3.019548,-0.133839,0.085220
84,1769798209503,0.933345,594.1989,261.8048,-467.0014,0.693423,0.070390,-0.021910,0.716750,1.534684,0.155788,-0.048492,0.125558,-0.396612,0.306629,3.019522,-0.133886,0.085232
85,1769798209514,0.944456,594.1342,261.7473,-466.8214,0.693449,0.070417,-0.021944,0.716721,1.534758,0.155849,-0.048568,0.125573,-0.396595,0.306636,3.019514,-0.133812,0.085212
86,1769798209525,0.955567,594.1285,261.7966,-466.8141,0.693439,0.070414,-0.021939,0.716731,1.534731,0.155842,-0.048555,0.125559,-0.396609,0.306626,3.019523,-0.133868,0.085208
87,1769798209536,0.966679,594.1607,261.7076,-466.7555,0.693461,0.070394,-0.021969,0.716710,1.534792,0.155798,-0.048623,0.125561,-0.396615,0.306629,3.019526,-0.133809,0.085208
88,1769798209547,0.977790,594.1680,261.7394,-466.7345,0.693476,0.070413,-0.021986,0.716693,1.534835,0.155841,-0.048661,0.125565,-0.396615,0.306624,3.019524,-0.133843,0.085234
89,1769798209558,0.988901,594.2115,261.6264,-466.9427,0.693460,0.070384,-0.021948,0.716713,1.534788,0.155776,-0.048577,0.125553,-0.396623,0.306626,3.019521,-0.133904,0.085231
90,1769798209570,1.000012,594.0709,261.7538,-466.9715,0.693455,0.070428,-0.021930,0.716715,1.534775,0.155873,-0.048535,0.125540,-0.396619,0.306628,3.019506,-0.133939,0.085205
91,1769798209581,1.011123,594.1409,261.8466,-467.0016,0.693445,0.070388,-0.021903,0.716728,1.534747,0.155784,-0.048476,0.125556,-0.396613,0.306619,3.019547,-0.133862,0.085206
92,1769798209592,1.022235,594.1633,261.7715,-466.8235,0.693459,0.070347,-0.021956,0.716717,1.534784,0.155695,-0.048594,0.125541,-0.396618,0.306612,3.019553,-0.133944,0.085165
93,1769798209603,1.033346,594.1727,261.8119,-466.8033,0.693493,0.070339,-0.021958,0.716685,1.534877,0.155679,-0.048598,0.125527,-0.396627,0.306619,3.019529,-0.133943,0.085175
94,1769798209614,1.044457,594.2279,261.7313,-466.8801,0.693483,0.070285,-0.021951,0.716700,1.534847,0.155559,-0.048584,0.125545,-0.396616,0.306633,3.019507,-0.133921,0.085206
95,1769798209625,1.055568,594.2461,261.8214,-466.8939,0.693469,0.070272,-0.021954,0.716715,1.534807,0.155528,-0.048589,0.125531,-0.396635,0.306607,3.019550,-0.134023,0.085248
96,1769798209636,1.066680,594.1989,261.7257,-466.8615,0.693446,0.070301,-0.021899,0.716736,1.534744,0.155591,-0.048468,0.125521,-0.396635,0.306617,3.019514,-0.133999,0.085187
97,1769798209647,1.077791,594.2035,261.7686,-466.8582,0.693479,0.070292,-0.021901,0.716705,1.534834,0.155572,-0.048471,0.125496,-0.396633,0.306628,3.019494,-0.134128,0.085158
98,1769798209658,1.088902,594.1050,261.6805,-466.6206,0.693482,0.070304,-0.021876,0.716702,1.534844,0.155599,-0.048418,0.125510,-0.396646,0.306568,3.019642,-0.134084,0.085187
99,1769798209670,1.100014,594.1838,261.7302,-466.6900,0.693464,0.070278,-0.021834,0.716723,1.534790,0.155541,-0.048324,0.125471,-0.396644,0.306583,3.019621,-0.134215,0.085167
100,1769798209681,1.111125,594.1440,261.7962,-466.6778,0.693438,0.070243,-0.021743,0.716755,1.534714,0.155462,-0.048122,0.125433,-0.396658,0.306602,3.019554,-0.134335,0.085175
101,1769798209692,1.122236,593.9692,261.5585,-466.7327,0.693410,0.070277,-0.021704,0.716779,1.534639,0.155535,-0.048035,0.125422,-0.396664,0.306617,3.019517,-0.134342,0.085150
102,1769798209703,1.133348,594.0280,261.6302,-466.7237,0.693369,0.070268,-0.021730,0.716819,1.534524,0.155514,-0.048092,0.125398,-0.396677,0.306595,3.019544,-0.134488,0.085131
103,1769798209714,1.144459,594.0370,261.6991,-466.7369,0.693376,0.070250,-0.021761,0.716814,1.534542,0.155475,-0.048161,0.125409,-0.396666,0.306614,3.019523,-0.134443,0.085159
104,1769798209725,1.155570,594.0425,261.7785,-466.7531,0.693353,0.070269,-0.021726,0.716835,1.534479,0.155514,-0.048083,0.125405,-0.396664,0.306607,3.019536,-0.134410,0.085132
105,1769798209736,1.166682,594.1757,261.8241,-466.7660,0.693312,0.070230,-0.021737,0.716877,1.534364,0.155425,-0.048107,0.125405,-0.396667,0.306636,3.019450,-0.134468,0.085176
106,1769798209747,1.177793,594.1968,261.8880,-466.7670,0.693300,0.070194,-0.021756,0.716892,1.534328,0.155345,-0.048148,0.125399,-0.396670,0.306624,3.019486,-0.134475,0.085196
107,1769798209758,1.188904,593.9729,261.7123,-466.8433,0.693318,0.070184,-0.021688,0.716878,1.534376,0.155325,-0.047998,0.125392,-0.396673,0.306621,3.019483,-0.134519,0.085158
108,1769798209770,1.200015,593.9746,261.6613,-466.7726,0.693337,0.070159,-0.021615,0.716865,1.534425,0.155268,-0.047836,0.125356,-0.396673,0.306604,3.019549,-0.134599,0.085132
109,1769798209781,1.211127,593.9199,261.7652,-466.7250,0.693375,0.070105,-0.021630,0.716833,1.534528,0.155152,-0.047869,0.125321,-0.396685,0.306600,3.019549,-0.134798,0.085137
110,1769798209792,1.222238,593.7920,261.5859,-466.7858,0.693378,0.070067,-0.021529,0.716836,1.534535,0.155068,-0.047647,0.125297,-0.396708,0.306597,3.019534,-0.134854,0.085131
111,1769798209803,1.233349,593.7540,261.6246,-466.7813,0.693378,0.070032,-0.021504,0.716841,1.534531,0.154990,-0.047591,0.125251,-0.396715,0.306600,3.019522,-0.135030,0.085108
112,1769798209814,1.244460,593.6409,261.6856,-466.7076,0.693380,0.070033,-0.021436,0.716841,1.534534,0.154991,-0.047441,0.125211,-0.396719,0.306600,3.019524,-0.135200,0.085099
113,1769798209825,1.255572,593.5801,261.7589,-466.6966,0.693385,0.069985,-0.021385,0.716842,1.534547,0.154885,-0.047328,0.125155,-0.396738,0.306595,3.019510,-0.135430,0.085099
114,1769798209836,1.266683,593.7885,261.7480,-466.5902,0.693399,0.069929,-0.021390,0.716833,1.534583,0.154762,-0.047338,0.125152,-0.396753,0.306590,3.019511,-0.135421,0.085134
115,1769798209847,1.277794,593.6854,261.7649,-466.7684,0.693390,0.069903,-0.021363,0.716845,1.534556,0.154704,-0.047278,0.125087,-0.396778,0.306614,3.019436,-0.135664,0.085111
116,1769798209858,1.288906,593.6288,261.8127,-466.6844,0.693396,0.069856,-0.021271,0.716847,1.534567,0.154599,-0.047076,0.124987,-0.396801,0.306588,3.019485,-0.136018,0.085047
117,1769798209870,1.300017,593.3427,261.6936,-466.5510,0.693377,0.069760,-0.021137,0.716879,1.534507,0.154386,-0.046779,0.124906,-0.396823,0.306578,3.019501,-0.136360,0.085063
118,1769798209881,1.311128,593.0729,261.7171,-466.4504,0.693383,0.069644,-0.020980,0.716889,1.534513,0.154128,-0.046430,0.124681,-0.396899,0.306600,3.019375,-0.137229,0.085017
119,1769798209892,1.322239,592.9506,261.5695,-466.4139,0.693406,0.069436,-0.020867,0.716890,1.534564,0.153668,-0.046181,0.124544,-0.396935,0.306590,3.019392,-0.137705,0.084958
120,1769798209903,1.333350,592.6852,261.5548,-466.3218,0.693437,0.069261,-0.020714,0.716882,1.534637,0.153281,-0.045842,0.124423,-0.396980,0.306602,3.019313,-0.138223,0.084983
121,1769798209914,1.344461,592.5283,261.5336,-466.1749,0.693466,0.069104,-0.020533,0.716874,1.534706,0.152935,-0.045443,0.124089,-0.397083,0.306612,3.019198,-0.139472,0.084898
122,1769798209925,1.355573,592.3528,261.6067,-466.1064,0.693411,0.068852,-0.020300,0.716958,1.534534,0.152372,-0.044925,0.123907,-0.397143,0.306585,3.019229,-0.140107,0.084789
123,1769798209936,1.366684,592.0526,261.5916,-466.0887,0.693429,0.068585,-0.020026,0.716974,1.534566,0.151780,-0.044317,0.123722,-0.397191,0.306600,3.019170,-0.140856,0.084798
124,1769798209947,1.377795,591.8098,261.5984,-466.0546,0.693435,0.068325,-0.019853,0.716997,1.534565,0.151202,-0.043934,0.123291,-0.397333,0.306588,3.019075,-0.142540,0.084737
