FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
0,1769790310567,0.000000,607.4310,230.4615,-429.4046,0.679140,0.129389,-0.057713,0.720206,1.501081,0.285985,-0.127561,0.141100,-0.438576,0.276290,3.000544,0.058806,0.140084,607.714752,230.525195,-429.427990,0.679231,0.129529,-0.058016,0.720071
1,1769790310578,0.011111,607.9141,230.6108,-429.5479,0.679228,0.129680,-0.058207,0.720030,1.501376,0.286647,-0.128662,0.141699,-0.438301,0.276560,2.999940,0.060882,0.140148,607.874043,230.563686,-429.584652,0.679233,0.129682,-0.058143,0.720031
2,1769790310589,0.022223,608.4792,230.6863,-429.8686,0.679174,0.130123,-0.058601,0.719970,1.501291,0.287633,-0.129537,0.142078,-0.438144,0.276725,2.999580,0.062159,0.140279,608.349038,230.724252,-429.919390,0.679135,0.130078,-0.058501,0.720022
3,1769790310600,0.033334,608.9629,230.9122,-430.4077,0.678980,0.130629,-0.058939,0.720034,1.500826,0.288745,-0.130280,0.142428,-0.437985,0.276876,2.999228,0.063422,0.140294,609.014652,230.932929,-430.282471,0.678865,0.130607,-0.058938,0.720146
4,1769790310611,0.044445,609.5888,231.2607,-430.6632,0.678433,0.131092,-0.059287,0.720436,1.499385,0.289722,-0.131028,0.143180,-0.437633,0.277217,2.998491,0.066018,0.140423,609.610029,231.154733,-430.601110,0.678461,0.131092,-0.059258,0.720412
5,1769790310622,0.055556,610.2589,231.3389,-430.8071,0.677943,0.131576,-0.059573,0.720786,1.498100,0.290753,-0.131643,0.143556,-0.437467,0.277370,2.998131,0.067317,0.140434,610.177629,231.416376,-430.899610,0.678084,0.131552,-0.059619,0.720653
6,1769790310633,0.066668,610.7488,231.7010,-431.1843,0.677785,0.131969,-0.060062,0.720822,1.497730,0.291618,-0.132723,0.143977,-0.437267,0.277550,2.997741,0.068788,0.140551,610.743190,231.730771,-431.243324,0.677786,0.131982,-0.060108,0.720814
7,1769790310644,0.077779,611.2488,232.0112,-431.6854,0.677651,0.132424,-0.060619,0.720818,1.497437,0.292624,-0.133954,0.144836,-0.436880,0.277921,2.996895,0.071771,0.140664,611.360452,232.012619,-431.666419,0.677572,0.132436,-0.060611,0.720890
8,1769790310655,0.088890,611.8922,232.3981,-432.1925,0.677340,0.132856,-0.061284,0.720975,1.496659,0.293561,-0.135414,0.145261,-0.436680,0.278109,2.996471,0.073266,0.140709,611.882395,232.282181,-432.106324,0.677303,0.132874,-0.061184,0.721014
9,1769790310667,0.100001,612.5990,232.4067,-432.4435,0.676950,0.133375,-0.061579,0.721220,1.495658,0.294680,-0.136054,0.146096,-0.436310,0.278506,2.995565,0.076217,0.140874,612.404033,232.449800,-432.479057,0.676944,0.133310,-0.061694,0.721228
10,1769790310678,0.111113,612.7071,232.5617,-432.7446,0.676547,0.133720,-0.062229,0.721478,1.494620,0.295413,-0.137476,0.146489,-0.436128,0.278703,2.995118,0.077553,0.140935,612.884667,232.614767,-432.762905,0.676604,0.133761,-0.062144,0.721424
11,1769790310689,0.122224,613.3259,232.7393,-433.0303,0.676368,0.134169,-0.062519,0.721538,1.494189,0.296398,-0.138114,0.146864,-0.435950,0.278863,2.994739,0.078856,0.140974,613.304186,232.740633,-432.991771,0.676426,0.134223,-0.062544,0.721470
12,1769790310700,0.133335,613.7653,233.0047,-433.2227,0.676317,0.134710,-0.062927,0.721450,1.494126,0.297604,-0.139019,0.147543,-0.435631,0.279138,2.994143,0.081218,0.141096,613.724543,232.923433,-433.233714,0.676325,0.134649,-0.062946,0.721451
