FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
0,1769790335356,0.000000,604.4683,230.6611,-424.9742,0.684569,0.134231,-0.064277,0.713593,1.516931,0.297440,-0.142431,0.137504,-0.440339,0.275903,3.016208,0.082245,0.138629,604.522300,230.709205,-424.790248,0.684541,0.134496,-0.064504,0.713550
1,1769790335367,0.011112,604.5193,230.7222,-424.6793,0.684498,0.134708,-0.064761,0.713528,1.516811,0.298506,-0.143508,0.137575,-0.440313,0.275970,3.016634,0.083854,0.138714,604.565790,230.703567,-424.770324,0.684522,0.134673,-0.064706,0.713516
2,1769790335378,0.022223,604.7823,230.7870,-424.6687,0.684587,0.135208,-0.065211,0.713308,1.517136,0.299639,-0.144517,0.137702,-0.440267,0.276172,3.017356,0.087225,0.138608,604.674095,230.771962,-424.660110,0.684528,0.135101,-0.065219,0.713383
3,1769790335389,0.033334,604.8088,230.7807,-424.5970,0.684529,0.135737,-0.065938,0.713196,1.517073,0.300824,-0.146134,0.137782,-0.440226,0.276225,3.017860,0.089021,0.138613,604.813124,230.830505,-424.550310,0.684548,0.135726,-0.065858,0.713186
4,1769790335400,0.044445,604.8384,230.9519,-424.4636,0.684681,0.136192,-0.066554,0.712906,1.517580,0.301866,-0.147516,0.137839,-0.440198,0.276331,3.018268,0.090737,0.138589,604.921767,230.859110,-424.610733,0.684766,0.136250,-0.066509,0.712817
5,1769790335411,0.055557,605.0851,230.8549,-424.7156,0.684968,0.136929,-0.067023,0.712445,1.518484,0.303553,-0.148582,0.137986,-0.440117,0.276501,3.019225,0.094446,0.138550,605.002948,230.918124,-424.660319,0.685019,0.136850,-0.067167,0.712397
6,1769790335422,0.066668,605.0934,230.9334,-424.8263,0.685522,0.137383,-0.067963,0.711735,1.520129,0.304643,-0.150708,0.138059,-0.440092,0.276577,3.019685,0.096492,0.138408,605.125062,230.944543,-424.728562,0.685356,0.137479,-0.067815,0.711890
7,1769790335433,0.077779,605.2318,231.0762,-424.7109,0.685498,0.138218,-0.068473,0.711547,1.520186,0.306518,-0.151848,0.138159,-0.440043,0.276648,3.020191,0.098520,0.138468,605.239224,230.987690,-424.772910,0.685590,0.138137,-0.068564,0.711466
8,1769790335444,0.088890,605.3409,231.0061,-424.7341,0.685751,0.138775,-0.069282,0.711117,1.520998,0.307805,-0.153667,0.138345,-0.439971,0.276820,3.021137,0.102756,0.138460,605.288448,231.086038,-424.806019,0.685646,0.138793,-0.069300,0.711213
9,1769790335456,0.100001,605.4246,231.2988,-424.7212,0.685601,0.139470,-0.070114,0.711044,1.520710,0.309355,-0.155518,0.138438,-0.439944,0.276906,3.021620,0.105038,0.138401,605.443248,231.284286,-424.694671,0.685616,0.139513,-0.069969,0.711036
