FrameNumber,Source_X_mm,Source_Y_mm,Source_Z_mm,Transformed_X_mm,Transformed_Y_mm,Transformed_Z_mm,Target_X_mm,Target_Y_mm,Target_Z_mm,Error_mm
0,87.695510,527.653600,-390.146500,99.087360,528.663800,-392.477400,104.410800,537.333700,-391.988300,10.185560000
1,87.978520,527.630200,-390.257000,99.369100,528.623400,-392.586300,104.583200,537.258000,-392.029700,10.102090000
2,87.855100,527.562000,-390.125800,99.242260,528.565200,-392.453600,104.839900,537.286100,-392.174700,10.366630000
3,87.896090,527.664300,-390.119600,99.288170,528.665400,-392.450200,104.905900,537.295700,-392.160800,10.301600000
4,87.866040,527.600700,-390.007800,99.254850,528.606700,-392.336700,104.938000,537.166300,-392.173000,10.275690000
5,88.079830,527.511000,-389.830800,99.463710,528.512000,-392.156500,105.060000,537.214700,-392.160900,10.346740000
6,87.801760,527.552400,-389.470200,99.187330,528.577500,-391.798100,105.227000,537.254100,-392.045500,10.574640000
7,87.618740,527.970000,-390.031700,99.025890,528.986800,-392.372200,104.971000,537.209500,-392.036300,10.152370000
8,87.743140,527.610200,-389.060300,99.130870,528.650000,-391.390300,105.029600,537.243200,-391.930400,10.436870000
9,87.952830,527.728300,-388.732400,99.345470,528.767300,-391.065300,105.044700,537.114200,-391.780400,10.132230000
10,87.660670,527.556600,-388.425100,99.044740,528.619200,-390.754100,105.216900,537.298100,-392.675700,10.821770000
11,87.477260,527.575500,-387.539800,98.860890,528.673000,-389.870300,104.654700,536.351000,-393.421400,10.253280000
12,87.367080,527.527600,-386.513800,98.746650,528.660600,-388.843700,104.630500,536.778300,-393.202600,10.932360000
13,87.043690,527.543900,-385.209900,98.422100,528.731100,-387.541900,104.539100,537.025300,-394.283700,12.315200000
14,87.090130,527.460600,-384.320500,98.462830,528.671800,-386.650200,103.897100,536.593300,-395.407400,12.998800000
15,86.642560,527.406300,-383.735700,98.012080,528.656500,-386.065600,103.707500,536.919400,-396.151800,14.228370000
16,86.626910,527.424100,-383.475800,97.996860,528.682700,-385.806400,103.875600,537.104700,-396.231800,14.634810000
17,86.646610,527.434700,-382.818900,98.015880,528.711600,-385.150000,103.588400,537.043900,-396.259900,14.963670000
18,86.355780,527.492500,-381.823500,97.726420,528.812700,-384.157700,103.284000,536.789400,-396.418800,15.647650000
19,86.217190,527.442400,-380.739800,97.583610,528.801300,-383.073400,103.059300,536.597400,-395.761700,15.866800000
20,86.176670,527.353800,-379.643500,97.536840,528.747000,-381.975100,102.976300,536.450600,-395.297300,16.322160000
21,85.871800,527.383500,-378.360900,97.231470,528.829200,-380.694900,102.874400,536.825600,-395.103800,17.418390000
