FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770206752030,0.000000,-101.9695,535.4329,-739.1548,0.749332,-0.171667,0.233739,0.595314,1.740479,-0.398733,0.542907,0.196975,0.284797,0.555693,-2.571411,1.395100,-0.244732
1,1770206752041,0.011204,-101.8432,535.3593,-739.2144,0.749306,-0.171623,0.233724,0.595365,1.740382,-0.398622,0.542862,0.196975,0.284797,0.555693,-2.571411,1.395100,-0.244732
2,1770206752052,0.022367,-101.8212,535.3076,-739.2430,0.749295,-0.171615,0.233733,0.595377,1.740349,-0.398601,0.542879,0.196978,0.284803,0.555699,-2.571437,1.395138,-0.244742
3,1770206752063,0.033478,-101.7951,535.2349,-739.2607,0.749315,-0.171626,0.233721,0.595354,1.740411,-0.398630,0.542856,0.196978,0.284803,0.555699,-2.571437,1.395138,-0.244742
4,1770206752074,0.044662,-101.8358,535.3542,-739.2508,0.749316,-0.171671,0.233697,0.595349,1.740418,-0.398735,0.542801,0.196987,0.284810,0.555685,-2.571478,1.395094,-0.244697
5,1770206752085,0.055773,-101.8179,535.3182,-739.2703,0.749319,-0.171680,0.233698,0.595342,1.740429,-0.398758,0.542805,0.196992,0.284802,0.555686,-2.571450,1.395117,-0.244692
6,1770206752096,0.066885,-101.8574,535.4069,-739.1757,0.749340,-0.171659,0.233739,0.595305,1.740505,-0.398715,0.542909,0.196980,0.284801,0.555694,-2.571412,1.395120,-0.244723
7,1770206752107,0.077996,-101.7738,535.4519,-739.0803,0.749337,-0.171718,0.233700,0.595308,1.740495,-0.398852,0.542817,0.196980,0.284801,0.555694,-2.571412,1.395120,-0.244723
8,1770206752119,0.089107,-101.7789,535.4692,-739.1011,0.749332,-0.171714,0.233710,0.595311,1.740482,-0.398843,0.542840,0.196977,0.284787,0.555702,-2.571392,1.395128,-0.244720
9,1770206752130,0.100218,-101.8764,535.6093,-738.9102,0.749366,-0.171737,0.233750,0.595246,1.740606,-0.398905,0.542949,0.197002,0.284816,0.555681,-2.571531,1.395120,-0.244666
10,1770206752141,0.111330,-101.8782,535.5983,-738.8954,0.749363,-0.171747,0.233753,0.595246,1.740600,-0.398929,0.542956,0.196978,0.284798,0.555700,-2.571410,1.395164,-0.244748
11,1770206752152,0.122441,-101.8752,535.5865,-738.8781,0.749366,-0.171731,0.233753,0.595246,1.740608,-0.398892,0.542955,0.196977,0.284795,0.555698,-2.571387,1.395150,-0.244746
12,1770206752163,0.133552,-102.0795,535.5200,-739.0344,0.749353,-0.171643,0.233802,0.595269,1.740561,-0.398684,0.543065,0.196995,0.284800,0.555691,-2.571443,1.395153,-0.244685
13,1770206752174,0.144664,-101.9828,535.5189,-739.2123,0.749325,-0.171601,0.233900,0.595278,1.740489,-0.398585,0.543289,0.196973,0.284797,0.555701,-2.571404,1.395119,-0.244746
14,1770206752185,0.155775,-101.9812,535.4885,-739.2426,0.749328,-0.171606,0.233901,0.595272,1.740500,-0.398598,0.543294,0.196963,0.284785,0.555706,-2.571363,1.395079,-0.244786
15,1770206752196,0.166886,-101.9780,535.4609,-739.2658,0.749332,-0.171607,0.233899,0.595268,1.740511,-0.398600,0.543289,0.196998,0.284801,0.555691,-2.571431,1.395172,-0.244726
16,1770206752207,0.177997,-101.8218,535.6451,-739.2849,0.749348,-0.171604,0.233887,0.595253,1.740561,-0.398597,0.543266,0.196977,0.284803,0.555691,-2.571446,1.395059,-0.244727
17,1770206752219,0.189108,-101.7960,535.6453,-739.2982,0.749348,-0.171598,0.233865,0.595264,1.740552,-0.398581,0.543211,0.196981,0.284791,0.555696,-2.571393,1.395092,-0.244753
18,1770206752230,0.200219,-101.7209,535.7672,-739.1721,0.749335,-0.171595,0.233860,0.595283,1.740509,-0.398569,0.543196,0.196982,0.284796,0.555692,-2.571428,1.395114,-0.244764
19,1770206752241,0.211331,-101.6812,535.7712,-739.1625,0.749339,-0.171618,0.233846,0.595276,1.740524,-0.398625,0.543165,0.196983,0.284803,0.555696,-2.571431,1.395110,-0.244718
20,1770206752252,0.222442,-101.8087,535.6908,-739.0244,0.749389,-0.171563,0.233832,0.595235,1.740668,-0.398503,0.543142,0.196998,0.284805,0.555685,-2.571447,1.395140,-0.244726
21,1770206752263,0.233553,-101.9260,535.5817,-738.8828,0.749462,-0.171480,0.233839,0.595165,1.740888,-0.398322,0.543173,0.196994,0.284796,0.555687,-2.571410,1.395178,-0.244715
22,1770206752274,0.244665,-101.9155,535.5546,-738.8392,0.749458,-0.171490,0.233830,0.595170,1.740876,-0.398344,0.543150,0.196983,0.284817,0.555686,-2.571505,1.395088,-0.244678
23,1770206752285,0.255776,-102.0088,535.4124,-738.9076,0.749438,-0.171475,0.233923,0.595164,1.740832,-0.398311,0.543369,0.196975,0.284803,0.555697,-2.571458,1.395068,-0.244736
24,1770206752296,0.266887,-101.8924,535.5020,-739.0289,0.749459,-0.171414,0.233899,0.595164,1.740882,-0.398170,0.543311,0.196997,0.284814,0.555685,-2.571488,1.395180,-0.244681
25,1770206752307,0.277998,-101.8471,535.5692,-739.0823,0.749443,-0.171507,0.233880,0.595164,1.740845,-0.398385,0.543268,0.196995,0.284809,0.555689,-2.571488,1.395116,-0.244669
26,1770206752319,0.289110,-101.8277,535.5497,-739.0768,0.749441,-0.171528,0.233857,0.595170,1.740835,-0.398432,0.543213,0.196983,0.284802,0.555693,-2.571450,1.395100,-0.244713
27,1770206752330,0.300221,-101.9680,535.5537,-739.0840,0.749408,-0.171551,0.233856,0.595206,1.740732,-0.398480,0.543204,0.197000,0.284798,0.555688,-2.571426,1.395164,-0.244694
28,1770206752341,0.311332,-101.7932,535.5232,-739.0677,0.749416,-0.171546,0.233797,0.595220,1.740741,-0.398467,0.543063,0.196999,0.284804,0.555687,-2.571455,1.395142,-0.244703
29,1770206752352,0.322443,-101.8168,535.6447,-739.1785,0.749403,-0.171548,0.233821,0.595227,1.740707,-0.398469,0.543116,0.196976,0.284791,0.555699,-2.571427,1.395067,-0.244723
30,1770206752363,0.333554,-101.9230,535.5350,-739.0942,0.749396,-0.171546,0.233757,0.595261,1.740666,-0.398459,0.542962,0.196987,0.284793,0.555692,-2.571390,1.395151,-0.244753
31,1770206752374,0.344666,-101.9163,535.5492,-739.0792,0.749360,-0.171577,0.233773,0.595291,1.740560,-0.398527,0.542991,0.196969,0.284789,0.555701,-2.571366,1.395120,-0.244769
32,1770206752385,0.355777,-101.9015,535.5780,-739.0512,0.749338,-0.171584,0.233698,0.595347,1.740469,-0.398535,0.542805,0.197000,0.284811,0.555684,-2.571456,1.395145,-0.244715
33,1770206752396,0.366888,-101.9353,535.5365,-739.0348,0.749336,-0.171622,0.233698,0.595337,1.740473,-0.398623,0.542808,0.196991,0.284793,0.555697,-2.571379,1.395227,-0.244752
34,1770206752407,0.377999,-101.7953,535.5704,-739.1083,0.749304,-0.171696,0.233671,0.595367,1.740377,-0.398791,0.542738,0.196978,0.284799,0.555694,-2.571403,1.395136,-0.244721
35,1770206752419,0.389111,-101.8549,535.6240,-739.1387,0.749287,-0.171624,0.233705,0.595396,1.740316,-0.398618,0.542809,0.196967,0.284785,0.555705,-2.571342,1.395150,-0.244792
36,1770206752430,0.400222,-101.9610,535.6069,-739.1613,0.749269,-0.171667,0.233703,0.595408,1.740265,-0.398716,0.542802,0.196982,0.284786,0.555699,-2.571388,1.395121,-0.244687
37,1770206752441,0.411333,-102.0291,535.5636,-739.0648,0.749270,-0.171671,0.233698,0.595406,1.740270,-0.398726,0.542791,0.196991,0.284805,0.555685,-2.571485,1.395120,-0.244712
38,1770206752452,0.422444,-102.0749,535.5311,-739.0925,0.749258,-0.171719,0.233672,0.595418,1.740232,-0.398837,0.542729,0.197002,0.284808,0.555683,-2.571497,1.395118,-0.244649
39,1770206752463,0.433555,-101.9562,535.4194,-739.1516,0.749247,-0.171676,0.233763,0.595408,1.740216,-0.398739,0.542941,0.196995,0.284801,0.555691,-2.571455,1.395142,-0.244703
40,1770206752474,0.444666,-101.9062,535.3248,-739.1643,0.749248,-0.171642,0.233786,0.595409,1.740216,-0.398658,0.542995,0.196979,0.284790,0.555699,-2.571395,1.395132,-0.244736
41,1770206752485,0.455778,-101.7796,535.3661,-739.2693,0.749239,-0.171681,0.233812,0.595398,1.740203,-0.398750,0.543059,0.196973,0.284788,0.555700,-2.571395,1.395095,-0.244769
