FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770215154972,0.000000,-26.8420,538.0578,-755.0676,0.690306,-0.238281,0.262628,0.630655,1.580458,-0.545546,0.601286,0.276296,0.273448,0.558288,-2.582713,1.641777,-0.147091
1,1770215154983,0.011112,-26.6690,538.0148,-755.0074,0.690349,-0.238259,0.262594,0.630632,1.580570,-0.545499,0.601214,0.276289,0.273451,0.558294,-2.582676,1.641753,-0.147081
2,1770215154994,0.022223,-26.5334,538.1789,-755.1649,0.690317,-0.238243,0.262578,0.630679,1.580467,-0.545453,0.601168,0.276289,0.273436,0.558306,-2.582639,1.641774,-0.147102
3,1770215155005,0.033334,-26.4502,537.9943,-755.0972,0.690353,-0.238291,0.262579,0.630621,1.580585,-0.545576,0.601182,0.276283,0.273441,0.558304,-2.582685,1.641761,-0.147116
4,1770215155016,0.044445,-26.5672,538.1197,-755.0602,0.690370,-0.238305,0.262505,0.630628,1.580622,-0.545605,0.601011,0.276308,0.273451,0.558276,-2.582704,1.641790,-0.147049
5,1770215155027,0.055557,-26.7432,538.1531,-755.1221,0.690376,-0.238304,0.262504,0.630622,1.580639,-0.545604,0.601012,0.276292,0.273436,0.558300,-2.582635,1.641791,-0.147075
6,1770215155038,0.066668,-26.9414,538.2009,-755.1918,0.690360,-0.238313,0.262522,0.630629,1.580597,-0.545623,0.601052,0.276309,0.273445,0.558283,-2.582655,1.641849,-0.147098
7,1770215155049,0.077779,-26.9108,538.1014,-755.1634,0.690386,-0.238252,0.262433,0.630660,1.580638,-0.545478,0.600839,0.276293,0.273438,0.558295,-2.582648,1.641779,-0.147092
8,1770215155060,0.088890,-27.1091,538.1158,-755.2470,0.690402,-0.238238,0.262424,0.630651,1.580681,-0.545448,0.600821,0.276264,0.273438,0.558320,-2.582609,1.641756,-0.147123
9,1770215155072,0.100001,-26.8738,537.8845,-755.3519,0.690358,-0.238186,0.262356,0.630748,1.580517,-0.545308,0.600641,0.276286,0.273441,0.558301,-2.582633,1.641792,-0.147115
10,1770215155083,0.111113,-27.0830,537.8643,-755.4513,0.690371,-0.238170,0.262355,0.630740,1.580551,-0.545272,0.600641,0.276276,0.273430,0.558317,-2.582586,1.641765,-0.147160
