FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770215218532,0.000000,63.3176,536.3692,-104.8592,0.190327,-0.665506,0.712107,0.117391,0.556992,-1.947605,2.083984,0.142098,-0.364596,0.555811,-0.049380,3.098550,-0.172330
1,1770215218543,0.011112,63.3324,536.4069,-104.8570,0.190312,-0.665510,0.712107,0.117394,0.556948,-1.947613,2.083979,0.142085,-0.364609,0.555801,-0.049287,3.098552,-0.172329
2,1770215218554,0.022223,63.3459,536.4413,-104.8536,0.190310,-0.665514,0.712105,0.117387,0.556943,-1.947633,2.083982,0.142091,-0.364608,0.555807,-0.049342,3.098568,-0.172295
3,1770215218565,0.033334,63.1883,536.3480,-104.9825,0.190318,-0.665481,0.712132,0.117397,0.556965,-1.947525,2.084048,0.142099,-0.364583,0.555822,-0.049305,3.098565,-0.172405
4,1770215218576,0.044445,63.0977,536.2889,-104.9793,0.190282,-0.665525,0.712099,0.117410,0.556855,-1.947638,2.083937,0.142092,-0.364604,0.555806,-0.049344,3.098535,-0.172365
5,1770215218587,0.055557,63.0805,536.2932,-104.9388,0.190268,-0.665500,0.712126,0.117404,0.556815,-1.947574,2.084023,0.142104,-0.364599,0.555809,-0.049379,3.098563,-0.172312
6,1770215218598,0.066668,63.2715,536.2411,-104.8992,0.190230,-0.665498,0.712137,0.117417,0.556701,-1.947553,2.084038,0.142097,-0.364591,0.555811,-0.049344,3.098541,-0.172401
7,1770215218609,0.077779,63.3041,536.3288,-104.8979,0.190193,-0.665521,0.712124,0.117420,0.556592,-1.947617,2.084000,0.142089,-0.364601,0.555810,-0.049287,3.098549,-0.172346
8,1770215218620,0.088891,63.3317,536.3797,-104.9257,0.190135,-0.665488,0.712170,0.117427,0.556418,-1.947511,2.084124,0.142101,-0.364601,0.555808,-0.049342,3.098574,-0.172332
9,1770215218632,0.100002,63.3225,536.3734,-104.9640,0.190151,-0.665477,0.712170,0.117466,0.556454,-1.947435,2.084076,0.142094,-0.364586,0.555822,-0.049364,3.098518,-0.172398
10,1770215218643,0.111113,63.3506,536.4138,-104.9833,0.190139,-0.665476,0.712173,0.117465,0.556419,-1.947434,2.084088,0.142101,-0.364598,0.555813,-0.049361,3.098570,-0.172370
11,1770215218654,0.122224,63.3730,536.4619,-105.0002,0.190146,-0.665461,0.712186,0.117464,0.556438,-1.947392,2.084125,0.142089,-0.364585,0.555824,-0.049324,3.098557,-0.172387
12,1770215218665,0.133336,63.3649,536.5884,-104.9858,0.190141,-0.665465,0.712190,0.117423,0.556438,-1.947450,2.084188,0.142097,-0.364593,0.555815,-0.049381,3.098546,-0.172366
13,1770215218676,0.144447,63.2877,536.4006,-104.9319,0.190173,-0.665439,0.712204,0.117434,0.556529,-1.947360,2.084216,0.142091,-0.364591,0.555824,-0.049305,3.098571,-0.172369
14,1770215218687,0.155558,63.2690,536.4387,-104.9333,0.190222,-0.665533,0.712102,0.117440,0.556670,-1.947628,2.083910,0.142100,-0.364588,0.555818,-0.049324,3.098563,-0.172423
15,1770215218698,0.166669,63.3050,536.4252,-104.9066,0.190235,-0.665519,0.712108,0.117466,0.556699,-1.947559,2.083895,0.142079,-0.364593,0.555820,-0.049270,3.098545,-0.172403
16,1770215218709,0.177780,63.3304,536.4846,-104.9250,0.190239,-0.665499,0.712127,0.117451,0.556715,-1.947519,2.083972,0.142093,-0.364605,0.555807,-0.049306,3.098541,-0.172306
17,1770215218720,0.188892,63.3564,536.4963,-105.0388,0.190229,-0.665491,0.712137,0.117457,0.556685,-1.947487,2.083992,0.142101,-0.364613,0.555795,-0.049302,3.098604,-0.172280
18,1770215218732,0.200003,63.3854,536.5551,-105.0759,0.190241,-0.665490,0.712134,0.117460,0.556718,-1.947481,2.083979,0.142094,-0.364591,0.555817,-0.049306,3.098554,-0.172404
19,1770215218743,0.211114,63.2770,536.5173,-104.9780,0.190208,-0.665507,0.712135,0.117409,0.556639,-1.947587,2.084043,0.142084,-0.364597,0.555817,-0.049213,3.098547,-0.172362
20,1770215218754,0.222226,63.2805,536.4299,-104.9252,0.190215,-0.665512,0.712127,0.117419,0.556655,-1.947592,2.084009,0.142094,-0.364592,0.555813,-0.049343,3.098558,-0.172367
21,1770215218765,0.233337,63.2901,536.4796,-104.9200,0.190190,-0.665526,0.712119,0.117429,0.556579,-1.947621,2.083973,0.142092,-0.364597,0.555811,-0.049306,3.098540,-0.172305
22,1770215218776,0.244448,63.2461,536.4810,-104.8552,0.190208,-0.665505,0.712140,0.117396,0.556643,-1.947595,2.084074,0.142098,-0.364600,0.555807,-0.049361,3.098550,-0.172329
23,1770215218787,0.255560,63.1506,536.4938,-104.7574,0.190202,-0.665514,0.712135,0.117379,0.556629,-1.947642,2.084079,0.142091,-0.364605,0.555803,-0.049363,3.098527,-0.172326
24,1770215218798,0.266671,63.2260,536.7012,-104.8010,0.190194,-0.665451,0.712196,0.117385,0.556605,-1.947449,2.084249,0.142094,-0.364607,0.555803,-0.049285,3.098585,-0.172354
25,1770215218809,0.277782,63.2287,536.4789,-104.8320,0.190287,-0.665461,0.712160,0.117392,0.556874,-1.947471,2.084138,0.142095,-0.364600,0.555803,-0.049304,3.098566,-0.172292
26,1770215218820,0.288893,63.2615,536.3624,-104.8187,0.190286,-0.665485,0.712144,0.117350,0.556887,-1.947591,2.084141,0.142096,-0.364590,0.555818,-0.049326,3.098533,-0.172362
27,1770215218832,0.300005,63.2799,536.3839,-104.8092,0.190292,-0.665491,0.712135,0.117368,0.556898,-1.947586,2.084093,0.142092,-0.364595,0.555812,-0.049325,3.098535,-0.172363
28,1770215218843,0.311116,63.3067,536.4026,-104.7995,0.190291,-0.665472,0.712153,0.117362,0.556896,-1.947539,2.084153,0.142097,-0.364600,0.555804,-0.049381,3.098538,-0.172327
29,1770215218854,0.322227,63.3314,536.4329,-104.7898,0.190298,-0.665477,0.712145,0.117378,0.556912,-1.947534,2.084108,0.142096,-0.364598,0.555810,-0.049325,3.098535,-0.172343
30,1770215218865,0.333338,63.3988,536.4510,-104.7690,0.190280,-0.665480,0.712150,0.117359,0.556864,-1.947564,2.084147,0.142081,-0.364595,0.555819,-0.049231,3.098559,-0.172385
31,1770215218876,0.344450,63.3159,536.2835,-104.9543,0.190285,-0.665473,0.712155,0.117355,0.556881,-1.947550,2.084167,0.142098,-0.364596,0.555811,-0.049343,3.098545,-0.172365
32,1770215218887,0.355561,63.2265,536.2148,-104.7950,0.190328,-0.665495,0.712127,0.117336,0.557012,-1.947633,2.084106,0.142094,-0.364609,0.555801,-0.049305,3.098556,-0.172272
33,1770215218898,0.366672,63.2787,536.3322,-104.8564,0.190351,-0.665460,0.712145,0.117385,0.557065,-1.947477,2.084101,0.142107,-0.364588,0.555820,-0.049380,3.098556,-0.172365
34,1770215218909,0.377784,63.3855,536.4047,-104.9028,0.190290,-0.665463,0.712154,0.117411,0.556878,-1.947456,2.084098,0.142093,-0.364597,0.555809,-0.049343,3.098549,-0.172347
35,1770215218920,0.388895,63.4552,536.3080,-105.0565,0.190286,-0.665434,0.712178,0.117438,0.556856,-1.947342,2.084133,0.142102,-0.364590,0.555813,-0.049399,3.098543,-0.172385
36,1770215218932,0.400006,63.4954,536.4520,-105.1437,0.190304,-0.665419,0.712189,0.117426,0.556914,-1.947310,2.084182,0.142117,-0.364596,0.555807,-0.049398,3.098559,-0.172309
37,1770215218943,0.411117,63.5494,536.5219,-105.2029,0.190296,-0.665416,0.712193,0.117434,0.556888,-1.947294,2.084182,0.142113,-0.364596,0.555804,-0.049416,3.098563,-0.172292
38,1770215218954,0.422228,63.3749,536.5031,-104.9383,0.190356,-0.665498,0.712106,0.117398,0.557074,-1.947574,2.083972,0.142122,-0.364582,0.555818,-0.049435,3.098563,-0.172386
39,1770215218965,0.433339,63.2573,536.5842,-105.0485,0.190366,-0.665474,0.712121,0.117428,0.557095,-1.947469,2.083979,0.142135,-0.364577,0.555818,-0.049472,3.098560,-0.172383
