FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207763632,0,213.354,376.238,461.763,0.69411,-0.144431,0.152125,0.688628,1.553031,-0.323155,0.340371,0.213354,0.376238,0.461763,-2.861046,1.254806,-0.088332
1,1770207763643,0.011111,213.349,376.223,461.775,0.694107,-0.144427,0.152123,0.688633,1.55302,-0.323146,0.340365,0.213349,0.376223,0.461775,-2.860965,1.254772,-0.088284
2,1770207763654,0.022223,213.344,376.243,461.76,0.694117,-0.144371,0.152095,0.688641,1.553039,-0.32302,0.340301,0.213344,0.376243,0.46176,-2.861046,1.254745,-0.088286
3,1770207763665,0.033334,213.363,376.234,461.76,0.6941,-0.144382,0.15209,0.688656,1.552992,-0.323042,0.340289,0.213363,0.376234,0.46176,-2.861015,1.254793,-0.088293
4,1770207763676,0.044445,213.34,376.237,461.776,0.694082,-0.144385,0.152087,0.688675,1.552939,-0.323047,0.34028,0.21334,0.376237,0.461776,-2.861022,1.254735,-0.088281
5,1770207763687,0.055557,213.354,376.228,461.77,0.694053,-0.14441,0.152099,0.688696,1.552862,-0.323101,0.340303,0.213354,0.376228,0.46177,-2.861004,1.254768,-0.088265
6,1770207763698,0.066668,213.365,376.227,461.765,0.69406,-0.144411,0.152107,0.688687,1.552883,-0.323103,0.340324,0.213365,0.376227,0.461765,-2.860986,1.254821,-0.088282
7,1770207763709,0.077779,213.353,376.24,461.756,0.694084,-0.14441,0.152124,0.68866,1.552952,-0.323105,0.340364,0.213353,0.37624,0.461756,-2.861069,1.254734,-0.088298
8,1770207763720,0.088891,213.352,376.246,461.754,0.69411,-0.144423,0.152092,0.688638,1.553025,-0.323136,0.340296,0.213352,0.376246,0.461754,-2.861068,1.254734,-0.088297
9,1770207763732,0.100002,213.357,376.23,461.775,0.694154,-0.14443,0.152086,0.688593,1.55315,-0.323158,0.340289,0.213357,0.37623,0.461775,-2.861026,1.254778,-0.088311
10,1770207763743,0.111113,213.361,376.241,461.76,0.694116,-0.144398,0.152064,0.688642,1.553036,-0.32308,0.340232,0.213361,0.376241,0.46176,-2.861046,1.254785,-0.088297
11,1770207763754,0.122224,213.369,376.24,461.759,0.694139,-0.144402,0.152048,0.688622,1.5531,-0.323091,0.340198,0.213369,0.37624,0.461759,-2.861039,1.254824,-0.088333
12,1770207763765,0.133335,213.347,376.241,461.767,0.694159,-0.144421,0.152039,0.6886,1.553157,-0.323137,0.340181,0.213347,0.376241,0.461767,-2.861037,1.254721,-0.088317
13,1770207763776,0.144447,213.369,376.251,461.747,0.694165,-0.144431,0.152041,0.688591,1.553176,-0.323161,0.340188,0.213369,0.376251,0.461747,-2.861092,1.254804,-0.088289
14,1770207763787,0.155558,213.356,376.239,461.762,0.694189,-0.144433,0.15204,0.688567,1.553244,-0.323169,0.340189,0.213356,0.376239,0.461762,-2.861051,1.254726,-0.088269
15,1770207763798,0.166669,213.347,376.232,461.771,0.694193,-0.144457,0.152081,0.688549,1.553265,-0.323224,0.340284,0.213347,0.376232,0.461771,-2.861015,1.254732,-0.088306
16,1770207763809,0.177781,213.354,376.236,461.764,0.694165,-0.144454,0.152054,0.688584,1.553179,-0.323213,0.340219,0.213354,0.376236,0.461764,-2.861047,1.254766,-0.088322
17,1770207763820,0.188892,213.345,376.24,461.765,0.69415,-0.144487,0.15211,0.68858,1.553148,-0.323288,0.340344,0.213345,0.37624,0.461765,-2.861029,1.254738,-0.088317
18,1770207763832,0.200003,213.349,376.241,461.766,0.694168,-0.144479,0.152117,0.688561,1.553201,-0.323272,0.340362,0.213349,0.376241,0.461766,-2.861054,1.254728,-0.088286
19,1770207763843,0.211114,213.359,376.237,461.762,0.694139,-0.144488,0.152167,0.688578,1.553125,-0.32329,0.34047,0.213359,0.376237,0.461762,-2.861025,1.254797,-0.088286
20,1770207763854,0.222226,213.361,376.239,461.761,0.694145,-0.144504,0.152164,0.688569,1.553145,-0.323326,0.340466,0.213361,0.376239,0.461761,-2.861022,1.254775,-0.088293
21,1770207763865,0.233337,213.347,376.249,461.757,0.694133,-0.144477,0.152166,0.688587,1.553107,-0.323265,0.340468,0.213347,0.376249,0.461757,-2.861053,1.254768,-0.088297
22,1770207763876,0.244448,213.34,376.239,461.773,0.694133,-0.144552,0.152124,0.68858,1.553112,-0.323434,0.340374,0.21334,0.376239,0.461773,-2.861021,1.254776,-0.088351
23,1770207763887,0.255559,213.36,376.236,461.759,0.694154,-0.144602,0.152092,0.688555,1.553174,-0.323547,0.340306,0.21336,0.376236,0.461759,-2.861021,1.254795,-0.088269
24,1770207763898,0.266671,213.373,376.247,461.747,0.694143,-0.144596,0.152116,0.688562,1.553145,-0.323535,0.34036,0.213373,0.376247,0.461747,-2.861078,1.254797,-0.088219
25,1770207763909,0.277782,213.371,376.237,461.762,0.694128,-0.144586,0.1521,0.688583,1.553099,-0.323509,0.34032,0.213371,0.376237,0.461762,-2.861035,1.254842,-0.088291
26,1770207763920,0.288893,213.346,376.247,461.758,0.694129,-0.144614,0.152086,0.688579,1.553103,-0.323571,0.340289,0.213346,0.376247,0.461758,-2.861042,1.254764,-0.088303
27,1770207763932,0.300004,213.355,376.236,461.764,0.694116,-0.144629,0.152052,0.688597,1.553064,-0.323602,0.340211,0.213355,0.376236,0.461764,-2.861018,1.254794,-0.08831
28,1770207763943,0.311116,213.35,376.235,461.763,0.694108,-0.144632,0.152054,0.688604,1.55304,-0.323608,0.340214,0.21335,0.376235,0.461763,-2.861036,1.254741,-0.088293
29,1770207763954,0.322227,213.372,376.239,461.754,0.694081,-0.144648,0.152023,0.688634,1.552963,-0.32364,0.340142,0.213372,0.376239,0.461754,-2.861065,1.254772,-0.088232
30,1770207763965,0.333338,213.352,376.244,461.76,0.694068,-0.144652,0.151996,0.688653,1.552922,-0.323646,0.34008,0.213352,0.376244,0.46176,-2.861053,1.254788,-0.088273
31,1770207763976,0.344449,213.368,376.244,461.753,0.694083,-0.144641,0.151989,0.688641,1.552963,-0.323625,0.340064,0.213368,0.376244,0.461753,-2.86103,1.254859,-0.088249
32,1770207763987,0.355561,213.345,376.232,461.772,0.694071,-0.144656,0.152001,0.688648,1.552932,-0.323656,0.34009,0.213345,0.376232,0.461772,-2.86099,1.254743,-0.088336
33,1770207763998,0.366672,213.353,376.245,461.754,0.694064,-0.144648,0.151998,0.688658,1.552909,-0.323639,0.340082,0.213353,0.376245,0.461754,-2.861039,1.254762,-0.088286
34,1770207764009,0.377783,213.343,376.233,461.768,0.694068,-0.14465,0.151974,0.688658,1.552918,-0.323641,0.340028,0.213343,0.376233,0.461768,-2.861019,1.254713,-0.088288
35,1770207764020,0.388895,213.353,376.243,461.758,0.694083,-0.144643,0.151963,0.688647,1.552959,-0.323628,0.340005,0.213353,0.376243,0.461758,-2.861036,1.25476,-0.088268
36,1770207764032,0.400006,213.352,376.24,461.768,0.694086,-0.144683,0.151981,0.688631,1.552976,-0.32372,0.340049,0.213352,0.37624,0.461768,-2.86105,1.254746,-0.088244
37,1770207764043,0.411117,213.352,376.234,461.769,0.694081,-0.144654,0.151937,0.688653,1.55295,-0.323651,0.339947,0.213352,0.376234,0.461769,-2.861003,1.254809,-0.088334
38,1770207764054,0.422228,213.358,376.241,461.76,0.694085,-0.144656,0.15193,0.688649,1.552963,-0.323657,0.339931,0.213358,0.376241,0.46176,-2.861024,1.254816,-0.088262
39,1770207764065,0.433339,213.353,376.254,461.753,0.694134,-0.144616,0.1519,0.688615,1.553091,-0.323572,0.33987,0.213353,0.376254,0.461753,-2.861089,1.254742,-0.088284
40,1770207764076,0.44445,213.354,376.243,461.767,0.694125,-0.144621,0.151894,0.688625,1.553066,-0.323582,0.339853,0.213354,0.376243,0.461767,-2.861034,1.254822,-0.088314
41,1770207764087,0.455562,213.342,376.229,461.78,0.694089,-0.144602,0.151974,0.688648,1.552971,-0.323535,0.34003,0.213342,0.376229,0.46178,-2.86099,1.254743,-0.088336
42,1770207764098,0.466673,213.356,376.234,461.765,0.6941,-0.144593,0.151957,0.688642,1.552999,-0.323517,0.339992,0.213356,0.376234,0.461765,-2.860993,1.254784,-0.088306
43,1770207764109,0.477784,213.343,376.247,461.756,0.6941,-0.144597,0.151959,0.688641,1.553,-0.323525,0.339997,0.213343,0.376247,0.461756,-2.861047,1.254704,-0.088275
44,1770207764120,0.488895,213.341,376.238,461.766,0.694108,-0.144559,0.152051,0.68862,1.553033,-0.323442,0.340207,0.213341,0.376238,0.461766,-2.861032,1.254739,-0.088275
45,1770207764132,0.500007,213.354,376.237,461.764,0.694125,-0.144544,0.152053,0.688605,1.553079,-0.323412,0.340213,0.213354,0.376237,0.461764,-2.861014,1.254813,-0.088328
46,1770207764143,0.511118,213.343,376.239,461.763,0.694096,-0.144541,0.15207,0.688632,1.552997,-0.323401,0.340248,0.213343,0.376239,0.461763,-2.861025,1.254757,-0.088334
47,1770207764154,0.522229,213.36,376.236,461.763,0.694086,-0.144512,0.152086,0.688644,1.552968,-0.323335,0.340282,0.21336,0.376236,0.461763,-2.861,1.254786,-0.088282
48,1770207764165,0.533341,213.335,376.223,461.785,0.694089,-0.14452,0.152078,0.688641,1.552975,-0.323354,0.340264,0.213335,0.376223,0.461785,-2.860951,1.254747,-0.088356
49,1770207764176,0.544452,213.361,376.221,461.769,0.694097,-0.144541,0.152056,0.688634,1.552997,-0.323401,0.340216,0.213361,0.376221,0.461769,-2.860984,1.254759,-0.088278
50,1770207764187,0.555563,213.368,376.241,461.752,0.694094,-0.144586,0.15204,0.688631,1.552993,-0.323501,0.34018,0.213368,0.376241,0.461752,-2.86105,1.254807,-0.088291
51,1770207764198,0.566674,213.356,376.244,461.756,0.694121,-0.144522,0.152078,0.688609,1.553067,-0.323363,0.340269,0.213356,0.376244,0.461756,-2.861046,1.254784,-0.088238
52,1770207764209,0.577785,213.366,376.248,461.749,0.694114,-0.144497,0.152052,0.688626,1.553041,-0.323303,0.340209,0.213366,0.376248,0.461749,-2.861077,1.254838,-0.088288
53,1770207764220,0.588896,213.36,376.245,461.758,0.694135,-0.144461,0.152036,0.688616,1.553095,-0.323225,0.340172,0.21336,0.376245,0.461758,-2.86106,1.254771,-0.088273
54,1770207764232,0.600008,213.351,376.246,461.76,0.694152,-0.144508,0.15205,0.688587,1.553149,-0.323333,0.340209,0.213351,0.376246,0.46176,-2.861056,1.25479,-0.08829
55,1770207764243,0.611119,213.36,376.236,461.771,0.694142,-0.144503,0.15205,0.688598,1.553119,-0.323321,0.340206,0.21336,0.376236,0.461771,-2.861029,1.254778,-0.088269
56,1770207764254,0.62223,213.339,376.238,461.77,0.694139,-0.144451,0.152125,0.688595,1.553116,-0.323206,0.340375,0.213339,0.376238,0.46177,-2.861032,1.254719,-0.088299
57,1770207764265,0.633341,213.344,376.238,461.769,0.694132,-0.144458,0.152127,0.688601,1.553096,-0.32322,0.340378,0.213344,0.376238,0.461769,-2.861014,1.254773,-0.088316
58,1770207764276,0.644453,213.339,376.24,461.772,0.694163,-0.144402,0.152067,0.688593,1.553171,-0.323096,0.340247,0.213339,0.37624,0.461772,-2.86104,1.254743,-0.08831
59,1770207764287,0.655564,213.358,376.234,461.77,0.694175,-0.144394,0.152054,0.688587,1.5532,-0.323079,0.340218,0.213358,0.376234,0.46177,-2.861011,1.254791,-0.088275
60,1770207764298,0.666675,213.357,376.239,461.762,0.694163,-0.144368,0.152049,0.688605,1.553164,-0.323018,0.340203,0.213357,0.376239,0.461762,-2.861065,1.254753,-0.088315
61,1770207764309,0.677787,213.353,376.226,461.775,0.694129,-0.144347,0.152094,0.688634,1.55307,-0.322968,0.3403,0.213353,0.376226,0.461775,-2.861004,1.254769,-0.088324
62,1770207764320,0.688898,213.35,376.24,461.766,0.694134,-0.144368,0.152093,0.688624,1.553087,-0.323015,0.3403,0.21335,0.37624,0.461766,-2.861043,1.254743,-0.088269
63,1770207764332,0.700009,213.348,376.231,461.777,0.694155,-0.144336,0.152116,0.688605,1.553146,-0.322947,0.340353,0.213348,0.376231,0.461777,-2.860997,1.254765,-0.088288
64,1770207764343,0.71112,213.361,376.243,461.762,0.694131,-0.144363,0.152107,0.688625,1.55308,-0.323005,0.340332,0.213361,0.376243,0.461762,-2.861045,1.254826,-0.088308
65,1770207764354,0.722231,213.358,376.234,461.775,0.694136,-0.144355,0.152083,0.688627,1.55309,-0.322987,0.340276,0.213358,0.376234,0.461775,-2.861054,1.254748,-0.088263
66,1770207764365,0.733343,213.331,376.235,461.786,0.694138,-0.14437,0.152089,0.688622,1.553096,-0.323019,0.340291,0.213331,0.376235,0.461786,-2.861041,1.254663,-0.088348
67,1770207764376,0.744454,213.34,376.22,461.796,0.694125,-0.14433,0.152117,0.688637,1.553058,-0.32293,0.340351,0.21334,0.37622,0.461796,-2.860998,1.254726,-0.088337
68,1770207764387,0.755565,213.337,376.217,461.807,0.694163,-0.144314,0.15213,0.688598,1.553168,-0.322897,0.340386,0.213337,0.376217,0.461807,-2.860983,1.254761,-0.088337
69,1770207764398,0.766677,213.342,376.208,461.822,0.694171,-0.144327,0.152135,0.688587,1.553192,-0.322928,0.340398,0.213342,0.376208,0.461822,-2.860965,1.254775,-0.088344
70,1770207764409,0.777788,213.343,376.202,461.835,0.694134,-0.14434,0.152082,0.688632,1.553082,-0.322951,0.340275,0.213343,0.376202,0.461835,-2.861015,1.254775,-0.088318
71,1770207764420,0.788899,213.318,376.174,461.878,0.694187,-0.144309,0.152132,0.688575,1.553234,-0.32289,0.340394,0.213318,0.376174,0.461878,-2.860884,1.254784,-0.088425
72,1770207764432,0.800011,213.316,376.164,461.902,0.694135,-0.144376,0.152098,0.688621,1.55309,-0.323034,0.340311,0.213316,0.376164,0.461902,-2.860859,1.254773,-0.088361
73,1770207764443,0.811122,213.315,376.134,461.938,0.694168,-0.144398,0.152064,0.688591,1.553182,-0.323087,0.340239,0.213315,0.376134,0.461938,-2.860748,1.254892,-0.088453
74,1770207764454,0.822233,213.314,376.131,461.948,0.694298,-0.144271,0.152175,0.688462,1.553552,-0.322818,0.340504,0.213314,0.376131,0.461948,-2.860777,1.254843,-0.08843
75,1770207764465,0.833345,213.292,376.125,461.983,0.694167,-0.144381,0.152114,0.688584,1.553185,-0.32305,0.340352,0.213292,0.376125,0.461983,-2.86078,1.254845,-0.088446
76,1770207764476,0.844456,213.292,376.086,462.027,0.694259,-0.144391,0.152108,0.68849,1.553448,-0.323084,0.340352,0.213292,0.376086,0.462027,-2.860681,1.254887,-0.088452
77,1770207764487,0.855567,213.266,376.04,462.088,0.694424,-0.144339,0.152129,0.68833,1.553914,-0.322988,0.340419,0.213266,0.37604,0.462088,-2.860507,1.254899,-0.088621
78,1770207764498,0.866678,213.242,375.985,462.158,0.694426,-0.144334,0.152112,0.688333,1.553918,-0.322977,0.34038,0.213242,0.375985,0.462158,-2.860405,1.2549,-0.088656
79,1770207764509,0.877789,213.238,375.964,462.197,0.69439,-0.144328,0.152192,0.688353,1.553825,-0.32296,0.340558,0.213238,0.375964,0.462197,-2.860312,1.254966,-0.08879
80,1770207764520,0.888901,213.224,375.946,462.221,0.694127,-0.144459,0.15212,0.688607,1.55308,-0.323222,0.340362,0.213224,0.375946,0.462221,-2.860251,1.255001,-0.088774
81,1770207764532,0.900012,213.22,375.912,462.29,0.694556,-0.144382,0.152103,0.688194,1.554291,-0.323101,0.34038,0.21322,0.375912,0.46229,-2.860226,1.255095,-0.088888
82,1770207764543,0.911123,213.216,375.889,462.328,0.69416,-0.144489,0.152153,0.68856,1.553184,-0.323294,0.340443,0.213216,0.375889,0.462328,-2.860195,1.255063,-0.088873
83,1770207764554,0.922234,213.166,375.775,462.48,0.6941,-0.144487,0.152325,0.688582,1.553036,-0.323287,0.340824,0.213166,0.375775,0.46248,-2.859829,1.255203,-0.089156
84,1770207764565,0.933346,213.167,375.74,462.538,0.694473,-0.1446,0.152202,0.68821,1.554096,-0.323586,0.340599,0.213167,0.37574,0.462538,-2.859783,1.255227,-0.089237
85,1770207764576,0.944457,213.145,375.701,462.6,0.694584,-0.144445,0.152367,0.688094,1.554415,-0.323254,0.340982,0.213145,0.375701,0.4626,-2.85969,1.255293,-0.089311
86,1770207764587,0.955568,213.117,375.605,462.736,0.694675,-0.144304,0.152612,0.687977,1.554691,-0.322954,0.341548,0.213117,0.375605,0.462736,-2.859417,1.255368,-0.089462
87,1770207764598,0.966679,213.081,375.576,462.803,0.694796,-0.144414,0.152557,0.687844,1.555042,-0.323216,0.341442,0.213081,0.375576,0.462803,-2.859389,1.255318,-0.089488
88,1770207764609,0.97779,213.02,375.448,462.98,0.694574,-0.144188,0.152827,0.688056,1.554417,-0.322685,0.342019,0.21302,0.375448,0.46298,-2.858982,1.255401,-0.089846
89,1770207764620,0.988902,213.021,375.407,463.054,0.694899,-0.14462,0.152424,0.687726,1.555343,-0.323693,0.341159,0.213021,0.375407,0.463054,-2.858867,1.255558,-0.089872
90,1770207764632,1.000013,212.997,375.325,463.162,0.694927,-0.144535,0.152675,0.68766,1.555448,-0.32351,0.341731,0.212997,0.375325,0.463162,-2.85866,1.255517,-0.089975
91,1770207764643,1.011124,212.952,375.19,463.355,0.69491,-0.14426,0.153052,0.687652,1.555413,-0.322897,0.342575,0.212952,0.37519,0.463355,-2.858269,1.25571,-0.09036
92,1770207764654,1.022236,212.913,375.13,463.459,0.694898,-0.144432,0.152935,0.687653,1.555386,-0.323281,0.342314,0.212913,0.37513,0.463459,-2.858113,1.255731,-0.090498
93,1770207764665,1.033347,212.862,375.004,463.617,0.695032,-0.144505,0.152966,0.687495,1.555782,-0.323465,0.342404,0.212862,0.375004,0.463617,-2.857727,1.25578,-0.090655
94,1770207764676,1.044458,212.855,374.971,463.626,0.695473,-0.144623,0.15288,0.687044,1.557042,-0.323786,0.342272,0.212855,0.374971,0.463626,-2.85752,1.255757,-0.09079
95,1770207764687,1.05557,212.863,374.984,463.623,0.694893,-0.14429,0.153143,0.687641,1.555383,-0.322966,0.342781,0.212863,0.374984,0.463623,-2.857579,1.25578,-0.090733
96,1770207764698,1.066681,212.921,375.066,463.521,0.694593,-0.144179,0.153292,0.687935,1.554531,-0.322679,0.343076,0.212921,0.375066,0.463521,-2.857961,1.255791,-0.090489
97,1770207764709,1.077792,212.9,375.033,463.558,0.694724,-0.144137,0.153471,0.687772,1.554923,-0.322607,0.343498,0.2129,0.375033,0.463558,-2.857809,1.255811,-0.090585
98,1770207764720,1.088903,212.906,375.026,463.561,0.695211,-0.144445,0.153167,0.687282,1.556313,-0.323357,0.342883,0.212906,0.375026,0.463561,-2.85778,1.255862,-0.090669
99,1770207764732,1.100015,212.872,374.971,463.632,0.695094,-0.144448,0.153148,0.687405,1.555976,-0.323347,0.342824,0.212872,0.374971,0.463632,-2.857546,1.255848,-0.090716
100,1770207764743,1.111126,212.872,374.997,463.613,0.694996,-0.144357,0.153265,0.687497,1.555701,-0.323133,0.343072,0.212872,0.374997,0.463613,-2.857688,1.255805,-0.09071
