FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208214818,0.000000,-117.6997,441.5933,-829.7617,0.693873,-0.143686,0.152595,0.688920,1.552323,-0.321453,0.341383,0.213370,0.376246,0.461767,-2.861017,1.254834,-0.088262
1,1770208214829,0.011112,-117.6831,441.5745,-829.7380,0.693839,-0.143697,0.152608,0.688948,1.552231,-0.321474,0.341409,0.213376,0.376253,0.461750,-2.861023,1.254875,-0.088189
2,1770208214840,0.022223,-117.7148,441.5251,-829.7708,0.693801,-0.143701,0.152609,0.688986,1.552122,-0.321477,0.341407,0.213355,0.376243,0.461770,-2.860996,1.254785,-0.088263
3,1770208214851,0.033334,-117.6473,441.5675,-829.8645,0.693822,-0.143711,0.152594,0.688966,1.552181,-0.321503,0.341375,0.213377,0.376251,0.461757,-2.861052,1.254828,-0.088225
4,1770208214862,0.044446,-117.6513,441.5716,-829.8682,0.693826,-0.143719,0.152611,0.688956,1.552195,-0.321521,0.341415,0.213383,0.376238,0.461762,-2.860995,1.254886,-0.088262
5,1770208214873,0.055557,-117.6135,441.5487,-829.8820,0.693845,-0.143712,0.152574,0.688946,1.552245,-0.321507,0.341333,0.213376,0.376254,0.461755,-2.861067,1.254814,-0.088260
6,1770208214884,0.066668,-117.6373,441.5073,-829.8665,0.693851,-0.143678,0.152578,0.688947,1.552257,-0.321432,0.341341,0.213385,0.376243,0.461762,-2.861028,1.254818,-0.088221
7,1770208214895,0.077780,-117.6322,441.4921,-829.8684,0.693825,-0.143705,0.152577,0.688968,1.552186,-0.321490,0.341337,0.213378,0.376244,0.461760,-2.861002,1.254889,-0.088297
8,1770208214906,0.088891,-117.6280,441.4803,-829.8683,0.693826,-0.143714,0.152582,0.688963,1.552193,-0.321509,0.341349,0.213377,0.376260,0.461749,-2.861073,1.254816,-0.088236
9,1770208214918,0.100002,-117.5160,441.3819,-829.7581,0.693823,-0.143716,0.152584,0.688966,1.552184,-0.321514,0.341352,0.213383,0.376238,0.461764,-2.861010,1.254850,-0.088203
10,1770208214929,0.111113,-117.5271,441.4294,-829.8339,0.693791,-0.143711,0.152607,0.688994,1.552095,-0.321498,0.341400,0.213385,0.376251,0.461748,-2.861045,1.254845,-0.088225
11,1770208214940,0.122224,-117.5097,441.4099,-829.8311,0.693784,-0.143707,0.152588,0.689006,1.552071,-0.321487,0.341357,0.213370,0.376241,0.461767,-2.860996,1.254805,-0.088240
12,1770208214951,0.133336,-117.6282,441.5056,-829.8447,0.693781,-0.143667,0.152667,0.689000,1.552069,-0.321400,0.341534,0.213374,0.376250,0.461758,-2.861041,1.254864,-0.088242
13,1770208214962,0.144447,-117.6285,441.4994,-829.8419,0.693777,-0.143661,0.152661,0.689007,1.552055,-0.321385,0.341519,0.213374,0.376250,0.461761,-2.861048,1.254846,-0.088242
14,1770208214973,0.155560,-117.6651,441.4530,-829.7684,0.693803,-0.143645,0.152632,0.688990,1.552124,-0.321353,0.341457,0.213357,0.376243,0.461767,-2.860990,1.254762,-0.088252
15,1770208214984,0.166671,-117.6710,441.4420,-829.7583,0.693802,-0.143641,0.152652,0.688988,1.552122,-0.321342,0.341501,0.213393,0.376249,0.461753,-2.861036,1.254901,-0.088177
16,1770208214995,0.177782,-117.6310,441.4797,-829.8021,0.693779,-0.143655,0.152624,0.689013,1.552058,-0.321371,0.341436,0.213397,0.376252,0.461750,-2.861076,1.254898,-0.088217
17,1770208215006,0.188893,-117.6197,441.4729,-829.7921,0.693776,-0.143660,0.152637,0.689013,1.552049,-0.321382,0.341465,0.213373,0.376249,0.461762,-2.861056,1.254829,-0.088242
18,1770208215018,0.200004,-117.6342,441.5385,-829.7770,0.693770,-0.143644,0.152640,0.689021,1.552032,-0.321346,0.341470,0.213378,0.376254,0.461755,-2.861084,1.254821,-0.088230
19,1770208215033,0.215527,-117.5643,441.4552,-829.7958,0.693713,-0.143672,0.152703,0.689059,1.551882,-0.321404,0.341606,0.213382,0.376252,0.461752,-2.861022,1.254875,-0.088190
20,1770208215044,0.226638,-117.5786,441.4159,-829.7885,0.693738,-0.143675,0.152723,0.689029,1.551956,-0.321414,0.341655,0.213361,0.376255,0.461760,-2.861052,1.254828,-0.088283
21,1770208215055,0.237749,-117.5972,441.4700,-829.8062,0.693705,-0.143617,0.152710,0.689077,1.551853,-0.321279,0.341620,0.213371,0.376254,0.461760,-2.861070,1.254795,-0.088243
22,1770208215066,0.248861,-117.5988,441.4527,-829.7862,0.693735,-0.143667,0.152705,0.689037,1.551944,-0.321395,0.341613,0.213380,0.376250,0.461753,-2.861056,1.254828,-0.088183
23,1770208215077,0.259972,-117.6043,441.4625,-829.7746,0.693725,-0.143660,0.152720,0.689046,1.551916,-0.321379,0.341647,0.213377,0.376252,0.461759,-2.861030,1.254859,-0.088249
24,1770208215089,0.271083,-117.5290,441.5022,-829.7512,0.693719,-0.143674,0.152702,0.689052,1.551900,-0.321409,0.341605,0.213386,0.376251,0.461751,-2.861063,1.254852,-0.088195
25,1770208215100,0.282194,-117.5236,441.5124,-829.7362,0.693723,-0.143681,0.152697,0.689049,1.551909,-0.321425,0.341594,0.213388,0.376259,0.461746,-2.861065,1.254873,-0.088187
26,1770208215111,0.293306,-117.5140,441.5228,-829.9261,0.693706,-0.143689,0.152679,0.689068,1.551859,-0.321440,0.341551,0.213385,0.376249,0.461752,-2.861063,1.254852,-0.088195
27,1770208215122,0.304417,-117.5016,441.5266,-829.9426,0.693709,-0.143704,0.152696,0.689059,1.551872,-0.321475,0.341590,0.213358,0.376255,0.461758,-2.861054,1.254748,-0.088261
28,1770208215133,0.315528,-117.5658,441.5239,-829.9440,0.693682,-0.143711,0.152691,0.689085,1.551796,-0.321488,0.341577,0.213377,0.376258,0.461750,-2.861091,1.254823,-0.088205
29,1770208215144,0.326639,-117.5649,441.5277,-829.9557,0.693696,-0.143688,0.152673,0.689080,1.551831,-0.321437,0.341536,0.213364,0.376252,0.461760,-2.861017,1.254793,-0.088250
30,1770208215155,0.337751,-117.5990,441.6095,-829.7971,0.693758,-0.143712,0.152638,0.689020,1.552005,-0.321497,0.341467,0.213373,0.376237,0.461768,-2.860951,1.254908,-0.088239
31,1770208215166,0.348862,-117.5603,441.5022,-829.7942,0.693743,-0.143716,0.152641,0.689033,1.551964,-0.321504,0.341472,0.213380,0.376251,0.461753,-2.861049,1.254826,-0.088207
32,1770208215177,0.359973,-117.5533,441.5020,-829.7823,0.693757,-0.143695,0.152649,0.689021,1.552004,-0.321461,0.341491,0.213394,0.376270,0.461740,-2.861093,1.254884,-0.088210
33,1770208215189,0.371085,-117.5293,441.4631,-829.8046,0.693747,-0.143719,0.152649,0.689027,1.551978,-0.321513,0.341490,0.213376,0.376248,0.461758,-2.861041,1.254843,-0.088207
34,1770208215200,0.382196,-117.5246,441.4582,-829.7886,0.693753,-0.143724,0.152655,0.689019,1.551995,-0.321525,0.341504,0.213368,0.376261,0.461752,-2.861070,1.254774,-0.088207
35,1770208215211,0.393307,-117.5917,441.4760,-829.8522,0.693740,-0.143691,0.152622,0.689046,1.551949,-0.321448,0.341428,0.213388,0.376247,0.461756,-2.861038,1.254862,-0.088226
36,1770208215222,0.404419,-117.5911,441.5394,-829.9289,0.693721,-0.143656,0.152639,0.689069,1.551892,-0.321367,0.341462,0.213358,0.376264,0.461753,-2.861059,1.254770,-0.088272
37,1770208215233,0.415530,-117.5922,441.5914,-829.9000,0.693721,-0.143675,0.152618,0.689069,1.551892,-0.321409,0.341416,0.213363,0.376235,0.461777,-2.860988,1.254822,-0.088240
38,1770208215244,0.426641,-117.5943,441.5988,-829.9094,0.693710,-0.143686,0.152658,0.689069,1.551869,-0.321433,0.341505,0.213385,0.376252,0.461754,-2.861035,1.254841,-0.088232
39,1770208215255,0.437752,-117.5107,441.5448,-829.8026,0.693759,-0.143682,0.152587,0.689037,1.551996,-0.321428,0.341349,0.213379,0.376236,0.461772,-2.860975,1.254938,-0.088220
40,1770208215266,0.448863,-117.5014,441.5389,-829.7981,0.693772,-0.143685,0.152579,0.689024,1.552035,-0.321437,0.341334,0.213384,0.376244,0.461755,-2.861038,1.254862,-0.088225
41,1770208215277,0.459975,-117.5274,441.5433,-829.9667,0.693758,-0.143716,0.152590,0.689030,1.552000,-0.321506,0.341357,0.213390,0.376255,0.461751,-2.861052,1.254847,-0.088201
42,1770208215289,0.471086,-117.7735,441.5261,-829.9025,0.693786,-0.143622,0.152653,0.689007,1.552076,-0.321299,0.341502,0.213382,0.376254,0.461756,-2.861074,1.254796,-0.088201
43,1770208215300,0.482197,-117.7469,441.5359,-829.9207,0.693782,-0.143652,0.152657,0.689004,1.552070,-0.321365,0.341512,0.213379,0.376243,0.461762,-2.861059,1.254830,-0.088201
44,1770208215311,0.493308,-117.7676,441.3539,-829.8704,0.693765,-0.143627,0.152672,0.689024,1.552018,-0.321306,0.341542,0.213354,0.376240,0.461778,-2.860989,1.254762,-0.088253
45,1770208215322,0.504420,-117.5720,441.4592,-829.8478,0.693766,-0.143617,0.152612,0.689037,1.552014,-0.321283,0.341406,0.213361,0.376260,0.461760,-2.861069,1.254835,-0.088253
46,1770208215333,0.515531,-117.5193,441.4684,-829.8987,0.693758,-0.143648,0.152607,0.689040,1.551995,-0.321352,0.341395,0.213379,0.376257,0.461747,-2.861063,1.254852,-0.088253
47,1770208215344,0.526642,-117.5230,441.5490,-829.8174,0.693763,-0.143655,0.152630,0.689028,1.552013,-0.321370,0.341447,0.213372,0.376248,0.461763,-2.861045,1.254825,-0.088249
48,1770208215355,0.537753,-117.5136,441.5396,-829.8072,0.693755,-0.143669,0.152620,0.689036,1.551990,-0.321399,0.341423,0.213374,0.376248,0.461763,-2.861013,1.254832,-0.088245
49,1770208215366,0.548865,-117.6298,441.5630,-829.8159,0.693785,-0.143646,0.152628,0.689009,1.552071,-0.321352,0.341446,0.213384,0.376269,0.461742,-2.861119,1.254834,-0.088168
50,1770208215377,0.559976,-117.5631,441.5828,-829.8550,0.693757,-0.143659,0.152611,0.689038,1.551993,-0.321378,0.341404,0.213380,0.376247,0.461755,-2.861035,1.254841,-0.088232
51,1770208215389,0.571087,-117.5980,441.6283,-829.8391,0.693764,-0.143643,0.152645,0.689027,1.552014,-0.321344,0.341481,0.213379,0.376258,0.461752,-2.861069,1.254834,-0.088194
52,1770208215400,0.582199,-117.7091,441.5306,-829.7614,0.693783,-0.143654,0.152660,0.689002,1.552072,-0.321371,0.341517,0.213384,0.376258,0.461748,-2.861050,1.254887,-0.088212
53,1770208215411,0.593310,-117.7036,441.5511,-829.8632,0.693788,-0.143631,0.152638,0.689007,1.552080,-0.321319,0.341468,0.213379,0.376255,0.461752,-2.861074,1.254816,-0.088236
54,1770208215422,0.604421,-117.7139,441.5946,-829.6584,0.693828,-0.143636,0.152648,0.688963,1.552196,-0.321336,0.341496,0.213371,0.376252,0.461761,-2.861041,1.254823,-0.088231
55,1770208215433,0.615532,-117.5520,441.4530,-829.7303,0.693812,-0.143630,0.152644,0.688981,1.552150,-0.321319,0.341484,0.213383,0.376245,0.461752,-2.861034,1.254881,-0.088242
56,1770208215444,0.626643,-117.5192,441.5590,-829.7574,0.693803,-0.143616,0.152626,0.688997,1.552120,-0.321287,0.341442,0.213398,0.376252,0.461753,-2.861058,1.254911,-0.088223
57,1770208215455,0.637755,-117.4697,441.4870,-829.8038,0.693805,-0.143638,0.152660,0.688983,1.552134,-0.321338,0.341521,0.213380,0.376247,0.461760,-2.861052,1.254827,-0.088166
58,1770208215466,0.648866,-117.6356,441.6406,-829.8873,0.693803,-0.143591,0.152654,0.688997,1.552120,-0.321231,0.341505,0.213380,0.376263,0.461746,-2.861090,1.254863,-0.088216
59,1770208215477,0.659977,-117.6471,441.6496,-829.8937,0.693807,-0.143587,0.152641,0.688996,1.552130,-0.321220,0.341476,0.213369,0.376243,0.461766,-2.860974,1.254836,-0.088264
60,1770208215489,0.671089,-117.5854,441.5504,-829.7855,0.693827,-0.143586,0.152648,0.688974,1.552188,-0.321222,0.341494,0.213366,0.376245,0.461768,-2.861022,1.254775,-0.088233
61,1770208215500,0.682200,-117.5864,441.5531,-829.7767,0.693844,-0.143594,0.152651,0.688955,1.552238,-0.321243,0.341505,0.213378,0.376241,0.461765,-2.861013,1.254853,-0.088280
