FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208254323,0.000000,-117.6541,441.4495,-829.7178,0.694134,-0.144241,0.152347,0.688595,1.553104,-0.322736,0.340872,0.213386,0.376266,0.461738,-2.861090,1.254883,-0.088251
1,1770208254334,0.011111,-117.6310,441.4849,-829.6874,0.694148,-0.144260,0.152332,0.688581,1.553144,-0.322779,0.340839,0.213371,0.376256,0.461750,-2.861056,1.254809,-0.088266
2,1770208254345,0.022223,-117.4584,441.5820,-829.6935,0.694136,-0.144266,0.152312,0.688596,1.553108,-0.322790,0.340793,0.213379,0.376254,0.461747,-2.861052,1.254869,-0.088295
3,1770208254356,0.033334,-117.4801,441.5070,-829.9333,0.694108,-0.144264,0.152324,0.688621,1.553031,-0.322783,0.340817,0.213379,0.376262,0.461745,-2.861105,1.254829,-0.088216
4,1770208254367,0.044445,-117.4572,441.5252,-829.9384,0.694121,-0.144253,0.152296,0.688617,1.553062,-0.322759,0.340755,0.213377,0.376260,0.461743,-2.861051,1.254867,-0.088235
5,1770208254378,0.055556,-117.5180,441.4587,-829.8596,0.694150,-0.144245,0.152278,0.688594,1.553140,-0.322744,0.340717,0.213385,0.376270,0.461736,-2.861119,1.254835,-0.088227
6,1770208254389,0.066667,-117.5795,441.4718,-829.8676,0.694135,-0.144215,0.152275,0.688615,1.553094,-0.322675,0.340709,0.213396,0.376264,0.461740,-2.861086,1.254903,-0.088269
7,1770208254400,0.077778,-117.6464,441.5620,-829.8445,0.694138,-0.144219,0.152313,0.688603,1.553109,-0.322686,0.340795,0.213389,0.376261,0.461740,-2.861101,1.254888,-0.088245
8,1770208254411,0.088890,-117.6426,441.5747,-829.8385,0.694129,-0.144239,0.152325,0.688605,1.553087,-0.322730,0.340820,0.213384,0.376271,0.461736,-2.861130,1.254819,-0.088245
9,1770208254423,0.100001,-117.6699,441.5280,-829.7720,0.694149,-0.144237,0.152326,0.688585,1.553145,-0.322728,0.340827,0.213370,0.376251,0.461756,-2.861046,1.254785,-0.088238
10,1770208254434,0.111112,-117.5895,441.4753,-829.7495,0.694120,-0.144250,0.152381,0.688600,1.553070,-0.322754,0.340947,0.213364,0.376252,0.461760,-2.861041,1.254823,-0.088231
11,1770208254445,0.122223,-117.5745,441.4677,-829.7803,0.694120,-0.144224,0.152307,0.688622,1.553056,-0.322694,0.340779,0.213378,0.376258,0.461753,-2.861050,1.254888,-0.088271
12,1770208254456,0.133335,-117.5960,441.4373,-829.7826,0.694104,-0.144222,0.152336,0.688632,1.553014,-0.322687,0.340843,0.213370,0.376257,0.461758,-2.861083,1.254841,-0.088264
13,1770208254467,0.144446,-117.6216,441.4156,-829.8636,0.694111,-0.144220,0.152304,0.688632,1.553029,-0.322684,0.340771,0.213380,0.376256,0.461754,-2.861076,1.254837,-0.088230
14,1770208254478,0.155557,-117.5885,441.4948,-829.9236,0.694059,-0.144264,0.152318,0.688673,1.552889,-0.322776,0.340797,0.213387,0.376255,0.461749,-2.861083,1.254882,-0.088276
15,1770208254489,0.166669,-117.6297,441.4854,-829.9383,0.694047,-0.144262,0.152352,0.688677,1.552860,-0.322771,0.340873,0.213381,0.376266,0.461748,-2.861071,1.254916,-0.088233
16,1770208254500,0.177780,-117.7189,441.5067,-829.9562,0.694011,-0.144272,0.152344,0.688713,1.552759,-0.322790,0.340849,0.213369,0.376258,0.461753,-2.861048,1.254847,-0.088301
17,1770208254511,0.188891,-117.6842,441.4414,-829.9963,0.693990,-0.144266,0.152412,0.688721,1.552705,-0.322776,0.341000,0.213378,0.376258,0.461750,-2.861084,1.254841,-0.088265
18,1770208254523,0.200003,-117.7215,441.4669,-829.9957,0.693995,-0.144260,0.152400,0.688720,1.552718,-0.322762,0.340975,0.213385,0.376254,0.461742,-2.861049,1.254846,-0.088243
19,1770208254534,0.211114,-117.6786,441.4380,-830.0583,0.693977,-0.144263,0.152453,0.688725,1.552675,-0.322768,0.341092,0.213385,0.376263,0.461740,-2.861112,1.254852,-0.088228
20,1770208254545,0.222225,-117.7015,441.4089,-829.7864,0.694040,-0.144240,0.152413,0.688676,1.552844,-0.322723,0.341010,0.213405,0.376260,0.461735,-2.861097,1.254906,-0.088204
21,1770208254556,0.233336,-117.7313,441.3905,-829.7808,0.694023,-0.144219,0.152448,0.688689,1.552799,-0.322673,0.341084,0.213371,0.376253,0.461755,-2.861030,1.254860,-0.088308
22,1770208254567,0.244447,-117.7084,441.4710,-829.9035,0.694010,-0.144204,0.152391,0.688718,1.552752,-0.322636,0.340954,0.213379,0.376246,0.461756,-2.861017,1.254854,-0.088238
23,1770208254578,0.255559,-117.7887,441.5569,-829.9373,0.693981,-0.144191,0.152423,0.688742,1.552674,-0.322606,0.341022,0.213406,0.376269,0.461727,-2.861150,1.254908,-0.088195
24,1770208254589,0.266670,-117.7575,441.5388,-829.9484,0.693978,-0.144184,0.152426,0.688746,1.552665,-0.322589,0.341029,0.213365,0.376257,0.461749,-2.861038,1.254822,-0.088272
25,1770208254600,0.277781,-117.7145,441.5634,-829.9221,0.693969,-0.144177,0.152424,0.688757,1.552637,-0.322570,0.341024,0.213382,0.376258,0.461752,-2.861112,1.254812,-0.088217
26,1770208254611,0.288892,-117.6438,441.5693,-830.0095,0.693976,-0.144168,0.152427,0.688752,1.552655,-0.322552,0.341031,0.213380,0.376272,0.461734,-2.861114,1.254874,-0.088280
27,1770208254623,0.300004,-117.6466,441.5683,-830.0311,0.693977,-0.144177,0.152435,0.688747,1.552661,-0.322573,0.341048,0.213353,0.376248,0.461768,-2.861032,1.254759,-0.088250
28,1770208254634,0.311115,-117.5587,441.4090,-829.9496,0.694015,-0.144199,0.152454,0.688700,1.552775,-0.322628,0.341098,0.213395,0.376263,0.461736,-2.861104,1.254889,-0.088204
29,1770208254645,0.322226,-117.5490,441.3873,-829.9600,0.694019,-0.144205,0.152450,0.688695,1.552787,-0.322642,0.341088,0.213372,0.376259,0.461746,-2.861073,1.254837,-0.088271
30,1770208254656,0.333337,-117.4108,441.3245,-829.9424,0.694007,-0.144205,0.152410,0.688716,1.552747,-0.322639,0.340996,0.213378,0.376260,0.461749,-2.861090,1.254864,-0.088275
31,1770208254667,0.344449,-117.5044,441.2791,-829.8668,0.694005,-0.144162,0.152399,0.688730,1.552734,-0.322542,0.340970,0.213374,0.376273,0.461741,-2.861144,1.254805,-0.088280
32,1770208254678,0.355560,-117.7210,441.4161,-829.8912,0.694024,-0.144073,0.152395,0.688730,1.552777,-0.322341,0.340960,0.213384,0.376255,0.461744,-2.861084,1.254861,-0.088241
33,1770208254689,0.366671,-117.7282,441.4382,-829.8959,0.694049,-0.144064,0.152402,0.688705,1.552848,-0.322325,0.340981,0.213374,0.376251,0.461755,-2.861027,1.254879,-0.088325
34,1770208254700,0.377782,-117.7562,441.4428,-829.8880,0.694059,-0.144059,0.152408,0.688695,1.552876,-0.322316,0.340994,0.213391,0.376247,0.461754,-2.861051,1.254908,-0.088247
35,1770208254711,0.388894,-117.7608,441.4498,-829.7386,0.694044,-0.144084,0.152374,0.688713,1.552831,-0.322370,0.340916,0.213381,0.376256,0.461754,-2.861051,1.254869,-0.088295
36,1770208254723,0.400005,-117.6572,441.4107,-829.6689,0.694053,-0.144119,0.152347,0.688703,1.552857,-0.322448,0.340858,0.213373,0.376256,0.461750,-2.861071,1.254795,-0.088242
37,1770208254734,0.411116,-117.6732,441.4014,-829.6361,0.694050,-0.144117,0.152355,0.688704,1.552850,-0.322443,0.340876,0.213375,0.376244,0.461761,-2.861028,1.254838,-0.088256
38,1770208254745,0.422227,-117.6864,441.3983,-829.6078,0.694057,-0.144108,0.152358,0.688698,1.552870,-0.322425,0.340882,0.213375,0.376255,0.461755,-2.861073,1.254837,-0.088271
39,1770208254756,0.433339,-117.5467,441.4345,-829.8157,0.694002,-0.144115,0.152292,0.688766,1.552705,-0.322432,0.340727,0.213371,0.376265,0.461743,-2.861101,1.254828,-0.088257
40,1770208254767,0.444450,-117.5302,441.4340,-829.8075,0.693987,-0.144113,0.152297,0.688782,1.552662,-0.322424,0.340735,0.213367,0.376247,0.461759,-2.861034,1.254841,-0.088290
41,1770208254778,0.455562,-117.7042,441.4867,-829.9582,0.693946,-0.144091,0.152214,0.688846,1.552532,-0.322368,0.340540,0.213379,0.376259,0.461741,-2.861063,1.254832,-0.088278
42,1770208254789,0.466673,-117.7962,441.5143,-829.9702,0.693972,-0.144125,0.152238,0.688807,1.552613,-0.322448,0.340600,0.213377,0.376262,0.461745,-2.861102,1.254788,-0.088247
43,1770208254800,0.477784,-117.8026,441.5742,-829.8912,0.693961,-0.144140,0.152207,0.688821,1.552581,-0.322481,0.340529,0.213388,0.376257,0.461747,-2.861072,1.254876,-0.088223
44,1770208254811,0.488895,-117.7983,441.4923,-829.9707,0.693953,-0.144157,0.152241,0.688819,1.552564,-0.322518,0.340605,0.213373,0.376251,0.461755,-2.861059,1.254831,-0.088260
45,1770208254823,0.500007,-117.7167,441.4800,-829.9700,0.693990,-0.144163,0.152216,0.688786,1.552666,-0.322536,0.340552,0.213382,0.376256,0.461747,-2.861092,1.254823,-0.088206
46,1770208254834,0.511118,-117.7214,441.4759,-829.9860,0.693998,-0.144178,0.152195,0.688779,1.552689,-0.322570,0.340507,0.213379,0.376246,0.461762,-2.861035,1.254841,-0.088232
47,1770208254845,0.522229,-117.7267,441.4672,-830.0009,0.693980,-0.144151,0.152215,0.688798,1.552638,-0.322508,0.340550,0.213377,0.376265,0.461741,-2.861090,1.254823,-0.088205
48,1770208254856,0.533340,-117.5912,441.4465,-829.7126,0.694009,-0.144192,0.152202,0.688764,1.552722,-0.322605,0.340525,0.213372,0.376264,0.461745,-2.861098,1.254826,-0.088240
49,1770208254867,0.544452,-117.4962,441.4874,-829.6487,0.694012,-0.144208,0.152196,0.688758,1.552732,-0.322640,0.340513,0.213390,0.376261,0.461745,-2.861071,1.254917,-0.088234
50,1770208254878,0.555563,-117.5539,441.4980,-829.5535,0.694019,-0.144193,0.152206,0.688752,1.552751,-0.322609,0.340535,0.213396,0.376262,0.461737,-2.861115,1.254853,-0.088187
51,1770208254889,0.566674,-117.5384,441.4861,-829.5280,0.694011,-0.144192,0.152248,0.688751,1.552734,-0.322606,0.340630,0.213371,0.376240,0.461764,-2.861022,1.254796,-0.088269
52,1770208254900,0.577785,-117.5620,441.3606,-829.7875,0.693957,-0.144165,0.152203,0.688821,1.552571,-0.322537,0.340519,0.213377,0.376247,0.461757,-2.861037,1.254884,-0.088319
53,1770208254911,0.588896,-117.6533,441.3578,-829.8992,0.693908,-0.144141,0.152238,0.688868,1.552433,-0.322478,0.340591,0.213361,0.376254,0.461760,-2.861050,1.254766,-0.088220
54,1770208254923,0.600008,-117.6428,441.4994,-829.9519,0.693942,-0.144156,0.152265,0.688825,1.552535,-0.322515,0.340657,0.213372,0.376252,0.461755,-2.861034,1.254841,-0.088290
55,1770208254934,0.611119,-117.6190,441.5101,-829.9634,0.693950,-0.144154,0.152258,0.688819,1.552556,-0.322511,0.340643,0.213378,0.376253,0.461750,-2.861056,1.254829,-0.088242
56,1770208254945,0.622230,-117.5944,441.5229,-829.9745,0.693949,-0.144155,0.152261,0.688818,1.552556,-0.322514,0.340650,0.213379,0.376259,0.461749,-2.861072,1.254897,-0.088257
57,1770208254956,0.633341,-117.5675,441.5108,-829.8187,0.693971,-0.144135,0.152293,0.688793,1.552620,-0.322472,0.340725,0.213376,0.376245,0.461758,-2.861025,1.254817,-0.088262
58,1770208254967,0.644453,-117.6048,441.4554,-829.8403,0.694001,-0.144143,0.152262,0.688769,1.552701,-0.322494,0.340658,0.213390,0.376256,0.461745,-2.861069,1.254875,-0.088265
59,1770208254978,0.655564,-117.5579,441.5188,-829.9377,0.693954,-0.144178,0.152226,0.688816,1.552567,-0.322566,0.340573,0.213371,0.376261,0.461748,-2.861091,1.254803,-0.088229
60,1770208254989,0.666675,-117.5906,441.5983,-829.9146,0.693956,-0.144169,0.152252,0.688811,1.552575,-0.322548,0.340630,0.213375,0.376256,0.461752,-2.861055,1.254850,-0.088277
61,1770208255000,0.677786,-117.5957,441.5849,-829.9762,0.693950,-0.144189,0.152192,0.688826,1.552552,-0.322590,0.340495,0.213379,0.376257,0.461753,-2.861080,1.254839,-0.088247
62,1770208255011,0.688898,-117.6628,441.6798,-829.9344,0.693965,-0.144155,0.152176,0.688821,1.552590,-0.322514,0.340460,0.213362,0.376248,0.461766,-2.861028,1.254818,-0.088279
63,1770208255023,0.700009,-117.6898,441.6721,-829.8917,0.693983,-0.144154,0.152205,0.688797,1.552643,-0.322515,0.340527,0.213385,0.376257,0.461752,-2.861082,1.254902,-0.088311
64,1770208255034,0.711120,-117.7860,441.6742,-829.9316,0.693948,-0.144144,0.152259,0.688822,1.552551,-0.322488,0.340646,0.213372,0.376231,0.461781,-2.860945,1.254906,-0.088323
65,1770208255045,0.722231,-117.8724,441.4855,-829.8575,0.693969,-0.144118,0.152267,0.688805,1.552608,-0.322432,0.340666,0.213341,0.376224,0.461807,-2.860947,1.254766,-0.088314
66,1770208255056,0.733342,-117.7816,441.4271,-829.8198,0.693917,-0.144125,0.152269,0.688855,1.552461,-0.322444,0.340663,0.213356,0.376239,0.461789,-2.861028,1.254778,-0.088269
67,1770208255067,0.744454,-117.6912,441.3912,-829.8131,0.693948,-0.144132,0.152281,0.688820,1.552551,-0.322462,0.340694,0.213352,0.376206,0.461822,-2.860907,1.254832,-0.088381
