FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208280171,0,213.386,376.249,461.755,0.694106,-0.144492,0.151998,0.688648,1.553009,-0.32329,0.340083,0.213386,0.376249,0.461755,-2.861056,1.254829,-0.088184
1,1770208280182,0.011111,213.374,376.243,461.761,0.69413,-0.144496,0.151943,0.688635,1.553072,-0.3233,0.339962,0.213374,0.376243,0.461761,-2.86104,1.254781,-0.088203
2,1770208280193,0.022222,213.383,376.253,461.748,0.694158,-0.144471,0.151911,0.688619,1.553145,-0.323246,0.339893,0.213383,0.376253,0.461748,-2.861094,1.254742,-0.088184
3,1770208280204,0.033334,213.361,376.251,461.765,0.69415,-0.144453,0.151898,0.688634,1.553116,-0.323204,0.339863,0.213361,0.376251,0.461765,-2.861061,1.254731,-0.088262
4,1770208280215,0.044445,213.398,376.258,461.744,0.694154,-0.144473,0.151913,0.688622,1.553133,-0.32325,0.339898,0.213398,0.376258,0.461744,-2.86111,1.25481,-0.0882
5,1770208280226,0.055556,213.384,376.238,461.764,0.694135,-0.144468,0.151884,0.688649,1.553074,-0.323235,0.339828,0.213384,0.376238,0.461764,-2.861054,1.254808,-0.08825
6,1770208280237,0.066667,213.381,376.26,461.742,0.694156,-0.144494,0.15187,0.688625,1.553135,-0.323298,0.3398,0.213381,0.37626,0.461742,-2.861118,1.254752,-0.088188
7,1770208280248,0.077779,213.37,376.246,461.759,0.694152,-0.144497,0.151872,0.688628,1.553126,-0.323304,0.339805,0.21337,0.376246,0.461759,-2.861047,1.254765,-0.088262
8,1770208280259,0.08889,213.387,376.259,461.744,0.694119,-0.144496,0.151838,0.688669,1.553025,-0.323296,0.339723,0.213387,0.376259,0.461744,-2.861106,1.254808,-0.088182
9,1770208280271,0.100001,213.374,376.244,461.758,0.694137,-0.144499,0.151835,0.688651,1.553077,-0.323305,0.339719,0.213374,0.376244,0.461758,-2.861052,1.254726,-0.08821
10,1770208280282,0.111112,213.385,376.258,461.756,0.694119,-0.144497,0.151812,0.688674,1.553024,-0.323297,0.339664,0.213385,0.376258,0.461756,-2.861117,1.254793,-0.0882
11,1770208280293,0.122224,213.385,376.266,461.741,0.694115,-0.144501,0.151835,0.688673,1.553014,-0.323307,0.339715,0.213385,0.376266,0.461741,-2.861124,1.254776,-0.088199
12,1770208280304,0.133335,213.381,376.257,461.755,0.694118,-0.144553,0.151811,0.688664,1.553027,-0.323424,0.339662,0.213381,0.376257,0.461755,-2.861117,1.254773,-0.088224
13,1770208280315,0.144446,213.386,376.25,461.754,0.694117,-0.144566,0.151801,0.688665,1.553023,-0.323453,0.339641,0.213386,0.37625,0.461754,-2.861071,1.254775,-0.088208
14,1770208280326,0.155557,213.392,376.249,461.747,0.694135,-0.144546,0.151766,0.688659,1.553067,-0.32341,0.339562,0.213392,0.376249,0.461747,-2.861089,1.254822,-0.088189
