FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208280171,0.000000,-117.6627,441.4271,-829.9211,0.694106,-0.144492,0.151998,0.688648,1.553009,-0.323290,0.340083,0.213386,0.376249,0.461755,-2.861056,1.254829,-0.088184
1,1770208280182,0.011111,-117.6835,441.3744,-829.8696,0.694130,-0.144496,0.151943,0.688635,1.553072,-0.323300,0.339962,0.213374,0.376243,0.461761,-2.861040,1.254781,-0.088203
2,1770208280193,0.022222,-117.6911,441.3681,-829.8099,0.694158,-0.144471,0.151911,0.688619,1.553145,-0.323246,0.339893,0.213383,0.376253,0.461748,-2.861094,1.254742,-0.088184
3,1770208280204,0.033334,-117.7377,441.3146,-829.7435,0.694150,-0.144453,0.151898,0.688634,1.553116,-0.323204,0.339863,0.213361,0.376251,0.461765,-2.861061,1.254731,-0.088262
4,1770208280215,0.044445,-117.7973,441.3456,-829.7360,0.694154,-0.144473,0.151913,0.688622,1.553133,-0.323250,0.339898,0.213398,0.376258,0.461744,-2.861110,1.254810,-0.088200
5,1770208280226,0.055556,-117.8026,441.2878,-829.7626,0.694135,-0.144468,0.151884,0.688649,1.553074,-0.323235,0.339828,0.213384,0.376238,0.461764,-2.861054,1.254808,-0.088250
6,1770208280237,0.066667,-117.7747,441.3326,-829.7793,0.694156,-0.144494,0.151870,0.688625,1.553135,-0.323298,0.339800,0.213381,0.376260,0.461742,-2.861118,1.254752,-0.088188
7,1770208280248,0.077779,-117.8095,441.3339,-829.7841,0.694152,-0.144497,0.151872,0.688628,1.553126,-0.323304,0.339805,0.213370,0.376246,0.461759,-2.861047,1.254765,-0.088262
8,1770208280259,0.088890,-117.8276,441.2736,-829.8296,0.694119,-0.144496,0.151838,0.688669,1.553025,-0.323296,0.339723,0.213387,0.376259,0.461744,-2.861106,1.254808,-0.088182
9,1770208280271,0.100001,-117.8587,441.2717,-829.8420,0.694137,-0.144499,0.151835,0.688651,1.553077,-0.323305,0.339719,0.213374,0.376244,0.461758,-2.861052,1.254726,-0.088210
10,1770208280282,0.111112,-117.9432,441.3253,-829.8876,0.694119,-0.144497,0.151812,0.688674,1.553024,-0.323297,0.339664,0.213385,0.376258,0.461756,-2.861117,1.254793,-0.088200
11,1770208280293,0.122224,-117.9864,441.3215,-829.9086,0.694115,-0.144501,0.151835,0.688673,1.553014,-0.323307,0.339715,0.213385,0.376266,0.461741,-2.861124,1.254776,-0.088199
12,1770208280304,0.133335,-117.7428,441.2982,-829.9261,0.694118,-0.144553,0.151811,0.688664,1.553027,-0.323424,0.339662,0.213381,0.376257,0.461755,-2.861117,1.254773,-0.088224
13,1770208280315,0.144446,-117.7704,441.2984,-829.9513,0.694117,-0.144566,0.151801,0.688665,1.553023,-0.323453,0.339641,0.213386,0.376250,0.461754,-2.861071,1.254775,-0.088208
