FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208380170,0.000000,-117.8175,441.4502,-829.9551,0.694073,-0.144744,0.151548,0.688728,1.552887,-0.323844,0.339066,0.213370,0.376267,0.461748,-2.861149,1.254726,-0.088217
1,1770208380181,0.011121,-117.8519,441.5171,-829.9228,0.694082,-0.144708,0.151633,0.688707,1.552921,-0.323766,0.339259,0.213378,0.376254,0.461749,-2.861083,1.254739,-0.088250
2,1770208380192,0.022236,-117.9124,441.5381,-829.9489,0.694094,-0.144685,0.151633,0.688700,1.552950,-0.323716,0.339261,0.213363,0.376255,0.461759,-2.861065,1.254732,-0.088280
3,1770208380203,0.033347,-117.9724,441.5247,-829.9164,0.694130,-0.144671,0.151600,0.688674,1.553047,-0.323687,0.339190,0.213363,0.376255,0.461759,-2.861065,1.254732,-0.088280
4,1770208380214,0.044458,-118.0562,441.5220,-829.9127,0.694166,-0.144696,0.151615,0.688628,1.553157,-0.323749,0.339230,0.213378,0.376272,0.461740,-2.861167,1.254733,-0.088246
5,1770208380225,0.055570,-118.0804,441.3321,-829.8831,0.694160,-0.144611,0.151655,0.688644,1.553132,-0.323556,0.339316,0.213376,0.376245,0.461760,-2.861062,1.254731,-0.088263
6,1770208380236,0.066681,-117.9901,441.4510,-829.8292,0.694144,-0.144635,0.151654,0.688655,1.553090,-0.323610,0.339312,0.213363,0.376257,0.461758,-2.861064,1.254773,-0.088290
7,1770208380247,0.077792,-117.9814,441.5466,-829.8266,0.694108,-0.144671,0.151610,0.688694,1.552987,-0.323685,0.339209,0.213363,0.376257,0.461758,-2.861064,1.254773,-0.088290
8,1770208380258,0.088904,-118.0555,441.5903,-829.8264,0.694101,-0.144660,0.151591,0.688707,1.552963,-0.323659,0.339165,0.213366,0.376267,0.461749,-2.861134,1.254781,-0.088251
9,1770208380270,0.100015,-117.9872,441.6232,-829.8315,0.694092,-0.144619,0.151627,0.688717,1.552936,-0.323566,0.339245,0.213375,0.376253,0.461756,-2.861082,1.254779,-0.088261
10,1770208380281,0.111129,-118.0670,441.6631,-829.8434,0.694097,-0.144623,0.151603,0.688716,1.552948,-0.323574,0.339191,0.213388,0.376257,0.461745,-2.861096,1.254765,-0.088237
11,1770208380292,0.122240,-117.9166,441.4693,-829.8340,0.694093,-0.144635,0.151579,0.688723,1.552935,-0.323601,0.339136,0.213388,0.376257,0.461745,-2.861096,1.254765,-0.088237
12,1770208380303,0.133351,-117.9807,441.4313,-829.9198,0.694062,-0.144635,0.151584,0.688753,1.552849,-0.323597,0.339144,0.213374,0.376248,0.461759,-2.861083,1.254759,-0.088226
13,1770208380314,0.144463,-117.7937,441.5540,-829.8940,0.694104,-0.144646,0.151559,0.688714,1.552964,-0.323625,0.339092,0.213369,0.376252,0.461756,-2.861065,1.254752,-0.088256
