FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208420313,0.000000,-117.7716,441.4932,-829.8284,0.694105,-0.144298,0.152211,0.688642,1.553011,-0.322856,0.340562,0.213381,0.376249,0.461756,-2.861049,1.254847,-0.088243
1,1770208420324,0.011112,-117.8414,441.5301,-829.8359,0.694116,-0.144292,0.152234,0.688628,1.553043,-0.322846,0.340615,0.213389,0.376239,0.461756,-2.861039,1.254822,-0.088215
2,1770208420335,0.022223,-117.7738,441.4793,-829.8514,0.694138,-0.144274,0.152217,0.688613,1.553102,-0.322806,0.340579,0.213369,0.376250,0.461757,-2.861039,1.254802,-0.088238
3,1770208420346,0.033334,-117.7610,441.5473,-829.8809,0.694151,-0.144294,0.152229,0.688593,1.553143,-0.322853,0.340608,0.213372,0.376260,0.461748,-2.861110,1.254750,-0.088212
4,1770208420357,0.044445,-117.7686,441.5663,-829.8679,0.694165,-0.144289,0.152221,0.688582,1.553180,-0.322843,0.340591,0.213357,0.376247,0.461765,-2.861025,1.254757,-0.088275
5,1770208420368,0.055556,-117.7036,441.5536,-829.9326,0.694159,-0.144322,0.152244,0.688575,1.553172,-0.322919,0.340645,0.213372,0.376239,0.461762,-2.860990,1.254802,-0.088264
6,1770208420379,0.066667,-117.6911,441.5113,-829.9979,0.694146,-0.144286,0.152264,0.688592,1.553132,-0.322837,0.340687,0.213374,0.376246,0.461757,-2.861043,1.254783,-0.088221
7,1770208420390,0.077779,-117.6210,441.5096,-829.9595,0.694177,-0.144305,0.152253,0.688559,1.553223,-0.322883,0.340666,0.213382,0.376256,0.461747,-2.861066,1.254853,-0.088212
8,1770208420401,0.088890,-117.5662,441.5086,-829.9263,0.694150,-0.144298,0.152293,0.688578,1.553151,-0.322865,0.340754,0.213393,0.376257,0.461743,-2.861116,1.254813,-0.088176
9,1770208420413,0.100001,-117.5544,441.4298,-829.8643,0.694157,-0.144283,0.152319,0.688570,1.553170,-0.322832,0.340813,0.213379,0.376251,0.461753,-2.861067,1.254813,-0.088201
10,1770208420424,0.111113,-117.5583,441.4624,-829.8276,0.694156,-0.144274,0.152300,0.688576,1.553165,-0.322811,0.340769,0.213387,0.376261,0.461743,-2.861112,1.254831,-0.088193
11,1770208420435,0.122224,-117.5421,441.4633,-829.8038,0.694163,-0.144289,0.152289,0.688568,1.553186,-0.322846,0.340746,0.213400,0.376264,0.461735,-2.861108,1.254891,-0.088221
12,1770208420446,0.133335,-117.5546,441.4822,-829.8500,0.694144,-0.144276,0.152351,0.688576,1.553139,-0.322817,0.340883,0.213384,0.376253,0.461751,-2.861077,1.254838,-0.088230
13,1770208420457,0.144446,-117.5434,441.4834,-829.8310,0.694147,-0.144274,0.152358,0.688572,1.553148,-0.322812,0.340900,0.213392,0.376242,0.461751,-2.861027,1.254878,-0.088208
14,1770208420468,0.155557,-117.6618,441.5324,-829.8981,0.694177,-0.144234,0.152421,0.688536,1.553237,-0.322726,0.341046,0.213389,0.376263,0.461744,-2.861112,1.254831,-0.088193
15,1770208420479,0.166669,-117.6440,441.4374,-829.9423,0.694152,-0.144221,0.152412,0.688567,1.553160,-0.322693,0.341021,0.213390,0.376248,0.461751,-2.861073,1.254856,-0.088188
16,1770208420490,0.177780,-117.6333,441.3807,-829.8124,0.694183,-0.144208,0.152374,0.688547,1.553242,-0.322667,0.340940,0.213396,0.376251,0.461746,-2.861051,1.254928,-0.088223
17,1770208420501,0.188891,-117.6358,441.3538,-829.7976,0.694186,-0.144212,0.152384,0.688540,1.553255,-0.322677,0.340963,0.213383,0.376249,0.461753,-2.861056,1.254849,-0.088219
18,1770208420513,0.200003,-117.6556,441.3067,-829.7621,0.694179,-0.144263,0.152388,0.688536,1.553240,-0.322791,0.340972,0.213393,0.376249,0.461753,-2.861059,1.254850,-0.088178
19,1770208420524,0.211114,-117.6398,441.2905,-829.7520,0.694162,-0.144228,0.152339,0.688571,1.553181,-0.322709,0.340857,0.213395,0.376262,0.461740,-2.861133,1.254840,-0.088180
20,1770208420535,0.222225,-117.7149,441.4384,-829.7991,0.694172,-0.144229,0.152355,0.688557,1.553214,-0.322714,0.340895,0.213385,0.376242,0.461762,-2.861017,1.254874,-0.088274
21,1770208420546,0.233336,-117.7636,441.4110,-829.8356,0.694194,-0.144241,0.152329,0.688539,1.553272,-0.322741,0.340839,0.213392,0.376248,0.461745,-2.861042,1.254863,-0.088184
22,1770208420557,0.244448,-117.7030,441.4558,-829.8700,0.694198,-0.144273,0.152301,0.688534,1.553283,-0.322813,0.340776,0.213403,0.376256,0.461740,-2.861100,1.254886,-0.088127
23,1770208420568,0.255559,-117.7103,441.4905,-829.8873,0.694181,-0.144325,0.152279,0.688545,1.553240,-0.322929,0.340727,0.213384,0.376236,0.461762,-2.861010,1.254871,-0.088238
24,1770208420579,0.266670,-117.7030,441.5239,-829.8627,0.694175,-0.144313,0.152281,0.688553,1.553222,-0.322902,0.340730,0.213383,0.376252,0.461749,-2.861067,1.254834,-0.088236
25,1770208420590,0.277782,-117.7179,441.5036,-829.8214,0.694157,-0.144333,0.152260,0.688572,1.553169,-0.322943,0.340680,0.213378,0.376251,0.461756,-2.861027,1.254857,-0.088231
26,1770208420601,0.288893,-117.6699,441.5355,-829.7825,0.694153,-0.144357,0.152261,0.688570,1.553163,-0.322997,0.340683,0.213394,0.376250,0.461752,-2.861054,1.254888,-0.088171
27,1770208420613,0.300004,-117.6509,441.5388,-829.7682,0.694155,-0.144367,0.152273,0.688564,1.553169,-0.323021,0.340709,0.213371,0.376249,0.461757,-2.861023,1.254857,-0.088273
28,1770208420624,0.311116,-117.5294,441.5574,-829.8980,0.694145,-0.144374,0.152253,0.688577,1.553140,-0.323035,0.340665,0.213385,0.376257,0.461748,-2.861113,1.254791,-0.088182
29,1770208420635,0.322227,-117.4967,441.6008,-829.8629,0.694121,-0.144371,0.152237,0.688605,1.553069,-0.323026,0.340624,0.213391,0.376241,0.461745,-2.861023,1.254916,-0.088201
30,1770208420646,0.333338,-117.6798,441.5239,-829.9090,0.694106,-0.144363,0.152284,0.688612,1.553031,-0.323006,0.340728,0.213383,0.376251,0.461755,-2.861062,1.254872,-0.088229
31,1770208420657,0.344449,-117.5929,441.5246,-829.8886,0.694097,-0.144369,0.152249,0.688627,1.553002,-0.323017,0.340649,0.213391,0.376257,0.461738,-2.861077,1.254858,-0.088265
32,1770208420668,0.355560,-117.5590,441.5367,-829.8784,0.694091,-0.144384,0.152245,0.688631,1.552985,-0.323051,0.340639,0.213390,0.376242,0.461757,-2.861020,1.254875,-0.088232
33,1770208420679,0.366672,-117.5403,441.5739,-829.8985,0.694083,-0.144361,0.152257,0.688641,1.552963,-0.322997,0.340664,0.213365,0.376248,0.461762,-2.861032,1.254800,-0.088321
34,1770208420690,0.377783,-117.4039,441.4234,-829.9528,0.694090,-0.144313,0.152239,0.688649,1.552973,-0.322889,0.340623,0.213378,0.376247,0.461756,-2.861038,1.254842,-0.088249
35,1770208420701,0.388894,-117.4698,441.5727,-829.9731,0.694069,-0.144336,0.152254,0.688661,1.552920,-0.322940,0.340655,0.213397,0.376256,0.461745,-2.861080,1.254879,-0.088199
36,1770208420713,0.400005,-117.6577,441.5437,-829.9232,0.694099,-0.144405,0.152275,0.688612,1.553016,-0.323100,0.340709,0.213375,0.376253,0.461750,-2.861089,1.254761,-0.088201
37,1770208420724,0.411117,-117.6297,441.5045,-829.9247,0.694096,-0.144410,0.152232,0.688623,1.553002,-0.323110,0.340612,0.213382,0.376247,0.461760,-2.861052,1.254848,-0.088201
38,1770208420735,0.422228,-117.6177,441.5089,-829.9214,0.694094,-0.144417,0.152224,0.688625,1.552997,-0.323125,0.340593,0.213381,0.376246,0.461758,-2.861042,1.254843,-0.088207
39,1770208420746,0.433339,-117.6655,441.5296,-830.0290,0.694074,-0.144435,0.152204,0.688647,1.552938,-0.323163,0.340544,0.213388,0.376264,0.461738,-2.861113,1.254811,-0.088217
40,1770208420757,0.444450,-117.6595,441.5433,-830.0388,0.694076,-0.144423,0.152195,0.688649,1.552942,-0.323135,0.340526,0.213386,0.376260,0.461744,-2.861102,1.254827,-0.088199
