FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207542839,0,213.3737,375.7694,460.9959,0.699326,-0.148412,0.109246,0.690639,1.563474,-0.331803,0.244241,0.215862,0.376115,0.451515,-2.882598,1.169779,0.01419
1,1770207542850,0.011112,213.3575,375.7660,461.0004,0.699320,-0.148419,0.109186,0.690653,1.563452,-0.331817,0.244105,0.215846,0.376113,0.451521,-2.882572,1.169808,0.014100
2,1770207542861,0.022223,213.3590,375.7721,460.9995,0.699330,-0.148427,0.109174,0.690644,1.563479,-0.331836,0.244079,0.215848,0.376119,0.451520,-2.882614,1.169766,0.014156
3,1770207542872,0.033334,213.3533,375.7538,461.0142,0.699330,-0.148387,0.109176,0.690651,1.563476,-0.331744,0.244083,0.215842,0.376101,0.451535,-2.882540,1.169754,0.014088
4,1770207542883,0.044445,213.3663,375.7639,461.0053,0.699328,-0.148399,0.109186,0.690650,1.563471,-0.331773,0.244104,0.215855,0.376110,0.451525,-2.882586,1.169794,0.014166
5,1770207542894,0.055557,213.3629,375.7605,461.0020,0.699340,-0.148423,0.109161,0.690636,1.563506,-0.331829,0.244050,0.215851,0.376107,0.451522,-2.882560,1.169783,0.014128
6,1770207542905,0.066668,213.3589,375.7591,461.0026,0.699346,-0.148401,0.109159,0.690635,1.563521,-0.331778,0.244045,0.215847,0.376106,0.451523,-2.882578,1.169710,0.014162
7,1770207542916,0.077779,213.3633,375.7695,460.9999,0.699325,-0.148394,0.109271,0.690640,1.563471,-0.331762,0.244296,0.215852,0.376116,0.451520,-2.882607,1.169783,0.014156
8,1770207542927,0.088891,213.3483,375.7583,461.0086,0.699348,-0.148385,0.109333,0.690610,1.563540,-0.331746,0.244437,0.215837,0.376106,0.451530,-2.882572,1.169707,0.014137
9,1770207542939,0.100002,213.3657,375.7667,460.9981,0.699389,-0.148355,0.109328,0.690575,1.563653,-0.331683,0.244429,0.215854,0.376113,0.451518,-2.882572,1.169788,0.014177
10,1770207542950,0.111113,213.3615,375.7654,461.0008,0.699393,-0.148328,0.109400,0.690565,1.563668,-0.331624,0.244592,0.215850,0.376112,0.451521,-2.882566,1.169805,0.014076
11,1770207542961,0.122224,213.3458,375.7720,461.0012,0.699363,-0.148353,0.109395,0.690591,1.563587,-0.331677,0.244576,0.215835,0.376120,0.451523,-2.882615,1.169705,0.014143
12,1770207542972,0.133336,213.3679,375.7678,460.9953,0.699358,-0.148324,0.109396,0.690602,1.563569,-0.331610,0.244578,0.215856,0.376114,0.451515,-2.882581,1.169771,0.014117
13,1770207542983,0.144447,213.3640,375.7677,461.0040,0.699385,-0.148357,0.109415,0.690565,1.563650,-0.331689,0.244626,0.215853,0.376114,0.451524,-2.882616,1.169787,0.014121
14,1770207542994,0.155558,213.3593,375.7662,461.0025,0.699407,-0.148336,0.109356,0.690556,1.563706,-0.331644,0.244493,0.215848,0.376113,0.451523,-2.882598,1.169759,0.014124
15,1770207543005,0.166669,213.3574,375.7739,460.9932,0.699415,-0.148379,0.109347,0.690540,1.563735,-0.331742,0.244475,0.215846,0.376121,0.451514,-2.882619,1.169748,0.014114
16,1770207543016,0.177780,213.3516,375.7646,461.0108,0.699415,-0.148389,0.109346,0.690538,1.563736,-0.331764,0.244474,0.215841,0.376112,0.451532,-2.882557,1.169761,0.014121
17,1770207543027,0.188891,213.3512,375.7556,461.0129,0.699397,-0.148372,0.109245,0.690576,1.563671,-0.331722,0.244243,0.215840,0.376103,0.451534,-2.882533,1.169792,0.014114
18,1770207543039,0.200003,213.3594,375.7642,461.0035,0.699394,-0.148371,0.109252,0.690578,1.563663,-0.331719,0.244258,0.215848,0.376111,0.451524,-2.882583,1.169752,0.014135
19,1770207543050,0.211114,213.3486,375.7703,461.0045,0.699431,-0.148355,0.109200,0.690552,1.563762,-0.331686,0.244145,0.215838,0.376118,0.451526,-2.882585,1.169753,0.014034
20,1770207543061,0.222225,213.3633,375.7665,461.0019,0.699475,-0.148360,0.109157,0.690514,1.563883,-0.331703,0.244053,0.215852,0.376113,0.451522,-2.882612,1.169765,0.014113
21,1770207543072,0.233336,213.3634,375.7527,461.0141,0.699448,-0.148371,0.109196,0.690532,1.563813,-0.331725,0.244137,0.215852,0.376099,0.451534,-2.882548,1.169798,0.014144
22,1770207543083,0.244448,213.3529,375.7617,461.0100,0.699448,-0.148363,0.109180,0.690536,1.563810,-0.331706,0.244103,0.215842,0.376109,0.451531,-2.882562,1.169804,0.014093
23,1770207543094,0.255559,213.3789,375.7669,460.9963,0.699445,-0.148368,0.109209,0.690534,1.563804,-0.331719,0.244167,0.215867,0.376112,0.451515,-2.882600,1.169841,0.014144
24,1770207543105,0.266670,213.3729,375.7643,460.9988,0.699447,-0.148370,0.109211,0.690531,1.563810,-0.331722,0.244171,0.215861,0.376110,0.451518,-2.882573,1.169808,0.014141
25,1770207543116,0.277781,213.3551,375.7609,461.0092,0.699458,-0.148365,0.109194,0.690524,1.563838,-0.331713,0.244135,0.215844,0.376108,0.451530,-2.882543,1.169796,0.014121
26,1770207543127,0.288893,213.3537,375.7638,461.0100,0.699458,-0.148365,0.109195,0.690524,1.563838,-0.331713,0.244136,0.215843,0.376111,0.451531,-2.882586,1.169734,0.014152
27,1770207543139,0.300004,213.3740,375.7625,460.9999,0.699463,-0.148349,0.109209,0.690520,1.563852,-0.331678,0.244167,0.215862,0.376108,0.451519,-2.882568,1.169847,0.014106
28,1770207543150,0.311115,213.3530,375.7578,461.0130,0.699463,-0.148353,0.109222,0.690517,1.563855,-0.331686,0.244197,0.215842,0.376105,0.451534,-2.882560,1.169783,0.014128
29,1770207543161,0.322226,213.3479,375.7692,461.0024,0.699468,-0.148345,0.109220,0.690514,1.563868,-0.331670,0.244193,0.215837,0.376117,0.451524,-2.882612,1.169724,0.014124
30,1770207543172,0.333338,213.3768,375.7696,460.9951,0.699437,-0.148371,0.109221,0.690539,1.563783,-0.331725,0.244194,0.215865,0.376115,0.451514,-2.882627,1.169791,0.014169
31,1770207543183,0.344449,213.3617,375.7594,461.0048,0.699434,-0.148366,0.109270,0.690536,1.563779,-0.331713,0.244304,0.215850,0.376106,0.451525,-2.882587,1.169774,0.014142
32,1770207543194,0.355560,213.3811,375.7641,460.9975,0.699383,-0.148391,0.109266,0.690583,1.563637,-0.331764,0.244289,0.215869,0.376109,0.451516,-2.882552,1.169881,0.014166
33,1770207543205,0.366671,213.3588,375.7573,461.0156,0.699402,-0.148380,0.109276,0.690564,1.563689,-0.331742,0.244314,0.215848,0.376104,0.451536,-2.882563,1.169805,0.014135
34,1770207543216,0.377783,213.3622,375.7635,461.0058,0.699406,-0.148386,0.109291,0.690557,1.563703,-0.331754,0.244347,0.215851,0.376110,0.451526,-2.882585,1.169753,0.014176
