FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770206940135,0,215.863,376.101,451.524,0.699275,-0.148301,0.10949,0.690676,1.563338,-0.33155,0.244782,0.215863,0.376101,0.451524,-2.882547,1.169818,0.014169
1,1770206940146,0.011111,215.86,376.112,451.519,0.699283,-0.148304,0.109405,0.690681,1.563352,-0.331556,0.244591,0.21586,0.376112,0.451519,-2.882602,1.169801,0.014198
2,1770206940157,0.022223,215.847,376.097,451.534,0.6993,-0.148296,0.109433,0.69066,1.563404,-0.33154,0.244657,0.215847,0.376097,0.451534,-2.882503,1.169799,0.014159
3,1770206940168,0.033334,215.85,376.109,451.524,0.699341,-0.148307,0.109443,0.690615,1.563523,-0.33157,0.244682,0.21585,0.376109,0.451524,-2.882542,1.169836,0.014171
4,1770206940179,0.044445,215.858,376.101,451.528,0.699351,-0.148318,0.109456,0.690601,1.563552,-0.331598,0.244713,0.215858,0.376101,0.451528,-2.882537,1.169834,0.014187
5,1770206940190,0.055557,215.852,376.109,451.53,0.699328,-0.148315,0.109462,0.690624,1.563488,-0.331587,0.244725,0.215852,0.376109,0.45153,-2.882556,1.169822,0.014135
6,1770206940201,0.066668,215.838,376.099,451.539,0.699341,-0.148343,0.109463,0.690604,1.56353,-0.331652,0.244727,0.215838,0.376099,0.451539,-2.882555,1.16972,0.01413
7,1770206940212,0.077779,215.851,376.099,451.534,0.69934,-0.148322,0.109521,0.690601,1.563527,-0.331607,0.244858,0.215851,0.376099,0.451534,-2.882512,1.169824,0.01419
8,1770206940223,0.08889,215.854,376.107,451.524,0.699347,-0.148308,0.109501,0.6906,1.563544,-0.331575,0.244814,0.215854,0.376107,0.451524,-2.882568,1.169766,0.014169
9,1770206940235,0.100002,215.856,376.104,451.519,0.699362,-0.148323,0.109436,0.690591,1.563585,-0.331611,0.244669,0.215856,0.376104,0.451519,-2.882526,1.169788,0.01419
10,1770206940246,0.111113,215.849,376.098,451.528,0.699356,-0.148335,0.109441,0.690594,1.563568,-0.331637,0.244681,0.215849,0.376098,0.451528,-2.882502,1.169839,0.014107
