FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207275379,0,215.899,376.137,451.497,0.699285,-0.148347,0.109343,0.69068,1.563356,-0.331651,0.244453,0.215899,0.376137,0.451497,-2.882637,1.169958,0.014052
1,1770207275390,0.011112,215.877,376.125,451.515,0.699296,-0.148357,0.109328,0.690669,1.563388,-0.331675,0.244421,0.215877,0.376125,0.451515,-2.882571,1.169889,0.014037
2,1770207275401,0.022223,215.88,376.126,451.504,0.699312,-0.148362,0.109282,0.690659,1.56343,-0.331689,0.244319,0.21588,0.376126,0.451504,-2.882618,1.169848,0.014075
3,1770207275412,0.033334,215.868,376.129,451.514,0.699323,-0.148364,0.109289,0.690646,1.563463,-0.331695,0.244336,0.215868,0.376129,0.451514,-2.882614,1.169785,0.013977
4,1770207275423,0.044445,215.877,376.128,451.508,0.69933,-0.14838,0.109226,0.690645,1.563479,-0.331731,0.244194,0.215877,0.376128,0.451508,-2.882589,1.169916,0.014035
5,1770207275434,0.055557,215.888,376.127,451.504,0.699337,-0.148359,0.109193,0.690648,1.563493,-0.331684,0.24412,0.215888,0.376127,0.451504,-2.882597,1.1699,0.014075
6,1770207275445,0.066668,215.881,376.131,451.505,0.699343,-0.148365,0.109204,0.690639,1.563512,-0.331697,0.244146,0.215881,0.376131,0.451505,-2.882629,1.169873,0.014048
7,1770207275456,0.077779,215.892,376.131,451.507,0.69936,-0.148368,0.10922,0.690619,1.563562,-0.331706,0.244184,0.215892,0.376131,0.451507,-2.882627,1.169913,0.014096
8,1770207275467,0.08889,215.867,376.119,451.527,0.699354,-0.148369,0.10923,0.690622,1.563547,-0.331709,0.244205,0.215867,0.376119,0.451527,-2.882553,1.169861,0.014041
9,1770207275479,0.100002,215.885,376.14,451.498,0.699337,-0.148391,0.109251,0.690632,1.563503,-0.331756,0.244251,0.215885,0.37614,0.451498,-2.882693,1.16982,0.014093
10,1770207275490,0.111113,215.884,376.122,451.512,0.699343,-0.148386,0.109249,0.690628,1.563518,-0.331746,0.244247,0.215884,0.376122,0.451512,-2.882606,1.169883,0.014016
11,1770207275501,0.122224,215.889,376.139,451.492,0.699348,-0.148412,0.10925,0.690616,1.563537,-0.331805,0.244252,0.215889,0.376139,0.451492,-2.882667,1.169869,0.014069
12,1770207275512,0.133336,215.893,376.125,451.506,0.699361,-0.148416,0.109263,0.690601,1.563575,-0.331816,0.244281,0.215893,0.376125,0.451506,-2.882603,1.169943,0.014089
13,1770207275523,0.144447,215.884,376.133,451.504,0.699348,-0.148431,0.109251,0.690612,1.563539,-0.331848,0.244253,0.215884,0.376133,0.451504,-2.882635,1.169895,0.013996
14,1770207275534,0.155558,215.876,376.127,451.513,0.699332,-0.148453,0.109192,0.690633,1.563491,-0.331895,0.24412,0.215876,0.376127,0.451513,-2.88261,1.169825,0.014085
15,1770207275545,0.16667,215.886,376.125,451.503,0.699313,-0.148428,0.10923,0.690651,1.563438,-0.331838,0.244204,0.215886,0.376125,0.451503,-2.882617,1.169847,0.014074
16,1770207275556,0.177781,215.892,376.14,451.487,0.699281,-0.148461,0.109192,0.690683,1.563348,-0.331906,0.244114,0.215892,0.37614,0.451487,-2.882669,1.169911,0.014101
17,1770207275567,0.188892,215.888,376.129,451.5,0.699281,-0.14842,0.1092,0.69069,1.563343,-0.331815,0.244133,0.215888,0.376129,0.4515,-2.882605,1.169923,0.014065
