FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
70,1769517416069,0.77779,4.2808,450.747,-266.6125,0.68093,0.272809,-0.235624,0.637488,1.554708,0.622882,-0.53798,-0.442151,-0.183047,0.186901,1.916121,-2.394247,0.007919
71,1769517416080,0.788901,4.3583,450.6853,-266.6667,0.680682,0.273188,-0.235161,0.637761,1.553973,0.623678,-0.536864,-0.442118,-0.182907,0.186895,1.916114,-2.394258,0.007906
72,1769517416092,0.800012,4.3579,450.7424,-266.5575,0.680605,0.273201,-0.234998,0.637898,1.553712,0.623674,-0.536461,-0.442065,-0.182654,0.186906,1.91608,-2.394182,0.007965
73,1769517416103,0.811124,3.9856,450.9922,-266.4529,0.680809,0.273035,-0.235315,0.637635,1.55434,0.623361,-0.537243,-0.442016,-0.182522,0.18687,1.916176,-2.394211,0.008018
74,1769517416114,0.822235,3.9147,451.1756,-266.4153,0.680664,0.273119,-0.235197,0.637797,1.55391,0.623511,-0.536937,-0.441995,-0.182387,0.186897,1.916218,-2.394116,0.007891
75,1769517416125,0.833346,4.2558,451.1883,-266.647,0.680783,0.273096,-0.235235,0.637666,1.554261,0.623491,-0.537053,-0.441928,-0.182129,0.186861,1.91624,-2.394125,0.007889
76,1769517416136,0.844457,3.4651,450.799,-266.3086,0.680805,0.273192,-0.235202,0.637613,1.554345,0.623725,-0.53699,-0.441882,-0.182,0.186877,1.916206,-2.394098,0.007913
77,1769517416147,0.855569,3.374,450.8564,-266.107,0.680669,0.273077,-0.235249,0.637791,1.553923,0.623418,-0.537058,-0.441822,-0.181722,0.186851,1.916279,-2.394094,0.007864
78,1769517416158,0.86668,3.0293,450.5805,-265.9469,0.680719,0.273122,-0.235089,0.637777,1.554047,0.623523,-0.536696,-0.441808,-0.18155,0.186838,1.916171,-2.394195,0.007851
79,1769517416169,0.877791,2.9895,450.6355,-265.7681,0.680663,0.272993,-0.235263,0.637828,1.553887,0.623217,-0.537084,-0.44177,-0.181424,0.186819,1.916228,-2.394184,0.00786
80,1769517416180,0.888903,2.8955,450.4295,-265.731,0.680693,0.273039,-0.235369,0.637737,1.554012,0.623343,-0.537345,-0.441687,-0.181136,0.186765,1.916271,-2.394269,0.007944
81,1769517416192,0.900014,2.9589,450.3718,-265.7273,0.680727,0.273081,-0.235385,0.637677,1.554127,0.623455,-0.537393,-0.441648,-0.181026,0.186737,1.916397,-2.394228,0.007987
82,1769517416203,0.911125,2.6121,450.3617,-265.4309,0.680717,0.273197,-0.235271,0.637679,1.554104,0.62372,-0.537133,-0.441564,-0.180696,0.18667,1.916401,-2.394356,0.008117
83,1769517416214,0.922236,2.4369,450.3672,-265.1259,0.680815,0.273123,-0.235174,0.637642,1.554351,0.623561,-0.53692,-0.441533,-0.180548,0.186667,1.916322,-2.394351,0.008178
84,1769517416225,0.933348,1.7905,450.4767,-264.4408,0.680673,0.272931,-0.235329,0.637819,1.553916,0.623077,-0.537235,-0.441493,-0.180362,0.186651,1.916276,-2.394433,0.008179
85,1769517416236,0.944459,1.7884,450.657,-264.7049,0.680846,0.273061,-0.235308,0.637587,1.554454,0.623431,-0.537238,-0.441409,-0.180037,0.186635,1.916373,-2.394394,0.008127
86,1769517416247,0.95557,1.6357,450.723,-264.7757,0.680817,0.2731,-0.235204,0.637639,1.554357,0.623507,-0.536987,-0.44137,-0.179874,0.186634,1.91638,-2.394359,0.008122
87,1769517416258,0.966682,1.2388,450.649,-264.4722,0.680774,0.27316,-0.235395,0.637588,1.554291,0.623658,-0.537436,-0.441329,-0.179706,0.186624,1.916365,-2.394389,0.008109
88,1769517416269,0.977793,1.1127,450.624,-264.2365,0.68084,0.273182,-0.235241,0.637566,1.554454,0.623714,-0.537089,-0.441265,-0.179372,0.186576,1.916322,-2.394434,0.008217
89,1769517416280,0.988904,0.8014,450.4685,-264.151,0.680654,0.273156,-0.235393,0.63772,1.553934,0.623616,-0.537402,-0.441216,-0.179213,0.186566,1.916426,-2.394426,0.00819
90,1769517416292,1.000016,0.7366,450.5869,-264.1468,0.680641,0.273252,-0.235347,0.637709,1.553911,0.623837,-0.5373,-0.441145,-0.178925,0.186558,1.916445,-2.394291,0.008288
91,1769517416303,1.011127,0.5696,450.5227,-263.9782,0.680761,0.273148,-0.235316,0.637638,1.554229,0.623618,-0.537244,-0.44109,-0.178775,0.186543,1.916542,-2.394269,0.008291
92,1769517416314,1.022238,0.2341,450.429,-263.8431,0.680724,0.273109,-0.235337,0.637686,1.554115,0.623516,-0.537281,-0.441052,-0.178594,0.18653,1.916552,-2.394287,0.00829
93,1769517416325,1.033349,0.1388,450.4354,-263.7416,0.680764,0.272998,-0.235433,0.637655,1.554225,0.623272,-0.537508,-0.440981,-0.178276,0.186517,1.916542,-2.394275,0.008308
94,1769517416336,1.04446,0.1457,450.4434,-263.9307,0.680733,0.273062,-0.235377,0.637681,1.554139,0.623411,-0.537375,-0.440941,-0.178093,0.186499,1.916539,-2.394355,0.008286
95,1769517416347,1.055571,-0.0176,450.4872,-263.7045,0.680645,0.273122,-0.2354,0.637741,1.5539,0.623532,-0.537415,-0.440869,-0.177793,0.186489,1.916604,-2.394271,0.008243
96,1769517416358,1.066682,-0.149,450.38,-263.6053,0.680792,0.272972,-0.235469,0.637624,1.554308,0.623219,-0.537596,-0.440831,-0.177613,0.186478,1.916671,-2.394242,0.008236
97,1769517416369,1.077794,-0.5971,450.5476,-263.1324,0.681002,0.273063,-0.235193,0.637462,1.554889,0.623468,-0.537001,-0.440794,-0.177421,0.186463,1.916648,-2.394242,0.008226
98,1769517416380,1.088905,-1.1117,450.4518,-262.3497,0.680695,0.273283,-0.235286,0.637661,1.554065,0.62392,-0.537172,-0.440728,-0.177013,0.186481,1.91659,-2.394171,0.008125
99,1769517416392,1.100016,-1.2051,450.6384,-262.2005,0.680477,0.273051,-0.235507,0.637912,1.55341,0.623327,-0.537621,-0.440676,-0.176795,0.186471,1.916592,-2.394226,0.008089
100,1769517416403,1.111127,-1.2492,450.6282,-262.592,0.68077,0.273101,-0.235173,0.637701,1.55421,0.623494,-0.536905,-0.440614,-0.176432,0.186487,1.916544,-2.39413,0.00801
101,1769517416414,1.122238,-1.1297,450.7354,-262.7859,0.68079,0.272901,-0.235689,0.637575,1.554334,0.623069,-0.53811,-0.440572,-0.176253,0.186473,1.916527,-2.394154,0.008025
102,1769517416425,1.13335,-1.3757,450.5927,-262.8882,0.680686,0.273059,-0.235537,0.637674,1.554036,0.623405,-0.537742,-0.440539,-0.17607,0.186472,1.916526,-2.39412,0.007976
103,1769517416436,1.144461,-1.5955,450.3607,-262.5566,0.680708,0.273182,-0.23545,0.63763,1.554113,0.623698,-0.537553,-0.440445,-0.175748,0.186419,1.916679,-2.394055,0.008089
104,1769517416447,1.155572,-1.749,450.4948,-262.2251,0.680642,0.273126,-0.235322,0.637772,1.553874,0.623533,-0.537229,-0.440409,-0.175561,0.186385,1.916681,-2.3941,0.008114
105,1769517416458,1.166683,-2.0683,450.1801,-261.9045,0.680638,0.273199,-0.235306,0.637751,1.553877,0.623706,-0.537198,-0.440397,-0.175366,0.186412,1.916605,-2.394057,0.008021
106,1769517416469,1.177794,-2.0841,450.2759,-261.8481,0.680656,0.273123,-0.235437,0.637715,1.553942,0.623541,-0.537504,-0.44031,-0.175023,0.186385,1.916591,-2.394044,0.008071
107,1769517416480,1.188906,-2.2082,450.214,-261.6513,0.680655,0.27314,-0.235446,0.637706,1.553945,0.623582,-0.537527,-0.44027,-0.174828,0.186359,1.916574,-2.39411,0.008037
