FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
0,1769589272393,0,-0.394427,-0.287864,0.256704,0.519257,0.482694,-0.417702,0.568247,1.219703,1.133819,-0.981156,-0.394427,-0.287864,0.256704,2.513229,-1.559453,-0.152802,-0.385565,-0.266522,0.231413,2.691722,-1.411672,-0.096939
1,1769589272404,0.011111,-0.394427,-0.28786,0.256716,0.519275,0.482688,-0.417679,0.568252,1.219745,1.133802,-0.981101,-0.394427,-0.28786,0.256716,2.513226,-1.559427,-0.152838,-0.385565,-0.266544,0.231437,2.691676,-1.411735,-0.096897
2,1769589272415,0.022223,-0.394411,-0.28787,0.256684,0.519287,0.482669,-0.417671,0.568263,1.219766,1.133753,-0.981078,-0.394411,-0.28787,0.256684,2.51329,-1.559436,-0.152767,-0.385556,-0.266529,0.23136,2.691659,-1.411815,-0.096905
3,1769589272426,0.033334,-0.394417,-0.287863,0.256706,0.51928,0.482669,-0.417677,0.568265,1.219748,1.133753,-0.981092,-0.394417,-0.287863,0.256706,2.513245,-1.559442,-0.152822,-0.385559,-0.266543,0.231367,2.691663,-1.411797,-0.096928
4,1769589272437,0.044445,-0.394408,-0.287869,0.256708,0.519291,0.482724,-0.417626,0.568246,1.219784,1.13389,-0.980979,-0.394408,-0.287869,0.256708,2.51326,-1.559425,-0.152828,-0.385499,-0.266441,0.231403,2.691572,-1.411725,-0.096776
5,1769589272448,0.055556,-0.394422,-0.287869,0.256715,0.519261,0.482695,-0.417649,0.568281,1.219695,1.133806,-0.98102,-0.394422,-0.287869,0.256715,2.513204,-1.55943,-0.152821,-0.385513,-0.266408,0.2314,2.691577,-1.411748,-0.096951
6,1769589272459,0.066667,-0.394408,-0.287872,0.256708,0.519261,0.482691,-0.41766,0.568276,1.219697,1.133799,-0.981047,-0.394408,-0.287872,0.256708,2.513261,-1.559426,-0.152796,-0.385515,-0.266417,0.231344,2.691601,-1.411741,-0.096953
7,1769589272470,0.077779,-0.394418,-0.287869,0.256729,0.519253,0.48273,-0.417641,0.568263,1.219687,1.133898,-0.981008,-0.394418,-0.287869,0.256729,2.513213,-1.5594,-0.152873,-0.385582,-0.266366,0.231382,2.691575,-1.411656,-0.096894
8,1769589272481,0.08889,-0.394417,-0.287869,0.256718,0.519256,0.482716,-0.41765,0.568266,1.219691,1.133863,-0.981028,-0.394417,-0.287869,0.256718,2.51322,-1.559419,-0.152841,-0.38559,-0.266342,0.231393,2.691582,-1.411679,-0.096914
9,1769589272493,0.100001,-0.39441,-0.287872,0.25672,0.519276,0.482731,-0.417645,0.568239,1.219753,1.133909,-0.981027,-0.39441,-0.287872,0.25672,2.513235,-1.559384,-0.152832,-0.385564,-0.266282,0.231387,2.691622,-1.411669,-0.096803
10,1769589272504,0.111112,-0.39441,-0.287873,0.256681,0.519263,0.482717,-0.417631,0.568273,1.219705,1.133861,-0.980978,-0.39441,-0.287873,0.256681,2.513285,-1.559456,-0.152742,-0.385571,-0.266271,0.23142,2.691557,-1.411719,-0.096895
11,1769589272515,0.122224,-0.394419,-0.287864,0.256716,0.51925,0.482726,-0.417643,0.56827,1.219675,1.133883,-0.981008,-0.394419,-0.287864,0.256716,2.513219,-1.55944,-0.152832,-0.385544,-0.266285,0.231388,2.691569,-1.411663,-0.096918
12,1769589272526,0.133335,-0.394429,-0.287858,0.256709,0.519271,0.482732,-0.41763,0.568254,1.219734,1.133906,-0.980986,-0.394429,-0.287858,0.256709,2.51322,-1.559471,-0.152873,-0.385537,-0.266269,0.231392,2.691565,-1.411681,-0.096829
13,1769589272537,0.144446,-0.394415,-0.287868,0.2567,0.519274,0.48269,-0.417658,0.568267,1.219733,1.133801,-0.981046,-0.394415,-0.287868,0.2567,2.513262,-1.559433,-0.152809,-0.385534,-0.266274,0.231406,2.691624,-1.411765,-0.096909
14,1769589272548,0.155557,-0.394417,-0.287873,0.256708,0.519251,0.482726,-0.417665,0.568252,1.219688,1.133893,-0.981069,-0.394417,-0.287873,0.256708,2.513231,-1.559411,-0.15282,-0.385533,-0.266306,0.231387,2.691649,-1.411636,-0.096897
15,1769589272559,0.166668,-0.394409,-0.287862,0.256698,0.519221,0.482732,-0.41768,0.568263,1.219612,1.133902,-0.981098,-0.394409,-0.287862,0.256698,2.513277,-1.559442,-0.152819,-0.385482,-0.266286,0.231389,2.691643,-1.411564,-0.096986
16,1769589272570,0.17778,-0.394413,-0.287872,0.256716,0.519233,0.48275,-0.41766,0.568251,1.219646,1.13395,-0.981058,-0.394413,-0.287872,0.256716,2.513204,-1.559423,-0.152808,-0.385394,-0.266276,0.231415,2.69161,-1.411552,-0.096907
17,1769589272581,0.188891,-0.394416,-0.287863,0.256716,0.519232,0.482749,-0.417664,0.56825,1.219645,1.133947,-0.981066,-0.394416,-0.287863,0.256716,2.513222,-1.559451,-0.152849,-0.385366,-0.266264,0.231431,2.691633,-1.411554,-0.096909
18,1769589272593,0.200002,-0.39441,-0.28787,0.256706,0.519271,0.482726,-0.417655,0.568241,1.21974,1.133897,-0.98105,-0.39441,-0.28787,0.256706,2.513256,-1.559428,-0.152788,-0.385375,-0.26628,0.231406,2.691642,-1.411667,-0.09683
19,1769589272604,0.211113,-0.39442,-0.287858,0.25671,0.519262,0.482731,-0.417671,0.568233,1.219723,1.133912,-0.981091,-0.39442,-0.287858,0.25671,2.513222,-1.559472,-0.15284,-0.385366,-0.2663,0.231375,2.69167,-1.411616,-0.096841
20,1769589272615,0.222225,-0.394412,-0.287875,0.256724,0.519315,0.48273,-0.41767,0.568185,1.219872,1.133934,-0.981108,-0.394412,-0.287875,0.256724,2.513202,-1.559416,-0.152827,-0.385446,-0.266344,0.231379,2.691742,-1.411668,-0.096642
21,1769589272626,0.233336,-0.394421,-0.287859,0.256689,0.519299,0.482703,-0.41771,0.568195,1.219828,1.133865,-0.981198,-0.394421,-0.287859,0.256689,2.513247,-1.559488,-0.152808,-0.385445,-0.266355,0.231363,2.691807,-1.411671,-0.09675
22,1769589272637,0.244447,-0.394414,-0.287875,0.256687,0.519285,0.482698,-0.417739,0.56819,1.2198,1.133856,-0.981268,-0.394414,-0.287875,0.256687,2.513265,-1.559434,-0.152745,-0.385483,-0.26639,0.231388,2.691839,-1.411614,-0.096799
23,1769589272648,0.255558,-0.39443,-0.287865,0.256752,0.519286,0.482692,-0.417753,0.568184,1.219804,1.133845,-0.981303,-0.39443,-0.287865,0.256752,2.513139,-1.559393,-0.152919,-0.385493,-0.26642,0.231357,2.691897,-1.411621,-0.096801
24,1769589272659,0.26667,-0.394413,-0.287873,0.256705,0.519313,0.482695,-0.417749,0.56816,1.219881,1.133862,-0.981303,-0.394413,-0.287873,0.256705,2.513263,-1.559412,-0.152818,-0.385559,-0.266446,0.231312,2.691889,-1.411626,-0.096695
25,1769589272670,0.277781,-0.394408,-0.287868,0.256685,0.519281,0.482709,-0.417743,0.568181,1.219795,1.133887,-0.981281,-0.394408,-0.287868,0.256685,2.513304,-1.559422,-0.152749,-0.38558,-0.266451,0.231346,2.691874,-1.411584,-0.096782
26,1769589272681,0.288892,-0.39442,-0.287868,0.256729,0.519284,0.482724,-0.417738,0.568169,1.219808,1.133927,-0.981274,-0.39442,-0.287868,0.256729,2.513197,-1.55941,-0.152854,-0.385568,-0.266485,0.231354,2.691854,-1.41154,-0.096735
27,1769589272693,0.300004,-0.394406,-0.287869,0.256706,0.519285,0.482723,-0.417727,0.568177,1.219806,1.133922,-0.981245,-0.394406,-0.287869,0.256706,2.513249,-1.559447,-0.152794,-0.385501,-0.266498,0.231342,2.691839,-1.411568,-0.096739
