FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1774597079719,0.000000,633.8351,277.9387,-650.7454,0.206899,0.683705,-0.664035,0.220903,0.571951,1.890038,-1.835661,0.273194,-0.162687,0.456120,-2.205189,-2.215223,-0.035373
1,1774597079730,0.011111,633.7205,278.0551,-650.6450,0.206877,0.683757,-0.663993,0.220888,0.571896,1.890197,-1.835561,0.273192,-0.162683,0.456121,-2.205225,-2.215206,-0.035343
2,1774597079741,0.022223,633.7509,278.0590,-650.6954,0.206871,0.683722,-0.664001,0.220978,0.571853,1.890008,-1.835495,0.273188,-0.162695,0.456115,-2.205254,-2.215156,-0.035348
3,1774597079752,0.033334,633.5918,277.9585,-650.7128,0.206820,0.683785,-0.663956,0.220965,0.571716,1.890197,-1.835384,0.273198,-0.162699,0.456099,-2.205206,-2.215131,-0.035267
4,1774597079763,0.044445,633.6151,277.9958,-650.6771,0.206840,0.683794,-0.663949,0.220943,0.571778,1.890243,-1.835384,0.273194,-0.162693,0.456108,-2.205251,-2.215123,-0.035274
5,1774597079774,0.055557,633.5584,278.1019,-650.6068,0.206757,0.683789,-0.663980,0.220940,0.571550,1.890233,-1.835473,0.273184,-0.162694,0.456114,-2.205220,-2.215175,-0.035336
6,1774597079785,0.066668,633.6585,278.2364,-650.6644,0.206758,0.683776,-0.663993,0.220940,0.571552,1.890197,-1.835509,0.273193,-0.162697,0.456112,-2.205202,-2.215156,-0.035330
7,1774597079796,0.077779,633.6564,278.2468,-650.6752,0.206750,0.683760,-0.664014,0.220937,0.571530,1.890155,-1.835570,0.273185,-0.162700,0.456120,-2.205226,-2.215207,-0.035342
8,1774597079807,0.088890,633.6354,278.3250,-650.5576,0.206759,0.683792,-0.663969,0.220963,0.571549,1.890217,-1.835422,0.273197,-0.162699,0.456101,-2.205243,-2.215142,-0.035258
9,1774597079819,0.100002,633.6410,278.3357,-650.5443,0.206758,0.683777,-0.663983,0.220969,0.571542,1.890169,-1.835454,0.273191,-0.162689,0.456107,-2.205204,-2.215183,-0.035284
10,1774597079830,0.111113,633.6352,278.2873,-650.5654,0.206761,0.683797,-0.663980,0.220915,0.571567,1.890278,-1.835496,0.273202,-0.162682,0.456101,-2.205162,-2.215193,-0.035236
11,1774597079841,0.122224,633.6245,278.2874,-650.5580,0.206802,0.683803,-0.663958,0.220922,0.571679,1.890291,-1.835429,0.273193,-0.162687,0.456120,-2.205225,-2.215206,-0.035342
12,1774597079852,0.133336,633.6970,278.1398,-650.6554,0.206861,0.683752,-0.664001,0.220895,0.571850,1.890175,-1.835575,0.273211,-0.162687,0.456087,-2.205136,-2.215165,-0.035192
13,1774597079863,0.144447,633.6411,278.1851,-650.6957,0.206847,0.683718,-0.664055,0.220853,0.571824,1.890122,-1.835765,0.273186,-0.162698,0.456118,-2.205234,-2.215189,-0.035358
14,1774597079874,0.155558,633.6694,278.0174,-650.8065,0.206734,0.683696,-0.664107,0.220870,0.571508,1.890045,-1.835892,0.273210,-0.162688,0.456096,-2.205157,-2.215161,-0.035229
15,1774597079885,0.166669,633.6976,278.0615,-650.6927,0.206652,0.683724,-0.664107,0.220858,0.571282,1.890136,-1.835904,0.273190,-0.162688,0.456113,-2.205187,-2.215166,-0.035304
16,1774597079896,0.177780,633.7034,277.9812,-650.7858,0.206678,0.683714,-0.664102,0.220882,0.571347,1.890081,-1.835866,0.273187,-0.162697,0.456125,-2.205246,-2.215174,-0.035332
17,1774597079907,0.188892,633.7131,278.1363,-650.7517,0.206709,0.683699,-0.664120,0.220842,0.571446,1.890082,-1.835956,0.273205,-0.162700,0.456095,-2.205173,-2.215151,-0.035255
18,1774597079919,0.200003,633.7023,278.1303,-650.7665,0.206716,0.683699,-0.664116,0.220849,0.571464,1.890076,-1.835937,0.273193,-0.162686,0.456118,-2.205175,-2.215237,-0.035373
19,1774597079930,0.211114,633.6709,278.1135,-650.7238,0.206746,0.683694,-0.664109,0.220857,0.571544,1.890054,-1.835910,0.273191,-0.162699,0.456112,-2.205274,-2.215095,-0.035316
