FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1002,1774596882452,11.147834,623.253,288.7518,-654.203,0.228512,0.669444,-0.674542,0.211232,0.634948,1.860131,-1.874296,0.269969,-0.152211,0.466691,-2.188012,-2.15729,-0.017318
1003,1774596882463,11.158946,623.9704,288.7945,-653.7285,0.22852,0.669475,-0.674532,0.211157,0.634996,1.860291,-1.874343,0.269957,-0.153403,0.466667,-2.187836,-2.157326,-0.017345
1004,1774596882475,11.170057,624.5493,288.7487,-653.2737,0.228517,0.669432,-0.674574,0.211165,0.634985,1.860164,-1.87445,0.269944,-0.153971,0.466661,-2.187808,-2.157367,-0.017251
1005,1774596882486,11.181168,625.1288,288.8154,-652.8271,0.228637,0.66955,-0.674462,0.211019,0.635368,1.860637,-1.874285,0.269921,-0.154543,0.466665,-2.187774,-2.157404,-0.01738
1006,1774596882497,11.192279,625.6667,288.8691,-652.3502,0.228522,0.669471,-0.674533,0.21117,0.634997,1.860266,-1.874331,0.269891,-0.155638,0.466646,-2.187768,-2.157406,-0.01734
1007,1774596882508,11.203391,626.2232,288.9129,-651.9396,0.228593,0.669513,-0.674464,0.211179,0.63519,1.860373,-1.874132,0.269796,-0.156172,0.466714,-2.188004,-2.157438,-0.017569
1008,1774596882519,11.214502,626.559,288.791,-651.2532,0.228586,0.669677,-0.674331,0.211088,0.635201,1.860921,-1.873854,0.269792,-0.156692,0.466699,-2.18796,-2.157436,-0.017574
1009,1774596882530,11.225613,627.0612,288.8347,-650.8987,0.228451,0.66966,-0.67428,0.211452,0.634704,1.860513,-1.873347,0.269724,-0.157726,0.466713,-2.188209,-2.157259,-0.017676
1010,1774596882541,11.236725,627.3731,288.4954,-650.4958,0.228525,0.669644,-0.674323,0.211289,0.634963,1.860628,-1.87363,0.269704,-0.158214,0.466731,-2.188227,-2.15727,-0.017806
1011,1774596882552,11.247836,627.828,288.3356,-650.1559,0.228627,0.669639,-0.674317,0.211211,0.635273,1.860693,-1.87369,0.26967,-0.159148,0.466705,-2.188231,-2.15726,-0.017729
1012,1774596882563,11.258947,628.4498,288.3673,-649.8557,0.228575,0.669669,-0.674334,0.211117,0.635163,1.86087,-1.873832,0.269686,-0.159579,0.466689,-2.188133,-2.157283,-0.017691
1013,1774596882575,11.270059,629.0049,288.3763,-649.494,0.228682,0.669515,-0.674437,0.21116,0.635444,1.860399,-1.874075,0.269682,-0.160019,0.466668,-2.187976,-2.157351,-0.017647
1014,1774596882586,11.28117,629.3514,288.4599,-649.0856,0.228614,0.669619,-0.674365,0.211135,0.635265,1.860711,-1.873901,0.269662,-0.160853,0.466647,-2.187937,-2.157377,-0.017613
1015,1774596882597,11.292281,629.8176,288.2887,-648.624,0.228625,0.669638,-0.674315,0.211221,0.635266,1.86068,-1.873677,0.269651,-0.16125,0.466651,-2.187797,-2.157517,-0.017675
1016,1774596882608,11.303393,630.2388,288.354,-648.5154,0.228497,0.669619,-0.674362,0.21127,0.634894,1.860579,-1.873758,0.269616,-0.16201,0.466647,-2.187878,-2.157538,-0.017672
1017,1774596882619,11.314504,630.733,288.1183,-648.3261,0.228641,0.66967,-0.674322,0.211082,0.635356,1.860906,-1.873834,0.269617,-0.162373,0.466617,-2.187754,-2.157534,-0.017602
1018,1774596882630,11.325615,631.1152,288.1962,-648.041,0.228575,0.669648,-0.674346,0.211145,0.635151,1.860784,-1.873838,0.269613,-0.162733,0.466612,-2.187646,-2.157628,-0.017646
1019,1774596882641,11.336727,631.4713,288.1653,-647.8381,0.228507,0.669619,-0.674397,0.211149,0.634961,1.860699,-1.873974,0.269616,-0.163382,0.466601,-2.18764,-2.157666,-0.017561
1020,1774596882652,11.347838,631.9884,288.2173,-647.4061,0.228579,0.669576,-0.674424,0.211122,0.635172,1.860605,-1.874076,0.269607,-0.163718,0.466589,-2.187597,-2.15767,-0.017602
1021,1774596882663,11.358949,632.3959,288.1812,-646.9284,0.228531,0.669639,-0.674346,0.211222,0.635004,1.860683,-1.87376,0.269627,-0.164326,0.466576,-2.187636,-2.157568,-0.017612
1022,1774596882675,11.370061,632.6074,288.3076,-646.656,0.228629,0.669637,-0.67433,0.211175,0.635291,1.860722,-1.873762,0.269625,-0.164615,0.466577,-2.187735,-2.157561,-0.017542
1023,1774596882686,11.381172,633.0153,288.3756,-646.5811,0.228638,0.669627,-0.674343,0.211153,0.635325,1.860718,-1.87382,0.269642,-0.164889,0.466574,-2.187693,-2.157593,-0.017525
1024,1774596882697,11.392283,633.3487,288.3723,-646.3926,0.228662,0.669625,-0.674323,0.2112,0.635377,1.860663,-1.873717,0.269695,-0.16543,0.466549,-2.187737,-2.157443,-0.017552
1025,1774596882708,11.403395,633.6616,288.473,-646.2057,0.228695,0.669544,-0.674406,0.211154,0.635481,1.860486,-1.873994,0.26972,-0.165675,0.466546,-2.187706,-2.157487,-0.017522
1026,1774596882719,11.414506,633.9379,288.55,-646.0322,0.228551,0.669572,-0.6744,0.211242,0.635052,1.860475,-1.87389,0.269739,-0.16591,0.466544,-2.187786,-2.157461,-0.017433
1027,1774596882730,11.425617,634.1189,288.3439,-645.8828,0.22856,0.66961,-0.674326,0.211346,0.635043,1.860477,-1.873582,0.269783,-0.166373,0.466567,-2.187818,-2.157515,-0.017593
1028,1774596882741,11.436729,634.399,288.3412,-645.7466,0.228623,0.669582,-0.674322,0.211381,0.635206,1.860366,-1.873536,0.269799,-0.166589,0.466604,-2.187951,-2.157547,-0.017675
1029,1774596882752,11.44784,634.6566,288.3101,-645.8257,0.228549,0.669564,-0.674342,0.211453,0.634975,1.860246,-1.873519,0.26991,-0.166985,0.466587,-2.187919,-2.157613,-0.017552
1030,1774596882763,11.458951,634.9822,288.4962,-645.7201,0.228446,0.669545,-0.674372,0.211527,0.634665,1.860119,-1.873529,0.269972,-0.167173,0.466594,-2.187944,-2.15761,-0.01756
1031,1774596882775,11.470062,635.219,288.5039,-645.6719,0.228498,0.669524,-0.674371,0.211541,0.634806,1.860047,-1.873514,0.27003,-0.167363,0.466588,-2.187978,-2.157536,-0.017564
1032,1774596882786,11.481174,635.617,288.4841,-645.598,0.228537,0.669512,-0.674384,0.211497,0.634929,1.860057,-1.873591,0.270179,-0.167711,0.466576,-2.187981,-2.15748,-0.017495
