FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
972,1774597090519,10.800257,270.3232,-151.2445,466.0247,0.208069,0.683652,-0.664037,0.219958,0.575473,1.890836,-1.836585,0.273732,-0.147106,0.455658,-2.20463,-2.214461,-0.036325
973,1774597090530,10.811368,270.3294,-151.8895,466.0352,0.207892,0.683496,-0.664221,0.220058,0.574953,1.890303,-1.836994,0.273738,-0.147751,0.455665,-2.204609,-2.214562,-0.036295
974,1774597090541,10.822479,270.3420,-152.5296,466.0254,0.207824,0.683609,-0.664121,0.220071,0.574762,1.890604,-1.836708,0.273750,-0.148391,0.455651,-2.204685,-2.214495,-0.036280
975,1774597090552,10.833591,270.3587,-153.7946,466.0325,0.207936,0.683472,-0.664253,0.219994,0.575095,1.890300,-1.837146,0.273764,-0.149656,0.455648,-2.204612,-2.214435,-0.036454
976,1774597090563,10.844702,270.3542,-154.3976,466.0376,0.207936,0.683436,-0.664251,0.220112,0.575060,1.890083,-1.837026,0.273758,-0.150259,0.455648,-2.204766,-2.214369,-0.036416
977,1774597090574,10.855813,270.3468,-155.5536,466.0688,0.207865,0.683606,-0.664099,0.220108,0.574865,1.890557,-1.836611,0.273748,-0.151415,0.455670,-2.204850,-2.214438,-0.036488
978,1774597090585,10.866924,270.3539,-156.1136,466.0919,0.207849,0.683564,-0.664172,0.220034,0.574841,1.890516,-1.836882,0.273754,-0.151975,0.455689,-2.204855,-2.214543,-0.036565
979,1774597090597,10.878036,270.3748,-156.6546,466.0948,0.207920,0.683608,-0.664105,0.220032,0.575039,1.890639,-1.836701,0.273774,-0.152516,0.455688,-2.204732,-2.214625,-0.036611
980,1774597090608,10.889147,270.3796,-157.7266,466.1025,0.207864,0.683624,-0.664127,0.219970,0.574904,1.890747,-1.836820,0.273777,-0.153588,0.455688,-2.204732,-2.214688,-0.036565
981,1774597090619,10.900258,270.3865,-158.2406,466.0940,0.207871,0.683626,-0.664132,0.219941,0.574932,1.890780,-1.836862,0.273783,-0.154102,0.455676,-2.204709,-2.214710,-0.036554
982,1774597090630,10.911369,270.3979,-159.2285,466.1085,0.207823,0.683721,-0.664066,0.219890,0.574814,1.891095,-1.836730,0.273793,-0.155090,0.455684,-2.204714,-2.214780,-0.036575
983,1774597090641,10.922481,270.4164,-159.7045,466.0894,0.207965,0.683661,-0.664137,0.219729,0.575256,1.891089,-1.837084,0.273811,-0.155566,0.455662,-2.204589,-2.214726,-0.036514
984,1774597090652,10.933592,270.4109,-160.1524,466.1171,0.207921,0.683687,-0.664134,0.219699,0.575144,1.891190,-1.837104,0.273805,-0.156014,0.455687,-2.204624,-2.214811,-0.036635
985,1774597090663,10.944703,270.4076,-161.0093,466.1439,0.207794,0.683824,-0.664009,0.219770,0.574771,1.891497,-1.836691,0.273801,-0.156871,0.455709,-2.204728,-2.214826,-0.036685
986,1774597090674,10.955814,270.4179,-161.4123,466.1391,0.207855,0.683807,-0.664012,0.219755,0.574944,1.891467,-1.836712,0.273811,-0.157274,0.455702,-2.204704,-2.214846,-0.036613
987,1774597090685,10.966925,270.4474,-162.1802,466.1489,0.207893,0.683767,-0.664053,0.219720,0.575059,1.891390,-1.836860,0.273840,-0.158042,0.455708,-2.204681,-2.214841,-0.036716
988,1774597090697,10.978037,270.4565,-162.5542,466.1457,0.207923,0.683816,-0.663999,0.219704,0.575147,1.891542,-1.836726,0.273849,-0.158416,0.455703,-2.204716,-2.214767,-0.036761
989,1774597090708,10.989148,270.4726,-162.9122,466.1424,0.207982,0.683706,-0.664097,0.219692,0.575315,1.891250,-1.837009,0.273865,-0.158774,0.455698,-2.204700,-2.214716,-0.036690
990,1774597090719,11.000259,270.5148,-163.5622,466.1543,0.207982,0.683832,-0.663962,0.219712,0.575310,1.891578,-1.836614,0.273907,-0.159424,0.455707,-2.204721,-2.214782,-0.036711
