FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769589430781,0,0.161883,-0.513181,0.199489,0.519227,0.482698,-0.417871,0.568147,1.219685,1.133875,-0.981595,-0.394417,-0.287851,0.256698,2.513194,-1.55954,-0.152755
1,1769589430792,0.011111,0.094947,-0.52943,0.199724,0.519221,0.482717,-0.41788,0.568129,1.21968,1.13393,-0.981623,-0.394411,-0.287846,0.256692,2.513257,-1.559508,-0.152791
2,1769589430803,0.022222,-0.067188,-0.535143,0.20233,0.519231,0.482664,-0.417894,0.568154,1.219691,1.133793,-0.981646,-0.394418,-0.287859,0.256716,2.5132,-1.559478,-0.152799
3,1769589430814,0.033334,-0.223019,-0.493304,0.204181,0.519219,0.482666,-0.417915,0.568148,1.219666,1.133802,-0.981698,-0.394414,-0.287848,0.256698,2.51326,-1.559498,-0.152851
4,1769589430825,0.044445,-0.237784,-0.479651,0.255326,0.5192,0.482699,-0.417888,0.568157,1.219617,1.133874,-0.981632,-0.394413,-0.287854,0.256709,2.513214,-1.559488,-0.15281
6,1769589430847,0.066667,-0.069235,-0.509572,0.332427,0.519242,0.482632,-0.417932,0.568144,1.219722,1.133722,-0.98174,-0.394412,-0.287863,0.256714,2.513244,-1.559421,-0.152862
7,1769589430858,0.077778,0.018244,-0.512822,0.331281,0.51925,0.482626,-0.417929,0.568144,1.219739,1.133709,-0.981733,-0.39441,-0.28787,0.256732,2.513209,-1.559406,-0.15287
,,,0.105947,-0.500268,0.329489,,,,,,,,,,,,,
,,,0.158156,-0.494217,0.301432,,,,,,,,,,,,,
,,,0.161955,-0.50953,0.226275,,,,,,,,,,,,,
,,,0.161522,-0.51512,0.164737,,,,,,,,,,,,,
