FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770131933416,0.000000,77.0075,495.2916,-632.2150,0.621884,-0.371193,0.397992,0.563098,1.463922,-0.873793,0.936878,0.332467,0.117578,0.505286,-2.210713,2.155582,-0.134579
1,1770131933427,0.011111,76.9791,495.3383,-632.2452,0.621868,-0.371198,0.397998,0.563108,1.463878,-0.873801,0.936888,0.332467,0.117578,0.505286,-2.210713,2.155582,-0.134579
2,1770131933438,0.022222,76.9471,495.3821,-632.1460,0.621879,-0.371202,0.398025,0.563074,1.463925,-0.873822,0.936966,0.332467,0.117578,0.505286,-2.210713,2.155582,-0.134579
3,1770131933449,0.033334,76.9472,495.3945,-632.1255,0.621871,-0.371201,0.398041,0.563073,1.463907,-0.873821,0.937003,0.332468,0.117585,0.505278,-2.210750,2.155567,-0.134605
4,1770131933460,0.044445,77.1465,495.4007,-632.2236,0.621848,-0.371238,0.398033,0.563079,1.463850,-0.873906,0.936981,0.332468,0.117585,0.505278,-2.210750,2.155567,-0.134605
5,1770131933471,0.055556,77.1664,495.4102,-632.2254,0.621860,-0.371218,0.398043,0.563071,1.463884,-0.873863,0.937008,0.332468,0.117585,0.505278,-2.210750,2.155567,-0.134605
6,1770131933482,0.066667,77.0602,495.3120,-632.3052,0.621870,-0.371195,0.398052,0.563069,1.463909,-0.873808,0.937030,0.332460,0.117592,0.505291,-2.210739,2.155560,-0.134669
7,1770131933493,0.077779,77.0630,495.3139,-632.3127,0.621881,-0.371195,0.398050,0.563058,1.463940,-0.873812,0.937030,0.332460,0.117592,0.505291,-2.210739,2.155560,-0.134669
8,1770131933504,0.088890,76.9494,495.3985,-632.2885,0.621902,-0.371179,0.398022,0.563066,1.463984,-0.873772,0.936963,0.332460,0.117592,0.505291,-2.210739,2.155560,-0.134669
9,1770131933516,0.100001,76.9351,495.4095,-632.2922,0.621914,-0.371184,0.398022,0.563048,1.464024,-0.873791,0.936970,0.332444,0.117577,0.505308,-2.210674,2.155519,-0.134680
10,1770131933527,0.111112,77.0108,495.4434,-632.2269,0.621938,-0.371143,0.397985,0.563076,1.464062,-0.873684,0.936870,0.332444,0.117577,0.505308,-2.210674,2.155519,-0.134680
11,1770131933538,0.122224,77.0778,495.4286,-632.2610,0.621921,-0.371180,0.397929,0.563110,1.464001,-0.873759,0.936725,0.332444,0.117577,0.505308,-2.210674,2.155519,-0.134680
12,1770131933549,0.133335,77.0817,495.4389,-632.2607,0.621910,-0.371182,0.397935,0.563116,1.463973,-0.873761,0.936736,0.332441,0.117590,0.505303,-2.210714,2.155510,-0.134720
13,1770131933560,0.144446,77.0748,495.4485,-632.2769,0.621939,-0.371232,0.397905,0.563072,1.464069,-0.873894,0.936683,0.332441,0.117590,0.505303,-2.210714,2.155510,-0.134720
14,1770131933571,0.155557,77.0778,495.4581,-632.2789,0.621945,-0.371230,0.397902,0.563069,1.464085,-0.873891,0.936678,0.332462,0.117576,0.505283,-2.210702,2.155570,-0.134577
