FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770132260840,0.000000,74.4385,506.0465,-630.7044,0.608164,-0.386656,0.417379,0.553560,1.437384,-0.913853,0.986467,0.329754,0.116858,0.516379,-2.152213,2.226308,-0.142329
1,1770132260851,0.011111,74.4357,506.0584,-630.6956,0.608140,-0.386651,0.417398,0.553576,1.437315,-0.913834,0.986504,0.329759,0.116842,0.516374,-2.152162,2.226361,-0.142331
2,1770132260862,0.022222,74.3976,506.0951,-630.6401,0.608151,-0.386639,0.417417,0.553558,1.437353,-0.913813,0.986557,0.329746,0.116849,0.516384,-2.152171,2.226321,-0.142408
3,1770132260873,0.033334,74.3846,506.1053,-630.6268,0.608151,-0.386643,0.417417,0.553556,1.437353,-0.913824,0.986557,0.329743,0.116854,0.516394,-2.152161,2.226257,-0.142429
4,1770132260884,0.044445,74.3386,506.0493,-630.5755,0.608136,-0.386677,0.417423,0.553543,1.437326,-0.913910,0.986579,0.329749,0.116849,0.516388,-2.152171,2.226321,-0.142408
5,1770132260895,0.055556,74.3310,506.0600,-630.5352,0.608139,-0.386706,0.417402,0.553535,1.437339,-0.913981,0.986531,0.329744,0.116844,0.516397,-2.152113,2.226316,-0.142443
6,1770132260906,0.066667,74.5044,506.1171,-630.5231,0.608122,-0.386687,0.417402,0.553567,1.437279,-0.913923,0.986518,0.329755,0.116835,0.516388,-2.152116,2.226342,-0.142394
7,1770132260917,0.077779,74.5152,506.0152,-630.6229,0.608118,-0.386653,0.417427,0.553577,1.437263,-0.913840,0.986574,0.329765,0.116841,0.516365,-2.152170,2.226342,-0.142318
8,1770132260928,0.088890,74.4787,506.0848,-630.6995,0.608081,-0.386685,0.417432,0.553591,1.437166,-0.913910,0.986578,0.329753,0.116846,0.516382,-2.152155,2.226329,-0.142367
9,1770132260940,0.100001,74.3879,506.0979,-630.6235,0.608094,-0.386663,0.417461,0.553570,1.437212,-0.913865,0.986656,0.329753,0.116840,0.516385,-2.152120,2.226374,-0.142381
10,1770132260951,0.111113,74.4427,506.0726,-630.4862,0.608115,-0.386620,0.417451,0.553586,1.437250,-0.913757,0.986625,0.329739,0.116844,0.516399,-2.152128,2.226272,-0.142349
11,1770132260962,0.122224,74.4329,506.0359,-630.4434,0.608121,-0.386641,0.417461,0.553556,1.437283,-0.913820,0.986662,0.329765,0.116839,0.516370,-2.152155,2.226381,-0.142319
12,1770132260973,0.133335,74.4358,506.0351,-630.4069,0.608124,-0.386642,0.417454,0.553558,1.437289,-0.913820,0.986645,0.329764,0.116844,0.516376,-2.152200,2.226322,-0.142359
13,1770132260984,0.144446,74.3582,506.2283,-630.5488,0.608116,-0.386600,0.417451,0.553598,1.437246,-0.913706,0.986621,0.329749,0.116854,0.516381,-2.152228,2.226270,-0.142356
14,1770132260995,0.155558,74.4438,506.1358,-630.6403,0.608138,-0.386597,0.417421,0.553597,1.437299,-0.913700,0.986551,0.329751,0.116843,0.516390,-2.152158,2.226304,-0.142340
15,1770132261006,0.166669,74.3906,506.1727,-630.7319,0.608120,-0.386577,0.417462,0.553601,1.437253,-0.913650,0.986645,0.329756,0.116849,0.516380,-2.152196,2.226290,-0.142342
16,1770132261017,0.177780,74.3827,506.2354,-630.6783,0.608129,-0.386532,0.417455,0.553628,1.437258,-0.913535,0.986617,0.329748,0.116848,0.516389,-2.152160,2.226309,-0.142406
17,1770132261028,0.188892,74.4545,506.1746,-630.6906,0.608079,-0.386526,0.417476,0.553671,1.437115,-0.913503,0.986649,0.329758,0.116847,0.516369,-2.152198,2.226291,-0.142316
18,1770132261040,0.200003,74.4451,506.0317,-630.7020,0.608049,-0.386514,0.417501,0.553693,1.437030,-0.913467,0.986699,0.329734,0.116847,0.516396,-2.152091,2.226290,-0.142412
19,1770132261051,0.211115,74.4547,506.0177,-630.6996,0.608039,-0.386529,0.417500,0.553695,1.437006,-0.913500,0.986695,0.329747,0.116852,0.516388,-2.152153,2.226277,-0.142443
20,1770132261062,0.222226,74.4669,506.0042,-630.6984,0.608042,-0.386519,0.417500,0.553699,1.437009,-0.913476,0.986695,0.329749,0.116835,0.516388,-2.152139,2.226336,-0.142329
21,1770132261073,0.233337,74.4260,505.9884,-630.6531,0.608024,-0.386516,0.417496,0.553724,1.436951,-0.913458,0.986676,0.329761,0.116839,0.516379,-2.152149,2.226374,-0.142331
22,1770132261084,0.244448,74.5494,505.9687,-630.6165,0.608042,-0.386547,0.417518,0.553666,1.437029,-0.913554,0.986750,0.329760,0.116849,0.516375,-2.152191,2.226366,-0.142346
23,1770132261095,0.255560,74.5839,505.9556,-630.6082,0.608045,-0.386537,0.417510,0.553675,1.437032,-0.913527,0.986729,0.329749,0.116843,0.516387,-2.152098,2.226323,-0.142375
24,1770132261106,0.266671,74.6750,506.0041,-630.5707,0.608025,-0.386567,0.417498,0.553685,1.436978,-0.913595,0.986695,0.329756,0.116843,0.516377,-2.152185,2.226304,-0.142316
25,1770132261117,0.277782,74.4870,505.9695,-630.5484,0.608048,-0.386526,0.417555,0.553646,1.437056,-0.913511,0.986845,0.329758,0.116855,0.516377,-2.152236,2.226308,-0.142386
