X_mm,Y_mm,Z_mm
74.4344,506.0605,-630.6506
74.4396,506.0709,-630.6160
74.4463,506.0762,-630.5871
74.4300,506.1006,-630.5556
74.4080,506.1483,-630.5786
74.4191,506.1364,-630.6274
74.4677,506.0601,-630.6288
74.5028,506.0207,-630.6108
74.4791,506.0208,-630.6293
74.4496,506.0128,-630.6696
74.4567,506.0067,-630.6928
74.4956,506.0014,-630.6825
74.5274,506.0108,-630.6538
74.5284,506.0460,-630.6449
74.5037,506.0728,-630.6496
74.4574,506.0998,-630.6421
74.3977,506.1256,-630.6165
74.3728,506.1396,-630.5849
74.3900,506.1607,-630.5593
74.3948,506.2161,-630.5195
74.3252,506.2922,-630.4424
74.2281,506.3899,-630.3405
74.1545,506.5614,-630.2352
74.1165,506.7794,-630.1173
74.1344,506.9525,-630.0033
74.1780,507.0357,-629.8703
74.1707,507.0979,-629.6971
74.1244,507.2007,-629.5422
74.0532,507.3364,-629.4524
73.9827,507.3932,-629.4144
73.9676,507.3191,-629.4242
73.9832,507.2274,-629.4135
73.9684,507.2281,-629.3191
73.9113,507.3046,-629.1719
73.8439,507.4037,-629.0432
73.8097,507.4884,-628.9734
73.7982,507.5851,-628.9001
73.7665,507.6972,-628.7582
73.6943,507.8019,-628.5552
73.5964,507.9382,-628.3584
73.4973,508.1125,-628.1813
73.4276,508.2818,-627.9935
73.3421,508.4455,-627.8724
73.2040,508.6305,-627.8415
73.0682,508.8424,-627.7628
72.9954,509.0611,-627.5892
72.9643,509.2782,-627.3731
72.9293,509.4977,-627.1512
72.8686,509.7042,-626.9444
72.7401,509.8779,-626.7744
72.5583,510.0374,-626.6218
72.3941,510.2273,-626.4467
72.2725,510.4554,-626.2574
72.1813,510.7054,-626.0743
72.1006,510.9508,-625.8809
72.0248,511.1613,-625.6526
71.9500,511.3155,-625.3896
71.8674,511.4255,-625.1088
71.8016,511.5259,-624.8230
71.7776,511.6298,-624.5483
71.7522,511.7606,-624.3101
71.6490,511.9159,-624.0955
71.4995,512.0791,-623.8719
71.3625,512.2546,-623.6352
71.2253,512.4478,-623.4113
71.0714,512.6542,-623.2087
70.9322,512.8644,-623.0034
70.8533,513.0832,-622.7883
70.8329,513.3166,-622.5754
70.7994,513.5509,-622.3733
70.7020,513.7841,-622.2040
70.5625,514.0226,-622.0667
70.4228,514.2420,-621.9021
70.3031,514.4232,-621.6810
70.2129,514.5937,-621.4302
70.1299,514.7848,-621.1828
70.0422,514.9774,-620.9331
69.9469,515.1527,-620.6772
69.8136,515.3170,-620.4439
69.6271,515.4775,-620.2439
69.4361,515.6498,-620.0491
69.2800,515.8499,-619.8573
69.1599,516.0763,-619.6846
69.0816,516.3065,-619.5388
69.0497,516.4952,-619.3999
69.0127,516.6048,-619.2065
68.9528,516.6962,-618.9672
68.8870,516.8365,-618.7432
68.8283,517.0113,-618.5709
68.7613,517.1472,-618.4274
68.6753,517.2497,-618.2962
68.5979,517.3378,-618.2003
68.5724,517.3495,-618.1629
68.6136,517.2944,-618.1516
68.6336,517.2723,-618.1391
68.5763,517.3383,-618.1185
68.5078,517.4454,-618.0892
68.4979,517.4977,-618.0641
68.5513,517.4666,-618.0543
68.5993,517.4404,-618.0809
68.5554,517.4554,-618.1700
68.4958,517.4867,-618.2420
68.5162,517.5294,-618.1969
68.5934,517.6080,-618.1047
68.6453,517.6894,-618.0437
68.6305,517.6820,-617.9894
68.5683,517.5947,-617.9500
68.5331,517.5224,-617.9405
68.5671,517.5413,-617.9670
68.6098,517.6403,-618.0215
68.6152,517.7258,-618.0581
68.5513,517.7571,-618.0599
68.4978,517.7516,-618.0654
68.5391,517.7175,-618.0641
68.6023,517.6693,-618.0270
68.6513,517.6444,-618.0398
68.6614,517.6465,-618.0922
