FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,,,,
0,1769589508547,0,0.157312,-0.513209,0.216538,0.506,0.501794,-0.477815,0.513673,1.216469,1.206355,-1.148709,-0.392966,-0.292727,0.265111,2.691393,-1.411749,-0.096958,,287.6955,927.6536,209.8535
1,1769589508558,0.011111,0.090984,-0.529388,0.216691,0.506054,0.501775,-0.477846,0.51361,1.21663,1.206342,-1.148814,-0.392959,-0.292724,0.265084,2.691461,-1.411801,-0.096908,,287.682,927.6665,209.8703
2,1769589508569,0.022223,-0.06884,-0.533201,0.217082,0.506059,0.501805,-0.477772,0.513644,1.216624,1.206397,-1.148619,-0.392962,-0.292706,0.265101,2.691429,-1.411838,-0.09698,,287.7444,927.6324,209.8583
3,1769589508580,0.033334,-0.222617,-0.489492,0.217178,0.506071,0.501751,-0.477816,0.513644,1.216653,1.206268,-1.148725,-0.392962,-0.292706,0.265101,2.691429,-1.411838,-0.09698,,287.7785,927.6103,209.8205
4,1769589508591,0.044445,-0.235308,-0.47399,0.267316,0.506008,0.501751,-0.477902,0.513626,1.216511,1.206277,-1.148941,-0.392959,-0.292705,0.265083,2.691457,-1.411889,-0.096999,,287.821,927.5759,209.8574
6,1769589508613,0.066667,-0.065292,-0.501808,0.343343,0.505941,0.501751,-0.477925,0.513671,1.216326,1.206253,-1.148974,-0.39296,-0.292712,0.265097,2.691442,-1.411874,-0.097011,,287.9725,927.5986,209.8705
7,1769589508624,0.077779,0.020692,-0.505595,0.343114,0.506028,0.501747,-0.47785,0.513658,1.216544,1.206251,-1.148801,-0.39296,-0.292697,0.265103,2.691424,-1.41192,-0.097023,,288.0205,927.6107,209.8651
,,,0.106125,-0.494277,0.342779,,,,,,,,,,,,,,,,,
,,,0.155867,-0.490495,0.31653,,,,,,,,,,,,,,,,,
,,,0.156587,-0.508805,0.243618,,,,,,,,,,,,,,,,,
,,,0.156687,-0.516396,0.181768,,,,,,,,,,,,,,,,,
