FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770131422871,0.000000,76.8330,495.1534,-632.2501,0.621986,-0.371193,0.397846,0.563088,1.464170,-0.873797,0.936539,0.332456,0.117584,0.505281,-2.210760,2.155573,-0.134513
1,1770131422882,0.011111,76.8244,495.1519,-632.2475,0.621986,-0.371197,0.397839,0.563090,1.464167,-0.873806,0.936521,0.332461,0.117580,0.505287,-2.210727,2.155568,-0.134553
2,1770131422893,0.022223,76.7729,495.1564,-632.3693,0.621961,-0.371169,0.397822,0.563148,1.464074,-0.873719,0.936457,0.332450,0.117576,0.505295,-2.210734,2.155549,-0.134566
3,1770131422904,0.033334,76.8080,495.2197,-632.3774,0.621942,-0.371173,0.397829,0.563162,1.464021,-0.873722,0.936469,0.332461,0.117567,0.505294,-2.210697,2.155615,-0.134515
4,1770131422915,0.044445,76.7515,495.2285,-632.2651,0.621930,-0.371152,0.397869,0.563160,1.463993,-0.873674,0.936564,0.332460,0.117586,0.505279,-2.210798,2.155559,-0.134515
5,1770131422926,0.055557,76.8029,495.2407,-632.3251,0.621919,-0.371219,0.397857,0.563137,1.463981,-0.873839,0.936544,0.332463,0.117585,0.505275,-2.210814,2.155520,-0.134462
6,1770131422937,0.066668,76.8290,495.1490,-632.2327,0.621886,-0.371226,0.397851,0.563172,1.463882,-0.873844,0.936518,0.332463,0.117579,0.505283,-2.210728,2.155568,-0.134526
7,1770131422948,0.077779,76.8350,495.1558,-632.2223,0.621863,-0.371255,0.397844,0.563184,1.463821,-0.873908,0.936496,0.332477,0.117578,0.505267,-2.210760,2.155625,-0.134490
8,1770131422959,0.088890,76.8625,495.1875,-632.3546,0.621828,-0.371248,0.397840,0.563231,1.463709,-0.873873,0.936468,0.332457,0.117583,0.505284,-2.210761,2.155548,-0.134513
9,1770131422971,0.100002,76.8069,495.2772,-632.3865,0.621763,-0.371262,0.397890,0.563258,1.463540,-0.873897,0.936576,0.332458,0.117587,0.505284,-2.210760,2.155521,-0.134539
10,1770131422982,0.111113,76.7544,495.3078,-632.4433,0.621817,-0.371274,0.397849,0.563219,1.463691,-0.873940,0.936495,0.332447,0.117577,0.505297,-2.210716,2.155505,-0.134576
11,1770131422993,0.122225,76.8034,495.2534,-632.3571,0.621836,-0.371294,0.397850,0.563184,1.463758,-0.873999,0.936511,0.332462,0.117587,0.505281,-2.210813,2.155520,-0.134489
12,1770131423004,0.133336,76.7973,495.1514,-632.3893,0.621860,-0.371283,0.397832,0.563178,1.463818,-0.873975,0.936470,0.332467,0.117581,0.505273,-2.210801,2.155508,-0.134489
13,1770131423015,0.144447,76.9273,495.1890,-632.3389,0.621871,-0.371283,0.397759,0.563218,1.463819,-0.873960,0.936282,0.332460,0.117577,0.505286,-2.210723,2.155562,-0.134512
14,1770131423026,0.155558,76.9497,495.1990,-632.3297,0.621864,-0.371299,0.397777,0.563202,1.463811,-0.874004,0.936330,0.332467,0.117576,0.505281,-2.210734,2.155600,-0.134515
15,1770131423037,0.166670,76.8794,495.2690,-632.3242,0.621875,-0.371258,0.397746,0.563238,1.463816,-0.873896,0.936245,0.332465,0.117590,0.505279,-2.210784,2.155597,-0.134488
16,1770131423048,0.177781,76.8816,495.2589,-632.3439,0.621833,-0.371276,0.397778,0.563250,1.463709,-0.873933,0.936314,0.332473,0.117581,0.505270,-2.210776,2.155586,-0.134435
17,1770131423059,0.188892,76.8860,495.3274,-632.2732,0.621822,-0.371281,0.397778,0.563259,1.463677,-0.873941,0.936312,0.332471,0.117578,0.505275,-2.210733,2.155626,-0.134514
18,1770131423071,0.200003,76.8883,495.2636,-632.3878,0.621802,-0.371249,0.397765,0.563313,1.463597,-0.873845,0.936259,0.332450,0.117583,0.505298,-2.210698,2.155594,-0.134603
19,1770131423082,0.211115,76.8765,495.2984,-632.3350,0.621830,-0.371226,0.397745,0.563310,1.463666,-0.873793,0.936213,0.332456,0.117583,0.505283,-2.210715,2.155607,-0.134497
20,1770131423093,0.222226,76.7609,495.2558,-632.4116,0.621782,-0.371229,0.397765,0.563347,1.463530,-0.873786,0.936246,0.332460,0.117579,0.505284,-2.210754,2.155542,-0.134528
21,1770131423104,0.233337,76.7365,495.1721,-632.3363,0.621827,-0.371212,0.397798,0.563285,1.463673,-0.873770,0.936348,0.332453,0.117584,0.505291,-2.210746,2.155535,-0.134565
22,1770131423115,0.244448,76.7490,495.1142,-632.1979,0.621805,-0.371233,0.397780,0.563308,1.463607,-0.873811,0.936297,0.332460,0.117579,0.505281,-2.210738,2.155606,-0.134554
23,1770131423126,0.255559,76.8061,495.0364,-632.1442,0.621781,-0.371221,0.397762,0.563355,1.463522,-0.873765,0.936235,0.332475,0.117577,0.505270,-2.210802,2.155560,-0.134438
24,1770131423137,0.266671,76.8139,495.0097,-632.1290,0.621774,-0.371210,0.397766,0.563368,1.463498,-0.873733,0.936240,0.332453,0.117590,0.505280,-2.210758,2.155598,-0.134512
25,1770131423148,0.277782,76.8228,494.9931,-632.1013,0.621779,-0.371212,0.397768,0.563359,1.463516,-0.873741,0.936249,0.332467,0.117585,0.505270,-2.210769,2.155553,-0.134473
26,1770131423159,0.288893,76.9278,495.0949,-632.3386,0.621775,-0.371180,0.397834,0.563338,1.463519,-0.873674,0.936411,0.332471,0.117587,0.505272,-2.210754,2.155566,-0.134499
27,1770131423171,0.300004,76.8633,495.2296,-632.4820,0.621750,-0.371156,0.397882,0.563347,1.463454,-0.873615,0.936522,0.332471,0.117576,0.505272,-2.210764,2.155599,-0.134410
28,1770131423182,0.311115,76.8749,495.2528,-632.5117,0.621753,-0.371152,0.397875,0.563351,1.463460,-0.873604,0.936503,0.332457,0.117587,0.505283,-2.210806,2.155514,-0.134502
29,1770131423193,0.322227,76.9300,495.2331,-632.3382,0.621768,-0.371131,0.397860,0.563359,1.463490,-0.873552,0.936466,0.332454,0.117581,0.505284,-2.210769,2.155529,-0.134500
30,1770131423204,0.333338,76.9573,495.2673,-632.3470,0.621780,-0.371119,0.397868,0.563349,1.463524,-0.873526,0.936488,0.332450,0.117581,0.505283,-2.210749,2.155535,-0.134512
31,1770131423215,0.344449,76.9334,495.1590,-632.2090,0.621748,-0.371139,0.397861,0.563376,1.463433,-0.873564,0.936460,0.332463,0.117590,0.505280,-2.210791,2.155577,-0.134501
32,1770131423226,0.355560,76.8631,495.2630,-632.1144,0.621758,-0.371131,0.397887,0.563352,1.463471,-0.873553,0.936531,0.332458,0.117581,0.505285,-2.210723,2.155536,-0.134537
33,1770131423237,0.366672,76.7887,495.1794,-632.1584,0.621722,-0.371127,0.397879,0.563400,1.463355,-0.873528,0.936493,0.332462,0.117580,0.505284,-2.210767,2.155580,-0.134502
34,1770131423248,0.377783,76.7635,495.2569,-632.3433,0.621677,-0.371096,0.397921,0.563441,1.463225,-0.873438,0.936576,0.332458,0.117583,0.505287,-2.210763,2.155554,-0.134581
35,1770131423259,0.388894,76.7093,495.3135,-632.3174,0.621719,-0.371063,0.397898,0.563432,1.463328,-0.873365,0.936525,0.332473,0.117576,0.505268,-2.210800,2.155585,-0.134466
36,1770131423271,0.400006,76.7371,495.3108,-632.3255,0.621707,-0.371071,0.397945,0.563406,1.463318,-0.873393,0.936648,0.332461,0.117578,0.505277,-2.210753,2.155593,-0.134529
37,1770131423282,0.411117,76.7318,495.1335,-632.2468,0.621720,-0.371082,0.397855,0.563448,1.463323,-0.873404,0.936418,0.332476,0.117576,0.505270,-2.210774,2.155612,-0.134464
38,1770131423293,0.422228,76.8311,495.1861,-632.2929,0.621716,-0.371071,0.397870,0.563450,1.463312,-0.873377,0.936452,0.332466,0.117581,0.505272,-2.210782,2.155566,-0.134449
39,1770131423304,0.433339,76.8223,495.2003,-632.2950,0.621724,-0.371068,0.397860,0.563449,1.463331,-0.873369,0.936430,0.332469,0.117579,0.505277,-2.210738,2.155657,-0.134502
40,1770131423315,0.444450,76.8251,495.0625,-632.2532,0.621780,-0.371110,0.397852,0.563366,1.463512,-0.873500,0.936442,0.332439,0.117585,0.505302,-2.210751,2.155491,-0.134630
41,1770131423326,0.455562,76.8246,495.0584,-632.2484,0.621769,-0.371116,0.397854,0.563372,1.463484,-0.873511,0.936446,0.332480,0.117568,0.505269,-2.210795,2.155606,-0.134455
42,1770131423337,0.466673,76.7438,495.0720,-632.2999,0.621802,-0.371104,0.397864,0.563337,1.463583,-0.873495,0.936482,0.332445,0.117576,0.505302,-2.210721,2.155537,-0.134592
43,1770131423348,0.477784,76.7311,495.0739,-632.3008,0.621792,-0.371094,0.397870,0.563351,1.463551,-0.873467,0.936492,0.332460,0.117583,0.505283,-2.210774,2.155535,-0.134514
44,1770131423359,0.488896,76.7384,495.1488,-632.2123,0.621832,-0.371119,0.397847,0.563306,1.463673,-0.873543,0.936455,0.332474,0.117584,0.505267,-2.210793,2.155578,-0.134476
45,1770131423371,0.500007,76.7214,495.1556,-632.2026,0.621829,-0.371136,0.397857,0.563291,1.463675,-0.873589,0.936484,0.332466,0.117579,0.505279,-2.210755,2.155567,-0.134501
46,1770131423382,0.511118,76.8681,495.1797,-632.3823,0.621775,-0.371142,0.397864,0.563342,1.463516,-0.873583,0.936481,0.332479,0.117583,0.505258,-2.210810,2.155597,-0.134492
47,1770131423393,0.522229,76.8843,495.1947,-632.4033,0.621794,-0.371183,0.397842,0.563309,1.463581,-0.873691,0.936441,0.332460,0.117579,0.505288,-2.210715,2.155556,-0.134552
48,1770131423404,0.533340,76.9223,495.2157,-632.5510,0.621782,-0.371183,0.397835,0.563328,1.463541,-0.873686,0.936419,0.332449,0.117589,0.505291,-2.210754,2.155515,-0.134523
49,1770131423415,0.544452,76.9465,495.2224,-632.5852,0.621788,-0.371178,0.397853,0.563311,1.463566,-0.873680,0.936468,0.332469,0.117576,0.505273,-2.210794,2.155605,-0.134452
50,1770131423426,0.555563,76.8204,495.2249,-632.5010,0.621793,-0.371193,0.397842,0.563304,1.463583,-0.873716,0.936445,0.332470,0.117591,0.505270,-2.210767,2.155604,-0.134446
51,1770131423437,0.566674,76.8299,495.2189,-632.5171,0.621798,-0.371227,0.397838,0.563279,1.463609,-0.873806,0.936444,0.332468,0.117586,0.505272,-2.210745,2.155611,-0.134513
52,1770131423448,0.577786,76.7918,494.9622,-632.3823,0.621801,-0.371227,0.397856,0.563263,1.463626,-0.873812,0.936494,0.332473,0.117576,0.505268,-2.210774,2.155612,-0.134464
53,1770131423459,0.588897,76.7696,495.0781,-632.3453,0.621800,-0.371253,0.397862,0.563242,1.463637,-0.873882,0.936516,0.332468,0.117576,0.505276,-2.210754,2.155593,-0.134503
54,1770131423471,0.600008,76.8383,495.0037,-632.2399,0.621756,-0.371252,0.397927,0.563246,1.463530,-0.873877,0.936666,0.332472,0.117581,0.505276,-2.210782,2.155566,-0.134449
55,1770131423482,0.611119,76.8313,495.0815,-632.2015,0.621798,-0.371217,0.397911,0.563234,1.463636,-0.873798,0.936635,0.332446,0.117589,0.505294,-2.210741,2.155528,-0.134522
56,1770131423493,0.622231,76.8501,495.1404,-632.3056,0.621794,-0.371168,0.397994,0.563212,1.463640,-0.873692,0.936838,0.332453,0.117587,0.505290,-2.210717,2.155561,-0.134616
