FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769589508547,0.000000,104.410800,537.333600,-391.988300,0.506000,0.501794,-0.477815,0.513673,1.216469,1.206355,-1.148709,-0.392966,-0.292727,0.265111,2.691393,-1.411749,-0.096958
1,1769589508700,0.153814,104.583193,537.257915,-392.029727,0.505984,0.501700,-0.477936,0.513668,1.216431,1.206132,-1.149003,-0.392946,-0.292729,0.265098,2.691499,-1.411820,-0.096985
2,1769589508909,0.363118,104.839895,537.286157,-392.174702,0.505927,0.501759,-0.477947,0.513657,1.216300,1.206279,-1.149034,-0.392950,-0.292746,0.265073,2.691456,-1.411828,-0.096711
3,1769589509073,0.526675,104.905879,537.295600,-392.160761,0.505943,0.501688,-0.477823,0.513825,1.216250,1.206021,-1.148652,-0.392967,-0.292696,0.265091,2.691345,-1.411932,-0.096741
4,1769589509227,0.681153,104.937944,537.166214,-392.172985,0.506037,0.501683,-0.477686,0.513865,1.216455,1.205989,-1.148304,-0.393041,-0.292632,0.265148,2.691210,-1.412037,-0.096837
5,1769589509435,0.889180,105.059957,537.214598,-392.160882,0.505991,0.501663,-0.477898,0.513733,1.216414,1.206009,-1.148878,-0.393101,-0.292512,0.265176,2.691033,-1.412268,-0.096874
6,1769589509568,1.022157,105.226987,537.254101,-392.045470,0.506218,0.501558,-0.477890,0.513618,1.217021,1.205817,-1.148916,-0.393117,-0.292456,0.265144,2.691015,-1.412470,-0.096590
7,1769589509689,1.142676,104.970970,537.209451,-392.036301,0.506220,0.501651,-0.477668,0.513733,1.216965,1.205980,-1.148324,-0.393152,-0.292357,0.265151,2.690958,-1.412697,-0.096596
8,1769589509817,1.271402,105.029548,537.243162,-391.930420,0.506377,0.501477,-0.477615,0.513797,1.217309,1.205529,-1.148167,-0.393214,-0.292206,0.265136,2.690954,-1.413070,-0.096569
9,1769589509963,1.416397,105.044653,537.114171,-391.780385,0.506416,0.500862,-0.477972,0.514027,1.217280,1.203930,-1.148909,-0.393349,-0.291940,0.265137,2.690836,-1.413728,-0.096983
10,1769589509994,1.447923,105.216908,537.298031,-392.675685,0.504611,0.500240,-0.478643,0.515779,1.212026,1.201526,-1.149653,-0.393493,-0.291742,0.265149,2.690941,-1.413395,-0.104977
11,1769589510013,1.467201,104.654650,536.350950,-393.421373,0.503484,0.500196,-0.478493,0.517062,1.208647,1.200754,-1.148656,-0.393528,-0.291692,0.265121,2.690982,-1.413105,-0.109218
