FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
0,1769589508547,0,104.4108,537.3336,-391.9883,0.506,0.501794,-0.477815,0.513673,1.216469,1.206355,-1.148709,-0.392966,-0.292727,0.265111,2.691393,-1.411749,-0.096958,104.499267,537.345638,-392.018938,0.506034,0.501794,-0.477820,0.513634
1,1769589508558,0.011111,104.5334,537.3446,-392.0114,0.506054,0.501775,-0.477846,0.51361,1.21663,1.206342,-1.148814,-0.392959,-0.292724,0.265084,2.691461,-1.411801,-0.096908,104.554019,537.338976,-391.985876,0.506046,0.501785,-0.477813,0.513638
2,1769589508569,0.022223,104.7451,537.3386,-392.0194,0.506059,0.501805,-0.477772,0.513644,1.216624,1.206397,-1.148619,-0.392962,-0.292706,0.265101,2.691429,-1.411838,-0.09698,104.672900,537.331548,-392.001933,0.506050,0.501782,-0.477807,0.513643
3,1769589508580,0.033334,104.8156,537.3109,-391.9434,0.506071,0.501751,-0.477816,0.513644,1.216653,1.206268,-1.148725,-0.392962,-0.292706,0.265101,2.691429,-1.411838,-0.09698,104.796776,537.318962,-392.021724,0.506059,0.501761,-0.477841,0.513623
4,1769589508591,0.044445,104.7958,537.3081,-392.1241,0.506008,0.501751,-0.477902,0.513626,1.216511,1.206277,-1.148941,-0.392959,-0.292705,0.265083,2.691457,-1.411889,-0.096999,104.833533,537.305543,-392.061476,0.506020,0.501748,-0.477885,0.513632
5,1769589508602,0.055556,104.8659,537.2883,-392.0692,0.506018,0.501721,-0.477947,0.513603,1.216548,1.206216,-1.14906,-0.392935,-0.292733,0.265073,2.691521,-1.411808,-0.096912,104.840638,537.289933,-392.098024,0.505993,0.501731,-0.477926,0.513637
6,1769589508613,0.066667,104.7993,537.2949,-392.1369,0.505941,0.501751,-0.477925,0.513671,1.216326,1.206253,-1.148974,-0.39296,-0.292712,0.265097,2.691442,-1.411874,-0.097011,104.826562,537.286400,-392.104657,0.505998,0.501749,-0.477899,0.513640
7,1769589508624,0.077779,104.8609,537.2734,-392.0497,0.506028,0.501747,-0.47785,0.513658,1.216544,1.206251,-1.148801,-0.39296,-0.292697,0.265103,2.691424,-1.41192,-0.097023,104.828176,537.293810,-392.041700,0.506015,0.501754,-0.477870,0.513646
8,1769589508635,0.08889,104.7589,537.3116,-391.9662,0.506073,0.501794,-0.477797,0.513618,1.216672,1.206383,-1.148691,-0.392951,-0.292707,0.265083,2.691455,-1.411911,-0.096972,104.792457,537.306510,-391.996624,0.506021,0.501756,-0.477867,0.513641
9,1769589508647,0.100001,104.8155,537.3287,-391.929,0.505998,0.501731,-0.477922,0.513637,1.216482,1.206224,-1.148983,-0.392948,-0.292727,0.265083,2.691456,-1.411843,-0.096941,104.792262,537.312948,-391.920952,0.506030,0.501765,-0.477864,0.513626
10,1769589508658,0.111113,104.7182,537.3088,-391.9186,0.505995,0.501758,-0.477909,0.513626,1.216479,1.206293,-1.148957,-0.392961,-0.292711,0.265087,2.691424,-1.411901,-0.096966,104.747595,537.310143,-391.907929,0.506003,0.501782,-0.477859,0.513640
11,1769589508669,0.122224,104.7749,537.2958,-391.8673,0.505996,0.501819,-0.477806,0.51366,1.216465,1.206422,-1.148693,-0.392955,-0.292717,0.2651,2.691432,-1.411864,-0.097011,104.722810,537.307467,-391.904038,0.505989,0.501771,-0.477868,0.513657
12,1769589508680,0.133335,104.6212,537.2846,-391.9745,0.50598,0.501779,-0.477833,0.513691,1.216411,1.206309,-1.148742,-0.392954,-0.292719,0.265084,2.691473,-1.411857,-0.096963,104.660695,537.292714,-391.935619,0.505978,0.501769,-0.477866,0.513671
13,1769589508691,0.144447,104.6444,537.3187,-391.9321,0.505984,0.5017,-0.477936,0.513668,1.216431,1.206132,-1.149003,-0.392954,-0.292724,0.265079,2.691499,-1.41182,-0.096985,104.628229,537.285429,-391.965148,0.505972,0.501744,-0.477885,0.513683
14,1769589508702,0.155558,104.5718,537.2466,-392.0479,0.505928,0.501737,-0.477923,0.513699,1.21628,1.206205,-1.148956,-0.392945,-0.29273,0.265101,2.691432,-1.411832,-0.096945,104.590562,537.272500,-392.009952,0.505964,0.501717,-0.477908,0.513698
15,1769589508713,0.166669,104.6143,537.2705,-392.0057,0.505988,0.501715,-0.477874,0.513708,1.216419,1.206147,-1.148833,-0.392951,-0.292729,0.265088,2.691455,-1.411865,-0.096948,104.597700,537.265971,-392.042800,0.505952,0.501717,-0.477894,0.513722
16,1769589508724,0.177781,104.6036,537.2527,-392.0864,0.505939,0.501724,-0.477858,0.513761,1.216274,1.206143,-1.148768,-0.392948,-0.292724,0.265076,2.691486,-1.411881,-0.096932,104.609305,537.260024,-392.077967,0.505941,0.501729,-0.477865,0.513748
17,1769589508735,0.188892,104.6388,537.2796,-392.1006,0.505924,0.501734,-0.47786,0.513765,1.216236,1.206163,-1.14877,-0.392964,-0.292715,0.26507,2.691455,-1.411905,-0.096906,104.657257,537.274686,-392.068433,0.505947,0.501725,-0.477863,0.513747
18,1769589508747,0.200003,104.704,537.2648,-392.048,0.505947,0.501726,-0.477878,0.513733,1.216307,1.206161,-1.148831,-0.39298,-0.292712,0.265059,2.691481,-1.411902,-0.096962,104.689995,537.253700,-392.060152,0.505945,0.501725,-0.477873,0.513740
19,1769589508758,0.211114,104.7435,537.2529,-392.0144,0.505974,0.50172,-0.477888,0.513702,1.21639,1.206164,-1.148869,-0.392957,-0.292729,0.265048,2.691492,-1.411922,-0.096816,104.728057,537.239600,-392.018943,0.505957,0.501726,-0.477878,0.513723
20,1769589508769,0.222226,104.7223,537.1854,-392.019,0.50596,0.501719,-0.477875,0.513729,1.216341,1.206146,-1.148826,-0.392966,-0.292721,0.265029,2.691525,-1.411931,-0.096837,104.734095,537.232300,-392.032500,0.505957,0.501728,-0.477879,0.513721
