FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770132486937,0.000000,77.1833,495.6994,-632.2974,0.621942,-0.371085,0.398061,0.563056,1.464084,-0.873554,0.937057,0.332441,0.117571,0.505306,-2.210640,2.155540,-0.134720
1,1770132486948,0.011112,77.3388,495.5930,-632.1337,0.621958,-0.371148,0.398024,0.563023,1.464142,-0.873716,0.936983,0.332447,0.117575,0.505304,-2.210689,2.155506,-0.134629
2,1770132486959,0.022223,77.3221,495.6741,-632.1390,0.621888,-0.371170,0.398024,0.563085,1.463940,-0.873744,0.936959,0.332459,0.117570,0.505285,-2.210717,2.155589,-0.134648
3,1770132486970,0.033334,77.2181,495.6323,-632.2324,0.621951,-0.371079,0.398095,0.563026,1.464126,-0.873551,0.937149,0.332451,0.117568,0.505305,-2.210607,2.155612,-0.134707
4,1770132486981,0.044445,77.1430,495.5893,-632.3329,0.621937,-0.371109,0.398061,0.563045,1.464079,-0.873614,0.937062,0.332437,0.117575,0.505314,-2.210653,2.155527,-0.134719
5,1770132486992,0.055556,77.1332,495.4962,-632.1987,0.621905,-0.371118,0.398055,0.563079,1.463984,-0.873623,0.937034,0.332445,0.117568,0.505303,-2.210663,2.155534,-0.134656
6,1770132487003,0.066668,77.1151,495.5193,-632.1840,0.621908,-0.371116,0.398057,0.563076,1.463992,-0.873621,0.937039,0.332455,0.117566,0.505295,-2.210603,2.155631,-0.134641
7,1770132487014,0.077779,77.1990,495.6468,-632.1345,0.621916,-0.371103,0.398030,0.563096,1.463999,-0.873582,0.936968,0.332444,0.117575,0.505301,-2.210633,2.155584,-0.134680
8,1770132487025,0.088890,77.2546,495.6346,-632.0332,0.621978,-0.371077,0.397991,0.563071,1.464160,-0.873531,0.936886,0.332438,0.117579,0.505311,-2.210639,2.155539,-0.134718
9,1770132487037,0.100001,77.2629,495.6812,-631.9991,0.621978,-0.371071,0.398003,0.563066,1.464164,-0.873518,0.936918,0.332445,0.117568,0.505299,-2.210650,2.155572,-0.134629
10,1770132487048,0.111112,77.2274,495.7592,-631.9622,0.621990,-0.371065,0.397983,0.563072,1.464187,-0.873500,0.936867,0.332445,0.117577,0.505300,-2.210680,2.155525,-0.134668
11,1770132487059,0.122223,77.2049,495.8934,-631.9656,0.621933,-0.371078,0.398008,0.563107,1.464033,-0.873519,0.936913,0.332445,0.117565,0.505300,-2.210649,2.155572,-0.134656
12,1770132487070,0.133335,77.3542,495.5516,-632.3856,0.621944,-0.371064,0.397953,0.563144,1.464036,-0.873473,0.936768,0.332442,0.117560,0.505308,-2.210611,2.155561,-0.134682
13,1770132487081,0.144446,77.3376,495.5859,-632.4265,0.621959,-0.371040,0.397978,0.563125,1.464084,-0.873422,0.936835,0.332465,0.117571,0.505276,-2.210726,2.155595,-0.134581
14,1770132487092,0.155557,77.3015,495.6453,-632.4604,0.621941,-0.371020,0.398052,0.563106,1.464052,-0.873382,0.937016,0.332451,0.117569,0.505292,-2.210646,2.155565,-0.134588
15,1770132487103,0.166668,77.1945,495.5306,-632.5534,0.621934,-0.371053,0.398011,0.563122,1.464026,-0.873454,0.936913,0.332442,0.117571,0.505301,-2.210634,2.155585,-0.134681
16,1770132487114,0.177779,77.0740,495.3804,-632.3597,0.621927,-0.371128,0.397990,0.563094,1.464027,-0.873642,0.936876,0.332444,0.117571,0.505300,-2.210627,2.155604,-0.134667
17,1770132487125,0.188891,77.0878,495.4087,-632.3773,0.621927,-0.371112,0.398065,0.563052,1.464051,-0.873620,0.937068,0.332452,0.117571,0.505297,-2.210650,2.155603,-0.134723
18,1770132487137,0.200002,77.0776,495.4908,-632.3176,0.621932,-0.371129,0.397991,0.563088,1.464041,-0.873647,0.936880,0.332449,0.117575,0.505290,-2.210676,2.155545,-0.134602
19,1770132487148,0.211113,77.0779,495.5370,-632.3064,0.621938,-0.371151,0.397974,0.563079,1.464061,-0.873700,0.936845,0.332442,0.117576,0.505307,-2.210658,2.155558,-0.134707
20,1770132487159,0.222224,77.0567,495.5703,-632.2892,0.621952,-0.371135,0.397999,0.563055,1.464110,-0.873673,0.936912,0.332450,0.117574,0.505291,-2.210635,2.155584,-0.134654
21,1770132487170,0.233336,77.1545,495.5044,-632.2806,0.621944,-0.371167,0.397981,0.563056,1.464090,-0.873747,0.936868,0.332445,0.117577,0.505303,-2.210667,2.155539,-0.134667
22,1770132487181,0.244447,77.1799,495.5598,-632.2763,0.621945,-0.371140,0.397998,0.563061,1.464089,-0.873681,0.936908,0.332450,0.117568,0.505299,-2.210679,2.155577,-0.134671
23,1770132487192,0.255558,77.2735,495.5536,-632.2715,0.621931,-0.371177,0.397969,0.563072,1.464050,-0.873764,0.936835,0.332459,0.117572,0.505282,-2.210708,2.155550,-0.134593
24,1770132487203,0.266669,77.2895,495.5968,-632.2575,0.621926,-0.371176,0.397985,0.563067,1.464041,-0.873764,0.936873,0.332448,0.117575,0.505299,-2.210653,2.155577,-0.134667
25,1770132487214,0.277781,77.2765,495.6396,-632.2559,0.621914,-0.371197,0.397975,0.563074,1.464008,-0.873812,0.936848,0.332444,0.117571,0.505304,-2.210679,2.155526,-0.134696
26,1770132487225,0.288892,77.1737,495.5880,-632.2523,0.621911,-0.371171,0.398035,0.563052,1.464015,-0.873758,0.936998,0.332446,0.117582,0.505300,-2.210676,2.155550,-0.134720
27,1770132487237,0.300003,77.1509,495.6177,-632.2822,0.621939,-0.371158,0.397992,0.563060,1.464076,-0.873725,0.936893,0.332459,0.117571,0.505285,-2.210686,2.155583,-0.134632
28,1770132487248,0.311115,77.1972,495.5844,-632.2579,0.621921,-0.371164,0.398023,0.563054,1.464037,-0.873740,0.936970,0.332451,0.117569,0.505292,-2.210681,2.155577,-0.134618
29,1770132487259,0.322226,77.1968,495.6336,-632.2521,0.621905,-0.371174,0.398023,0.563065,1.463992,-0.873760,0.936964,0.332456,0.117567,0.505292,-2.210631,2.155579,-0.134616
30,1770132487270,0.333337,77.0992,495.5835,-632.2073,0.621935,-0.371197,0.397963,0.563059,1.464068,-0.873816,0.936825,0.332455,0.117571,0.505294,-2.210680,2.155577,-0.134644
31,1770132487281,0.344448,77.0851,495.6373,-632.1895,0.621945,-0.371187,0.397962,0.563055,1.464094,-0.873794,0.936824,0.332462,0.117577,0.505281,-2.210685,2.155608,-0.134631
32,1770132487292,0.355560,77.1536,495.5267,-632.3047,0.621970,-0.371196,0.397929,0.563045,1.464157,-0.873818,0.936751,0.332463,0.117566,0.505282,-2.210682,2.155578,-0.134619
33,1770132487303,0.366671,77.1827,495.5370,-632.3295,0.621975,-0.371209,0.397922,0.563036,1.464175,-0.873854,0.936738,0.332459,0.117559,0.505294,-2.210603,2.155657,-0.134644
34,1770132487314,0.377782,77.1766,495.5940,-632.3214,0.621979,-0.371198,0.397909,0.563048,1.464177,-0.873823,0.936702,0.332459,0.117571,0.505284,-2.210726,2.155569,-0.134608
35,1770132487325,0.388894,77.2358,495.5785,-632.2819,0.621974,-0.371194,0.397923,0.563045,1.464167,-0.873816,0.936738,0.332457,0.117574,0.505290,-2.210661,2.155609,-0.134603
36,1770132487337,0.400005,77.2799,495.5908,-632.2447,0.621991,-0.371171,0.397933,0.563035,1.464213,-0.873765,0.936765,0.332446,0.117568,0.505303,-2.210652,2.155527,-0.134748
37,1770132487348,0.411116,77.2895,495.5262,-632.2941,0.621982,-0.371196,0.397906,0.563048,1.464184,-0.873818,0.936695,0.332451,0.117568,0.505299,-2.210649,2.155546,-0.134656
38,1770132487359,0.422228,77.2240,495.5158,-632.2916,0.621973,-0.371235,0.397916,0.563025,1.464178,-0.873918,0.936728,0.332464,0.117571,0.505284,-2.210706,2.155577,-0.134619
39,1770132487370,0.433339,77.2635,495.4832,-632.2980,0.621968,-0.371232,0.397988,0.562982,1.464192,-0.873927,0.936916,0.332459,0.117569,0.505287,-2.210673,2.155622,-0.134632
