FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770132559278,0,75.3835,507.5350,-628.6172,0.615292,-0.377754,0.396866,0.566758,1.446186,-0.887875,0.932797,0.332459,0.117593,0.505268,-2.210788,2.155552,-0.134579
1,1770132559289,0.011112,75.3275,507.6301,-628.6309,0.615232,-0.377733,0.396883,0.566827,1.446002,-0.887800,0.932808,0.332459,0.117593,0.505268,-2.210788,2.155552,-0.134579
2,1770132559300,0.022223,75.3195,507.6118,-628.4869,0.615290,-0.377744,0.396860,0.566771,1.446174,-0.887847,0.932776,0.332445,0.117584,0.505289,-2.210736,2.155555,-0.134630
3,1770132559311,0.033334,75.3274,507.6123,-628.4414,0.615278,-0.377746,0.396872,0.566775,1.446142,-0.887850,0.932804,0.332449,0.117592,0.505288,-2.210768,2.155508,-0.134643
4,1770132559322,0.044445,75.2600,507.5763,-628.5536,0.615284,-0.377780,0.396854,0.566758,1.446167,-0.887937,0.932767,0.332457,0.117597,0.505280,-2.210820,2.155481,-0.134618
5,1770132559333,0.055557,75.2580,507.6162,-628.5768,0.615268,-0.377783,0.396885,0.566752,1.446133,-0.887945,0.932843,0.332440,0.117585,0.505297,-2.210744,2.155484,-0.134643
6,1770132559344,0.066668,75.2702,507.5729,-628.5855,0.615275,-0.377771,0.396910,0.566735,1.446158,-0.887923,0.932908,0.332465,0.117596,0.505274,-2.210785,2.155577,-0.134605
7,1770132559355,0.077779,75.2845,507.5011,-628.5976,0.615268,-0.377779,0.396898,0.566746,1.446136,-0.887938,0.932875,0.332467,0.117590,0.505274,-2.210793,2.155559,-0.134594
8,1770132559366,0.088890,75.2841,507.4264,-628.6508,0.615252,-0.377825,0.396871,0.566751,1.446096,-0.888044,0.932811,0.332444,0.117588,0.505297,-2.210709,2.155529,-0.134681
9,1770132559378,0.100001,75.3255,507.3059,-628.5137,0.615301,-0.377824,0.396858,0.566707,1.446238,-0.888057,0.932797,0.332449,0.117599,0.505282,-2.210810,2.155500,-0.134658
10,1770132559389,0.111113,75.3253,507.3721,-628.5215,0.615290,-0.377808,0.396851,0.566736,1.446194,-0.888010,0.932769,0.332459,0.117583,0.505284,-2.210731,2.155549,-0.134617
11,1770132559400,0.122224,75.3793,507.5306,-628.5473,0.615261,-0.377828,0.396829,0.566769,1.446105,-0.888046,0.932704,0.332456,0.117596,0.505280,-2.210745,2.155591,-0.134630
12,1770132559411,0.133335,75.3391,507.5905,-628.5164,0.615256,-0.377834,0.396846,0.566758,1.446102,-0.888063,0.932748,0.332461,0.117583,0.505274,-2.210777,2.155541,-0.134580
13,1770132559422,0.144446,75.2986,507.6307,-628.5049,0.615260,-0.377834,0.396868,0.566739,1.446121,-0.888071,0.932808,0.332466,0.117579,0.505270,-2.210758,2.155574,-0.134567
14,1770132559433,0.155557,75.1770,507.7680,-628.5135,0.615228,-0.377848,0.396853,0.566775,1.446023,-0.888088,0.932759,0.332448,0.117606,0.505289,-2.210819,2.155485,-0.134710
15,1770132559444,0.166669,75.1733,507.8132,-628.5127,0.615246,-0.377834,0.396841,0.566773,1.446067,-0.888058,0.932731,0.332458,0.117578,0.505284,-2.210736,2.155581,-0.134633
16,1770132559455,0.177780,75.1750,507.8584,-628.4922,0.615239,-0.377843,0.396833,0.566780,1.446048,-0.888076,0.932709,0.332461,0.117590,0.505274,-2.210754,2.155573,-0.134617
17,1770132559466,0.188891,75.2022,507.9407,-628.4046,0.615233,-0.377815,0.396881,0.566772,1.446037,-0.888013,0.932824,0.332452,0.117583,0.505288,-2.210724,2.155542,-0.134630
18,1770132559478,0.200002,75.2122,507.9704,-628.3728,0.615237,-0.377840,0.396879,0.566751,1.446061,-0.888080,0.932829,0.332453,0.117585,0.505286,-2.210758,2.155553,-0.134686
19,1770132559489,0.211114,75.1944,508.1394,-628.2350,0.615218,-0.377821,0.396879,0.566785,1.445994,-0.888022,0.932816,0.332460,0.117588,0.505271,-2.210779,2.155572,-0.134621
20,1770132559500,0.222225,75.1805,508.1706,-628.2089,0.615208,-0.377834,0.396889,0.566780,1.445975,-0.888055,0.932840,0.332452,0.117586,0.505287,-2.210777,2.155490,-0.134606
21,1770132559511,0.233336,75.1600,508.2164,-628.1706,0.615237,-0.377853,0.396869,0.566751,1.446059,-0.888109,0.932806,0.332450,0.117594,0.505282,-2.210740,2.155559,-0.134642
