FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770132882968,0,81.0268,507.6459,-623.5637,0.615164,-0.377740,0.396680,0.567038,1.445715,-0.887737,0.932249,0.332470,0.117565,0.505282,-2.210735,2.155684,-0.134586
1,1770132882979,0.011112,80.8842,507.8021,-623.3881,0.615155,-0.377724,0.396656,0.567073,1.445673,-0.887688,0.932179,0.332457,0.117575,0.505287,-2.210754,2.155574,-0.134649
2,1770132882990,0.022223,80.8146,507.7639,-623.4794,0.615214,-0.377672,0.396700,0.567013,1.445849,-0.887588,0.932307,0.332471,0.117575,0.505273,-2.210746,2.155695,-0.134584
3,1770132883001,0.033334,80.7635,507.7427,-623.4889,0.615205,-0.377690,0.396725,0.566995,1.445836,-0.887637,0.932371,0.332461,0.117585,0.505285,-2.210761,2.155636,-0.134675
4,1770132883012,0.044446,80.7567,507.7927,-623.4268,0.615172,-0.377671,0.396732,0.567038,1.445735,-0.887576,0.932371,0.332483,0.117577,0.505263,-2.210813,2.155655,-0.134534
5,1770132883023,0.055557,80.7556,507.8464,-623.3366,0.615201,-0.377646,0.396757,0.567006,1.445821,-0.887528,0.932443,0.332468,0.117573,0.505280,-2.210754,2.155651,-0.134598
6,1770132883034,0.066668,80.7522,507.8259,-623.3527,0.615175,-0.377643,0.396717,0.567064,1.445725,-0.887500,0.932325,0.332474,0.117568,0.505277,-2.210743,2.155639,-0.134599
7,1770132883045,0.077779,80.7500,507.8020,-623.3904,0.615167,-0.377649,0.396710,0.567073,1.445700,-0.887511,0.932306,0.332462,0.117568,0.505284,-2.210716,2.155614,-0.134649
8,1770132883056,0.088891,80.7568,507.7479,-623.4766,0.615144,-0.377675,0.396717,0.567076,1.445645,-0.887570,0.932323,0.332474,0.117576,0.505272,-2.210768,2.155637,-0.134572
9,1770132883068,0.100002,80.7831,507.7181,-623.5211,0.615133,-0.377684,0.396714,0.567083,1.445615,-0.887590,0.932312,0.332480,0.117576,0.505261,-2.210795,2.155662,-0.134520
10,1770132883079,0.111113,80.8099,507.6202,-623.5031,0.615127,-0.377681,0.396758,0.567062,1.445613,-0.887589,0.932422,0.332464,0.117564,0.505289,-2.210678,2.155654,-0.134648
11,1770132883090,0.122225,80.7902,507.6540,-623.4834,0.615099,-0.377676,0.396805,0.567063,1.445547,-0.887578,0.932534,0.332458,0.117578,0.505285,-2.210722,2.155619,-0.134607
12,1770132883101,0.133336,80.7824,507.7118,-623.5250,0.615105,-0.377686,0.396779,0.567068,1.445558,-0.887600,0.932471,0.332477,0.117576,0.505263,-2.210768,2.155663,-0.134545
13,1770132883112,0.144447,80.7885,507.7619,-623.5785,0.615109,-0.377638,0.396844,0.567049,1.445580,-0.887495,0.932630,0.332460,0.117572,0.505291,-2.210709,2.155633,-0.134635
14,1770132883123,0.155558,80.8341,507.7697,-623.6085,0.615116,-0.377638,0.396850,0.567038,1.445603,-0.887497,0.932649,0.332462,0.117576,0.505288,-2.210724,2.155651,-0.134675
15,1770132883134,0.166669,80.7268,507.7754,-623.4704,0.615088,-0.377707,0.396874,0.567006,1.445556,-0.887672,0.932717,0.332478,0.117572,0.505264,-2.210769,2.155689,-0.134520
16,1770132883145,0.177781,80.7022,507.7874,-623.4683,0.615096,-0.377705,0.396866,0.567004,1.445575,-0.887667,0.932700,0.332467,0.117573,0.505273,-2.210738,2.155658,-0.134530
17,1770132883156,0.188892,80.6079,507.8332,-623.4603,0.615102,-0.377715,0.396803,0.567035,1.445571,-0.887681,0.932538,0.332471,0.117572,0.505274,-2.210723,2.155671,-0.134583
18,1770132883168,0.200003,80.6544,507.9149,-623.3558,0.615044,-0.377754,0.396808,0.567068,1.445415,-0.887758,0.932539,0.332457,0.117566,0.505293,-2.210672,2.155647,-0.134634
19,1770132883179,0.211114,80.7342,507.9287,-623.2661,0.615053,-0.377755,0.396787,0.567073,1.445433,-0.887761,0.932486,0.332465,0.117575,0.505288,-2.210758,2.155606,-0.134664
20,1770132883190,0.222226,80.7817,507.9381,-623.2030,0.615061,-0.377767,0.396792,0.567052,1.445465,-0.887796,0.932507,0.332480,0.117571,0.505273,-2.210780,2.155676,-0.134575
21,1770132883201,0.233337,80.8048,507.9757,-623.1204,0.615098,-0.377766,0.396779,0.567022,1.445569,-0.887806,0.932490,0.332461,0.117578,0.505284,-2.210758,2.155631,-0.134637
22,1770132883212,0.244448,80.7707,508.0315,-623.0636,0.615107,-0.377787,0.396758,0.567013,1.445597,-0.887857,0.932442,0.332466,0.117565,0.505287,-2.210702,2.155679,-0.134624
23,1770132883223,0.255559,80.6447,508.0355,-623.0840,0.615116,-0.377820,0.396717,0.567010,1.445619,-0.887937,0.932347,0.332475,0.117568,0.505273,-2.210736,2.155658,-0.134585
24,1770132883234,0.266671,80.6208,508.0555,-623.0750,0.615131,-0.377825,0.396715,0.566992,1.445666,-0.887954,0.932349,0.332464,0.117562,0.505292,-2.210646,2.155674,-0.134634
25,1770132883245,0.277782,80.5359,508.1313,-623.0446,0.615097,-0.377837,0.396752,0.566994,1.445584,-0.887983,0.932435,0.332456,0.117578,0.505292,-2.210771,2.155592,-0.134663
26,1770132883256,0.288893,80.5243,508.1429,-623.0408,0.615104,-0.377844,0.396709,0.567013,1.445589,-0.887992,0.932327,0.332471,0.117568,0.505273,-2.210743,2.155664,-0.134573
27,1770132883268,0.300004,80.4372,508.2299,-623.0125,0.615080,-0.377849,0.396728,0.567022,1.445527,-0.888000,0.932369,0.332468,0.117567,0.505281,-2.210707,2.155684,-0.134638
28,1770132883279,0.311116,80.3605,508.3406,-622.9924,0.615085,-0.377852,0.396732,0.567011,1.445546,-0.888011,0.932383,0.332481,0.117569,0.505270,-2.210755,2.155702,-0.134547
29,1770132883290,0.322227,80.3126,508.4106,-622.9800,0.615079,-0.377872,0.396718,0.567015,1.445528,-0.888057,0.932349,0.332464,0.117568,0.505288,-2.210696,2.155647,-0.134636
30,1770132883301,0.333338,80.2850,508.4585,-622.9693,0.615091,-0.377869,0.396711,0.567008,1.445562,-0.888051,0.932334,0.332467,0.117576,0.505284,-2.210705,2.155683,-0.134661
31,1770132883312,0.344449,80.2085,508.5928,-622.9244,0.615155,-0.377845,0.396710,0.566956,1.445744,-0.888016,0.932351,0.332476,0.117568,0.505263,-2.210778,2.155701,-0.134576
