X_mm,Y_mm,Z_mm
76.4360,508.0705,-627.0938
76.3811,508.1496,-627.0498
76.3444,508.1858,-626.9509
76.3297,508.2041,-626.8934
76.2698,508.2520,-626.9113
76.2068,508.2809,-626.9434
76.2045,508.2278,-626.9553
76.2382,508.1524,-626.9593
76.2626,508.1186,-626.9658
76.2637,508.1367,-626.9786
76.2430,508.1757,-626.9860
76.1958,508.1713,-626.9834
76.1678,508.1433,-626.9855
76.1673,508.1627,-626.9669
76.1674,508.2281,-626.8877
76.1811,508.2667,-626.8209
76.1723,508.2302,-626.8571
76.1549,508.1690,-626.9526
76.1732,508.1272,-627.0117
76.1953,508.1178,-627.0438
76.2107,508.1002,-627.0546
76.2255,508.0312,-627.0195
76.2284,508.0090,-626.9721
76.1967,508.0818,-626.9960
76.1655,508.1629,-627.0857
76.2041,508.1830,-627.1371
76.2625,508.1551,-627.1416
76.3114,508.1412,-627.1451
76.3545,508.1503,-627.1171
76.3146,508.1525,-627.0441
76.1518,508.1718,-626.9825
76.0017,508.2269,-626.9452
75.9877,508.2875,-626.9039
76.0937,508.3306,-626.8387
76.2216,508.3593,-626.7384
76.2718,508.4209,-626.6331
76.2276,508.4718,-626.5850
76.1719,508.4434,-626.6008
76.1229,508.4378,-626.5972
76.0180,508.5149,-626.5421
75.8789,508.6357,-626.4793
75.7383,508.8098,-626.4315
75.6393,508.9604,-626.3869
75.6101,509.0146,-626.3349
75.6352,509.0032,-626.3184
75.7204,508.9057,-626.3660
75.8084,508.7729,-626.4057
75.8215,508.6932,-626.3785
75.7407,508.7198,-626.3123
75.6184,508.8385,-626.2445
75.5521,508.9600,-626.1962
75.5804,509.0467,-626.1917
75.6123,509.1797,-626.1769
75.6174,509.3222,-626.1182
75.6443,509.3752,-626.0462
75.6709,509.3598,-625.9318
75.6466,509.3659,-625.7639
75.5827,509.4393,-625.5968
75.5059,509.5663,-625.4781
75.4970,509.6860,-625.4135
75.5708,509.8011,-625.3519
75.6292,509.9146,-625.2648
75.6581,509.9150,-625.1808
75.6930,509.8266,-625.1079
75.7064,509.8393,-625.0061
75.6653,509.9871,-624.8385
75.5860,510.1415,-624.6347
75.5097,510.2556,-624.4370
75.4487,510.3714,-624.2558
75.4019,510.4741,-624.0690
75.3606,510.5984,-623.8509
75.3174,510.7578,-623.6155
75.2728,510.8813,-623.3894
75.2369,510.9501,-623.1997
75.2224,511.0367,-623.0483
75.2085,511.1832,-622.8814
75.2103,511.3394,-622.6628
75.2429,511.4561,-622.4130
75.2543,511.5578,-622.1540
75.2178,511.6874,-621.9113
75.1748,511.8421,-621.7178
75.1779,511.9974,-621.5679
75.2032,512.1726,-621.4091
75.1960,512.3297,-621.2070
75.1851,512.4143,-620.9922
75.1900,512.4700,-620.8089
75.1747,512.6045,-620.6474
75.1178,512.7691,-620.4448
75.0600,512.8842,-620.1813
75.0485,512.9418,-619.8862
75.0656,512.9694,-619.5853
75.0740,513.0541,-619.2856
75.0737,513.2198,-618.9946
75.0833,513.4322,-618.7264
75.1086,513.6640,-618.4796
75.1264,513.8846,-618.2261
75.1337,514.0706,-617.9441
75.1492,514.2061,-617.6321
75.1512,514.3176,-617.3117
75.1344,514.4415,-617.0003
75.1397,514.5686,-616.6865
75.1575,514.6819,-616.3737
75.1572,514.7613,-616.1025
75.1570,514.7928,-615.8652
75.1432,514.8509,-615.6362
75.1055,514.9581,-615.4161
75.0910,515.0760,-615.1732
75.1251,515.2175,-614.9220
75.1467,515.3833,-614.6787
75.1149,515.5560,-614.4546
75.0847,515.7517,-614.2614
75.0685,515.9261,-614.0721
75.0564,516.0065,-613.8588
75.0987,515.9941,-613.6154
75.1921,515.9789,-613.3689
75.2480,516.0392,-613.1527
75.2572,516.1556,-612.9525
75.2599,516.2572,-612.7333
75.2363,516.3413,-612.5260
75.1827,516.4520,-612.3333
75.1608,516.5393,-612.1212
75.2232,516.5589,-611.8889
75.3002,516.5853,-611.6819
75.3158,516.6430,-611.4877
75.2735,516.6982,-611.2767
75.2465,516.7488,-611.0857
75.3124,516.7959,-610.9121
75.3994,516.8270,-610.7319
75.4183,516.8302,-610.6176
75.4125,516.8058,-610.5859
75.4387,516.7795,-610.5562
75.4464,516.7900,-610.5214
75.4040,516.8574,-610.4431
75.3637,516.9039,-610.3417
75.3546,516.8683,-610.3089
75.3635,516.7880,-610.3316
75.3960,516.6985,-610.3458
75.4364,516.6639,-610.3185
75.4830,516.7310,-610.2758
75.5326,516.8218,-610.2478
75.5840,516.8909,-610.2178
75.6213,516.9156,-610.2080
75.6377,516.8695,-610.2017
75.6443,516.8112,-610.1759
75.6529,516.7776,-610.1441
75.6501,516.7694,-610.1298
75.6423,516.8110,-610.1047
75.6448,516.8809,-610.0648
75.6744,516.8876,-610.0541
75.7767,516.8074,-610.0553
75.8541,516.7566,-610.0717
75.8360,516.7759,-610.0570
75.7902,516.7979,-609.9750
75.7887,516.7695,-609.9061
75.8491,516.7252,-609.9105
75.8943,516.7222,-609.9684
75.9153,516.7582,-610.0118
75.9349,516.7867,-610.0153
75.9564,516.7962,-609.9935
75.9762,516.8213,-609.9145
75.9911,516.8630,-609.7527
75.9940,516.9055,-609.6223
75.9972,516.9187,-609.5726
76.0368,516.8828,-609.5244
76.0905,516.8568,-609.4810
76.1448,516.8829,-609.4578
76.2016,516.9256,-609.4540
76.1993,516.9410,-609.4627
76.1634,516.9258,-609.4368
76.1374,516.9022,-609.3942
76.1347,516.8884,-609.3717
76.1573,516.8920,-609.3298
76.1970,516.9204,-609.3158
76.2644,516.9021,-609.3432
76.3823,516.7574,-609.3712
76.4748,516.5644,-609.3960
76.5207,516.4603,-609.4052
76.5952,516.4981,-609.3601
76.6705,516.5992,-609.2628
76.6690,516.6779,-609.1836
76.6395,516.6957,-609.1186
