FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776232115882,0.000000,-362.2609,167.4374,-198.6697,0.165528,-0.701923,0.688642,0.075342,0.496467,-2.105272,2.065438,-0.360036,-0.209289,0.475944,0.415467,3.029994,-0.072827
1,1776232115893,0.011112,-362.2354,167.4027,-198.8030,0.165530,-0.701940,0.688624,0.075344,0.496472,-2.105319,2.065382,-0.360038,-0.209291,0.475943,0.415430,3.030005,-0.072813
2,1776232115904,0.022223,-362.2502,167.5286,-198.8620,0.165519,-0.701901,0.688668,0.075332,0.496444,-2.105217,2.065528,-0.360032,-0.209288,0.475953,0.415378,3.030012,-0.072896
3,1776232115915,0.033334,-362.3867,167.5001,-198.9487,0.165524,-0.701922,0.688648,0.075307,0.496466,-2.105311,2.065499,-0.360030,-0.209284,0.475961,0.415434,3.030070,-0.072860
4,1776232115926,0.044445,-362.5004,167.5031,-198.7892,0.165547,-0.701964,0.688600,0.075308,0.496533,-2.105436,2.065351,-0.360037,-0.209286,0.475951,0.415434,3.030032,-0.072893
5,1776232115937,0.055557,-362.5002,167.3497,-198.7932,0.165565,-0.701923,0.688638,0.075304,0.496587,-2.105317,2.065472,-0.360037,-0.209286,0.475938,0.415414,3.030002,-0.072872
6,1776232115948,0.066668,-362.4803,167.3616,-198.7263,0.165566,-0.701904,0.688652,0.075346,0.496579,-2.105210,2.065462,-0.360044,-0.209273,0.475945,0.415469,3.030006,-0.072882
7,1776232115959,0.077779,-362.4757,167.3568,-198.8517,0.165562,-0.701890,0.688666,0.075356,0.496564,-2.105155,2.065492,-0.360041,-0.209289,0.475945,0.415414,3.030018,-0.072862
8,1776232115970,0.088890,-362.5292,167.2220,-198.8363,0.165503,-0.701891,0.688676,0.075385,0.496379,-2.105122,2.065485,-0.360029,-0.209275,0.475964,0.415419,3.030084,-0.072912
9,1776232115982,0.100002,-362.5798,167.4024,-198.7604,0.165527,-0.701931,0.688633,0.075356,0.496460,-2.105276,2.065393,-0.360044,-0.209286,0.475931,0.415375,3.029969,-0.072868
