FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776233000784,0,-385.648,48.859,334.099,0.650533,-0.324309,0.314992,0.610255,1.501774,-0.748676,0.727168,-0.385648,0.048859,0.334099,-2.195097,2.157762,-0.101449
1,1776233000795,0.011111,-385.643,48.853,334.082,0.650438,-0.324401,0.314955,0.610327,1.50151,-0.748866,0.72706,-0.385643,0.048853,0.334082,-2.195102,2.157712,-0.101473
2,1776233000806,0.022223,-385.644,48.861,334.086,0.650441,-0.324374,0.314875,0.610378,1.501486,-0.74879,0.726861,-0.385644,0.048861,0.334086,-2.195121,2.157706,-0.10154
3,1776233000817,0.033334,-385.643,48.861,334.077,0.650521,-0.324441,0.314928,0.61023,1.501762,-0.748988,0.727028,-0.385643,0.048861,0.334077,-2.195186,2.157641,-0.101544
4,1776233000828,0.044445,-385.63,48.881,334.102,0.650585,-0.324396,0.315016,0.610141,1.501962,-0.748912,0.727257,-0.38563,0.048881,0.334102,-2.195162,2.157723,-0.101451
5,1776233000839,0.055556,-385.638,48.885,334.085,0.650432,-0.324427,0.314992,0.6103,1.501514,-0.748934,0.727154,-0.385638,0.048885,0.334085,-2.19515,2.157709,-0.101519
6,1776233000850,0.066668,-385.633,48.857,334.091,0.650485,-0.324393,0.315067,0.610223,1.501683,-0.74888,0.727352,-0.385633,0.048857,0.334091,-2.195176,2.157684,-0.101456
7,1776233000861,0.077779,-385.63,48.876,334.095,0.650429,-0.324413,0.314968,0.610323,1.501492,-0.748895,0.727093,-0.38563,0.048876,0.334095,-2.195126,2.157712,-0.10143
8,1776233000872,0.088891,-385.628,48.871,334.111,0.650529,-0.324428,0.314966,0.610208,1.501794,-0.748966,0.727121,-0.385628,0.048871,0.334111,-2.195157,2.157746,-0.101395
9,1776233000884,0.100002,-385.638,48.89,334.104,0.650509,-0.324448,0.314899,0.610255,1.501718,-0.748997,0.726953,-0.385638,0.04889,0.334104,-2.195158,2.157747,-0.101399
10,1776233000895,0.111113,-385.64,48.894,334.117,0.650476,-0.324386,0.314987,0.610277,1.501629,-0.748848,0.727149,-0.38564,0.048894,0.334117,-2.195166,2.157783,-0.101377
11,1776233000906,0.122224,-385.647,48.888,334.097,0.650449,-0.324388,0.315024,0.610286,1.50156,-0.748848,0.727231,-0.385647,0.048888,0.334097,-2.195153,2.157822,-0.101442
12,1776233000917,0.133335,-385.658,48.917,334.112,0.650364,-0.324312,0.31507,0.610393,1.501298,-0.748642,0.727307,-0.385658,0.048917,0.334112,-2.195244,2.157865,-0.101384
13,1776233000928,0.144446,-385.689,48.923,334.087,0.650478,-0.324331,0.315064,0.610264,1.501642,-0.748724,0.727332,-0.385689,0.048923,0.334087,-2.195217,2.157861,-0.101508
14,1776233000939,0.155558,-385.698,48.925,334.103,0.650451,-0.324299,0.315031,0.610327,1.501541,-0.74863,0.727236,-0.385698,0.048925,0.334103,-2.195273,2.157868,-0.101435
15,1776233000950,0.166669,-385.719,48.937,334.078,0.650356,-0.324418,0.315018,0.610371,1.501295,-0.748893,0.727193,-0.385719,0.048937,0.334078,-2.195324,2.157892,-0.101565
16,1776233000961,0.17778,-385.756,48.952,334.1,0.650619,-0.324384,0.314911,0.610165,1.502028,-0.748878,0.727009,-0.385756,0.048952,0.3341,-2.195327,2.158031,-0.101417
17,1776233000972,0.188892,-385.756,48.952,334.1,0.65034,-0.324378,0.315079,0.610378,1.501254,-0.748798,0.727332,-0.385756,0.048952,0.3341,-2.195327,2.158031,-0.101417
18,1776233000984,0.200003,-385.826,48.992,334.099,0.650183,-0.324268,0.315219,0.610532,1.500796,-0.748498,0.72761,-0.385826,0.048992,0.334099,-2.195359,2.158277,-0.10148
19,1776233000995,0.211114,-385.864,49,334.091,0.650459,-0.324295,0.315236,0.610215,1.501626,-0.748656,0.727743,-0.385864,0.049,0.334091,-2.195316,2.158285,-0.101562
20,1776233001006,0.222225,-385.888,49.003,334.115,0.650178,-0.324064,0.315455,0.610525,1.500789,-0.748027,0.728156,-0.385888,0.049003,0.334115,-2.195558,2.158327,-0.10142
21,1776233001017,0.233337,-385.963,49.021,334.109,0.650121,-0.324187,0.315511,0.61049,1.50068,-0.748324,0.728297,-0.385963,0.049021,0.334109,-2.195446,2.158529,-0.101541
22,1776233001028,0.244448,-385.997,49.038,334.132,0.650149,-0.323974,0.31557,0.610543,1.500711,-0.747815,0.728417,-0.385997,0.049038,0.334132,-2.195558,2.158647,-0.101395
23,1776233001039,0.255559,-386.046,49.068,334.095,0.650032,-0.324077,0.315651,0.610571,1.500424,-0.748045,0.728594,-0.386046,0.049068,0.334095,-2.195527,2.158773,-0.101665
24,1776233001050,0.26667,-386.135,49.096,334.099,0.650019,-0.324176,0.315462,0.61063,1.500357,-0.748256,0.72814,-0.386135,0.049096,0.334099,-2.195639,2.158917,-0.101583
25,1776233001061,0.277782,-386.182,49.093,334.106,0.649858,-0.323957,0.315855,0.610715,1.499934,-0.747723,0.729022,-0.386182,0.049093,0.334106,-2.195647,2.159031,-0.101664
26,1776233001072,0.288893,-386.231,49.116,334.094,0.649807,-0.324116,0.315616,0.610808,1.49976,-0.748063,0.728445,-0.386231,0.049116,0.334094,-2.195631,2.159147,-0.101678
27,1776233001084,0.300004,-386.342,49.143,334.092,0.649863,-0.324042,0.31576,0.610713,1.499946,-0.747919,0.728806,-0.386342,0.049143,0.334092,-2.195689,2.159286,-0.101746
28,1776233001095,0.311116,-386.386,49.149,334.087,0.649677,-0.324133,0.315686,0.610901,1.499402,-0.748072,0.728579,-0.386386,0.049149,0.334087,-2.195838,2.159364,-0.101697
29,1776233001106,0.322227,-386.505,49.179,334.073,0.649723,-0.323958,0.315869,0.61085,1.49954,-0.747685,0.729015,-0.386505,0.049179,0.334073,-2.195789,2.159522,-0.101808
30,1776233001117,0.333338,-386.556,49.173,334.098,0.649594,-0.324015,0.315902,0.610941,1.499187,-0.747788,0.729065,-0.386556,0.049173,0.334098,-2.195914,2.159575,-0.101597
