FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776233000784,0.000000,-531.2557,32.9990,-391.6495,0.650533,-0.324309,0.314992,0.610255,1.501774,-0.748676,0.727168,-0.385648,0.048859,0.334099,-2.195097,2.157762,-0.101449
1,1776233000795,0.011111,-531.2655,33.0804,-391.7171,0.650438,-0.324401,0.314955,0.610327,1.501510,-0.748866,0.727060,-0.385643,0.048853,0.334082,-2.195102,2.157712,-0.101473
2,1776233000806,0.022223,-531.2828,33.0655,-391.7555,0.650441,-0.324374,0.314875,0.610378,1.501486,-0.748790,0.726861,-0.385644,0.048861,0.334086,-2.195121,2.157706,-0.101540
3,1776233000817,0.033334,-531.3286,32.9611,-391.7772,0.650521,-0.324441,0.314928,0.610230,1.501762,-0.748988,0.727028,-0.385643,0.048861,0.334077,-2.195186,2.157641,-0.101544
4,1776233000828,0.044445,-531.1393,32.9706,-391.5910,0.650585,-0.324396,0.315016,0.610141,1.501962,-0.748912,0.727257,-0.385630,0.048881,0.334102,-2.195162,2.157723,-0.101451
5,1776233000839,0.055556,-531.3313,32.7463,-391.4940,0.650432,-0.324427,0.314992,0.610300,1.501514,-0.748934,0.727154,-0.385638,0.048885,0.334085,-2.195150,2.157709,-0.101519
6,1776233000850,0.066668,-531.2123,32.8117,-391.5131,0.650485,-0.324393,0.315067,0.610223,1.501683,-0.748880,0.727352,-0.385633,0.048857,0.334091,-2.195176,2.157684,-0.101456
7,1776233000861,0.077779,-531.2504,32.6261,-391.4583,0.650429,-0.324413,0.314968,0.610323,1.501492,-0.748895,0.727093,-0.385630,0.048876,0.334095,-2.195126,2.157712,-0.101430
8,1776233000872,0.088891,-531.2766,32.4794,-391.3663,0.650529,-0.324428,0.314966,0.610208,1.501794,-0.748966,0.727121,-0.385628,0.048871,0.334111,-2.195157,2.157746,-0.101395
9,1776233000884,0.100002,-531.2005,32.5200,-391.4110,0.650509,-0.324448,0.314899,0.610255,1.501718,-0.748997,0.726953,-0.385638,0.048890,0.334104,-2.195158,2.157747,-0.101399
10,1776233000895,0.111113,-531.2687,32.6220,-391.4883,0.650476,-0.324386,0.314987,0.610277,1.501629,-0.748848,0.727149,-0.385640,0.048894,0.334117,-2.195166,2.157783,-0.101377
11,1776233000906,0.122224,-531.2970,32.6217,-391.5573,0.650449,-0.324388,0.315024,0.610286,1.501560,-0.748848,0.727231,-0.385647,0.048888,0.334097,-2.195153,2.157822,-0.101442
12,1776233000917,0.133335,-531.3224,32.6738,-391.6094,0.650364,-0.324312,0.315070,0.610393,1.501298,-0.748642,0.727307,-0.385658,0.048917,0.334112,-2.195244,2.157865,-0.101384
13,1776233000928,0.144446,-531.3541,32.6941,-391.5943,0.650478,-0.324331,0.315064,0.610264,1.501642,-0.748724,0.727332,-0.385689,0.048923,0.334087,-2.195217,2.157861,-0.101508
14,1776233000939,0.155558,-531.2607,32.7945,-391.3146,0.650451,-0.324299,0.315031,0.610327,1.501541,-0.748630,0.727236,-0.385698,0.048925,0.334103,-2.195273,2.157868,-0.101435
15,1776233000950,0.166669,-531.3420,32.7658,-391.3972,0.650356,-0.324418,0.315018,0.610371,1.501295,-0.748893,0.727193,-0.385719,0.048937,0.334078,-2.195324,2.157892,-0.101565
16,1776233000961,0.177780,-531.3145,32.9602,-391.5617,0.650619,-0.324384,0.314911,0.610165,1.502028,-0.748878,0.727009,-0.385756,0.048952,0.334100,-2.195327,2.158031,-0.101417
17,1776233000972,0.188892,-531.3202,32.9454,-391.5169,0.650340,-0.324378,0.315079,0.610378,1.501254,-0.748798,0.727332,-0.385756,0.048952,0.334100,-2.195327,2.158031,-0.101417
18,1776233000984,0.200003,-531.6386,33.0831,-391.5862,0.650183,-0.324268,0.315219,0.610532,1.500796,-0.748498,0.727610,-0.385826,0.048992,0.334099,-2.195359,2.158277,-0.101480
19,1776233000995,0.211114,-531.6938,33.1374,-391.5842,0.650459,-0.324295,0.315236,0.610215,1.501626,-0.748656,0.727743,-0.385864,0.049000,0.334091,-2.195316,2.158285,-0.101562
