FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1101,1776155104725,12.240641,-579.368,119.8875,-360.4149,-0.16825,0.74709,-0.590092,0.255615,-0.456769,2.028211,-1.601991,-0.454497,0.058192,0.420117,0.983355,2.35489,0.052379
1102,1776155104736,12.251753,-579.3644,119.7444,-360.2574,-0.16802,0.747155,-0.590151,0.25544,-0.456185,2.028571,-1.602296,-0.454489,0.058286,0.420093,0.983624,2.354743,0.051592
1103,1776155104747,12.262864,-579.3873,119.7794,-360.1919,-0.168329,0.746252,-0.590823,0.256324,-0.456816,2.025196,-1.603389,-0.454483,0.058323,0.420079,0.983686,2.354667,0.051101
1104,1776155104758,12.273975,-579.3691,119.4846,-360.3935,-0.167987,0.746998,-0.590352,0.255461,-0.456089,2.028121,-1.602822,-0.454469,0.058386,0.420056,0.983678,2.354609,0.050224
1105,1776155104770,12.285086,-579.5659,119.7457,-360.644,-0.168025,0.746932,-0.590412,0.255489,-0.456187,2.027912,-1.602963,-0.454469,0.058386,0.420056,0.983678,2.354609,0.050224
1106,1776155104781,12.296197,-579.5148,119.706,-360.5637,-0.168161,0.74653,-0.590747,0.2558,-0.456483,2.026498,-1.603616,-0.454453,0.058471,0.420061,0.983933,2.354545,0.04939
1107,1776155104792,12.307309,-579.5804,119.7646,-360.6838,-0.168228,0.746266,-0.591005,0.25593,-0.456634,2.025644,-1.604208,-0.454437,0.058557,0.420039,0.984019,2.354446,0.048434
1108,1776155104803,12.31842,-579.6694,119.6683,-360.7038,-0.168313,0.745942,-0.59126,0.256228,-0.456794,2.024456,-1.604655,-0.454439,0.058584,0.420006,0.984108,2.354334,0.047993
1109,1776155104814,12.329531,-579.6937,119.6478,-360.7155,-0.168221,0.745777,-0.591467,0.256292,-0.45653,2.023941,-1.605163,-0.454443,0.05866,0.419973,0.984258,2.354194,0.047521
1110,1776155104825,12.340642,-579.676,119.4824,-360.8767,-0.16832,0.74597,-0.591277,0.256104,-0.456842,2.024661,-1.604803,-0.454425,0.058706,0.419978,0.984283,2.354198,0.046658
