FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776147900733,12.790207,-567.7607,104.0543,-363.2301,-0.167819,0.746369,-0.591275,0.255272,-0.455678,2.026612,-1.605484,-0.454511,0.058144,0.420123,0.983336,2.35491,0.052788
1,1776147900744,12.801318,-567.7809,104.2385,-363.0685,-0.168281,0.746002,-0.591425,0.255693,-0.456834,2.025176,-1.605546,-0.454487,0.058209,0.420125,0.983446,2.354856,0.051978
2,1776147900755,12.81243,-567.7827,103.8254,-363.7024,-0.167635,0.747561,-0.590378,0.253981,-0.45548,2.031197,-1.604115,-0.454494,0.058273,0.420103,0.983568,2.35478,0.051525
3,1776147900766,12.823541,-567.6072,103.5651,-364.1362,-0.167678,0.747526,-0.590363,0.254089,-0.455572,2.030989,-1.603987,-0.454482,0.058346,0.420072,0.983743,2.35462,0.050674
4,1776147900777,12.834652,-567.8857,103.9799,-363.7394,-0.168005,0.746963,-0.590874,0.254339,-0.456403,2.0292,-1.605167,-0.45448,0.05838,0.420061,0.983744,2.354595,0.050249
5,1776147900788,12.845764,-567.9822,104.1006,-363.756,-0.168216,0.746354,-0.591227,0.255167,-0.456781,2.026679,-1.605442,-0.454465,0.058409,0.420052,0.983725,2.354565,0.049778
6,1776147900799,12.856875,-567.9286,103.9046,-363.6568,-0.167922,0.745626,-0.592058,0.255559,-0.455892,2.024296,-1.607375,-0.454466,0.058493,0.420017,0.983909,2.354414,0.048903
7,1776147900810,12.867986,-567.8164,103.7505,-363.7651,-0.168041,0.745943,-0.591699,0.255387,-0.456253,2.025336,-1.606543,-0.454443,0.058546,0.420028,0.984051,2.354408,0.048387
8,1776147900822,12.879097,-567.7816,103.6977,-363.7461,-0.168083,0.746326,-0.591412,0.254907,-0.456481,2.026876,-1.606159,-0.454444,0.058581,0.420009,0.984038,2.354389,0.047916
9,1776147900833,12.890209,-567.8039,103.8593,-363.6953,-0.167934,0.746071,-0.591735,0.255001,-0.456054,2.026086,-1.60696,-0.454428,0.058675,0.419989,0.984283,2.354237,0.047048
10,1776147900844,12.90132,-567.8861,103.7565,-363.9437,-0.168237,0.745787,-0.59187,0.25532,-0.456803,2.024981,-1.607061,-0.454423,0.058702,0.419966,0.984326,2.354156,0.046652
11,1776147900855,12.912431,-567.827,103.8455,-363.8823,-0.168193,0.744986,-0.592622,0.255944,-0.456535,2.022155,-1.608586,-0.454407,0.058785,0.419959,0.98451,2.354043,0.045681
12,1776147900866,12.923543,-567.8018,103.7822,-363.8682,-0.168234,0.745005,-0.592558,0.256008,-0.456631,2.022143,-1.608359,-0.454391,0.058849,0.41995,0.984619,2.353985,0.045177
13,1776147900877,12.934654,-567.9787,103.9102,-364.1309,-0.168072,0.745248,-0.592445,0.255667,-0.456271,2.023157,-1.608336,-0.454377,0.058882,0.41997,0.984775,2.354012,0.044699
14,1776147900888,12.945765,-568.1212,103.8846,-364.3559,-0.168392,0.744986,-0.592642,0.255765,-0.457118,2.022343,-1.608788,-0.454365,0.05897,0.419939,0.984986,2.353822,0.043795
15,1776147900899,12.956876,-568.1672,103.8938,-364.2144,-0.168326,0.744466,-0.593151,0.256143,-0.45685,2.020538,-1.609857,-0.454363,0.058996,0.419936,0.985053,2.353836,0.043272
16,1776147900910,12.967987,-568.2032,103.8033,-364.22,-0.168494,0.744395,-0.593097,0.256363,-0.457255,2.020116,-1.60953,-0.454349,0.059083,0.419901,0.985167,2.35366,0.042352
17,1776147900922,12.979099,-568.2863,103.8122,-364.5434,-0.168181,0.744406,-0.593201,0.256297,-0.456419,2.020214,-1.609865,-0.454343,0.059131,0.419893,0.985298,2.353592,0.041862
18,1776147900933,12.99021,-568.4271,103.937,-364.3168,-0.168334,0.744647,-0.592972,0.256026,-0.456898,2.021151,-1.60947,-0.454329,0.059156,0.419896,0.98537,2.353564,0.041411
19,1776147900944,13.001321,-568.29,103.8963,-364.1284,-0.168317,0.744193,-0.593445,0.25626,-0.456798,2.019675,-1.610559,-0.454309,0.059253,0.419902,0.985704,2.353451,0.040455
20,1776147900955,13.012432,-568.357,104.044,-364.0716,-0.16845,0.74367,-0.593885,0.256672,-0.457063,2.017828,-1.611411,-0.454308,0.059282,0.419879,0.985742,2.353372,0.039902
21,1776147900966,13.023544,-568.2581,103.7585,-364.1312,-0.16853,0.743289,-0.594222,0.256943,-0.457216,2.016513,-1.612102,-0.45429,0.05936,0.419871,0.985898,2.353256,0.038915
22,1776147900977,13.034655,-568.1636,103.5247,-364.4382,-0.168229,0.743955,-0.593687,0.256449,-0.456516,2.018832,-1.61106,-0.45428,0.059392,0.419859,0.985973,2.353199,0.0385
23,1776147900988,13.045766,-568.2429,103.6462,-364.3267,-0.168346,0.743542,-0.59406,0.256705,-0.456772,2.017448,-1.611859,-0.45428,0.059463,0.419824,0.986113,2.35301,0.037967
24,1776147900999,13.056878,-568.2466,103.8517,-364.2838,-0.168724,0.742901,-0.594404,0.257514,-0.457606,2.014871,-1.612122,-0.454277,0.059554,0.419797,0.986325,2.352767,0.03693
25,1776147901010,13.067989,-568.2533,103.5995,-364.3571,-0.168555,0.742605,-0.594877,0.257388,-0.457179,2.014199,-1.613508,-0.454265,0.059563,0.419796,0.986405,2.352747,0.036452
26,1776147901022,13.0791,-568.3672,103.6694,-364.6364,-0.168593,0.742443,-0.594939,0.257687,-0.457212,2.013447,-1.61343,-0.454251,0.05962,0.419791,0.986494,2.352658,0.035932
27,1776147901033,13.090211,-568.3534,103.5459,-364.5267,-0.168524,0.743225,-0.59431,0.256928,-0.457202,2.016357,-1.612352,-0.454248,0.059702,0.419761,0.986691,2.352406,0.034936
28,1776147901044,13.101322,-568.4528,103.6061,-364.5568,-0.168628,0.742735,-0.594744,0.257274,-0.457404,2.014667,-1.613241,-0.454237,0.059748,0.419752,0.986841,2.35233,0.034395
29,1776147901055,13.112434,-568.3232,103.7109,-364.6609,-0.168608,0.742212,-0.595238,0.257652,-0.45726,2.012858,-1.61427,-0.454222,0.059845,0.419718,0.987085,2.352058,0.033411
30,1776147901066,13.123545,-568.5027,103.8377,-364.6603,-0.168769,0.741682,-0.595594,0.258248,-0.457557,2.010805,-1.61474,-0.45421,0.059881,0.419724,0.987188,2.351976,0.032818
31,1776147901077,13.134656,-568.3284,103.6444,-364.8487,-0.168827,0.741708,-0.595503,0.258347,-0.45769,2.010773,-1.61441,-0.454198,0.05994,0.419723,0.987362,2.351915,0.032303
32,1776147901088,13.145768,-568.5309,103.3941,-365.193,-0.168694,0.742361,-0.595149,0.257372,-0.45756,2.013552,-1.614261,-0.454177,0.06,0.419715,0.987559,2.351767,0.031345
33,1776147901099,13.156879,-568.5097,103.717,-365.0647,-0.16906,0.741842,-0.595371,0.258114,-0.458378,2.011378,-1.614245,-0.454179,0.06005,0.419695,0.987658,2.35162,0.030815
34,1776147901110,13.16799,-568.646,103.7371,-364.985,-0.168809,0.741161,-0.596163,0.258406,-0.457629,2.009229,-1.616151,-0.454154,0.060131,0.419672,0.987906,2.351399,0.029804
35,1776147901122,13.179101,-568.6915,103.7765,-364.7649,-0.168919,0.740717,-0.59655,0.258713,-0.457853,2.00771,-1.616946,-0.454157,0.06017,0.41964,0.987962,2.351191,0.029289
36,1776147901133,13.190213,-568.6342,103.6207,-365.0641,-0.168723,0.740762,-0.596494,0.258843,-0.457292,2.007698,-1.616685,-0.45414,0.06023,0.41966,0.988192,2.351159,0.028754
37,1776147901144,13.201324,-568.5219,103.3323,-365.1294,-0.168661,0.740772,-0.596668,0.258453,-0.457215,2.008127,-1.617482,-0.454142,0.060308,0.419612,0.988342,2.350912,0.027754
38,1776147901155,13.212435,-568.6442,103.4795,-365.1559,-0.169341,0.740305,-0.596648,0.259389,-0.458837,2.005896,-1.61665,-0.454125,0.060324,0.419607,0.988394,2.350759,0.027241
39,1776147901166,13.223546,-568.8328,103.4241,-365.1267,-0.169233,0.739862,-0.597184,0.259493,-0.458523,2.004589,-1.618016,-0.454118,0.060424,0.419594,0.98868,2.350623,0.026252
40,1776147901177,13.234657,-568.85,103.8214,-365.3816,-0.169078,0.739785,-0.597302,0.259541,-0.45809,2.004331,-1.618296,-0.45411,0.060455,0.41958,0.98882,2.350485,0.025746
41,1776147901188,13.245769,-568.8142,103.6395,-365.3894,-0.169087,0.740326,-0.596785,0.259179,-0.458198,2.00617,-1.617196,-0.454111,0.060527,0.419542,0.988853,2.350234,0.025188
42,1776147901199,13.25688,-568.7724,103.7214,-365.4384,-0.169237,0.739928,-0.597087,0.259525,-0.458524,2.004734,-1.617726,-0.454086,0.060594,0.419536,0.98912,2.350067,0.024212
43,1776147901210,13.267991,-568.7901,103.5137,-365.3624,-0.169208,0.739387,-0.597628,0.259838,-0.458372,2.002947,-1.618933,-0.454083,0.06065,0.419514,0.989218,2.349868,0.023664
44,1776147901222,13.279102,-568.9299,103.5037,-365.4016,-0.169115,0.739314,-0.59775,0.259828,-0.458123,2.00276,-1.61927,-0.454086,0.060676,0.419473,0.989274,2.349726,0.023234
45,1776147901233,13.290214,-568.8339,103.4198,-365.3507,-0.168694,0.739688,-0.597655,0.259255,-0.457117,2.004362,-1.61949,-0.454066,0.060749,0.419502,0.989565,2.349625,0.022262
46,1776147901244,13.301325,-568.8159,103.2135,-365.3299,-0.169239,0.739279,-0.597786,0.259761,-0.458475,2.002734,-1.619424,-0.45406,0.060792,0.419479,0.989705,2.349447,0.021743
47,1776147901255,13.312436,-568.6333,103.2168,-365.4878,-0.169174,0.738674,-0.598351,0.260227,-0.458189,2.000616,-1.620566,-0.454063,0.060896,0.419405,0.989865,2.349062,0.020808
48,1776147901266,13.323547,-568.7455,103.2263,-365.5542,-0.169318,0.738488,-0.598382,0.260588,-0.458493,1.999741,-1.620352,-0.454059,0.060913,0.4194,0.989912,2.348976,0.020377
49,1776147901277,13.334659,-568.9469,103.1439,-365.6731,-0.169022,0.738861,-0.598175,0.260197,-0.457785,2.001155,-1.620116,-0.454053,0.060959,0.419398,0.990163,2.348868,0.020005
50,1776147901288,13.34577,-568.9712,102.9958,-365.7036,-0.169457,0.738706,-0.59816,0.260388,-0.458918,2.000539,-1.619915,-0.454039,0.061033,0.419357,0.990407,2.348527,0.019128
51,1776147901299,13.356881,-569.0773,103.3881,-365.6796,-0.169482,0.738298,-0.598521,0.260702,-0.458911,1.99911,-1.620633,-0.45404,0.061066,0.419356,0.990435,2.348448,0.018638
52,1776147901310,13.367992,-569.1385,103.3217,-365.7818,-0.169373,0.737998,-0.598836,0.260899,-0.45857,1.998097,-1.621321,-0.454021,0.061135,0.419352,0.990726,2.348282,0.017784
53,1776147901322,13.379103,-569.0497,103.1777,-365.9155,-0.169104,0.738095,-0.598811,0.260854,-0.457852,1.998405,-1.621293,-0.454021,0.061172,0.419318,0.990889,2.348002,0.017428
54,1776147901333,13.390215,-569.1992,103.2141,-365.9784,-0.169302,0.738038,-0.598845,0.26081,-0.458399,1.998295,-1.62142,-0.454017,0.061196,0.419293,0.990936,2.347877,0.017035
55,1776147901344,13.401326,-569.2181,103.1876,-365.921,-0.169304,0.737552,-0.599297,0.261144,-0.458325,1.99664,-1.622367,-0.454019,0.061288,0.419259,0.99123,2.347591,0.016246
56,1776147901355,13.412437,-569.3265,103.4259,-365.854,-0.169463,0.737112,-0.599536,0.261735,-0.458616,1.994843,-1.622522,-0.454005,0.061307,0.419281,0.991375,2.347539,0.015829
57,1776147901366,13.423548,-569.1077,103.1059,-365.9638,-0.169427,0.737165,-0.5995,0.26169,-0.458531,1.995033,-1.622461,-0.453992,0.061396,0.419243,0.991646,2.347263,0.015055
