FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1101,1776148846384,12.244835,-572.1431,106.3485,-362.0935,-0.203019,0.747539,-0.577951,0.256793,-0.550824,2.0282,-1.568079,-0.453038,0.058028,0.41474,0.903766,2.32305,0.054339
1102,1776148846395,12.255946,-572.1046,106.5419,-362.3481,-0.203316,0.747721,-0.577756,0.256462,-0.551725,2.02904,-1.567818,-0.453023,0.058088,0.414724,0.903941,2.322776,0.053434
1103,1776148846407,12.267058,-572.1037,106.3727,-362.3524,-0.203028,0.747264,-0.578253,0.256903,-0.550817,2.02734,-1.56881,-0.453001,0.058109,0.414735,0.904156,2.322707,0.052543
1104,1776148846418,12.278169,-572.0825,106.4288,-362.2021,-0.203612,0.747234,-0.577956,0.257199,-0.552319,2.026949,-1.567764,-0.453006,0.058171,0.414686,0.904403,2.322417,0.051677
1105,1776148846429,12.28928,-572.1458,106.4682,-362.4358,-0.203129,0.746999,-0.578365,0.257341,-0.550967,2.026165,-1.568762,-0.453006,0.058171,0.414686,0.904403,2.322417,0.051677
1106,1776148846440,12.300391,-572.1386,106.4564,-362.4032,-0.203577,0.746935,-0.578275,0.257378,-0.552172,2.025951,-1.568485,-0.452985,0.058199,0.414701,0.904654,2.322321,0.050831
1107,1776148846451,12.311502,-572.2144,106.5872,-362.4912,-0.203427,0.746645,-0.57863,0.257541,-0.551719,2.024996,-1.569317,-0.452983,0.058229,0.414679,0.90474,2.322183,0.050404
1108,1776148846462,12.322613,-572.2769,106.5578,-362.4911,-0.203634,0.746633,-0.578556,0.257577,-0.55227,2.024927,-1.569087,-0.452967,0.058277,0.414661,0.904925,2.322084,0.049505
1109,1776148846473,12.333724,-572.4286,106.6407,-362.6405,-0.203493,0.746613,-0.578703,0.257413,-0.551936,2.025043,-1.569619,-0.452967,0.058277,0.414661,0.904925,2.322084,0.049505
1110,1776148846484,12.344836,-572.379,106.548,-362.6306,-0.203448,0.746431,-0.578863,0.257618,-0.551754,2.024336,-1.569889,-0.452944,0.058348,0.414658,0.905181,2.321993,0.04865
1111,1776148846495,12.355947,-572.4249,106.607,-362.6005,-0.20339,0.746379,-0.57898,0.25755,-0.551616,2.024266,-1.570261,-0.452923,0.058407,0.414626,0.905419,2.321782,0.047784
1112,1776148846507,12.367058,-572.3713,106.5228,-362.6951,-0.203499,0.746129,-0.579118,0.257881,-0.551817,2.023242,-1.570367,-0.452923,0.058407,0.414626,0.905419,2.321782,0.047784
1113,1776148846518,12.378169,-572.3423,106.5556,-362.6497,-0.203479,0.746115,-0.579223,0.257701,-0.551814,2.023391,-1.570798,-0.452902,0.058457,0.414617,0.905645,2.321678,0.046905
1114,1776148846529,12.389281,-572.3011,106.3696,-362.8131,-0.20353,0.745898,-0.579306,0.258101,-0.551841,2.022388,-1.570698,-0.452891,0.058522,0.414585,0.905849,2.321426,0.046072
1115,1776148846540,12.400392,-572.3892,106.3141,-362.7798,-0.203404,0.745622,-0.579661,0.258202,-0.55147,2.021534,-1.571581,-0.452872,0.058604,0.414563,0.906143,2.321265,0.045291
1116,1776148846551,12.411503,-572.4352,106.3906,-362.8375,-0.203433,0.745631,-0.579689,0.258091,-0.55158,2.021674,-1.571745,-0.452872,0.058604,0.414563,0.906143,2.321265,0.045291
1117,1776148846562,12.422614,-572.4581,106.4193,-363.0489,-0.203494,0.745364,-0.579899,0.258341,-0.551675,2.020692,-1.572113,-0.452872,0.058604,0.414563,0.906143,2.321265,0.045291
1118,1776148846573,12.433726,-572.4124,106.4009,-363.0557,-0.203468,0.745243,-0.580089,0.258284,-0.551619,2.020423,-1.572673,-0.452838,0.058705,0.414537,0.906502,2.321061,0.043729
1119,1776148846584,12.444837,-572.4818,106.4797,-363.0961,-0.203556,0.745206,-0.580005,0.258509,-0.551795,2.020089,-1.572264,-0.452813,0.058752,0.414532,0.906717,2.320931,0.042963
1120,1776148846595,12.455948,-572.3953,106.3997,-363.1364,-0.203649,0.745037,-0.58018,0.258532,-0.55204,2.019607,-1.57272,-0.452813,0.058752,0.414532,0.906717,2.320931,0.042963
1121,1776148846607,12.467059,-572.3765,106.229,-363.1509,-0.203713,0.744741,-0.580346,0.258961,-0.552093,2.018359,-1.572823,-0.452817,0.058789,0.414513,0.90682,2.320848,0.042582
1122,1776148846618,12.478171,-572.2956,106.1607,-363.1211,-0.203607,0.744719,-0.580515,0.258727,-0.551871,2.018542,-1.573471,-0.452807,0.058865,0.414471,0.907013,2.320585,0.041782
1123,1776148846629,12.489282,-572.4166,106.2791,-363.3,-0.20369,0.744536,-0.580617,0.258959,-0.55203,2.017806,-1.573561,-0.452807,0.058865,0.414471,0.907013,2.320585,0.041782
1124,1776148846640,12.500393,-572.5481,106.1869,-363.3626,-0.203763,0.744347,-0.580755,0.259135,-0.55218,2.017112,-1.573793,-0.452802,0.058936,0.414425,0.907253,2.320356,0.040965
1125,1776148846651,12.511504,-572.7051,106.2336,-363.3214,-0.203858,0.74428,-0.580713,0.259348,-0.552375,2.016709,-1.573507,-0.452782,0.059017,0.414384,0.907457,2.320125,0.039661
1126,1776148846662,12.522616,-572.7208,106.0969,-363.3205,-0.203905,0.743966,-0.581072,0.259409,-0.552487,2.015796,-1.57443,-0.45278,0.059055,0.414378,0.907616,2.320034,0.039267
1127,1776148846673,12.533727,-572.6929,106.3775,-363.3337,-0.204028,0.743868,-0.581032,0.259683,-0.55274,2.015246,-1.5741,-0.452779,0.05913,0.414306,0.907758,2.319728,0.038352
1128,1776148846684,12.544838,-572.6603,106.0252,-363.386,-0.203923,0.743796,-0.581244,0.259495,-0.552511,2.015247,-1.574826,-0.452779,0.059161,0.414307,0.907914,2.319715,0.037935
1129,1776148846695,12.555949,-572.5078,105.7298,-363.6248,-0.203851,0.743831,-0.581188,0.259577,-0.552291,2.015256,-1.574608,-0.452779,0.059188,0.414283,0.907935,2.319638,0.037512
