FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776148834140,0.000000,-573.3298,106.8998,-364.0264,-0.191584,0.755715,-0.572868,0.253008,-0.520815,2.054383,-1.557322,-0.452955,0.060362,0.414661,0.922819,2.332178,0.084475
1,1776148834151,0.011112,-573.4183,106.8833,-363.9415,-0.191627,0.755682,-0.572883,0.253039,-0.520922,2.054263,-1.557337,-0.452958,0.060348,0.414669,0.922751,2.332231,0.084461
2,1776148834162,0.022223,-573.4037,106.8232,-363.9512,-0.191672,0.755694,-0.572850,0.253046,-0.521043,2.054286,-1.557241,-0.452959,0.060348,0.414665,0.922755,2.332204,0.084465
3,1776148834173,0.033334,-573.5208,106.9172,-363.9037,-0.191722,0.755675,-0.572880,0.252995,-0.521194,2.054290,-1.557363,-0.452950,0.060358,0.414675,0.922817,2.332219,0.084447
4,1776148834184,0.044445,-573.5133,106.9471,-363.9321,-0.191691,0.755716,-0.572820,0.253032,-0.521097,2.054361,-1.557172,-0.452959,0.060369,0.414659,0.922819,2.332177,0.084465
5,1776148834195,0.055556,-573.5535,106.8830,-363.9366,-0.191735,0.755700,-0.572838,0.253005,-0.521225,2.054347,-1.557242,-0.452958,0.060355,0.414654,0.922789,2.332137,0.084513
6,1776148834206,0.066668,-573.5383,106.8744,-363.9954,-0.191731,0.755756,-0.572776,0.252980,-0.521222,2.054526,-1.557093,-0.452955,0.060364,0.414660,0.922800,2.332159,0.084454
7,1776148834217,0.077779,-573.5751,106.9253,-364.0063,-0.191755,0.755751,-0.572780,0.252969,-0.521289,2.054524,-1.557114,-0.452958,0.060359,0.414652,0.922773,2.332171,0.084454
8,1776148834228,0.088890,-573.6404,106.9189,-363.9714,-0.191724,0.755748,-0.572768,0.253030,-0.521188,2.054450,-1.557032,-0.452956,0.060361,0.414652,0.922815,2.332130,0.084439
9,1776148834240,0.100001,-573.5064,106.9342,-363.9377,-0.191732,0.755746,-0.572783,0.252995,-0.521220,2.054483,-1.557099,-0.452961,0.060353,0.414656,0.922805,2.332184,0.084491
10,1776148834251,0.111113,-573.4716,106.9547,-364.0055,-0.191735,0.755742,-0.572782,0.253008,-0.521224,2.054456,-1.557087,-0.452958,0.060348,0.414674,0.922806,2.332209,0.084482
11,1776148834262,0.122224,-573.4067,106.8897,-363.9793,-0.191711,0.755771,-0.572753,0.253003,-0.521161,2.054542,-1.557012,-0.452960,0.060343,0.414663,0.922777,2.332183,0.084485
12,1776148834273,0.133335,-573.5448,106.8661,-364.0549,-0.191704,0.755744,-0.572780,0.253031,-0.521135,2.054437,-1.557062,-0.452962,0.060346,0.414666,0.922777,2.332207,0.084506
13,1776148834284,0.144447,-573.5968,106.9039,-363.9457,-0.191698,0.755752,-0.572773,0.253025,-0.521120,2.054468,-1.557049,-0.452963,0.060361,0.414652,0.922814,2.332155,0.084470
14,1776148834295,0.155558,-573.6244,106.8334,-363.9036,-0.191729,0.755735,-0.572780,0.253037,-0.521199,2.054408,-1.557057,-0.452955,0.060355,0.414664,0.922793,2.332190,0.084435
15,1776148834306,0.166669,-573.4532,106.9452,-363.8267,-0.191690,0.755758,-0.572767,0.253028,-0.521096,2.054478,-1.557031,-0.452960,0.060357,0.414657,0.922771,2.332157,0.084488
16,1776148834317,0.177780,-573.3667,106.7207,-363.8054,-0.191685,0.755768,-0.572774,0.252986,-0.521096,2.054552,-1.557083,-0.452957,0.060364,0.414668,0.922838,2.332170,0.084466
17,1776148834328,0.188892,-573.3333,106.6567,-363.8215,-0.191696,0.755748,-0.572781,0.253023,-0.521115,2.054457,-1.557071,-0.452953,0.060361,0.414671,0.922834,2.332210,0.084477
18,1776148834340,0.200003,-573.4969,106.8015,-363.9550,-0.191710,0.755743,-0.572778,0.253031,-0.521150,2.054437,-1.557059,-0.452956,0.060366,0.414658,0.922838,2.332159,0.084450
19,1776148834351,0.211114,-573.4258,106.7902,-364.0456,-0.191704,0.755728,-0.572783,0.253072,-0.521124,2.054351,-1.557038,-0.452952,0.060357,0.414672,0.922829,2.332187,0.084471
20,1776148834362,0.222225,-573.3984,106.6914,-364.1302,-0.191720,0.755748,-0.572765,0.253040,-0.521174,2.054439,-1.557014,-0.452955,0.060350,0.414681,0.922825,2.332227,0.084493
21,1776148834373,0.233336,-573.3398,106.7543,-364.1246,-0.191700,0.755744,-0.572794,0.252999,-0.521133,2.054474,-1.557128,-0.452961,0.060349,0.414647,0.922753,2.332128,0.084472
22,1776148834384,0.244448,-573.3463,106.8338,-364.0695,-0.191700,0.755753,-0.572763,0.253044,-0.521119,2.054448,-1.557008,-0.452960,0.060348,0.414657,0.922773,2.332171,0.084474
23,1776148834395,0.255559,-573.3691,106.7515,-364.0055,-0.191675,0.755768,-0.572752,0.253044,-0.521051,2.054489,-1.556978,-0.452951,0.060360,0.414673,0.922843,2.332195,0.084482
24,1776148834406,0.266670,-573.4059,106.7968,-363.9022,-0.191735,0.755735,-0.572768,0.253059,-0.521210,2.054384,-1.557008,-0.452952,0.060365,0.414667,0.922856,2.332163,0.084496
25,1776148834417,0.277782,-573.4235,106.8285,-363.9608,-0.191715,0.755737,-0.572756,0.253095,-0.521146,2.054352,-1.556947,-0.452957,0.060340,0.414668,0.922768,2.332212,0.084496
