FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776231960266,0.000000,-360.1841,162.7793,-203.5534,0.130243,-0.703906,0.694482,0.072441,0.391312,-2.114870,2.086557,-0.355847,-0.207124,0.472239,0.504721,3.064182,-0.061493
1,1776231960277,0.011112,-360.2262,162.7614,-203.4389,0.130259,-0.703937,0.694449,0.072425,0.391365,-2.114984,2.086477,-0.355834,-0.207132,0.472244,0.504691,3.064247,-0.061516
2,1776231960288,0.022223,-360.2793,162.8112,-203.4727,0.130321,-0.703909,0.694467,0.072415,0.391551,-2.114911,2.086543,-0.355845,-0.207127,0.472236,0.504685,3.064194,-0.061519
3,1776231960299,0.033335,-360.2596,162.9196,-203.5625,0.130313,-0.703885,0.694495,0.072398,0.391532,-2.114861,2.086648,-0.355851,-0.207126,0.472224,0.504704,3.064207,-0.061428
4,1776231960310,0.044446,-360.2627,162.9306,-203.5614,0.130309,-0.703886,0.694495,0.072392,0.391521,-2.114872,2.086654,-0.355854,-0.207125,0.472227,0.504681,3.064173,-0.061421
5,1776231960321,0.055557,-360.2161,162.8740,-203.5317,0.130303,-0.703890,0.694493,0.072377,0.391507,-2.114903,2.086669,-0.355856,-0.207128,0.472222,0.504680,3.064151,-0.061446
6,1776231960332,0.066668,-360.2039,162.8160,-203.4827,0.130292,-0.703935,0.694452,0.072357,0.391480,-2.115063,2.086571,-0.355852,-0.207133,0.472220,0.504642,3.064152,-0.061422
7,1776231960343,0.077780,-360.1858,162.8329,-203.4658,0.130276,-0.703932,0.694458,0.072362,0.391431,-2.115048,2.086581,-0.355863,-0.207128,0.472204,0.504674,3.064104,-0.061431
8,1776231960354,0.088891,-360.1536,162.7492,-203.5234,0.130262,-0.703919,0.694472,0.072377,0.391385,-2.114990,2.086606,-0.355851,-0.207124,0.472229,0.504702,3.064191,-0.061437
9,1776231960366,0.100002,-360.3192,162.7979,-203.5898,0.130249,-0.703941,0.694452,0.072371,0.391347,-2.115064,2.086553,-0.355850,-0.207126,0.472232,0.504683,3.064184,-0.061470
10,1776231960377,0.111113,-360.2556,162.8358,-203.5546,0.130239,-0.703949,0.694446,0.072371,0.391317,-2.115087,2.086535,-0.355861,-0.207135,0.472215,0.504696,3.064132,-0.061411
11,1776231960388,0.122225,-360.1677,162.8269,-203.4939,0.130208,-0.703965,0.694434,0.072394,0.391217,-2.115107,2.086469,-0.355852,-0.207127,0.472227,0.504663,3.064160,-0.061513
12,1776231960399,0.133336,-360.1464,162.7599,-203.5779,0.130211,-0.703924,0.694473,0.072408,0.391223,-2.114965,2.086570,-0.355839,-0.207131,0.472242,0.504689,3.064237,-0.061467
13,1776231960410,0.144447,-360.1303,162.9129,-203.6173,0.130229,-0.703930,0.694465,0.072401,0.391279,-2.114991,2.086553,-0.355855,-0.207121,0.472225,0.504683,3.064179,-0.061488
14,1776231960421,0.155558,-360.2169,162.9148,-203.5197,0.130265,-0.703960,0.694433,0.072350,0.391400,-2.115146,2.086520,-0.355847,-0.207129,0.472233,0.504649,3.064206,-0.061504
15,1776231960432,0.166670,-360.2933,162.9388,-203.5523,0.130307,-0.703964,0.694421,0.072344,0.391526,-2.115167,2.086493,-0.355844,-0.207126,0.472232,0.504668,3.064208,-0.061527
