FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776232181838,5.349415,-443.7552,168.4322,-215.737,0.164442,-0.701181,0.689548,0.076337,0.492919,-2.101801,2.066932,-0.416883,-0.148844,0.476699,0.415895,3.031857,-0.072934
2,1776232181849,5.360526,-443.4863,168.4872,-215.4505,0.164633,-0.701184,0.689533,0.076037,0.493579,-2.102185,2.067255,-0.416711,-0.1492,0.476681,0.415792,3.031795,-0.073023
3,1776232181860,5.371637,-442.8919,168.5186,-215.0873,0.164498,-0.701139,0.689595,0.07618,0.493132,-2.101871,2.067265,-0.416363,-0.149886,0.476664,0.415799,3.031739,-0.072956
4,1776232181871,5.382749,-442.3387,168.6144,-215.1653,0.164575,-0.701193,0.689531,0.076102,0.493385,-2.10213,2.067169,-0.416184,-0.150218,0.476661,0.415838,3.031724,-0.072903
5,1776232181882,5.39386,-441.8328,168.6822,-214.7641,0.164528,-0.701194,0.68953,0.076193,0.493216,-2.102022,2.067056,-0.415993,-0.150567,0.476669,0.415831,3.031755,-0.072957
6,1776232181893,5.404971,-441.246,168.7239,-214.6459,0.164387,-0.701292,0.689454,0.076291,0.492767,-2.10219,2.066705,-0.415993,-0.150567,0.476669,0.415831,3.031755,-0.072957
7,1776232181905,5.416082,-441.0959,168.7177,-214.7156,0.164505,-0.701219,0.689519,0.076122,0.493168,-2.102183,2.067108,-0.415432,-0.151559,0.476692,0.416038,3.031811,-0.072971
8,1776232181916,5.427193,-440.6255,168.7468,-214.5347,0.164601,-0.701233,0.689486,0.076078,0.49347,-2.10228,2.067065,-0.415045,-0.152264,0.4767,0.416046,3.03182,-0.072868
9,1776232181927,5.438305,-440.1697,168.5544,-214.2386,0.164436,-0.701366,0.689376,0.076202,0.492938,-2.102526,2.066582,-0.414866,-0.152609,0.47669,0.416126,3.031806,-0.072885
10,1776232181938,5.449416,-439.6496,168.5539,-214.1265,0.164602,-0.701373,0.689344,0.076077,0.493472,-2.102702,2.066638,-0.414677,-0.152952,0.476685,0.416091,3.031796,-0.072794
11,1776232181949,5.460527,-439.0278,168.465,-213.373,0.164417,-0.701403,0.689344,0.076202,0.492883,-2.102635,2.066485,-0.41429,-0.153656,0.476685,0.4161,3.031783,-0.072738
12,1776232181960,5.471638,-438.5233,168.4521,-213.2023,0.164353,-0.701493,0.689267,0.0762,0.49269,-2.102909,2.066258,-0.414091,-0.154005,0.476688,0.416123,3.031791,-0.072688
13,1776232181971,5.482749,-437.9579,168.4555,-212.655,0.164528,-0.70145,0.689301,0.075909,0.493302,-2.103144,2.066717,-0.413739,-0.154694,0.476649,0.41629,3.03161,-0.072659
14,1776232181982,5.493861,-437.5524,168.3929,-212.4921,0.164336,-0.701465,0.689306,0.076152,0.492654,-2.102882,2.066432,-0.413526,-0.155048,0.476668,0.416279,3.031722,-0.072559
15,1776232181993,5.504972,-437.1601,168.4172,-212.1768,0.1644,-0.701478,0.689278,0.076141,0.492848,-2.102938,2.066361,-0.413315,-0.155391,0.476693,0.416219,3.03177,-0.072622
16,1776232182005,5.516083,-436.6553,168.3951,-211.8701,0.164248,-0.701613,0.689166,0.076241,0.492363,-2.103216,2.065903,-0.412916,-0.156094,0.476706,0.416231,3.031772,-0.07261
17,1776232182016,5.527194,-436.6087,168.2483,-211.7185,0.164316,-0.701461,0.68931,0.07619,0.492584,-2.102824,2.066398,-0.412727,-0.156426,0.476699,0.416238,3.031769,-0.072637
18,1776232182027,5.538305,-435.7581,168.1184,-211.659,0.164346,-0.701513,0.689246,0.076226,0.492662,-2.102934,2.066163,-0.412519,-0.15679,0.476696,0.416042,3.03173,-0.072657
19,1776232182038,5.549417,-435.3756,168.0252,-211.4741,0.164257,-0.701495,0.689286,0.076222,0.492397,-2.102887,2.066286,-0.412129,-0.157465,0.476687,0.416172,3.031707,-0.072455
20,1776232182049,5.560528,-434.4941,168.3923,-211.5816,0.164304,-0.701598,0.689178,0.076146,0.49256,-2.10329,2.066058,-0.411919,-0.157796,0.476701,0.416182,3.031719,-0.072527
21,1776232182060,5.571639,-433.8448,168.6075,-211.4791,0.16437,-0.701654,0.689109,0.076109,0.492768,-2.103506,2.065897,-0.411501,-0.158502,0.476698,0.416113,3.031683,-0.072384
22,1776232182071,5.58275,-433.438,168.4271,-211.1616,0.164311,-0.701591,0.689171,0.076262,0.492548,-2.103125,2.065893,-0.411298,-0.158854,0.476691,0.416079,3.031634,-0.072346
23,1776232182082,5.593862,-432.9567,168.5872,-210.9421,0.164453,-0.701626,0.689111,0.076175,0.492997,-2.103338,2.065821,-0.411079,-0.159195,0.476708,0.415928,3.031706,-0.072422
24,1776232182093,5.604973,-432.4839,168.5588,-210.8276,0.164382,-0.701579,0.689175,0.076189,0.49278,-2.103178,2.065993,-0.410656,-0.159899,0.476719,0.41605,3.031723,-0.072358
25,1776232182105,5.616084,-431.8618,168.5555,-210.2716,0.16432,-0.701678,0.689083,0.076233,0.492583,-2.103422,2.065666,-0.410444,-0.160257,0.476722,0.416003,3.031736,-0.072382
26,1776232182116,5.627195,-431.3553,168.5652,-210.0998,0.164252,-0.701605,0.689168,0.076291,0.492361,-2.103129,2.065849,-0.41001,-0.160951,0.476742,0.415999,3.031814,-0.072313
27,1776232182127,5.638306,-430.7388,168.7997,-209.5596,0.164354,-0.7016,0.689165,0.076141,0.492712,-2.103302,2.066023,-0.409777,-0.161299,0.476771,0.416068,3.031887,-0.072386
28,1776232182138,5.649418,-430.2156,168.8759,-209.3755,0.164316,-0.701721,0.689047,0.076169,0.492589,-2.103632,2.065637,-0.40956,-0.161633,0.47678,0.416165,3.031925,-0.072319
29,1776232182149,5.660529,-429.749,168.8664,-209.1924,0.164282,-0.70171,0.689064,0.076192,0.492481,-2.103569,2.065658,-0.409153,-0.162322,0.476742,0.41626,3.031776,-0.072298
30,1776232182160,5.67164,-429.2473,168.7157,-209.0925,0.164387,-0.701738,0.689022,0.076083,0.492827,-2.103789,2.065667,-0.408935,-0.162656,0.476744,0.416285,3.03179,-0.072276
31,1776232182171,5.682751,-428.6817,168.6202,-208.7885,0.164398,-0.701638,0.689131,0.075999,0.492885,-2.103595,2.066096,-0.408752,-0.162995,0.476695,0.416259,3.031677,-0.072119
32,1776232182182,5.693863,-428.1299,168.6561,-208.586,0.164329,-0.701655,0.689126,0.07604,0.492665,-2.103593,2.066031,-0.408307,-0.16366,0.4767,0.416427,3.031693,-0.072276
33,1776232182193,5.704974,-427.4538,168.7894,-208.4123,0.164413,-0.701674,0.689092,0.07599,0.492932,-2.103713,2.06599,-0.408093,-0.164014,0.476689,0.41641,3.031678,-0.072177
34,1776232182205,5.716085,-426.9956,168.876,-208.1603,0.164466,-0.701636,0.689124,0.07593,0.49311,-2.103675,2.06616,-0.407651,-0.164668,0.476694,0.416355,3.031708,-0.072269
35,1776232182216,5.727196,-426.5334,168.8968,-208.0544,0.164378,-0.701692,0.689076,0.076039,0.492813,-2.103706,2.065883,-0.407456,-0.164996,0.476653,0.416352,3.031631,-0.072169
36,1776232182227,5.738308,-426.446,168.4733,-207.8553,0.164283,-0.701642,0.689144,0.076093,0.492512,-2.103489,2.06602,-0.407224,-0.165311,0.476661,0.416364,3.031633,-0.072279
