FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776231666246,2.23338,-487.5416,149.6188,-272.6856,0.351299,-0.610567,0.617143,0.350616,0.909696,-1.581075,1.598104,-0.421975,-0.078806,0.45945,0.658736,-3.04118,0.07921
2,1776231666257,2.244491,-487.4734,149.6112,-272.6432,0.351315,-0.610568,0.617163,0.350563,0.90976,-1.581117,1.598197,-0.421966,-0.078872,0.459453,0.658737,-3.04119,0.079193
3,1776231666268,2.255603,-487.611,149.576,-272.5187,0.351199,-0.610456,0.617296,0.35064,0.909425,-1.58077,1.59848,-0.42196,-0.0789,0.459474,0.658632,-3.041127,0.07919
4,1776231666279,2.266714,-487.4823,149.5831,-272.4033,0.35103,-0.610518,0.617287,0.350717,0.908955,-1.580872,1.598399,-0.42197,-0.078935,0.459465,0.658532,-3.041191,0.079129
5,1776231666290,2.277825,-487.4278,149.5401,-272.3377,0.351223,-0.610645,0.617104,0.350627,0.909493,-1.581269,1.597993,-0.421951,-0.079087,0.459487,0.658536,-3.041111,0.079148
6,1776231666301,2.288936,-487.317,149.545,-272.2057,0.351172,-0.610647,0.61713,0.350628,0.909362,-1.581272,1.59806,-0.421963,-0.079148,0.459491,0.658533,-3.041086,0.079114
7,1776231666313,2.300048,-487.3001,149.3725,-271.8671,0.351298,-0.610532,0.617218,0.350547,0.909722,-1.581037,1.59835,-0.422003,-0.079346,0.45943,0.65862,-3.041272,0.079265
8,1776231666324,2.311159,-487.0878,149.5454,-271.8442,0.351194,-0.610597,0.617147,0.350663,0.909402,-1.581118,1.598078,-0.422003,-0.079346,0.45943,0.65862,-3.041272,0.079265
9,1776231666335,2.32227,-486.9792,149.4974,-271.7598,0.351267,-0.610587,0.617192,0.350527,0.909653,-1.581195,1.598298,-0.422029,-0.079571,0.459399,0.658523,-3.041365,0.079272
10,1776231666346,2.333381,-486.7803,149.5559,-271.5719,0.35135,-0.610452,0.617302,0.350486,0.909885,-1.580875,1.598615,-0.422002,-0.079911,0.459442,0.658598,-3.041235,0.079231
11,1776231666357,2.344493,-486.4979,149.5617,-271.3056,0.351247,-0.610497,0.617227,0.350643,0.909549,-1.580873,1.598301,-0.422005,-0.080102,0.459429,0.658698,-3.041257,0.07917
12,1776231666368,2.355604,-486.2584,149.5389,-271.0267,0.351261,-0.61057,0.617146,0.350644,0.909586,-1.581061,1.59809,-0.421996,-0.080282,0.459454,0.658753,-3.041141,0.079196
