FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776231720677,2.23336,-486.13,146.7756,-270.9334,0.37773,-0.611496,0.596415,0.357327,0.974994,-1.578391,1.539463,-0.421645,-0.080941,0.457358,-0.74611,3.04471,-0.049654
2,1776231720688,2.244471,-485.8514,146.7392,-270.791,0.37759,-0.611332,0.59657,0.357495,0.974556,-1.577842,1.539741,-0.421636,-0.081167,0.457384,-0.746051,3.044774,-0.049598
3,1776231720699,2.255582,-485.6992,146.6193,-270.5179,0.377605,-0.61136,0.596551,0.357463,0.97461,-1.577937,1.539716,-0.421652,-0.081655,0.457336,-0.746142,3.044682,-0.049626
4,1776231720710,2.266693,-485.5849,146.7278,-270.5026,0.377634,-0.611495,0.596408,0.357441,0.974694,-1.578303,1.539361,-0.421642,-0.081909,0.457347,-0.746168,3.044704,-0.049598
5,1776231720721,2.277805,-485.2747,146.7647,-270.1812,0.377548,-0.611376,0.596564,0.357474,0.974458,-1.57797,1.539741,-0.421656,-0.082417,0.457319,-0.746052,3.0447,-0.049542
6,1776231720732,2.288916,-485.0708,146.803,-270.137,0.377614,-0.611374,0.596541,0.357447,0.97464,-1.577985,1.539701,-0.421659,-0.082686,0.457314,-0.7461,3.044666,-0.049595
7,1776231720744,2.300027,-484.6231,146.9492,-269.705,0.377579,-0.611365,0.596501,0.357567,0.974493,-1.577871,1.53951,-0.421668,-0.082937,0.457293,-0.746004,3.044675,-0.049604
8,1776231720755,2.311139,-484.2609,147.0105,-269.4502,0.377858,-0.61151,0.596371,0.357239,0.975367,-1.578495,1.539416,-0.42166,-0.083461,0.457309,-0.745978,3.044722,-0.049591
9,1776231720766,2.32225,-484.1028,147.1284,-269.0428,0.377656,-0.611481,0.596413,0.357435,0.974754,-1.57827,1.539379,-0.421662,-0.083749,0.457292,-0.746033,3.04464,-0.049605
10,1776231720777,2.333361,-483.9298,147.0092,-268.6396,0.377601,-0.611456,0.596451,0.357471,0.974596,-1.57818,1.539451,-0.421642,-0.084301,0.457327,-0.745896,3.04478,-0.049536
