FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776231745467,0.000000,-455.4168,147.2758,-272.0953,0.377961,-0.612028,0.595840,0.357131,0.975684,-1.579913,1.538123,-0.395916,-0.097049,0.457301,-0.745875,3.044524,-0.049250
1,1776231745478,0.011111,-455.4003,147.2842,-272.0533,0.377948,-0.612036,0.595838,0.357133,0.975649,-1.579933,1.538118,-0.395916,-0.097049,0.457301,-0.745875,3.044524,-0.049250
2,1776231745489,0.022223,-455.4881,147.1126,-272.1588,0.377955,-0.611996,0.595875,0.357132,0.975668,-1.579830,1.538215,-0.395916,-0.097039,0.457314,-0.745789,3.044561,-0.049184
3,1776231745500,0.033334,-455.6718,147.0546,-272.3229,0.377918,-0.611959,0.595925,0.357152,0.975561,-1.579718,1.538328,-0.395918,-0.097035,0.457312,-0.745868,3.044575,-0.049231
4,1776231745511,0.044445,-455.7550,147.1902,-272.3498,0.377785,-0.611967,0.595927,0.357276,0.975162,-1.579646,1.538241,-0.395932,-0.097031,0.457290,-0.745799,3.044529,-0.049236
5,1776231745522,0.055556,-455.5772,147.0802,-272.4631,0.377723,-0.611975,0.595945,0.357298,0.974990,-1.579650,1.538271,-0.395925,-0.097031,0.457293,-0.745795,3.044517,-0.049241
6,1776231745533,0.066668,-455.4266,147.1589,-272.4175,0.377713,-0.611966,0.595955,0.357309,0.974960,-1.579617,1.538289,-0.395913,-0.097042,0.457317,-0.745831,3.044568,-0.049139
7,1776231745544,0.077779,-455.4742,147.1715,-272.3696,0.377706,-0.612012,0.595932,0.357273,0.974959,-1.579764,1.538257,-0.395921,-0.097039,0.457302,-0.745911,3.044516,-0.049252
8,1776231745555,0.088890,-455.4708,147.2154,-272.4132,0.377738,-0.611996,0.595930,0.357271,0.975041,-1.579724,1.538254,-0.395925,-0.097048,0.457298,-0.745888,3.044491,-0.049147
9,1776231745567,0.100001,-455.5339,147.1453,-272.3109,0.377680,-0.612009,0.595974,0.357237,0.974907,-1.579783,1.538391,-0.395918,-0.097030,0.457306,-0.745808,3.044565,-0.049240
10,1776231745578,0.111113,-455.5423,147.2016,-272.2482,0.377708,-0.612023,0.595939,0.357243,0.974977,-1.579814,1.538297,-0.395921,-0.097037,0.457303,-0.745859,3.044534,-0.049209
