FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770205739489,0.000000,-4.9168,453.2896,-823.4096,0.753007,-0.188492,0.262479,0.573198,1.765116,-0.441843,0.615275,0.315554,0.330463,0.472884,-2.492199,1.467101,-0.278180
1,1770205739500,0.011112,-4.9115,453.2895,-823.4026,0.752994,-0.188479,0.262497,0.573211,1.765076,-0.441810,0.615313,0.315552,0.330470,0.472877,-2.492200,1.467104,-0.278191
2,1770205739511,0.022223,-4.7183,453.1190,-823.3743,0.752991,-0.188448,0.262496,0.573226,1.765057,-0.441734,0.615306,0.315559,0.330463,0.472877,-2.492186,1.467119,-0.278221
3,1770205739522,0.033334,-4.7607,453.2007,-823.4229,0.752947,-0.188445,0.262442,0.573310,1.764892,-0.441711,0.615158,0.315557,0.330462,0.472882,-2.492177,1.467134,-0.278218
4,1770205739533,0.044445,-4.7588,453.1926,-823.4200,0.752950,-0.188440,0.262447,0.573304,1.764904,-0.441701,0.615172,0.315560,0.330467,0.472871,-2.492181,1.467150,-0.278166
5,1770205739544,0.055556,-4.7526,453.1763,-823.4180,0.752956,-0.188449,0.262447,0.573294,1.764924,-0.441724,0.615175,0.315543,0.330474,0.472882,-2.492212,1.467077,-0.278230
6,1770205739555,0.066668,-4.7733,453.0932,-823.4295,0.752942,-0.188460,0.262422,0.573320,1.764873,-0.441745,0.615109,0.315538,0.330473,0.472884,-2.492206,1.467048,-0.278203
7,1770205739566,0.077779,-4.8797,453.2049,-823.4829,0.752937,-0.188476,0.262399,0.573332,1.764853,-0.441781,0.615053,0.315545,0.330461,0.472894,-2.492146,1.467130,-0.278310
8,1770205739577,0.088890,-4.7410,453.1825,-823.4304,0.752935,-0.188510,0.262428,0.573311,1.764862,-0.441863,0.615125,0.315558,0.330472,0.472871,-2.492249,1.467139,-0.278213
9,1770205739589,0.100002,-4.8058,453.1763,-823.4855,0.752988,-0.188442,0.262435,0.573259,1.765026,-0.441713,0.615156,0.315558,0.330469,0.472869,-2.492195,1.467144,-0.278199
10,1770205739600,0.111113,-4.7430,453.1565,-823.5863,0.752992,-0.188372,0.262506,0.573245,1.765046,-0.441551,0.615326,0.315546,0.330460,0.472891,-2.492162,1.467083,-0.278224
11,1770205739611,0.122224,-4.8231,453.1875,-823.5698,0.752994,-0.188353,0.262536,0.573234,1.765059,-0.441510,0.615399,0.315555,0.330475,0.472874,-2.492216,1.467118,-0.278215
12,1770205739622,0.133336,-4.8500,453.1617,-823.5862,0.752993,-0.188348,0.262526,0.573242,1.765051,-0.441495,0.615372,0.315545,0.330463,0.472888,-2.492166,1.467092,-0.278256
13,1770205739633,0.144447,-4.8692,453.1306,-823.6055,0.752989,-0.188327,0.262534,0.573251,1.765033,-0.441446,0.615390,0.315553,0.330471,0.472875,-2.492239,1.467086,-0.278180
14,1770205739644,0.155558,-4.8380,453.2915,-823.5697,0.752978,-0.188275,0.262540,0.573279,1.764989,-0.441318,0.615397,0.315554,0.330474,0.472869,-2.492215,1.467118,-0.278215
15,1770205739655,0.166669,-4.8352,453.2797,-823.5884,0.752966,-0.188270,0.262546,0.573294,1.764949,-0.441304,0.615407,0.315553,0.330458,0.472888,-2.492145,1.467134,-0.278215
16,1770205739666,0.177781,-4.6953,453.2164,-823.5043,0.752995,-0.188285,0.262545,0.573252,1.765048,-0.441346,0.615416,0.315549,0.330465,0.472887,-2.492205,1.467073,-0.278246
17,1770205739677,0.188892,-4.6683,453.1981,-823.5084,0.752988,-0.188293,0.262524,0.573268,1.765020,-0.441362,0.615361,0.315550,0.330468,0.472883,-2.492189,1.467107,-0.278257
18,1770205739689,0.200003,-4.6473,453.1956,-823.5068,0.752994,-0.188291,0.262530,0.573258,1.765040,-0.441360,0.615378,0.315549,0.330471,0.472878,-2.492194,1.467087,-0.278239
19,1770205739700,0.211114,-4.5878,453.2062,-823.3635,0.752994,-0.188332,0.262519,0.573249,1.765048,-0.441458,0.615356,0.315555,0.330456,0.472883,-2.492149,1.467110,-0.278186
20,1770205739711,0.222225,-4.5584,453.1839,-823.3489,0.753003,-0.188320,0.262511,0.573245,1.765071,-0.441431,0.615338,0.315571,0.330469,0.472861,-2.492235,1.467162,-0.278158
21,1770205739722,0.233337,-4.6491,452.9700,-823.3757,0.753017,-0.188355,0.262464,0.573238,1.765109,-0.441513,0.615228,0.315551,0.330463,0.472880,-2.492173,1.467109,-0.278207
22,1770205739733,0.244448,-4.7119,453.0674,-823.4413,0.753005,-0.188368,0.262412,0.573272,1.765057,-0.441537,0.615099,0.315558,0.330477,0.472866,-2.492235,1.467109,-0.278210
23,1770205739744,0.255559,-4.6965,453.0621,-823.5284,0.753004,-0.188413,0.262386,0.573271,1.765054,-0.441644,0.615036,0.315556,0.330472,0.472876,-2.492219,1.467123,-0.278235
24,1770205739755,0.266671,-4.6787,453.0326,-823.5714,0.752973,-0.188436,0.262415,0.573291,1.764967,-0.441693,0.615099,0.315542,0.330463,0.472896,-2.492160,1.467091,-0.278278
25,1770205739766,0.277782,-4.8322,453.1691,-823.5609,0.753010,-0.188411,0.262493,0.573215,1.765109,-0.441650,0.615302,0.315543,0.330471,0.472877,-2.492188,1.467078,-0.278203
26,1770205739777,0.288893,-4.8110,453.2325,-823.6387,0.752996,-0.188430,0.262513,0.573218,1.765075,-0.441694,0.615348,0.315559,0.330465,0.472873,-2.492197,1.467089,-0.278248
27,1770205739789,0.300004,-4.7610,453.1513,-823.5782,0.752981,-0.188435,0.262503,0.573240,1.765023,-0.441702,0.615319,0.315557,0.330470,0.472874,-2.492218,1.467159,-0.278200
28,1770205739800,0.311116,-4.7594,453.1294,-823.5907,0.752989,-0.188432,0.262520,0.573223,1.765054,-0.441696,0.615365,0.315548,0.330459,0.472894,-2.492140,1.467117,-0.278263
29,1770205739811,0.322227,-4.7463,453.1830,-823.4891,0.752995,-0.188476,0.262426,0.573244,1.765054,-0.441796,0.615138,0.315552,0.330472,0.472877,-2.492232,1.467105,-0.278194
30,1770205739822,0.333338,-4.7502,453.1976,-823.4086,0.753002,-0.188455,0.262407,0.573250,1.765064,-0.441745,0.615093,0.315559,0.330463,0.472875,-2.492214,1.467075,-0.278227
31,1770205739833,0.344449,-4.7416,453.1829,-823.4007,0.752996,-0.188457,0.262423,0.573249,1.765052,-0.441751,0.615131,0.315548,0.330466,0.472880,-2.492159,1.467090,-0.278279
32,1770205739844,0.355561,-4.6760,453.2109,-823.4232,0.752992,-0.188451,0.262356,0.573288,1.765014,-0.441729,0.614963,0.315556,0.330465,0.472877,-2.492190,1.467095,-0.278187
33,1770205739855,0.366672,-4.6514,453.2052,-823.4183,0.752987,-0.188436,0.262353,0.573301,1.764992,-0.441692,0.614952,0.315542,0.330461,0.472890,-2.492136,1.467076,-0.278278
34,1770205739866,0.377783,-4.6702,453.1511,-823.4665,0.752986,-0.188518,0.262334,0.573284,1.765003,-0.441886,0.614912,0.315553,0.330460,0.472879,-2.492184,1.467059,-0.278249
35,1770205739877,0.388894,-4.6483,453.1363,-823.4713,0.752960,-0.188525,0.262351,0.573308,1.764923,-0.441899,0.614946,0.315547,0.330475,0.472873,-2.492230,1.467084,-0.278199
36,1770205739889,0.400006,-4.6260,453.1205,-823.4934,0.752960,-0.188496,0.262290,0.573345,1.764897,-0.441824,0.614794,0.315551,0.330454,0.472895,-2.492112,1.467142,-0.278270
37,1770205739900,0.411117,-4.5968,453.0909,-823.5074,0.752959,-0.188493,0.262301,0.573342,1.764897,-0.441818,0.614819,0.315543,0.330461,0.472899,-2.492148,1.467102,-0.278260
38,1770205739911,0.422228,-4.5351,453.1302,-823.5069,0.752962,-0.188531,0.262269,0.573340,1.764906,-0.441907,0.614745,0.315554,0.330460,0.472888,-2.492187,1.467140,-0.278211
39,1770205739922,0.433339,-4.4595,452.9213,-823.5065,0.752946,-0.188567,0.262224,0.573371,1.764844,-0.441986,0.614632,0.315545,0.330466,0.472888,-2.492162,1.467115,-0.278285
40,1770205739933,0.444451,-4.6942,453.0660,-823.5043,0.752948,-0.188524,0.262294,0.573350,1.764865,-0.441890,0.614801,0.315547,0.330462,0.472883,-2.492164,1.467088,-0.278240
41,1770205739944,0.455562,-4.6788,453.0429,-823.5162,0.752970,-0.188540,0.262279,0.573323,1.764936,-0.441932,0.614773,0.315562,0.330463,0.472867,-2.492194,1.467120,-0.278197
