FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769790235236,0.000001,618.0023,235.7814,-436.1949,0.675276,0.137168,-0.066716,0.721621,1.491729,0.303013,-0.147379,0.151335,-0.433846,0.280868,2.990143,0.094452,0.141779
1,1769790235247,0.011113,618.0836,235.8363,-436.1911,0.675293,0.137141,-0.066714,0.721610,1.491774,0.302954,-0.147376,0.151349,-0.433841,0.280846,2.990189,0.094506,0.141822
2,1769790235258,0.022224,618.0792,235.8644,-436.1946,0.675284,0.137129,-0.066724,0.721619,1.491749,0.302928,-0.147399,0.151333,-0.433846,0.280868,2.990146,0.094414,0.141792
3,1769790235269,0.033335,618.1431,235.9520,-436.1829,0.675277,0.137121,-0.066764,0.721624,1.491729,0.302909,-0.147485,0.151347,-0.433846,0.280876,2.990102,0.094548,0.141778
4,1769790235280,0.044446,618.1418,235.8952,-436.2417,0.675274,0.137157,-0.066735,0.721622,1.491725,0.302989,-0.147422,0.151333,-0.433851,0.280879,2.990106,0.094456,0.141812
5,1769790235291,0.055558,618.1390,235.9121,-436.2721,0.675260,0.137163,-0.066759,0.721633,1.491687,0.303002,-0.147474,0.151333,-0.433854,0.280873,2.990119,0.094448,0.141788
6,1769790235302,0.066669,618.1119,235.9784,-436.3456,0.675240,0.137163,-0.066767,0.721650,1.491634,0.302999,-0.147490,0.151327,-0.433845,0.280860,2.990154,0.094441,0.141777
7,1769790235313,0.077780,618.2443,236.0591,-436.1904,0.675294,0.137113,-0.066777,0.721609,1.491775,0.302892,-0.147515,0.151336,-0.433848,0.280888,2.990080,0.094505,0.141749
8,1769790235324,0.088891,618.2252,236.0575,-436.1576,0.675300,0.137136,-0.066798,0.721596,1.491797,0.302946,-0.147562,0.151328,-0.433848,0.280897,2.990081,0.094452,0.141796
9,1769790235336,0.100003,618.1995,235.9234,-436.2235,0.675284,0.137115,-0.066832,0.721613,1.491751,0.302898,-0.147637,0.151335,-0.433846,0.280878,2.990120,0.094453,0.141777
10,1769790235347,0.111114,618.2109,235.9635,-436.2324,0.675278,0.137096,-0.066839,0.721621,1.491733,0.302855,-0.147651,0.151325,-0.433850,0.280888,2.990083,0.094450,0.141735
11,1769790235358,0.122225,618.1420,236.0259,-436.3081,0.675251,0.137104,-0.066841,0.721645,1.491660,0.302869,-0.147655,0.151333,-0.433848,0.280868,2.990143,0.094447,0.141790
12,1769790235369,0.133336,618.0944,235.9372,-436.2285,0.675212,0.137110,-0.066792,0.721684,1.491552,0.302878,-0.147544,0.151337,-0.433840,0.280871,2.990127,0.094511,0.141778
13,1769790235380,0.144448,617.9858,235.8843,-436.1750,0.675290,0.137135,-0.066791,0.721607,1.491769,0.302941,-0.147546,0.151342,-0.433844,0.280877,2.990118,0.094473,0.141840
14,1769790235391,0.155559,618.0612,235.8350,-436.1710,0.675341,0.137111,-0.066770,0.721566,1.491905,0.302894,-0.147502,0.151327,-0.433845,0.280878,2.990108,0.094430,0.141786
15,1769790235402,0.166670,617.9303,235.8707,-436.1273,0.675325,0.137148,-0.066769,0.721574,1.491865,0.302973,-0.147499,0.151335,-0.433849,0.280878,2.990105,0.094474,0.141788
16,1769790235413,0.177782,618.0167,235.7122,-436.1771,0.675365,0.137156,-0.066731,0.721539,1.491972,0.302995,-0.147418,0.151325,-0.433848,0.280870,2.990133,0.094404,0.141789
17,1769790235424,0.188893,617.9969,235.7065,-436.1895,0.675369,0.137156,-0.066728,0.721535,1.491984,0.302998,-0.147413,0.151333,-0.433852,0.280886,2.990084,0.094436,0.141798
18,1769790235436,0.200004,617.9413,235.7190,-436.1824,0.675350,0.137127,-0.066732,0.721558,1.491928,0.302930,-0.147419,0.151323,-0.433850,0.280875,2.990118,0.094443,0.141750
