FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769790310567,0.000000,607.4310,230.4615,-429.4046,0.679140,0.129389,-0.057713,0.720206,1.501081,0.285985,-0.127561,0.141100,-0.438576,0.276290,3.000544,0.058806,0.140084
1,1769790310578,0.011111,607.9141,230.6108,-429.5479,0.679228,0.129680,-0.058207,0.720030,1.501376,0.286647,-0.128662,0.141699,-0.438301,0.276560,2.999940,0.060882,0.140148
2,1769790310589,0.022223,608.4792,230.6863,-429.8686,0.679174,0.130123,-0.058601,0.719970,1.501291,0.287633,-0.129537,0.142078,-0.438144,0.276725,2.999580,0.062159,0.140279
3,1769790310600,0.033334,608.9629,230.9122,-430.4077,0.678980,0.130629,-0.058939,0.720034,1.500826,0.288745,-0.130280,0.142428,-0.437985,0.276876,2.999228,0.063422,0.140294
4,1769790310611,0.044445,609.5888,231.2607,-430.6632,0.678433,0.131092,-0.059287,0.720436,1.499385,0.289722,-0.131028,0.143180,-0.437633,0.277217,2.998491,0.066018,0.140423
5,1769790310622,0.055556,610.2589,231.3389,-430.8071,0.677943,0.131576,-0.059573,0.720786,1.498100,0.290753,-0.131643,0.143556,-0.437467,0.277370,2.998131,0.067317,0.140434
6,1769790310633,0.066668,610.7488,231.7010,-431.1843,0.677785,0.131969,-0.060062,0.720822,1.497730,0.291618,-0.132723,0.143977,-0.437267,0.277550,2.997741,0.068788,0.140551
7,1769790310644,0.077779,611.2488,232.0112,-431.6854,0.677651,0.132424,-0.060619,0.720818,1.497437,0.292624,-0.133954,0.144836,-0.436880,0.277921,2.996895,0.071771,0.140664
8,1769790310655,0.088890,611.8922,232.3981,-432.1925,0.677340,0.132856,-0.061284,0.720975,1.496659,0.293561,-0.135414,0.145261,-0.436680,0.278109,2.996471,0.073266,0.140709
9,1769790310667,0.100001,612.5990,232.4067,-432.4435,0.676950,0.133375,-0.061579,0.721220,1.495658,0.294680,-0.136054,0.146096,-0.436310,0.278506,2.995565,0.076217,0.140874
10,1769790310678,0.111113,612.7071,232.5617,-432.7446,0.676547,0.133720,-0.062229,0.721478,1.494620,0.295413,-0.137476,0.146489,-0.436128,0.278703,2.995118,0.077553,0.140935
11,1769790310689,0.122224,613.3259,232.7393,-433.0303,0.676368,0.134169,-0.062519,0.721538,1.494189,0.296398,-0.138114,0.146864,-0.435950,0.278863,2.994739,0.078856,0.140974
12,1769790310700,0.133335,613.7653,233.0047,-433.2227,0.676317,0.134710,-0.062927,0.721450,1.494126,0.297604,-0.139019,0.147543,-0.435631,0.279138,2.994143,0.081218,0.141096
13,1769790310711,0.144447,614.1980,233.0419,-433.4544,0.676358,0.135082,-0.063285,0.721310,1.494297,0.298440,-0.139817,0.147879,-0.435488,0.279281,2.993789,0.082332,0.141202
14,1769790310722,0.155558,614.6672,233.2849,-433.7487,0.676022,0.135368,-0.063583,0.721545,1.493421,0.299044,-0.140464,0.148477,-0.435205,0.279558,2.993163,0.084482,0.141277
15,1769790310733,0.166669,615.1050,233.5272,-434.0760,0.675773,0.135684,-0.063865,0.721694,1.492786,0.299728,-0.141078,0.148735,-0.435074,0.279684,2.992877,0.085367,0.141321
16,1769790310744,0.177781,614.9457,233.7379,-433.9144,0.675312,0.135638,-0.064918,0.722040,1.491568,0.299585,-0.143384,0.148864,-0.435007,0.279772,2.992678,0.085866,0.141397
17,1769790310755,0.188892,614.3647,233.2544,-433.4808,0.675408,0.135291,-0.064346,0.722066,1.491767,0.298815,-0.142121,0.148714,-0.435096,0.279818,2.992519,0.085325,0.141274
18,1769790310767,0.200003,614.1169,233.2305,-433.2646,0.675291,0.134692,-0.064371,0.722286,1.491382,0.297467,-0.142163,0.148697,-0.435097,0.279736,2.992734,0.085254,0.141263
19,1769790310778,0.211114,614.6461,233.1672,-433.6081,0.675694,0.134757,-0.063743,0.721952,1.492463,0.297650,-0.140795,0.148696,-0.435109,0.279743,2.992721,0.085243,0.141309
20,1769790310789,0.222225,614.6329,233.5340,-433.8984,0.676172,0.135471,-0.063480,0.721394,1.493838,0.299290,-0.140244,0.148753,-0.435066,0.279625,2.993069,0.085418,0.141329
21,1769790310800,0.233337,614.7905,233.8857,-434.0677,0.675846,0.134878,-0.065388,0.721641,1.492976,0.297951,-0.144446,0.148875,-0.435006,0.279775,2.992711,0.085828,0.141380
22,1769790310811,0.244448,615.4374,234.2041,-434.3876,0.675063,0.135790,-0.064918,0.722244,1.490903,0.299897,-0.143374,0.149134,-0.434903,0.280004,2.992133,0.086753,0.141436
23,1769790310822,0.255559,615.8623,234.1691,-434.6581,0.675234,0.135791,-0.063417,0.722217,1.491297,0.299902,-0.140061,0.149227,-0.434853,0.280027,2.992074,0.087101,0.141394
24,1769790310833,0.266671,615.6375,234.5305,-434.7367,0.676401,0.136184,-0.064239,0.720978,1.494582,0.300913,-0.141943,0.149227,-0.434853,0.280027,2.992074,0.087101,0.141394
25,1769790310844,0.277782,616.1107,234.2036,-435.0909,0.676299,0.136189,-0.064454,0.721053,1.494315,0.300915,-0.142413,0.149646,-0.434667,0.280074,2.991998,0.088566,0.141496
26,1769790310855,0.288893,616.0655,234.4174,-434.9633,0.675857,0.136357,-0.064968,0.721390,1.493144,0.301249,-0.143531,0.149775,-0.434603,0.280146,2.991843,0.089027,0.141480
27,1769790310867,0.300005,616.7339,234.4577,-435.2772,0.674537,0.136530,-0.064336,0.722648,1.489511,0.301484,-0.142066,0.150177,-0.434410,0.280364,2.991324,0.090431,0.141604
28,1769790310878,0.311116,617.0695,234.4323,-435.4525,0.674600,0.136976,-0.064836,0.722461,1.489756,0.302491,-0.143180,0.150368,-0.434308,0.280462,2.991086,0.091090,0.141587
29,1769790310889,0.322227,616.9534,234.4478,-435.4241,0.674764,0.137315,-0.065063,0.722223,1.490254,0.303269,-0.143695,0.150572,-0.434222,0.280575,2.990829,0.091815,0.141668
30,1769790310900,0.333338,616.9849,234.5433,-435.5154,0.675245,0.137534,-0.065359,0.721704,1.491614,0.303813,-0.144377,0.150831,-0.434088,0.280689,2.990579,0.092708,0.141668
31,1769790310911,0.344449,616.8597,234.6834,-435.5302,0.674824,0.137429,-0.065590,0.722097,1.490458,0.303534,-0.144867,0.150944,-0.434036,0.280751,2.990418,0.093155,0.141672
32,1769790310922,0.355561,617.1615,234.6201,-435.3819,0.674575,0.137505,-0.065431,0.722329,1.489777,0.303675,-0.144503,0.151106,-0.433962,0.280801,2.990311,0.093689,0.141731
33,1769790310933,0.366672,617.1980,234.6628,-435.4452,0.674515,0.137642,-0.065501,0.722354,1.489629,0.303974,-0.144654,0.151181,-0.433925,0.280830,2.990251,0.093947,0.141734
34,1769790310944,0.377783,617.8019,234.1901,-435.4637,0.674699,0.137828,-0.065588,0.722138,1.490158,0.304410,-0.144858,0.151269,-0.433891,0.280853,2.990178,0.094255,0.141751
35,1769790310955,0.388894,617.3813,234.5690,-435.7872,0.675010,0.137798,-0.065887,0.721826,1.491023,0.304382,-0.145538,0.151377,-0.433842,0.280890,2.990105,0.094617,0.141798
36,1769790310967,0.400005,617.3591,234.3448,-435.5480,0.674901,0.137760,-0.066002,0.721924,1.490728,0.304285,-0.145786,0.151413,-0.433835,0.280877,2.990129,0.094742,0.141809
37,1769790310978,0.411117,617.2856,234.1906,-435.5055,0.674875,0.137850,-0.065707,0.721958,1.490652,0.304481,-0.145133,0.151392,-0.433844,0.280870,2.990149,0.094702,0.141805
38,1769790310989,0.422228,616.9594,234.2652,-435.6174,0.674819,0.137796,-0.065625,0.722029,1.490486,0.304353,-0.144947,0.151367,-0.433844,0.280844,2.990212,0.094607,0.141767
39,1769790311000,0.433339,617.2388,234.5394,-435.7759,0.674791,0.137753,-0.065754,0.722051,1.490412,0.304256,-0.145230,0.151358,-0.433861,0.280825,2.990250,0.094544,0.141792
40,1769790311011,0.444451,617.1690,234.5862,-435.9275,0.675294,0.137718,-0.065951,0.721569,1.491800,0.304233,-0.145694,0.151379,-0.433845,0.280859,2.990191,0.094606,0.141805
41,1769790311022,0.455562,617.2602,234.8253,-435.9937,0.675184,0.137701,-0.066102,0.721661,1.491503,0.304187,-0.146022,0.151380,-0.433853,0.280869,2.990131,0.094608,0.141801
42,1769790311033,0.466673,617.2605,234.8031,-435.7635,0.675078,0.137672,-0.066157,0.721762,1.491211,0.304110,-0.146138,0.151382,-0.433847,0.280856,2.990177,0.094632,0.141805
43,1769790311044,0.477785,617.3622,234.7693,-435.6330,0.674949,0.137616,-0.066096,0.721898,1.490850,0.303971,-0.145996,0.151379,-0.433843,0.280850,2.990202,0.094582,0.141868
44,1769790311055,0.488896,617.3647,234.8416,-435.5916,0.675047,0.137583,-0.066209,0.721802,1.491121,0.303908,-0.146251,0.151380,-0.433841,0.280849,2.990204,0.094592,0.141820
45,1769790311067,0.500007,617.2782,234.8255,-435.7328,0.675171,0.137500,-0.066371,0.721687,1.491460,0.303738,-0.146614,0.151355,-0.433853,0.280840,2.990229,0.094513,0.141767
46,1769790311078,0.511118,617.3029,234.8832,-435.7408,0.675135,0.137536,-0.066389,0.721712,1.491367,0.303815,-0.146653,0.151351,-0.433850,0.280853,2.990195,0.094471,0.141788
47,1769790311089,0.522229,617.4006,234.8226,-435.6509,0.675073,0.137517,-0.066439,0.721770,1.491196,0.303767,-0.146761,0.151355,-0.433851,0.280863,2.990157,0.094529,0.141749
48,1769790311100,0.533341,617.3375,234.9379,-435.7053,0.675159,0.137466,-0.066449,0.721698,1.491428,0.303662,-0.146786,0.151373,-0.433847,0.280874,2.990141,0.094615,0.141775
49,1769790311111,0.544452,617.3068,235.0171,-435.6908,0.675127,0.137452,-0.066424,0.721733,1.491336,0.303627,-0.146729,0.151363,-0.433854,0.280845,2.990204,0.094545,0.141779
50,1769790311122,0.555563,617.2753,235.0995,-435.6762,0.675166,0.137448,-0.066379,0.721702,1.491440,0.303623,-0.146631,0.151369,-0.433848,0.280866,2.990171,0.094508,0.141839
51,1769790311133,0.566674,617.2997,235.1790,-435.6771,0.675193,0.137460,-0.066415,0.721671,1.491518,0.303652,-0.146712,0.151359,-0.433857,0.280853,2.990179,0.094535,0.141799
52,1769790311144,0.577786,617.2675,234.8747,-435.6877,0.675192,0.137460,-0.066468,0.721667,1.491517,0.303654,-0.146830,0.151375,-0.433839,0.280865,2.990165,0.094597,0.141827
53,1769790311155,0.588897,617.2154,234.9538,-435.6432,0.675167,0.137434,-0.066541,0.721688,1.491450,0.303594,-0.146990,0.151373,-0.433850,0.280861,2.990165,0.094614,0.141777
54,1769790311167,0.600008,617.2455,234.9887,-435.5852,0.674996,0.137352,-0.066415,0.721876,1.490964,0.303391,-0.146701,0.151356,-0.433851,0.280869,2.990156,0.094524,0.141785
55,1769790311178,0.611119,617.3272,234.8130,-435.6365,0.675142,0.137355,-0.066463,0.721734,1.491368,0.303413,-0.146815,0.151358,-0.433856,0.280881,2.990108,0.094544,0.141757
56,1769790311189,0.622231,617.3721,234.8856,-435.6989,0.675205,0.137344,-0.066599,0.721664,1.491548,0.303397,-0.147119,0.151356,-0.433848,0.280854,2.990204,0.094521,0.141789
57,1769790311200,0.633342,617.3960,234.9194,-435.6726,0.675221,0.137309,-0.066640,0.721652,1.491591,0.303321,-0.147211,0.151356,-0.433848,0.280851,2.990204,0.094521,0.141789
58,1769790311211,0.644453,617.3729,234.8665,-435.6599,0.675192,0.137324,-0.066628,0.721678,1.491511,0.303350,-0.147184,0.151371,-0.433844,0.280852,2.990201,0.094595,0.141804
59,1769790311222,0.655564,617.3308,234.7771,-435.6710,0.675165,0.137334,-0.066630,0.721700,1.491440,0.303372,-0.147186,0.151369,-0.433845,0.280864,2.990191,0.094570,0.141803
60,1769790311233,0.666676,617.3344,234.7672,-435.6937,0.675175,0.137319,-0.066641,0.721694,1.491464,0.303337,-0.147209,0.151363,-0.433850,0.280869,2.990166,0.094566,0.141787
61,1769790311244,0.677787,617.2217,234.6718,-435.7131,0.675194,0.137313,-0.066583,0.721682,1.491513,0.303326,-0.147082,0.151376,-0.433840,0.280851,2.990191,0.094606,0.141781
62,1769790311255,0.688898,617.2210,234.6581,-435.7045,0.675201,0.137334,-0.066583,0.721671,1.491536,0.303373,-0.147084,0.151357,-0.433838,0.280862,2.990184,0.094477,0.141802
63,1769790311267,0.700009,617.1629,234.7139,-435.7573,0.675277,0.137271,-0.066699,0.721602,1.491741,0.303242,-0.147344,0.151358,-0.433848,0.280859,2.990178,0.094547,0.141787
64,1769790311278,0.711121,617.1281,234.7207,-435.7971,0.675218,0.137293,-0.066690,0.721654,1.491581,0.303285,-0.147321,0.151374,-0.433843,0.280877,2.990131,0.094591,0.141800
65,1769790311289,0.722232,617.1353,234.7533,-435.7071,0.675266,0.137254,-0.066667,0.721618,1.491708,0.303204,-0.147271,0.151361,-0.433845,0.280860,2.990177,0.094560,0.141800
66,1769790311300,0.733343,617.2563,234.7603,-435.7419,0.675248,0.137217,-0.066641,0.721645,1.491654,0.303118,-0.147214,0.151368,-0.433840,0.280867,2.990156,0.094565,0.141777
67,1769790311311,0.744454,617.2849,234.7980,-435.7247,0.675309,0.137216,-0.066718,0.721581,1.491825,0.303124,-0.147387,0.151358,-0.433843,0.280860,2.990180,0.094504,0.141837
68,1769790311322,0.755565,617.2416,234.7820,-435.7410,0.675289,0.137193,-0.066660,0.721609,1.491764,0.303070,-0.147257,0.151361,-0.433846,0.280859,2.990190,0.094560,0.141801
69,1769790311333,0.766677,617.2644,234.7877,-435.7360,0.675278,0.137184,-0.066639,0.721623,1.491732,0.303049,-0.147211,0.151337,-0.433854,0.280905,2.990059,0.094474,0.141749
70,1769790311344,0.777788,617.3286,234.7496,-435.7266,0.675181,0.137154,-0.066647,0.721719,1.491463,0.302970,-0.147222,0.151348,-0.433851,0.280874,2.990133,0.094494,0.141769
71,1769790311355,0.788899,617.3442,234.7606,-435.7052,0.675290,0.137176,-0.066693,0.721608,1.491768,0.303032,-0.147329,0.151352,-0.433843,0.280887,2.990107,0.094526,0.141756
72,1769790311367,0.800010,617.3392,234.7130,-435.6743,0.675308,0.137166,-0.066691,0.721593,1.491816,0.303011,-0.147326,0.151349,-0.433850,0.280893,2.990096,0.094489,0.141803
73,1769790311378,0.811122,617.2027,234.7938,-435.7534,0.675325,0.137169,-0.066657,0.721580,1.491862,0.303019,-0.147252,0.151347,-0.433852,0.280883,2.990105,0.094504,0.141827
74,1769790311389,0.822233,617.1782,234.7790,-435.7770,0.675366,0.137166,-0.066646,0.721543,1.491973,0.303019,-0.147230,0.151347,-0.433851,0.280895,2.990074,0.094465,0.141802
75,1769790311400,0.833344,617.0585,234.6448,-435.6929,0.675261,0.137175,-0.066671,0.721638,1.491685,0.303028,-0.147280,0.151364,-0.433834,0.280874,2.990140,0.094574,0.141810
76,1769790311411,0.844455,617.1171,234.7584,-435.6781,0.675281,0.137161,-0.066711,0.721617,1.491743,0.302998,-0.147369,0.151340,-0.433849,0.280875,2.990144,0.094470,0.141780
77,1769790311422,0.855566,617.1122,234.7283,-435.6237,0.675291,0.137197,-0.066689,0.721604,1.491771,0.303079,-0.147322,0.151346,-0.433841,0.280837,2.990250,0.094491,0.141814
78,1769790311433,0.866678,617.1626,234.7139,-435.7145,0.675356,0.137186,-0.066724,0.721541,1.491952,0.303062,-0.147402,0.151332,-0.433850,0.280862,2.990166,0.094458,0.141779
79,1769790311444,0.877789,617.2653,234.7200,-435.7019,0.675318,0.137180,-0.066710,0.721580,1.491845,0.303044,-0.147370,0.151339,-0.433842,0.280880,2.990130,0.094496,0.141755
80,1769790311455,0.888900,617.3530,234.8039,-435.7075,0.675345,0.137190,-0.066807,0.721543,1.491926,0.303072,-0.147585,0.151345,-0.433847,0.280883,2.990108,0.094490,0.141779
81,1769790311467,0.900011,617.3402,234.8635,-435.7493,0.675320,0.137173,-0.066821,0.721569,1.491857,0.303029,-0.147616,0.151348,-0.433847,0.280872,2.990120,0.094495,0.141769
82,1769790311478,0.911123,617.3555,234.8658,-435.7337,0.675311,0.137175,-0.066807,0.721578,1.491831,0.303033,-0.147584,0.151333,-0.433856,0.280850,2.990202,0.094452,0.141819
83,1769790311489,0.922234,617.2000,234.8325,-435.7200,0.675325,0.137154,-0.066813,0.721568,1.491868,0.302988,-0.147598,0.151345,-0.433848,0.280857,2.990168,0.094487,0.141784
84,1769790311500,0.933346,617.2039,234.8411,-435.7309,0.675311,0.137174,-0.066839,0.721575,1.491834,0.303033,-0.147654,0.151347,-0.433847,0.280876,2.990126,0.094547,0.141780
85,1769790311511,0.944458,617.2234,234.8499,-435.7217,0.675352,0.137169,-0.066817,0.721540,1.491943,0.303024,-0.147607,0.151342,-0.433842,0.280883,2.990119,0.094489,0.141755
86,1769790311522,0.955569,617.2263,234.8603,-435.7095,0.675371,0.137180,-0.066830,0.721519,1.491996,0.303051,-0.147638,0.151334,-0.433847,0.280857,2.990178,0.094476,0.141757
87,1769790311533,0.966680,617.2587,234.8140,-435.7221,0.675322,0.137192,-0.066924,0.721554,1.491868,0.303073,-0.147844,0.151347,-0.433843,0.280871,2.990143,0.094482,0.141819
88,1769790311544,0.977792,617.2061,234.8105,-435.7570,0.675291,0.137165,-0.066882,0.721591,1.491780,0.303010,-0.147748,0.151340,-0.433851,0.280864,2.990155,0.094482,0.141769
89,1769790311555,0.988903,617.2018,234.8080,-435.7331,0.675320,0.137142,-0.066942,0.721564,1.491859,0.302961,-0.147882,0.151330,-0.433846,0.280870,2.990141,0.094478,0.141729
90,1769790311567,1.000014,617.1867,234.7468,-435.7007,0.675293,0.137176,-0.066920,0.721584,1.491789,0.303035,-0.147834,0.151348,-0.433842,0.280868,2.990143,0.094500,0.141794
91,1769790311578,1.011125,617.1774,234.7311,-435.6874,0.675315,0.137193,-0.066935,0.721559,1.491851,0.303075,-0.147867,0.151345,-0.433843,0.280863,2.990165,0.094507,0.141795
92,1769790311589,1.022237,617.2067,234.6907,-435.7224,0.675340,0.137171,-0.066961,0.721538,1.491917,0.303030,-0.147925,0.151338,-0.433843,0.280872,2.990154,0.094441,0.141854
93,1769790311600,1.033348,617.2019,234.6758,-435.7065,0.675351,0.137162,-0.066958,0.721529,1.491948,0.303011,-0.147921,0.151336,-0.433847,0.280875,2.990134,0.094427,0.141804
94,1769790311611,1.044459,617.1062,234.7071,-435.7775,0.675395,0.137166,-0.066911,0.721492,1.492066,0.303024,-0.147818,0.151351,-0.433835,0.280894,2.990094,0.094515,0.141804
95,1769790311622,1.055571,617.1541,234.6904,-435.6478,0.675402,0.137167,-0.066929,0.721483,1.492086,0.303026,-0.147859,0.151352,-0.433834,0.280866,2.990155,0.094500,0.141821
96,1769790311633,1.066682,617.1366,234.6715,-435.6532,0.675415,0.137121,-0.066899,0.721483,1.492114,0.302925,-0.147792,0.151349,-0.433828,0.280851,2.990204,0.094484,0.141812
97,1769790311644,1.077793,617.1359,234.6433,-435.6156,0.675426,0.137087,-0.066893,0.721479,1.492141,0.302851,-0.147779,0.151351,-0.433828,0.280831,2.990237,0.094509,0.141815
98,1769790311655,1.088904,617.1093,234.6539,-435.6795,0.675454,0.137074,-0.066917,0.721453,1.492219,0.302824,-0.147834,0.151329,-0.433839,0.280840,2.990214,0.094444,0.141771
99,1769790311667,1.100015,617.1021,234.7289,-435.6013,0.675454,0.137052,-0.066817,0.721467,1.492210,0.302775,-0.147612,0.151332,-0.433830,0.280823,2.990263,0.094441,0.141800
100,1769790311678,1.111127,617.1165,234.6773,-435.6419,0.675456,0.137035,-0.066857,0.721464,1.492217,0.302737,-0.147699,0.151339,-0.433833,0.280828,2.990238,0.094479,0.141776
101,1769790311689,1.122238,617.2211,234.7248,-435.7365,0.675439,0.137020,-0.066880,0.721481,1.492169,0.302702,-0.147750,0.151339,-0.433832,0.280853,2.990179,0.094481,0.141771
102,1769790311700,1.133349,617.2374,234.7189,-435.7328,0.675467,0.137016,-0.066874,0.721456,1.492246,0.302697,-0.147739,0.151351,-0.433827,0.280816,2.990285,0.094507,0.141819
103,1769790311711,1.144460,617.1807,234.6934,-435.7928,0.675451,0.137037,-0.066820,0.721473,1.492200,0.302740,-0.147619,0.151340,-0.433834,0.280817,2.990275,0.094465,0.141791
104,1769790311722,1.155571,617.2911,234.7653,-435.8438,0.675431,0.137009,-0.066859,0.721493,1.492144,0.302677,-0.147703,0.151323,-0.433831,0.280835,2.990240,0.094418,0.141748
105,1769790311733,1.166683,617.2237,234.7559,-435.9257,0.675420,0.136990,-0.066795,0.721512,1.492110,0.302632,-0.147560,0.151342,-0.433830,0.280816,2.990276,0.094446,0.141841
106,1769790311744,1.177794,617.2286,234.6737,-435.7447,0.675417,0.137009,-0.066804,0.721511,1.492104,0.302676,-0.147581,0.151333,-0.433838,0.280833,2.990226,0.094443,0.141797
107,1769790311755,1.188905,617.2682,234.7587,-435.6700,0.675399,0.136979,-0.066790,0.721535,1.492049,0.302605,-0.147548,0.151356,-0.433827,0.280842,2.990211,0.094548,0.141826
108,1769790311767,1.200016,617.3598,234.7039,-435.6588,0.675422,0.136995,-0.066761,0.721513,1.492114,0.302645,-0.147486,0.151348,-0.433831,0.280845,2.990205,0.094478,0.141789
109,1769790311778,1.211128,617.3663,234.7645,-435.6437,0.675391,0.136983,-0.066781,0.721542,1.492029,0.302613,-0.147529,0.151346,-0.433837,0.280845,2.990192,0.094473,0.141799
110,1769790311789,1.222239,617.4124,234.7988,-435.6196,0.675386,0.136989,-0.066791,0.721545,1.492016,0.302626,-0.147549,0.151344,-0.433833,0.280840,2.990201,0.094511,0.141762
111,1769790311800,1.233351,617.4520,234.8385,-435.5968,0.675409,0.136984,-0.066771,0.721527,1.492076,0.302617,-0.147507,0.151347,-0.433830,0.280818,2.990272,0.094520,0.141779
112,1769790311811,1.244462,617.1797,234.7568,-435.7960,0.675376,0.137007,-0.066729,0.721556,1.491987,0.302666,-0.147412,0.151333,-0.433833,0.280835,2.990230,0.094410,0.141799
113,1769790311822,1.255573,617.2218,234.6957,-435.6909,0.675361,0.137005,-0.066721,0.721572,1.491944,0.302659,-0.147395,0.151322,-0.433842,0.280853,2.990169,0.094403,0.141766
114,1769790311833,1.266684,617.1885,234.7871,-435.6447,0.675382,0.137052,-0.066707,0.721545,1.492006,0.302766,-0.147366,0.151335,-0.433838,0.280856,2.990158,0.094408,0.141830
