FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769790310567,0.000000,607.431000,230.461500,-429.404600,0.679140,0.129389,-0.057713,0.720206,1.501081,0.285985,-0.127561,0.141100,-0.438576,0.276290,3.000544,0.058806,0.140084
1,1769790311066,0.499481,617.282297,234.826263,-435.726112,0.675047,0.137583,-0.066209,0.721802,1.491121,0.303908,-0.146251,0.151356,-0.433852,0.280840,2.990204,0.094592,0.141820
2,1769790313301,2.734737,616.675891,234.883411,-435.639465,0.675437,0.136604,-0.066354,0.721610,1.492092,0.301769,-0.146582,0.150839,-0.434030,0.280914,2.990017,0.092768,0.141629
3,1769790314254,3.688260,603.904705,234.613824,-430.921100,0.676514,0.125937,-0.056514,0.723377,1.493460,0.278016,-0.124759,0.137817,-0.438335,0.280806,2.990093,0.049146,0.138350
4,1769790314615,4.048758,583.832300,234.573404,-424.687009,0.678222,0.108683,-0.040793,0.725630,1.495938,0.239720,-0.089977,0.117115,-0.444320,0.280808,2.988510,-0.021329,0.133046
5,1769790314887,4.320375,563.577187,234.688878,-419.547672,0.679952,0.091967,-0.025498,0.727019,1.498959,0.202742,-0.056211,0.096859,-0.449175,0.280799,2.985596,-0.087850,0.127923
6,1769790315139,4.573063,543.090738,234.382986,-415.121378,0.680834,0.074167,-0.009508,0.728611,1.499990,0.163401,-0.020947,0.075362,-0.453272,0.280816,2.980791,-0.159375,0.122377
7,1769790315372,4.805624,522.334258,234.119998,-411.681755,0.681010,0.057159,0.006803,0.730009,1.499576,0.125863,0.014981,0.053772,-0.456337,0.280805,2.974696,-0.228761,0.116891
8,1769790315589,5.022719,501.358336,234.492529,-409.211331,0.680513,0.039567,0.023340,0.731295,1.497747,0.087083,0.051369,0.032343,-0.458362,0.280796,2.966654,-0.300600,0.111201
9,1769790315795,5.229521,480.378703,234.381712,-407.731548,0.679889,0.022533,0.038536,0.731955,1.495997,0.049581,0.084793,0.011187,-0.459355,0.280795,2.957703,-0.367429,0.105688
10,1769790315991,5.424935,459.441140,234.369481,-407.176791,0.678843,0.005246,0.054527,0.732237,1.493536,0.011541,0.119966,-0.010204,-0.459385,0.280786,2.946742,-0.437045,0.100024
11,1769790316180,5.614759,439.007392,234.498293,-407.957147,0.677525,-0.011037,0.070256,0.732053,1.490741,-0.024284,0.154582,-0.031443,-0.458420,0.280795,2.934551,-0.504673,0.094421
12,1769790316367,5.801121,418.735774,234.027085,-409.269702,0.676086,-0.028144,0.083801,0.731500,1.487888,-0.061937,0.184424,-0.052000,-0.456546,0.280786,2.921772,-0.567945,0.089062
13,1769790316555,5.988804,397.950917,234.129262,-411.722172,0.674020,-0.044550,0.099929,0.730566,1.483870,-0.098078,0.219995,-0.073680,-0.453549,0.280793,2.906185,-0.637371,0.083176
14,1769790316742,6.176009,377.227654,234.007630,-415.005400,0.671183,-0.062191,0.115887,0.729531,1.478207,-0.136969,0.255229,-0.095133,-0.449543,0.280773,2.889618,-0.704276,0.077453
15,1769790316927,6.361227,356.643093,233.745805,-419.487547,0.668500,-0.079684,0.131997,0.727554,1.473411,-0.175628,0.290929,-0.116052,-0.444618,0.280753,2.870587,-0.774454,0.071413
16,1769790317111,6.544411,336.352909,234.210265,-424.902943,0.665751,-0.095696,0.146969,0.725271,1.468633,-0.211104,0.324210,-0.135945,-0.438947,0.280708,2.851987,-0.837325,0.065886
17,1769790317306,6.739529,316.576040,233.446229,-430.909074,0.662248,-0.113066,0.162871,0.722576,1.462414,-0.249679,0.359662,-0.156714,-0.431966,0.280716,2.829979,-0.906110,0.059771
18,1769790317515,6.948429,296.933346,233.670461,-438.312761,0.658428,-0.129603,0.178908,0.719491,1.455700,-0.286535,0.395543,-0.176589,-0.424239,0.280720,2.807388,-0.971332,0.053820
19,1769790317751,7.184865,277.486361,233.588327,-446.167772,0.653986,-0.146524,0.193752,0.716445,1.447573,-0.324325,0.428863,-0.196700,-0.415313,0.280630,2.782819,-1.038076,0.047844
20,1769790318061,7.494750,258.635200,233.382965,-455.068465,0.648737,-0.162848,0.209352,0.713297,1.437694,-0.360894,0.463955,-0.215674,-0.405792,0.280611,2.757534,-1.101978,0.041934
21,1769790319007,8.440935,255.552950,237.209579,-459.419534,0.643264,-0.168195,0.212348,0.716121,1.424017,-0.372338,0.470082,-0.219967,-0.402252,0.284439,2.743167,-1.116720,0.034795
22,1769790319406,8.839522,264.334199,252.634349,-466.425039,0.631123,-0.172598,0.205382,0.727814,1.390892,-0.380377,0.452627,-0.214994,-0.399394,0.300266,2.715367,-1.097970,0.012136
23,1769790319648,9.081958,273.799783,268.018014,-474.023255,0.618282,-0.176874,0.198246,0.739690,1.356444,-0.388043,0.434930,-0.209665,-0.395971,0.316221,2.686287,-1.079226,-0.010659
24,1769790319888,9.322855,283.519739,284.227139,-483.308089,0.606031,-0.181368,0.189378,0.750978,1.323895,-0.396206,0.413703,-0.203300,-0.391654,0.333628,2.655440,-1.059730,-0.033997
25,1769790320133,9.566401,293.591598,298.850852,-491.898721,0.592866,-0.185809,0.181920,0.762162,1.289699,-0.404203,0.395742,-0.197314,-0.387127,0.349286,2.624031,-1.041072,-0.056814
26,1769790320402,9.835470,299.923544,309.101720,-498.820655,0.585227,-0.189399,0.175544,0.768649,1.269993,-0.411012,0.380946,-0.193195,-0.383615,0.359961,2.601870,-1.029190,-0.072475
27,1769790320692,10.126432,301.966376,310.681899,-500.244854,0.584585,-0.190506,0.173596,0.769306,1.268288,-0.413312,0.376626,-0.192396,-0.382900,0.362013,2.597701,-1.027002,-0.075441
28,1769790321124,10.557931,303.933159,310.509978,-499.042631,0.583036,-0.189654,0.171332,0.771198,1.264032,-0.411174,0.371451,-0.190502,-0.383692,0.362278,2.599431,-1.020719,-0.074652
29,1769790321567,11.000986,322.704370,310.856984,-491.404067,0.586659,-0.170007,0.156712,0.776125,1.269554,-0.367902,0.339132,-0.170599,-0.392925,0.362259,2.623223,-0.955247,-0.062338
30,1769790321830,11.263392,342.360770,311.372484,-484.527215,0.590393,-0.149093,0.139801,0.780809,1.275409,-0.322082,0.302009,-0.148614,-0.401759,0.362275,2.647532,-0.882997,-0.048865
31,1769790322044,11.478377,361.313713,311.931260,-479.290681,0.593173,-0.128512,0.126308,0.784651,1.279590,-0.277226,0.272472,-0.128303,-0.408699,0.362280,2.668360,-0.815766,-0.036430
32,1769790322254,11.687757,381.113012,310.993674,-474.344347,0.596159,-0.109852,0.109629,0.787724,1.284567,-0.236703,0.236223,-0.107447,-0.414672,0.362275,2.687907,-0.747459,-0.023835
33,1769790322465,11.899252,401.198428,310.827373,-470.712680,0.598305,-0.088888,0.094533,0.790692,1.287778,-0.191321,0.203470,-0.085358,-0.419775,0.362265,2.705989,-0.678153,-0.011024
34,1769790322680,12.114600,421.808681,311.109030,-468.336786,0.600628,-0.067932,0.078350,0.792775,1.291784,-0.146103,0.168508,-0.063395,-0.423654,0.362241,2.723440,-0.604234,0.002537
35,1769790322911,12.344667,442.221966,311.683725,-466.870778,0.602410,-0.046882,0.062318,0.794368,1.294855,-0.100772,0.133950,-0.040188,-0.426481,0.362250,2.738843,-0.531064,0.015830
36,1769790323099,12.532393,460.608959,310.657807,-466.052883,0.603309,-0.029678,0.048203,0.795496,1.296248,-0.063766,0.103566,-0.020878,-0.427865,0.362233,2.750381,-0.468755,0.027011
37,1769790323274,12.708286,476.581593,311.809651,-466.755240,0.604192,-0.013041,0.035189,0.795954,1.297926,-0.028014,0.075592,-0.003299,-0.428355,0.362244,2.759873,-0.411865,0.037274
38,1769790323473,12.907219,494.314159,311.783105,-468.002887,0.605660,0.006145,0.021884,0.795399,1.301347,0.013203,0.047020,0.016522,-0.428050,0.362247,2.769194,-0.347779,0.048793
39,1769790323685,13.119016,514.229921,311.591044,-469.989749,0.606037,0.025731,0.006781,0.794991,1.302352,0.055296,0.014572,0.038106,-0.426671,0.362237,2.777686,-0.279399,0.060959
40,1769790323909,13.342728,533.740766,311.984698,-473.357633,0.605330,0.046321,-0.009442,0.794570,1.301033,0.099557,-0.020293,0.060231,-0.424119,0.362252,2.785052,-0.206070,0.073925
41,1769790324116,13.549445,552.447606,311.926845,-477.390641,0.604888,0.066953,-0.023039,0.793156,1.300764,0.143978,-0.049543,0.080795,-0.420678,0.362248,2.790287,-0.137999,0.085990
42,1769790324324,13.758321,570.157205,311.897672,-482.012468,0.604154,0.085268,-0.037774,0.791392,1.300031,0.183482,-0.081282,0.100633,-0.416386,0.362235,2.794052,-0.070566,0.097791
43,1769790324602,14.036026,589.671369,312.212469,-488.307814,0.602898,0.105569,-0.054430,0.788928,1.298509,0.227372,-0.117231,0.122548,-0.410464,0.362255,2.796377,0.003581,0.110725
44,1769790325340,14.774353,602.137039,309.664250,-490.715228,0.604993,0.118355,-0.065180,0.784683,1.305073,0.255313,-0.140603,0.136343,-0.407386,0.359773,2.802628,0.050773,0.119530
45,1769790325662,15.095950,602.632492,294.677106,-476.807114,0.620816,0.118733,-0.064743,0.772204,1.345435,0.257319,-0.140312,0.136204,-0.415170,0.343840,2.840644,0.049014,0.123128
