# CSV Trajectory Visual Servo TCP Capture Result
# Generated: 2026-01-31 02:31:39
# Input File: C:\Users\15421\Desktop\lighthouse_1.12\Assets\StreamingAssets\TrackerRecordings\tcp_arc.csv
# Total Frames: 50, Converged: 50, Success Rate: 100.0%
# First Frame: Slow MoveJ (a=0.5, v=0.3, wait=3s)
# Normal Frame: MoveJ (a=1, v=0.8, wait=2s)
# Visual Servo: Enabled (MaxIter=1000, PosThresh=1.0mm, RotThresh=5.7deg)
# Target Offset: Enabled (135mm along Z)
#
FrameIndex,Target_X_mm,Target_Y_mm,Target_Z_mm,Target_QX,Target_QY,Target_QZ,Target_QW,Movej_TCP_X_m,Movej_TCP_Y_m,Movej_TCP_Z_m,Movej_TCP_RX_rad,Movej_TCP_RY_rad,Movej_TCP_RZ_rad,Servo_TCP_X_m,Servo_TCP_Y_m,Servo_TCP_Z_m,Servo_TCP_RX_rad,Servo_TCP_RY_rad,Servo_TCP_RZ_rad,Converged,Iterations,RetryCount,TCP_Pos_Diff_mm,TCP_Rot_Diff_deg,Time_s,Error
0,607.431,230.462,-429.405,0.679140,0.129389,-0.057713,0.720206,0.139205,-0.438814,0.286712,3.065139,0.332972,0.153383,0.137013,-0.438320,0.269915,3.004196,0.074681,0.134255,True,291,0,16.946,10.563,6.61,
1,617.282,234.826,-435.726,0.675047,0.137583,-0.066209,0.721802,0.149518,-0.433800,0.291122,3.053014,0.368065,0.154553,0.153670,-0.424936,0.284315,3.001070,0.099904,0.142734,True,107,0,11.922,10.759,3.70,
2,616.676,234.883,-435.639,0.675437,0.136604,-0.066354,0.721610,0.148667,-0.433822,0.291200,3.054185,0.366317,0.151896,0.152442,-0.432834,0.280162,2.991982,0.099969,0.136028,True,189,0,11.707,10.928,4.67,
3,603.905,234.614,-430.921,0.676514,0.125937,-0.056514,0.723377,0.135470,-0.438298,0.291037,3.058336,0.321379,0.148561,0.138713,-0.437342,0.276369,2.994987,0.061554,0.148375,True,313,0,15.053,10.642,6.09,
4,583.832,234.573,-424.687,0.678222,0.108683,-0.040793,0.725630,0.114586,-0.444005,0.291007,3.064515,0.249499,0.142954,0.121889,-0.441542,0.279314,2.998355,-0.006123,0.148155,True,209,0,14.005,10.472,4.91,
5,563.577,234.689,-419.548,0.679952,0.091967,-0.025498,0.727019,0.093657,-0.448512,0.291214,3.069969,0.179851,0.137405,0.091623,-0.452542,0.272465,2.983375,-0.078668,0.126402,True,226,0,19.285,11.023,5.33,
6,543.091,234.383,-415.121,0.680834,0.074167,-0.009508,0.728611,0.072493,-0.452401,0.291025,3.072550,0.106365,0.130851,0.076156,-0.445396,0.282568,3.016623,-0.110539,0.118253,True,70,0,11.576,8.769,3.29,
7,522.334,234.120,-411.682,0.681010,0.057159,0.006803,0.730009,0.051200,-0.455389,0.290887,3.072666,0.033754,0.126850,0.054650,-0.448377,0.282408,3.011137,-0.177879,0.115065,True,69,0,11.531,8.650,3.28,
8,501.358,234.493,-409.211,0.680513,0.039567,0.023340,0.731295,0.029668,-0.457517,0.291402,3.069972,-0.040449,0.121563,0.034245,-0.451081,0.279827,2.985022,-0.288773,0.114293,True,85,0,14.013,10.366,3.45,
9,480.379,234.382,-407.732,0.679889,0.022533,0.038536,0.731955,0.008068,-0.458497,0.291485,3.066655,-0.110259,0.114625,0.014867,-0.450730,0.280320,2.968234,-0.364407,0.118054,True,135,0,15.206,10.824,4.01,
10,459.441,234.369,-407.177,0.678843,0.005246,0.054527,0.732237,-0.013424,-0.458500,0.291612,3.061358,-0.182384,0.108888,-0.007812,-0.451946,0.280204,2.973638,-0.426089,0.104162,True,83,0,14.303,10.134,3.44,
11,439.007,234.498,-407.957,0.677525,-0.011037,0.070256,0.732053,-0.034134,-0.457300,0.291907,3.054889,-0.251548,0.104499,-0.037081,-0.459653,0.274714,2.940433,-0.496508,0.084328,True,446,0,17.602,10.871,7.72,
