FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1769790336011,0.655572,614.1892,241.5496,-422.5773,0.691234,0.183545,-0.113182,0.689708,1.545943,0.410497,-0.25313,0.146921,-0.435439,0.287684,3.049833,0.298211,0.146028
2,1769790336022,0.666683,614.969,242.2898,-422.38,0.691212,0.184228,-0.113908,0.689428,1.546063,0.41207,-0.254782,0.147036,-0.435372,0.287817,3.050039,0.300486,0.146302
3,1769790336033,0.677794,615.2762,242.6559,-421.9984,0.69107,0.185091,-0.114326,0.68927,1.54584,0.414027,-0.255733,0.147136,-0.435293,0.287915,3.050378,0.302611,0.146576
4,1769790336044,0.688906,614.9862,243.1396,-422.2857,0.690993,0.185612,-0.115218,0.689058,1.545798,0.415226,-0.25775,0.14736,-0.435158,0.288193,3.050683,0.307179,0.147072
5,1769790336056,0.700017,615.3006,243.2794,-422.416,0.69094,0.186317,-0.115697,0.688841,1.545809,0.41684,-0.258843,0.147458,-0.435099,0.288308,3.050864,0.309362,0.147249
6,1769790336067,0.711128,615.3118,243.5248,-422.3473,0.690695,0.187063,-0.116151,0.688808,1.545281,0.418513,-0.259863,0.147645,-0.434971,0.288566,3.051189,0.313591,0.147583
7,1769790336078,0.722239,615.3508,244.2431,-422.5656,0.691456,0.187608,-0.117064,0.687742,1.547628,0.419906,-0.262015,0.147745,-0.434919,0.28874,3.051158,0.315821,0.147641
8,1769790336089,0.733351,615.4879,244.4981,-422.5905,0.691118,0.188311,-0.117485,0.687817,1.546825,0.421468,-0.262949,0.147836,-0.434883,0.288859,3.051269,0.317862,0.147789
9,1769790336100,0.744462,615.5115,244.536,-422.8512,0.691149,0.188853,-0.118106,0.687531,1.547068,0.422729,-0.26437,0.147998,-0.434784,0.289136,3.051397,0.321779,0.147936
10,1769790336111,0.755573,615.653,244.4162,-422.4882,0.69123,0.189402,-0.118682,0.687199,1.54745,0.424013,-0.265693,0.148066,-0.434725,0.289249,3.051562,0.323593,0.148055
11,1769790336132,0.776254,615.6809,244.7011,-422.5262,0.691117,0.190503,-0.119707,0.68683,1.547421,0.426538,-0.268026,0.148304,-0.434582,0.289628,3.051749,0.32909,0.148405
12,1769790336143,0.787365,615.7458,244.7746,-422.4801,0.691096,0.191103,-0.120175,0.686604,1.547509,0.42792,-0.269096,0.148367,-0.434539,0.289738,3.051843,0.330833,0.148486
13,1769790336154,0.798476,615.7953,244.9564,-422.5421,0.691274,0.19164,-0.120591,0.686201,1.548153,0.429189,-0.270072,0.148514,-0.434444,0.289933,3.052038,0.334182,0.148767
14,1769790336165,0.809587,615.9551,244.7888,-422.4782,0.691172,0.192165,-0.121139,0.686061,1.548008,0.430389,-0.271314,0.148581,-0.434397,0.29003,3.052142,0.335746,0.148951
15,1769790336176,0.820699,616.075,244.8685,-422.6185,0.691296,0.192512,-0.121732,0.685734,1.548483,0.431221,-0.272675,0.148648,-0.434342,0.290126,3.052256,0.337287,0.149097
16,1769790336187,0.83181,616.2167,245.1152,-422.5097,0.691303,0.193017,-0.122245,0.685493,1.548646,0.432394,-0.27385,0.148824,-0.434223,0.290281,3.052531,0.340539,0.149503
17,1769790336198,0.842921,616.5419,245.3971,-422.4629,0.691454,0.193478,-0.122377,0.685187,1.54917,0.433479,-0.27418,0.148887,-0.434184,0.29036,3.052626,0.341936,0.149694
18,1769790336210,0.854033,616.5859,245.4137,-422.5003,0.691725,0.193939,-0.122931,0.684684,1.550081,0.434596,-0.275475,0.148932,-0.434148,0.290442,3.052737,0.343262,0.149803
19,1769790336221,0.865144,616.6738,245.4612,-422.679,0.691577,0.194376,-0.123295,0.684644,1.549775,0.435584,-0.276294,0.149065,-0.434046,0.290543,3.053053,0.346054,0.150148
20,1769790336232,0.876255,616.6369,245.7328,-422.5155,0.69151,0.194881,-0.12346,0.684539,1.549688,0.436732,-0.276676,0.149129,-0.434011,0.290645,3.053059,0.347287,0.150329
21,1769790336243,0.887366,616.6436,245.8758,-422.5395,0.69152,0.195277,-0.123819,0.684351,1.549825,0.437653,-0.277502,0.149242,-0.433913,0.290789,3.053234,0.349815,0.150598
