FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769790336011,0.655572,614.189200,241.549600,-422.577300,0.691234,0.183545,-0.113182,0.689708,1.545943,0.410497,-0.253130,0.146921,-0.435439,0.287684,3.049833,0.298211,0.146028
1,1769790337177,1.821889,617.488211,247.104881,-422.665561,0.692764,0.199096,-0.128245,0.681170,1.554546,0.446766,-0.287779,0.150023,-0.433343,0.292057,3.053958,0.368387,0.152159
2,1769790338995,3.640513,616.431256,246.959037,-422.026767,0.693246,0.198457,-0.127546,0.680997,1.555734,0.445363,-0.286231,0.148947,-0.433775,0.291950,3.054339,0.365015,0.152428
3,1769790339756,4.401088,604.089264,247.060431,-417.936712,0.695096,0.188178,-0.118181,0.683713,1.558228,0.421847,-0.264932,0.136616,-0.437847,0.291903,3.057553,0.322613,0.148825
4,1769790340120,4.764625,583.487068,246.812139,-411.254060,0.698788,0.172017,-0.102473,0.686736,1.564652,0.385162,-0.229446,0.116209,-0.443778,0.291842,3.062254,0.253724,0.143393
5,1769790340391,5.036149,563.176281,247.128849,-406.132224,0.701491,0.155669,-0.086847,0.690026,1.568689,0.348110,-0.194208,0.095647,-0.448593,0.291834,3.066360,0.181492,0.139754
6,1769790340616,5.260937,544.992219,246.767125,-402.449682,0.704414,0.140504,-0.073028,0.691901,1.574074,0.313968,-0.163187,0.076563,-0.452149,0.291971,3.068991,0.117415,0.134772
7,1769790340856,5.500648,523.429428,246.278671,-398.672577,0.705661,0.122706,-0.056731,0.695534,1.574634,0.273810,-0.126590,0.055327,-0.455250,0.291698,3.069535,0.043821,0.129142
8,1769790341080,5.725698,501.834413,246.699675,-395.976360,0.706704,0.105870,-0.040036,0.698397,1.575208,0.235979,-0.089239,0.033293,-0.457563,0.291897,3.067753,-0.029689,0.124059
9,1769790341286,5.931796,479.925961,246.381828,-394.161674,0.708322,0.088816,-0.025103,0.699830,1.577935,0.197857,-0.055923,0.011988,-0.458665,0.291807,3.064729,-0.099281,0.118548
10,1769790341492,6.136969,458.006860,246.913150,-394.150788,0.709032,0.070281,-0.007849,0.701622,1.578419,0.156458,-0.017473,-0.010125,-0.458759,0.292150,3.059427,-0.174133,0.111703
11,1769790341694,6.338585,436.005825,246.955446,-394.708153,0.709223,0.052148,0.008254,0.703004,1.578000,0.116028,0.018366,-0.032903,-0.457761,0.292237,3.052872,-0.247360,0.104921
12,1769790341896,6.541091,413.847985,246.350594,-396.446117,0.708344,0.034486,0.024508,0.704598,1.575073,0.076682,0.054497,-0.055888,-0.455621,0.292113,3.044154,-0.321763,0.097723
13,1769790342082,6.727308,392.779223,246.511286,-398.803284,0.708021,0.016951,0.039810,0.704865,1.574191,0.037688,0.088513,-0.076692,-0.452548,0.292026,3.034349,-0.393894,0.090723
14,1769790342276,6.921785,371.328413,246.318319,-402.884835,0.706687,-0.001859,0.056750,0.705245,1.570994,-0.004132,0.126157,-0.098836,-0.448355,0.292103,3.021827,-0.469379,0.083165
15,1769790342467,7.112485,349.705454,246.129305,-407.324775,0.705471,-0.019882,0.072154,0.704776,1.568576,-0.044206,0.160431,-0.120026,-0.443284,0.292080,3.009206,-0.538928,0.075784
16,1769790342644,7.289243,330.088169,246.867389,-412.280554,0.704696,-0.036894,0.086388,0.703263,1.567771,-0.082080,0.192191,-0.139935,-0.437310,0.291966,2.995064,-0.607506,0.069137
17,1769790342842,7.487063,309.894968,246.672487,-419.432893,0.701868,-0.053740,0.101836,0.702939,1.561675,-0.119573,0.226589,-0.160593,-0.430139,0.292300,2.980084,-0.673493,0.062376
18,1769790343045,7.690359,291.143724,247.148180,-426.742045,0.700947,-0.070782,0.117348,0.699923,1.561451,-0.157676,0.261408,-0.179634,-0.422540,0.292094,2.962052,-0.743524,0.056147
19,1769790343278,7.923282,272.086250,246.487566,-434.388936,0.695790,-0.087785,0.132197,0.700496,1.549617,-0.195508,0.294420,-0.198833,-0.414114,0.292135,2.943026,-0.810456,0.048890
20,1769790343610,8.254650,252.870165,246.338322,-444.042401,0.692031,-0.104291,0.148477,0.698693,1.542324,-0.232432,0.330910,-0.218041,-0.404534,0.292626,2.921195,-0.878373,0.043068
21,1769790344269,8.914611,249.474234,248.192500,-446.628363,0.689140,-0.108453,0.151058,0.700361,1.534887,-0.241552,0.336444,-0.222157,-0.401967,0.293769,2.912345,-0.892402,0.037971
22,1769790344844,9.488507,254.460043,262.414635,-454.246141,0.677912,-0.101940,0.152434,0.711904,1.503155,-0.226036,0.337998,-0.216836,-0.399432,0.308377,2.886060,-0.873835,0.055684
23,1769790345114,9.759010,264.470440,278.616770,-462.580536,0.665380,-0.106847,0.144962,0.724458,1.468273,-0.235777,0.319882,-0.210683,-0.395753,0.324720,2.856065,-0.857769,0.028763
24,1769790345347,9.991810,274.256164,295.018408,-471.553618,0.653664,-0.112386,0.136045,0.735924,1.436120,-0.246916,0.298895,-0.204116,-0.391500,0.341139,2.825277,-0.841916,0.000619
25,1769790345582,10.227772,285.350327,309.946246,-480.818866,0.642073,-0.118429,0.127055,0.746709,1.404896,-0.259129,0.278005,-0.197314,-0.386696,0.356986,2.795231,-0.826614,-0.026710
26,1769790345884,10.529265,293.854770,322.265509,-489.264108,0.631379,-0.125582,0.118295,0.756039,1.376642,-0.273816,0.257928,-0.191614,-0.382090,0.370053,2.767484,-0.813964,-0.052165
27,1769790346640,11.284914,298.498002,325.295772,-490.387691,0.630002,-0.125792,0.113085,0.757948,1.372654,-0.274076,0.246389,-0.188385,-0.381770,0.373514,2.763441,-0.804764,-0.058280
28,1769790347087,11.732153,318.148393,325.481458,-482.306124,0.632209,-0.105227,0.095704,0.761630,1.375559,-0.228952,0.208233,-0.167929,-0.391274,0.373383,2.783034,-0.730294,-0.048139
29,1769790347339,11.983630,338.437165,324.377145,-474.772199,0.634428,-0.085563,0.080772,0.763974,1.379173,-0.186005,0.175589,-0.147323,-0.399438,0.373261,2.800134,-0.659108,-0.038080
30,1769790347546,12.190555,356.351142,325.272238,-469.764849,0.635789,-0.066541,0.064708,0.766262,1.380949,-0.144529,0.140546,-0.127842,-0.406043,0.373235,2.814624,-0.590808,-0.028769
31,1769790347734,12.379132,373.761980,325.647908,-465.443983,0.636547,-0.048643,0.050583,0.768038,1.381677,-0.105584,0.109795,-0.108989,-0.411529,0.373095,2.827258,-0.524559,-0.019609
32,1769790347929,12.573523,393.172684,325.086944,-461.483932,0.637100,-0.030636,0.036128,0.769324,1.382213,-0.066466,0.078382,-0.089378,-0.416289,0.373235,2.838037,-0.460425,-0.011239
33,1769790348144,12.789055,413.179826,326.637065,-458.852121,0.637669,-0.011432,0.017442,0.770028,1.383083,-0.024795,0.037831,-0.067564,-0.420403,0.373269,2.849019,-0.382936,-0.000679
34,1769790348318,12.962463,431.229355,325.156156,-457.648654,0.637958,0.005949,0.006969,0.770017,1.383716,0.012904,0.015117,-0.050151,-0.422715,0.373173,2.856280,-0.325926,0.007359
35,1769790348531,13.176098,450.154659,326.238390,-456.594644,0.638071,0.024120,-0.009671,0.769539,1.384206,0.052325,-0.020979,-0.028197,-0.424745,0.373067,2.863284,-0.255283,0.016925
36,1769790348746,13.391471,470.804181,325.788032,-456.771586,0.637685,0.044264,-0.026405,0.768571,1.383870,0.096060,-0.057303,-0.006697,-0.425538,0.373050,2.869331,-0.179732,0.026835
37,1769790348944,13.588658,489.764286,325.036410,-457.730829,0.636868,0.063199,-0.040887,0.767290,1.382760,0.137218,-0.088773,0.012829,-0.425288,0.372748,2.873693,-0.112470,0.035710
38,1769790349159,13.803837,509.442970,325.734481,-459.477199,0.635858,0.081073,-0.057908,0.765349,1.381570,0.176152,-0.125822,0.034617,-0.423964,0.372651,2.876787,-0.039706,0.045631
39,1769790349377,14.022685,529.966832,325.869189,-462.830958,0.633588,0.101679,-0.073989,0.763383,1.377652,0.221088,-0.160878,0.056072,-0.421460,0.373004,2.877317,0.033732,0.055946
40,1769790349610,14.254471,550.608732,327.020698,-467.052007,0.631465,0.121021,-0.091202,0.760453,1.374547,0.263433,-0.198525,0.079199,-0.417602,0.373178,2.876316,0.111776,0.066545
41,1769790349832,14.476424,570.507004,325.367051,-472.131807,0.630337,0.140627,-0.106704,0.755985,1.374399,0.306625,-0.232660,0.100083,-0.413221,0.372726,2.873839,0.182416,0.076103
42,1769790350108,14.752744,589.893224,325.906208,-478.505986,0.626175,0.159647,-0.124320,0.752969,1.366875,0.348492,-0.271378,0.121446,-0.407387,0.372645,2.869292,0.259661,0.086932
43,1769790350684,15.329319,603.215314,325.550769,-482.927600,0.625051,0.171846,-0.136458,0.749106,1.366413,0.375669,-0.298308,0.135805,-0.402958,0.372134,2.867083,0.311269,0.091865
44,1769790351100,15.745228,603.598998,313.020464,-470.887778,0.637241,0.172753,-0.135375,0.738752,1.398535,0.379135,-0.297103,0.135477,-0.409916,0.359041,2.897644,0.312631,0.097444
45,1769790351314,15.959079,603.316022,297.314768,-455.932664,0.652421,0.174428,-0.133171,0.725387,1.439165,0.384767,-0.293759,0.135052,-0.417996,0.342741,2.938598,0.314551,0.105761
46,1769790351417,16.061386,604.154044,288.532740,-449.492508,0.661016,0.175530,-0.130900,0.717713,1.462420,0.388339,-0.289601,0.134847,-0.422263,0.333499,2.961041,0.315546,0.110319
47,1769790351587,16.232039,603.365792,272.553289,-436.527467,0.675291,0.177883,-0.128919,0.704074,1.501880,0.395620,-0.286721,0.134397,-0.428763,0.317754,2.998223,0.315473,0.121862
48,1769790351813,16.457502,602.217605,256.115135,-423.203900,0.689871,0.181806,-0.122766,0.689893,1.542784,0.406579,-0.274547,0.133849,-0.435710,0.299679,3.042221,0.314501,0.138281
49,1769790352257,16.901569,603.030500,241.390500,-413.781700,0.700627,0.185957,-0.116670,0.678919,1.573580,0.417653,-0.262037,0.133936,-0.440487,0.286059,3.072663,0.315543,0.147218
