FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770206790155,0.000000,-119.8321,477.4787,-801.7468,0.711219,-0.145340,0.170553,0.666300,1.605328,-0.328053,0.384963,0.201930,0.350114,0.497879,-2.794904,1.275640,-0.139270
1,1770206790166,0.011112,-119.8602,477.5221,-801.7627,0.711223,-0.145337,0.170541,0.666300,1.605337,-0.328046,0.384936,0.201938,0.350112,0.497878,-2.794919,1.275645,-0.139224
2,1770206790177,0.022223,-119.8023,477.3899,-801.5253,0.711290,-0.145330,0.170562,0.666225,1.605536,-0.328040,0.384996,0.201945,0.350120,0.497873,-2.794936,1.275670,-0.139168
3,1770206790188,0.033334,-119.7807,477.3672,-801.4792,0.711310,-0.145337,0.170531,0.666209,1.605592,-0.328059,0.384928,0.201948,0.350114,0.497879,-2.794889,1.275715,-0.139282
4,1770206790199,0.044445,-119.8142,477.3528,-801.4612,0.711283,-0.145421,0.170552,0.666214,1.605529,-0.328247,0.384974,0.201946,0.350106,0.497884,-2.794877,1.275687,-0.139238
5,1770206790210,0.055557,-119.8286,477.3418,-801.5048,0.711285,-0.145424,0.170553,0.666211,1.605534,-0.328256,0.384978,0.201956,0.350116,0.497873,-2.794927,1.275687,-0.139212
6,1770206790221,0.066668,-119.7953,477.3841,-801.4808,0.711306,-0.145476,0.170539,0.666181,1.605601,-0.328377,0.384950,0.201930,0.350098,0.497886,-2.794829,1.275625,-0.139217
7,1770206790232,0.077779,-119.7973,477.3366,-801.5309,0.711299,-0.145436,0.170595,0.666183,1.605582,-0.328287,0.385076,0.201960,0.350122,0.497863,-2.794953,1.275719,-0.139210
8,1770206790243,0.088890,-119.8064,477.4679,-801.6592,0.711286,-0.145444,0.170588,0.666197,1.605545,-0.328303,0.385058,0.201949,0.350101,0.497886,-2.794845,1.275693,-0.139234
9,1770206790255,0.100002,-119.8205,477.5100,-801.6757,0.711295,-0.145461,0.170550,0.666193,1.605568,-0.328342,0.384974,0.201952,0.350101,0.497879,-2.794897,1.275654,-0.139200
10,1770206790266,0.111113,-119.7720,477.4613,-801.7435,0.711273,-0.145434,0.170597,0.666211,1.605507,-0.328278,0.385077,0.201931,0.350105,0.497888,-2.794880,1.275649,-0.139243
11,1770206790277,0.122224,-119.7142,477.4009,-801.7988,0.711285,-0.145401,0.170616,0.666200,1.605541,-0.328205,0.385120,0.201929,0.350105,0.497886,-2.794889,1.275613,-0.139268
12,1770206790288,0.133335,-119.7392,477.2122,-801.5268,0.711263,-0.145374,0.170493,0.666261,1.605451,-0.328136,0.384835,0.201961,0.350118,0.497874,-2.794944,1.275697,-0.139242
13,1770206790299,0.144446,-119.7360,477.2291,-801.5133,0.711255,-0.145375,0.170477,0.666274,1.605427,-0.328136,0.384796,0.201963,0.350122,0.497865,-2.794950,1.275717,-0.139192
14,1770206790310,0.155558,-119.7180,477.2630,-801.5009,0.711266,-0.145365,0.170496,0.666259,1.605460,-0.328116,0.384841,0.201944,0.350105,0.497877,-2.794892,1.275653,-0.139239
15,1770206790321,0.166669,-119.7582,477.2940,-801.5117,0.711289,-0.145324,0.170555,0.666228,1.605532,-0.328028,0.384979,0.201944,0.350109,0.497884,-2.794915,1.275622,-0.139215
16,1770206790332,0.177780,-119.7570,477.3351,-801.4946,0.711283,-0.145343,0.170554,0.666231,1.605517,-0.328070,0.384975,0.201945,0.350101,0.497886,-2.794890,1.275694,-0.139250
17,1770206790343,0.188891,-119.6668,477.2643,-801.5353,0.711288,-0.145316,0.170497,0.666246,1.605518,-0.328006,0.384846,0.201939,0.350114,0.497875,-2.794894,1.275655,-0.139254
18,1770206790355,0.200003,-119.6343,477.3494,-801.5343,0.711297,-0.145317,0.170511,0.666233,1.605547,-0.328010,0.384880,0.201937,0.350092,0.497897,-2.794837,1.275691,-0.139258
19,1770206790366,0.211114,-119.6669,477.4688,-801.5098,0.711341,-0.145347,0.170495,0.666184,1.605677,-0.328085,0.384850,0.201964,0.350107,0.497876,-2.794914,1.275700,-0.139180
20,1770206790377,0.222225,-119.7061,477.4471,-801.6708,0.711311,-0.145332,0.170459,0.666228,1.605581,-0.328046,0.384762,0.201937,0.350098,0.497887,-2.794869,1.275624,-0.139259
