FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770215144841,0.000000,-83.0007,542.9274,-770.4652,0.712009,-0.188403,0.213376,0.641887,1.622801,-0.429406,0.486324,0.228015,0.307135,0.564175,-2.677165,1.438100,-0.147640
1,1770215144852,0.011111,-82.9273,542.9100,-770.4798,0.711994,-0.188420,0.213336,0.641911,1.622752,-0.429441,0.486229,0.228030,0.307157,0.564149,-2.677250,1.438081,-0.147595
2,1770215144863,0.022223,-82.9915,543.0073,-770.4855,0.712000,-0.188414,0.213379,0.641892,1.622778,-0.429429,0.486329,0.228018,0.307138,0.564167,-2.677206,1.438098,-0.147576
3,1770215144874,0.033334,-83.0973,543.0894,-770.3806,0.712003,-0.188392,0.213425,0.641880,1.622793,-0.429381,0.486436,0.228030,0.307151,0.564150,-2.677248,1.438072,-0.147478
4,1770215144885,0.044445,-83.0314,543.0981,-770.3659,0.711974,-0.188407,0.213397,0.641917,1.622704,-0.429410,0.486365,0.228022,0.307138,0.564169,-2.677173,1.438123,-0.147608
5,1770215144896,0.055557,-82.9263,543.0176,-770.2844,0.711994,-0.188428,0.213348,0.641905,1.622757,-0.429460,0.486257,0.228024,0.307141,0.564166,-2.677194,1.438094,-0.147626
6,1770215144907,0.066668,-82.9374,542.9869,-770.2564,0.711974,-0.188456,0.213412,0.641897,1.622716,-0.429525,0.486405,0.228024,0.307134,0.564168,-2.677182,1.438107,-0.147611
7,1770215144918,0.077779,-83.0602,543.1647,-770.4498,0.711959,-0.188460,0.213438,0.641905,1.622676,-0.429534,0.486462,0.228014,0.307136,0.564174,-2.677195,1.438072,-0.147592
8,1770215144929,0.088891,-83.1476,543.1523,-770.4821,0.711985,-0.188460,0.213453,0.641871,1.622757,-0.429538,0.486503,0.228012,0.307140,0.564170,-2.677168,1.438103,-0.147655
9,1770215144941,0.100002,-83.1491,543.1163,-770.4803,0.711986,-0.188480,0.213469,0.641859,1.622769,-0.429586,0.486541,0.228021,0.307150,0.564152,-2.677218,1.438041,-0.147566
10,1770215144952,0.111113,-83.1339,543.1441,-770.3796,0.712008,-0.188465,0.213482,0.641835,1.622833,-0.429556,0.486575,0.228029,0.307143,0.564158,-2.677190,1.438107,-0.147542
11,1770215144963,0.122224,-83.1108,543.0239,-770.2218,0.711996,-0.188427,0.213510,0.641850,1.622796,-0.429467,0.486636,0.228045,0.307157,0.564138,-2.677301,1.438107,-0.147561
12,1770215144974,0.133336,-83.0930,542.9596,-770.2411,0.711998,-0.188434,0.213473,0.641857,1.622797,-0.429481,0.486550,0.228035,0.307137,0.564156,-2.677203,1.438134,-0.147530
13,1770215144985,0.144447,-83.1131,542.8630,-770.1474,0.712002,-0.188429,0.213475,0.641854,1.622807,-0.429470,0.486556,0.228017,0.307136,0.564171,-2.677172,1.438059,-0.147590
14,1770215144996,0.155558,-83.1236,542.7510,-770.0346,0.711979,-0.188404,0.213487,0.641882,1.622738,-0.429408,0.486578,0.228038,0.307141,0.564152,-2.677235,1.438115,-0.147600
15,1770215145007,0.166669,-83.1241,542.6362,-769.9350,0.712016,-0.188365,0.213506,0.641847,1.622844,-0.429327,0.486628,0.228018,0.307133,0.564172,-2.677167,1.438078,-0.147608
16,1770215145018,0.177781,-83.1320,542.4154,-769.9096,0.712028,-0.188339,0.213571,0.641820,1.622888,-0.429271,0.486781,0.228035,0.307133,0.564167,-2.677179,1.438148,-0.147622
17,1770215145029,0.188892,-83.3598,542.2549,-769.9787,0.712034,-0.188243,0.213633,0.641821,1.622901,-0.429054,0.486923,0.228030,0.307144,0.564153,-2.677229,1.438090,-0.147588
18,1770215145041,0.200003,-83.3865,542.0610,-769.8871,0.712018,-0.188201,0.213665,0.641839,1.622854,-0.428954,0.486991,0.228026,0.307150,0.564149,-2.677254,1.438101,-0.147545
19,1770215145052,0.211114,-83.0168,542.9554,-770.3183,0.712009,-0.188275,0.213587,0.641854,1.622824,-0.429120,0.486811,0.228022,0.307141,0.564166,-2.677195,1.438072,-0.147592
20,1770215145063,0.222226,-83.0099,542.8344,-770.2515,0.712015,-0.188258,0.213591,0.641851,1.622840,-0.429081,0.486821,0.228028,0.307143,0.564158,-2.677227,1.438065,-0.147538
21,1770215145074,0.233337,-83.0006,542.7079,-770.1597,0.711997,-0.188223,0.213648,0.641862,1.622791,-0.428999,0.486947,0.228033,0.307144,0.564155,-2.677208,1.438119,-0.147570
