FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207651706,0,215.857,376.128,451.498,0.699411,-0.148698,0.108815,0.69056,1.563712,-0.332452,0.243283,0.215857,0.376128,0.451498,-2.882645,1.169779,0.014178
1,1770207651717,0.011112,215.879,376.126,451.487,0.699414,-0.148674,0.108798,0.690564,1.563717,-0.332399,0.243244,0.215879,0.376126,0.451487,-2.882669,1.16983,0.014162
2,1770207651728,0.022223,215.86,376.119,451.502,0.699419,-0.148664,0.108794,0.690562,1.563728,-0.332377,0.243236,0.21586,0.376119,0.451502,-2.882618,1.169767,0.014138
3,1770207651739,0.033334,215.88,376.127,451.488,0.699419,-0.148673,0.108826,0.690555,1.563733,-0.332397,0.24331,0.21588,0.376127,0.451488,-2.882677,1.169833,0.014229
4,1770207651750,0.044445,215.864,376.116,451.508,0.699421,-0.148667,0.108823,0.690555,1.563738,-0.332383,0.243303,0.215864,0.376116,0.451508,-2.882621,1.169789,0.014144
5,1770207651761,0.055556,215.853,376.126,451.503,0.699384,-0.14861,0.108887,0.690595,1.563631,-0.332252,0.243442,0.215853,0.376126,0.451503,-2.882663,1.169746,0.014159
6,1770207651772,0.066668,215.873,376.125,451.495,0.699348,-0.148634,0.108928,0.690619,1.563536,-0.332301,0.24353,0.215873,0.376125,0.451495,-2.882645,1.169819,0.014166
7,1770207651783,0.077779,215.874,376.143,451.483,0.699375,-0.1486,0.108943,0.690597,1.56361,-0.332229,0.243567,0.215874,0.376143,0.451483,-2.882731,1.169796,0.014191
8,1770207651794,0.08889,215.86,376.13,451.496,0.699361,-0.148596,0.1089,0.690618,1.563566,-0.332217,0.243467,0.21586,0.37613,0.451496,-2.882658,1.169845,0.01414
9,1770207651806,0.100001,215.893,376.127,451.485,0.699361,-0.148659,0.108895,0.690607,1.563571,-0.332359,0.243458,0.215893,0.376127,0.451485,-2.882649,1.169902,0.014229
10,1770207651817,0.111113,215.862,376.139,451.491,0.699368,-0.148637,0.108962,0.690593,1.563597,-0.332312,0.24361,0.215862,0.376139,0.451491,-2.882715,1.169789,0.01416
11,1770207651828,0.122224,215.846,376.127,451.502,0.699374,-0.148634,0.108901,0.690598,1.563606,-0.332305,0.243472,0.215846,0.376127,0.451502,-2.882646,1.169698,0.014138
12,1770207651839,0.133335,215.871,376.128,451.49,0.699376,-0.148622,0.108929,0.690594,1.563613,-0.332277,0.243536,0.215871,0.376128,0.45149,-2.882678,1.169813,0.014205
13,1770207651850,0.144446,215.859,376.13,451.496,0.699342,-0.148646,0.108931,0.690623,1.563519,-0.332329,0.243537,0.215859,0.37613,0.451496,-2.882665,1.169788,0.014192
14,1770207651861,0.155558,215.856,376.128,451.499,0.699314,-0.148665,0.108987,0.690638,1.563447,-0.332368,0.24366,0.215856,0.376128,0.451499,-2.882658,1.169764,0.0141
15,1770207651872,0.166669,215.887,376.127,451.483,0.699314,-0.148627,0.108981,0.690647,1.563442,-0.332282,0.243647,0.215887,0.376127,0.451483,-2.882693,1.16982,0.014235
16,1770207651883,0.17778,215.869,376.126,451.495,0.699306,-0.14862,0.109052,0.690646,1.563425,-0.332266,0.243806,0.215869,0.376126,0.451495,-2.882664,1.169787,0.014191
17,1770207651894,0.188891,215.887,376.128,451.48,0.69931,-0.148628,0.109094,0.690633,1.563442,-0.332287,0.243901,0.215887,0.376128,0.45148,-2.88267,1.16985,0.014229
18,1770207651906,0.200002,215.867,376.124,451.5,0.699281,-0.148641,0.109081,0.690662,1.563359,-0.332313,0.24387,0.215867,0.376124,0.4515,-2.882641,1.169818,0.014184
19,1770207651917,0.211114,215.864,376.097,451.515,0.699279,-0.148632,0.1091,0.690663,1.563353,-0.332291,0.243912,0.215864,0.376097,0.451515,-2.882547,1.169797,0.014143
20,1770207651928,0.222225,215.892,376.128,451.488,0.699283,-0.148627,0.109093,0.69066,1.563365,-0.332282,0.243897,0.215892,0.376128,0.451488,-2.882691,1.169839,0.014218
21,1770207651939,0.233336,215.876,376.123,451.495,0.699271,-0.148624,0.109082,0.690675,1.56333,-0.332271,0.243869,0.215876,0.376123,0.451495,-2.88263,1.169833,0.014201
22,1770207651950,0.244447,215.87,376.117,451.502,0.699284,-0.148639,0.109058,0.690663,1.563365,-0.332308,0.243816,0.21587,0.376117,0.451502,-2.882633,1.169794,0.014193
23,1770207651961,0.255558,215.878,376.123,451.495,0.699262,-0.148634,0.109032,0.690691,1.563299,-0.332292,0.243757,0.215878,0.376123,0.451495,-2.882631,1.169854,0.014166
24,1770207651972,0.266669,215.872,376.126,451.498,0.699261,-0.148625,0.109071,0.690686,1.563301,-0.332273,0.243843,0.215872,0.376126,0.451498,-2.882639,1.169877,0.014156
25,1770207651983,0.277781,215.876,376.128,451.496,0.69925,-0.148618,0.109073,0.6907,1.563266,-0.332255,0.243847,0.215876,0.376128,0.451496,-2.882678,1.169793,0.014179
26,1770207651994,0.288892,215.878,376.13,451.485,0.699232,-0.14859,0.109057,0.690726,1.56321,-0.33219,0.24381,0.215878,0.37613,0.451485,-2.882662,1.169867,0.014187
27,1770207652006,0.300003,215.872,376.121,451.494,0.699218,-0.148642,0.10907,0.690727,1.563178,-0.332305,0.243838,0.215872,0.376121,0.451494,-2.882657,1.169743,0.014175
28,1770207652017,0.311114,215.867,376.111,451.506,0.699214,-0.148648,0.109075,0.690729,1.563168,-0.33232,0.243849,0.215867,0.376111,0.451506,-2.882607,1.169823,0.014144
29,1770207652028,0.322225,215.899,376.142,451.472,0.699229,-0.148659,0.109066,0.690713,1.563212,-0.332346,0.243831,0.215899,0.376142,0.451472,-2.882742,1.169861,0.014254
30,1770207652039,0.333337,215.868,376.139,451.489,0.6992,-0.14863,0.109082,0.690746,1.563127,-0.332276,0.243863,0.215868,0.376139,0.451489,-2.882689,1.169818,0.014213
31,1770207652050,0.344448,215.883,376.129,451.489,0.699193,-0.148642,0.109107,0.690747,1.56311,-0.332302,0.243918,0.215883,0.376129,0.451489,-2.882676,1.169853,0.014254
32,1770207652061,0.355559,215.873,376.108,451.506,0.699178,-0.14864,0.109067,0.690769,1.563064,-0.332295,0.243827,0.215873,0.376108,0.451506,-2.882589,1.169856,0.014162
33,1770207652072,0.36667,215.885,376.131,451.487,0.699174,-0.148674,0.109112,0.690758,1.563062,-0.332373,0.243928,0.215885,0.376131,0.451487,-2.882676,1.169853,0.014254
34,1770207652083,0.377781,215.868,376.118,451.503,0.699203,-0.148698,0.109055,0.690733,1.563142,-0.332429,0.243803,0.215868,0.376118,0.451503,-2.882603,1.169821,0.014163
35,1770207652094,0.388893,215.867,376.126,451.493,0.699196,-0.148699,0.109099,0.690732,1.563126,-0.332433,0.243903,0.215867,0.376126,0.451493,-2.882656,1.169824,0.014174
36,1770207652106,0.400004,215.886,376.128,451.484,0.699159,-0.148711,0.109055,0.690774,1.563018,-0.332454,0.243801,0.215886,0.376128,0.451484,-2.88267,1.16987,0.014152
37,1770207652117,0.411115,215.87,376.131,451.487,0.699182,-0.148697,0.109026,0.690759,1.563078,-0.332425,0.243736,0.21587,0.376131,0.451487,-2.882677,1.169812,0.014163
38,1770207652128,0.422226,215.872,376.115,451.5,0.699182,-0.148687,0.109026,0.690761,1.563077,-0.332402,0.243736,0.215872,0.376115,0.4515,-2.882606,1.169843,0.01417
39,1770207652139,0.433337,215.878,376.123,451.498,0.699186,-0.148677,0.109014,0.69076,1.563088,-0.33238,0.243709,0.215878,0.376123,0.451498,-2.882651,1.169802,0.014165
40,1770207652150,0.444449,215.866,376.123,451.504,0.699199,-0.148694,0.108999,0.690746,1.563124,-0.332419,0.243677,0.215866,0.376123,0.451504,-2.882637,1.169796,0.014177
41,1770207652161,0.45556,215.869,376.13,451.488,0.699229,-0.148711,0.109041,0.690705,1.563217,-0.332464,0.243775,0.215869,0.37613,0.451488,-2.882653,1.169843,0.014156
42,1770207652172,0.466671,215.882,376.127,451.485,0.69925,-0.148679,0.109003,0.690697,1.563269,-0.332393,0.243691,0.215882,0.376127,0.451485,-2.882655,1.169884,0.014187
43,1770207652183,0.477782,215.88,376.109,451.507,0.699287,-0.148717,0.109023,0.690648,1.563382,-0.332483,0.243739,0.21588,0.376109,0.451507,-2.882589,1.169856,0.014162
44,1770207652194,0.488894,215.891,376.131,451.484,0.699279,-0.14869,0.109028,0.690661,1.563355,-0.332422,0.24375,0.215891,0.376131,0.451484,-2.882672,1.169912,0.014184
45,1770207652206,0.500005,215.874,376.124,451.495,0.69927,-0.148769,0.109013,0.690656,1.563339,-0.3326,0.243718,0.215874,0.376124,0.451495,-2.882637,1.169856,0.014191
46,1770207652217,0.511116,215.872,376.121,451.503,0.699238,-0.148748,0.109038,0.690689,1.563248,-0.332547,0.243769,0.215872,0.376121,0.451503,-2.88264,1.169817,0.014183
47,1770207652228,0.522228,215.879,376.118,451.499,0.69922,-0.148798,0.108992,0.690704,1.563196,-0.332658,0.243665,0.215879,0.376118,0.451499,-2.882635,1.169836,0.014225
48,1770207652239,0.533339,215.878,376.117,451.497,0.699226,-0.148815,0.108971,0.690697,1.563215,-0.332697,0.24362,0.215878,0.376117,0.451497,-2.882639,1.169878,0.014155
49,1770207652250,0.54445,215.858,376.137,451.49,0.699228,-0.148817,0.108991,0.690692,1.563222,-0.332701,0.243665,0.215858,0.376137,0.45149,-2.882689,1.169757,0.014199
50,1770207652261,0.555562,215.867,376.122,451.498,0.699238,-0.148784,0.108952,0.690695,1.563243,-0.332627,0.243576,0.215867,0.376122,0.451498,-2.88262,1.169829,0.014195
51,1770207652272,0.566673,215.868,376.125,451.496,0.699249,-0.148794,0.108939,0.690684,1.563274,-0.332651,0.24355,0.215868,0.376125,0.451496,-2.882645,1.169839,0.014192
52,1770207652283,0.577784,215.865,376.129,451.495,0.699257,-0.148748,0.10895,0.690684,1.563292,-0.332548,0.243573,0.215865,0.376129,0.451495,-2.882678,1.169753,0.014191
53,1770207652294,0.588895,215.873,376.114,451.5,0.699257,-0.148722,0.10894,0.690691,1.563287,-0.33249,0.243551,0.215873,0.376114,0.4515,-2.882616,1.169807,0.014186
54,1770207652306,0.600007,215.867,376.124,451.497,0.69926,-0.148699,0.109001,0.690683,1.563299,-0.332439,0.243689,0.215867,0.376124,0.451497,-2.882648,1.1698,0.014184
55,1770207652317,0.611118,215.866,376.101,451.515,0.699281,-0.148741,0.109001,0.690653,1.563365,-0.332536,0.243691,0.215866,0.376101,0.451515,-2.882558,1.169843,0.014141
56,1770207652328,0.622229,215.869,376.127,451.496,0.699285,-0.14871,0.109038,0.69065,1.563375,-0.332467,0.243775,0.215869,0.376127,0.451496,-2.882651,1.169842,0.014114
57,1770207652339,0.63334,215.868,376.128,451.488,0.699277,-0.148708,0.109063,0.690654,1.563355,-0.332463,0.243828,0.215868,0.376128,0.451488,-2.88265,1.169801,0.014226
58,1770207652350,0.644451,215.869,376.133,451.489,0.699287,-0.148663,0.109119,0.690645,1.563382,-0.332363,0.243956,0.215869,0.376133,0.451489,-2.882685,1.169796,0.014205
59,1770207652361,0.655563,215.865,376.14,451.49,0.699283,-0.148646,0.109063,0.690661,1.563364,-0.332324,0.24383,0.215865,0.37614,0.45149,-2.882691,1.169839,0.014179
60,1770207652372,0.666674,215.881,376.138,451.483,0.699286,-0.148666,0.109079,0.690651,1.563377,-0.33237,0.243865,0.215881,0.376138,0.451483,-2.882688,1.169818,0.014212
61,1770207652383,0.677785,215.861,376.129,451.496,0.699297,-0.148662,0.109088,0.69064,1.563409,-0.332362,0.243887,0.215861,0.376129,0.451496,-2.88266,1.169826,0.014157
62,1770207652394,0.688896,215.872,376.117,451.502,0.699279,-0.148646,0.109103,0.690659,1.563357,-0.332323,0.243918,0.215872,0.376117,0.451502,-2.882627,1.169832,0.014158
63,1770207652406,0.700007,215.854,376.127,451.5,0.699276,-0.148682,0.109048,0.690663,1.563348,-0.332403,0.243795,0.215854,0.376127,0.4515,-2.882629,1.169772,0.014146
64,1770207652417,0.711119,215.869,376.118,451.502,0.699288,-0.148703,0.109048,0.690646,1.563385,-0.332452,0.243797,0.215869,0.376118,0.451502,-2.882624,1.16983,0.014177
65,1770207652428,0.72223,215.886,376.128,451.499,0.699279,-0.148659,0.109078,0.69066,1.563356,-0.332352,0.243863,0.215886,0.376128,0.451499,-2.882677,1.169915,0.014167
66,1770207652439,0.733341,215.851,376.106,451.533,0.699246,-0.148661,0.109085,0.690693,1.563262,-0.332352,0.243875,0.215851,0.376106,0.451533,-2.882549,1.169879,0.014083
67,1770207652450,0.744452,215.851,376.109,451.543,0.699308,-0.148708,0.109053,0.690624,1.563442,-0.332466,0.243811,0.215851,0.376109,0.451543,-2.88257,1.169868,0.014073
68,1770207652461,0.755564,215.838,376.105,451.565,0.699301,-0.148677,0.109123,0.690628,1.563424,-0.332396,0.243965,0.215838,0.376105,0.451565,-2.88255,1.170022,0.013937
