FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208038914,0.000000,-117.7394,441.3619,-829.8696,0.693982,-0.144419,0.152008,0.688786,1.552648,-0.323110,0.340088,0.213373,0.376270,0.461742,-2.861159,1.254791,-0.088256
1,1770208038925,0.011111,-117.7821,441.3598,-829.8871,0.693987,-0.144419,0.152004,0.688782,1.552662,-0.323109,0.340080,0.213373,0.376270,0.461742,-2.861159,1.254791,-0.088256
2,1770208038936,0.022223,-117.9038,441.2447,-829.8236,0.693999,-0.144436,0.152024,0.688762,1.552701,-0.323149,0.340127,0.213373,0.376258,0.461751,-2.861116,1.254814,-0.088234
3,1770208038947,0.033334,-118.0019,441.2384,-829.8505,0.694006,-0.144428,0.152029,0.688755,1.552722,-0.323134,0.340139,0.213378,0.376253,0.461755,-2.861110,1.254790,-0.088224
4,1770208038958,0.044445,-118.0207,441.3268,-829.8828,0.693991,-0.144403,0.152009,0.688779,1.552674,-0.323075,0.340092,0.213378,0.376253,0.461755,-2.861110,1.254790,-0.088224
5,1770208038969,0.055556,-118.0077,441.4166,-829.9067,0.693970,-0.144335,0.151988,0.688820,1.552600,-0.322918,0.340038,0.213372,0.376257,0.461749,-2.861106,1.254809,-0.088241
6,1770208038980,0.066667,-117.9001,441.4197,-829.9114,0.693981,-0.144370,0.151960,0.688808,1.552632,-0.322997,0.339978,0.213363,0.376260,0.461747,-2.861098,1.254786,-0.088229
7,1770208038991,0.077778,-117.8717,441.4449,-829.8503,0.694011,-0.144366,0.151953,0.688780,1.552716,-0.322991,0.339966,0.213364,0.376254,0.461749,-2.861106,1.254769,-0.088229
8,1770208039002,0.088890,-117.7288,441.5334,-829.8912,0.693972,-0.144447,0.151942,0.688804,1.552616,-0.323170,0.339938,0.213364,0.376254,0.461749,-2.861106,1.254769,-0.088229
9,1770208039014,0.100001,-117.7143,441.4376,-829.8461,0.694005,-0.144405,0.151921,0.688785,1.552700,-0.323078,0.339894,0.213390,0.376261,0.461736,-2.861126,1.254878,-0.088214
