FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208214818,0,213.37,376.246,461.767,0.693873,-0.143686,0.152595,0.68892,1.552323,-0.321453,0.341383,0.21337,0.376246,0.461767,-2.861017,1.254834,-0.088262
1,1770208214829,0.011112,213.376,376.253,461.75,0.693839,-0.143697,0.152608,0.688948,1.552231,-0.321474,0.341409,0.213376,0.376253,0.46175,-2.861023,1.254875,-0.088189
2,1770208214840,0.022223,213.355,376.243,461.77,0.693801,-0.143701,0.152609,0.688986,1.552122,-0.321477,0.341407,0.213355,0.376243,0.46177,-2.860996,1.254785,-0.088263
3,1770208214851,0.033334,213.377,376.251,461.757,0.693822,-0.143711,0.152594,0.688966,1.552181,-0.321503,0.341375,0.213377,0.376251,0.461757,-2.861052,1.254828,-0.088225
4,1770208214862,0.044446,213.383,376.238,461.762,0.693826,-0.143719,0.152611,0.688956,1.552195,-0.321521,0.341415,0.213383,0.376238,0.461762,-2.860995,1.254886,-0.088262
5,1770208214873,0.055557,213.376,376.254,461.755,0.693845,-0.143712,0.152574,0.688946,1.552245,-0.321507,0.341333,0.213376,0.376254,0.461755,-2.861067,1.254814,-0.08826
6,1770208214884,0.066668,213.385,376.243,461.762,0.693851,-0.143678,0.152578,0.688947,1.552257,-0.321432,0.341341,0.213385,0.376243,0.461762,-2.861028,1.254818,-0.088221
7,1770208214895,0.07778,213.378,376.244,461.76,0.693825,-0.143705,0.152577,0.688968,1.552186,-0.32149,0.341337,0.213378,0.376244,0.46176,-2.861002,1.254889,-0.088297
8,1770208214906,0.088891,213.377,376.26,461.749,0.693826,-0.143714,0.152582,0.688963,1.552193,-0.321509,0.341349,0.213377,0.37626,0.461749,-2.861073,1.254816,-0.088236
9,1770208214918,0.100002,213.383,376.238,461.764,0.693823,-0.143716,0.152584,0.688966,1.552184,-0.321514,0.341352,0.213383,0.376238,0.461764,-2.86101,1.25485,-0.088203
10,1770208214929,0.111113,213.385,376.251,461.748,0.693791,-0.143711,0.152607,0.688994,1.552095,-0.321498,0.3414,0.213385,0.376251,0.461748,-2.861045,1.254845,-0.088225
11,1770208214940,0.122224,213.37,376.241,461.767,0.693784,-0.143707,0.152588,0.689006,1.552071,-0.321487,0.341357,0.21337,0.376241,0.461767,-2.860996,1.254805,-0.08824
12,1770208214951,0.133336,213.374,376.25,461.758,0.693781,-0.143667,0.152667,0.689,1.552069,-0.3214,0.341534,0.213374,0.37625,0.461758,-2.861041,1.254864,-0.088242
13,1770208214962,0.144447,213.374,376.25,461.761,0.693777,-0.143661,0.152661,0.689007,1.552055,-0.321385,0.341519,0.213374,0.37625,0.461761,-2.861048,1.254846,-0.088242
14,1770208214973,0.15556,213.357,376.243,461.767,0.693803,-0.143645,0.152632,0.68899,1.552124,-0.321353,0.341457,0.213357,0.376243,0.461767,-2.86099,1.254762,-0.088252
15,1770208214984,0.166671,213.393,376.249,461.753,0.693802,-0.143641,0.152652,0.688988,1.552122,-0.321342,0.341501,0.213393,0.376249,0.461753,-2.861036,1.254901,-0.088177
16,1770208214995,0.177782,213.397,376.252,461.75,0.693779,-0.143655,0.152624,0.689013,1.552058,-0.321371,0.341436,0.213397,0.376252,0.46175,-2.861076,1.254898,-0.088217
17,1770208215006,0.188893,213.373,376.249,461.762,0.693776,-0.14366,0.152637,0.689013,1.552049,-0.321382,0.341465,0.213373,0.376249,0.461762,-2.861056,1.254829,-0.088242
18,1770208215018,0.200004,213.378,376.254,461.755,0.69377,-0.143644,0.15264,0.689021,1.552032,-0.321346,0.34147,0.213378,0.376254,0.461755,-2.861084,1.254821,-0.08823
19,1770208215033,0.215527,213.382,376.252,461.752,0.693713,-0.143672,0.152703,0.689059,1.551882,-0.321404,0.341606,0.213382,0.376252,0.461752,-2.861022,1.254875,-0.08819
20,1770208215044,0.226638,213.361,376.255,461.76,0.693738,-0.143675,0.152723,0.689029,1.551956,-0.321414,0.341655,0.213361,0.376255,0.46176,-2.861052,1.254828,-0.088283
21,1770208215055,0.237749,213.371,376.254,461.76,0.693705,-0.143617,0.15271,0.689077,1.551853,-0.321279,0.34162,0.213371,0.376254,0.46176,-2.86107,1.254795,-0.088243
22,1770208215066,0.248861,213.38,376.25,461.753,0.693735,-0.143667,0.152705,0.689037,1.551944,-0.321395,0.341613,0.21338,0.37625,0.461753,-2.861056,1.254828,-0.088183
23,1770208215077,0.259972,213.377,376.252,461.759,0.693725,-0.14366,0.15272,0.689046,1.551916,-0.321379,0.341647,0.213377,0.376252,0.461759,-2.86103,1.254859,-0.088249
24,1770208215089,0.271083,213.386,376.251,461.751,0.693719,-0.143674,0.152702,0.689052,1.5519,-0.321409,0.341605,0.213386,0.376251,0.461751,-2.861063,1.254852,-0.088195
25,1770208215100,0.282194,213.388,376.259,461.746,0.693723,-0.143681,0.152697,0.689049,1.551909,-0.321425,0.341594,0.213388,0.376259,0.461746,-2.861065,1.254873,-0.088187
26,1770208215111,0.293306,213.385,376.249,461.752,0.693706,-0.143689,0.152679,0.689068,1.551859,-0.32144,0.341551,0.213385,0.376249,0.461752,-2.861063,1.254852,-0.088195
27,1770208215122,0.304417,213.358,376.255,461.758,0.693709,-0.143704,0.152696,0.689059,1.551872,-0.321475,0.34159,0.213358,0.376255,0.461758,-2.861054,1.254748,-0.088261
28,1770208215133,0.315528,213.377,376.258,461.75,0.693682,-0.143711,0.152691,0.689085,1.551796,-0.321488,0.341577,0.213377,0.376258,0.46175,-2.861091,1.254823,-0.088205
29,1770208215144,0.326639,213.364,376.252,461.76,0.693696,-0.143688,0.152673,0.68908,1.551831,-0.321437,0.341536,0.213364,0.376252,0.46176,-2.861017,1.254793,-0.08825
30,1770208215155,0.337751,213.373,376.237,461.768,0.693758,-0.143712,0.152638,0.68902,1.552005,-0.321497,0.341467,0.213373,0.376237,0.461768,-2.860951,1.254908,-0.088239
31,1770208215166,0.348862,213.38,376.251,461.753,0.693743,-0.143716,0.152641,0.689033,1.551964,-0.321504,0.341472,0.21338,0.376251,0.461753,-2.861049,1.254826,-0.088207
32,1770208215177,0.359973,213.394,376.27,461.74,0.693757,-0.143695,0.152649,0.689021,1.552004,-0.321461,0.341491,0.213394,0.37627,0.46174,-2.861093,1.254884,-0.08821
33,1770208215189,0.371085,213.376,376.248,461.758,0.693747,-0.143719,0.152649,0.689027,1.551978,-0.321513,0.34149,0.213376,0.376248,0.461758,-2.861041,1.254843,-0.088207
34,1770208215200,0.382196,213.368,376.261,461.752,0.693753,-0.143724,0.152655,0.689019,1.551995,-0.321525,0.341504,0.213368,0.376261,0.461752,-2.86107,1.254774,-0.088207
35,1770208215211,0.393307,213.388,376.247,461.756,0.69374,-0.143691,0.152622,0.689046,1.551949,-0.321448,0.341428,0.213388,0.376247,0.461756,-2.861038,1.254862,-0.088226
36,1770208215222,0.404419,213.358,376.264,461.753,0.693721,-0.143656,0.152639,0.689069,1.551892,-0.321367,0.341462,0.213358,0.376264,0.461753,-2.861059,1.25477,-0.088272
37,1770208215233,0.41553,213.363,376.235,461.777,0.693721,-0.143675,0.152618,0.689069,1.551892,-0.321409,0.341416,0.213363,0.376235,0.461777,-2.860988,1.254822,-0.08824
38,1770208215244,0.426641,213.385,376.252,461.754,0.69371,-0.143686,0.152658,0.689069,1.551869,-0.321433,0.341505,0.213385,0.376252,0.461754,-2.861035,1.254841,-0.088232
