FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208254323,0,213.386,376.266,461.738,0.694134,-0.144241,0.152347,0.688595,1.553104,-0.322736,0.340872,0.213386,0.376266,0.461738,-2.86109,1.254883,-0.088251
1,1770208254334,0.011111,213.371,376.256,461.75,0.694148,-0.14426,0.152332,0.688581,1.553144,-0.322779,0.340839,0.213371,0.376256,0.46175,-2.861056,1.254809,-0.088266
2,1770208254345,0.022223,213.379,376.254,461.747,0.694136,-0.144266,0.152312,0.688596,1.553108,-0.32279,0.340793,0.213379,0.376254,0.461747,-2.861052,1.254869,-0.088295
3,1770208254356,0.033334,213.379,376.262,461.745,0.694108,-0.144264,0.152324,0.688621,1.553031,-0.322783,0.340817,0.213379,0.376262,0.461745,-2.861105,1.254829,-0.088216
4,1770208254367,0.044445,213.377,376.26,461.743,0.694121,-0.144253,0.152296,0.688617,1.553062,-0.322759,0.340755,0.213377,0.37626,0.461743,-2.861051,1.254867,-0.088235
5,1770208254378,0.055556,213.385,376.27,461.736,0.69415,-0.144245,0.152278,0.688594,1.55314,-0.322744,0.340717,0.213385,0.37627,0.461736,-2.861119,1.254835,-0.088227
6,1770208254389,0.066667,213.396,376.264,461.74,0.694135,-0.144215,0.152275,0.688615,1.553094,-0.322675,0.340709,0.213396,0.376264,0.46174,-2.861086,1.254903,-0.088269
7,1770208254400,0.077778,213.389,376.261,461.74,0.694138,-0.144219,0.152313,0.688603,1.553109,-0.322686,0.340795,0.213389,0.376261,0.46174,-2.861101,1.254888,-0.088245
8,1770208254411,0.08889,213.384,376.271,461.736,0.694129,-0.144239,0.152325,0.688605,1.553087,-0.32273,0.34082,0.213384,0.376271,0.461736,-2.86113,1.254819,-0.088245
9,1770208254423,0.100001,213.37,376.251,461.756,0.694149,-0.144237,0.152326,0.688585,1.553145,-0.322728,0.340827,0.21337,0.376251,0.461756,-2.861046,1.254785,-0.088238
