FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208320497,0.000000,-117.5969,441.5351,-829.7576,0.694022,-0.144081,0.152398,0.688730,1.552771,-0.322359,0.340969,0.213364,0.376252,0.461760,-2.861032,1.254759,-0.088251
1,1770208320508,0.011111,-117.5351,441.4765,-829.9050,0.694008,-0.144105,0.152412,0.688736,1.552738,-0.322413,0.340999,0.213384,0.376258,0.461743,-2.861062,1.254831,-0.088219
2,1770208320519,0.022223,-117.6091,441.4238,-829.9602,0.693961,-0.144090,0.152443,0.688780,1.552605,-0.322374,0.341063,0.213381,0.376264,0.461737,-2.861084,1.254820,-0.088230
3,1770208320530,0.033334,-117.6854,441.5122,-829.9297,0.693957,-0.144136,0.152466,0.688769,1.552603,-0.322478,0.341115,0.213379,0.376261,0.461740,-2.861113,1.254812,-0.088276
4,1770208320541,0.044445,-117.7050,441.5249,-829.9316,0.693964,-0.144108,0.152464,0.688768,1.552620,-0.322416,0.341110,0.213387,0.376236,0.461761,-2.861010,1.254850,-0.088203
5,1770208320552,0.055556,-117.6679,441.5634,-829.9412,0.693997,-0.144158,0.152466,0.688724,1.552721,-0.322533,0.341121,0.213374,0.376271,0.461736,-2.861109,1.254790,-0.088223
6,1770208320563,0.066668,-117.6607,441.5721,-829.9458,0.693994,-0.144148,0.152472,0.688728,1.552710,-0.322510,0.341134,0.213379,0.376255,0.461748,-2.861064,1.254812,-0.088242
7,1770208320574,0.077779,-117.6495,441.4435,-829.8471,0.694055,-0.144167,0.152416,0.688675,1.552879,-0.322559,0.341016,0.213377,0.376251,0.461748,-2.861042,1.254823,-0.088231
8,1770208320585,0.088890,-117.6597,441.5363,-829.8293,0.694063,-0.144196,0.152402,0.688664,1.552903,-0.322626,0.340985,0.213386,0.376258,0.461736,-2.861073,1.254855,-0.088187
9,1770208320597,0.100001,-117.6505,441.4891,-829.8196,0.694069,-0.144185,0.152333,0.688676,1.552909,-0.322600,0.340830,0.213378,0.376247,0.461750,-2.861065,1.254752,-0.088256
10,1770208320608,0.111113,-117.6510,441.4942,-829.7982,0.694063,-0.144180,0.152333,0.688683,1.552892,-0.322586,0.340829,0.213380,0.376260,0.461749,-2.861096,1.254785,-0.088272
11,1770208320619,0.122224,-117.6423,441.5058,-829.7769,0.694079,-0.144189,0.152324,0.688667,1.552937,-0.322609,0.340810,0.213364,0.376253,0.461763,-2.861035,1.254822,-0.088314
12,1770208320630,0.133335,-117.6473,441.5737,-829.8757,0.694078,-0.144225,0.152303,0.688665,1.552937,-0.322690,0.340764,0.213396,0.376262,0.461740,-2.861095,1.254845,-0.088199
13,1770208320641,0.144447,-117.6431,441.5901,-829.8710,0.694096,-0.144218,0.152300,0.688648,1.552988,-0.322678,0.340760,0.213381,0.376257,0.461746,-2.861077,1.254838,-0.088229
14,1770208320652,0.155558,-117.6296,441.6251,-829.9418,0.694076,-0.144216,0.152301,0.688669,1.552930,-0.322669,0.340760,0.213370,0.376239,0.461765,-2.861014,1.254813,-0.088269
15,1770208320663,0.166669,-117.6886,441.5597,-829.9089,0.694090,-0.144224,0.152279,0.688658,1.552968,-0.322690,0.340712,0.213385,0.376256,0.461746,-2.861070,1.254835,-0.088254
16,1770208320674,0.177780,-117.7681,441.5566,-829.8760,0.694100,-0.144250,0.152273,0.688644,1.552998,-0.322749,0.340700,0.213379,0.376259,0.461744,-2.861063,1.254832,-0.088278
17,1770208320685,0.188892,-117.7985,441.5643,-829.8737,0.694083,-0.144248,0.152299,0.688655,1.552954,-0.322743,0.340757,0.213361,0.376259,0.461755,-2.861071,1.254776,-0.088325
18,1770208320697,0.200003,-117.8454,441.5685,-829.8763,0.694091,-0.144236,0.152297,0.688651,1.552974,-0.322716,0.340754,0.213367,0.376258,0.461746,-2.861071,1.254776,-0.088326
19,1770208320708,0.211114,-117.7499,441.5444,-829.9059,0.694094,-0.144269,0.152310,0.688638,1.552988,-0.322791,0.340784,0.213370,0.376253,0.461755,-2.861047,1.254765,-0.088262
20,1770208320719,0.222226,-117.6831,441.4915,-830.0116,0.694090,-0.144275,0.152241,0.688656,1.552968,-0.322803,0.340627,0.213372,0.376254,0.461754,-2.861038,1.254843,-0.088308
21,1770208320730,0.233337,-117.7160,441.3990,-830.0558,0.694053,-0.144293,0.152336,0.688669,1.552878,-0.322841,0.340838,0.213377,0.376252,0.461753,-2.861053,1.254808,-0.088249
22,1770208320741,0.244448,-117.6595,441.4309,-830.2092,0.694014,-0.144267,0.152332,0.688714,1.552763,-0.322777,0.340823,0.213381,0.376269,0.461738,-2.861121,1.254754,-0.088206
23,1770208320752,0.255559,-117.6998,441.5759,-829.8831,0.694031,-0.144226,0.152361,0.688699,1.552811,-0.322689,0.340889,0.213379,0.376259,0.461747,-2.861070,1.254815,-0.088278
24,1770208320763,0.266670,-117.7291,441.5604,-829.9673,0.694035,-0.144218,0.152369,0.688695,1.552822,-0.322671,0.340907,0.213378,0.376248,0.461752,-2.861032,1.254798,-0.088203
25,1770208320774,0.277781,-117.7391,441.5724,-829.9805,0.694037,-0.144208,0.152365,0.688695,1.552827,-0.322648,0.340899,0.213378,0.376256,0.461748,-2.861075,1.254796,-0.088260
26,1770208320785,0.288893,-117.6869,441.4936,-829.9437,0.694023,-0.144202,0.152326,0.688719,1.552781,-0.322632,0.340808,0.213378,0.376256,0.461751,-2.861059,1.254831,-0.088260
27,1770208320797,0.300004,-117.6012,441.4582,-829.9006,0.694040,-0.144236,0.152320,0.688697,1.552833,-0.322710,0.340797,0.213385,0.376255,0.461741,-2.861071,1.254794,-0.088184
28,1770208320808,0.311115,-117.5960,441.4595,-829.8970,0.694037,-0.144225,0.152341,0.688698,1.552825,-0.322687,0.340844,0.213375,0.376263,0.461740,-2.861077,1.254797,-0.088218
29,1770208320819,0.322226,-117.4770,441.4625,-829.8442,0.694055,-0.144240,0.152270,0.688692,1.552869,-0.322721,0.340686,0.213380,0.376252,0.461744,-2.861068,1.254753,-0.088215
30,1770208320830,0.333338,-117.4983,441.5921,-829.8435,0.694044,-0.144215,0.152277,0.688707,1.552835,-0.322663,0.340701,0.213377,0.376262,0.461742,-2.861118,1.254753,-0.088248
31,1770208320841,0.344449,-117.4628,441.6299,-829.8354,0.694037,-0.144222,0.152271,0.688714,1.552815,-0.322678,0.340685,0.213390,0.376275,0.461733,-2.861142,1.254783,-0.088228
32,1770208320852,0.355560,-117.4319,441.6698,-829.8272,0.694019,-0.144226,0.152290,0.688727,1.552767,-0.322686,0.340728,0.213383,0.376245,0.461758,-2.861064,1.254812,-0.088243
33,1770208320863,0.366671,-117.6086,441.5684,-829.8805,0.694015,-0.144238,0.152284,0.688729,1.552757,-0.322711,0.340713,0.213374,0.376257,0.461749,-2.861052,1.254807,-0.088249
34,1770208320874,0.377783,-117.6370,441.5979,-829.8989,0.694025,-0.144235,0.152301,0.688716,1.552787,-0.322707,0.340753,0.213389,0.376272,0.461740,-2.861141,1.254803,-0.088204
35,1770208320885,0.388894,-117.7132,441.6790,-829.9090,0.694013,-0.144249,0.152319,0.688721,1.552758,-0.322738,0.340793,0.213365,0.376257,0.461751,-2.861045,1.254805,-0.088273
36,1770208320897,0.400005,-117.7748,441.6081,-829.9240,0.694002,-0.144209,0.152272,0.688751,1.552715,-0.322644,0.340683,0.213378,0.376247,0.461753,-2.861065,1.254752,-0.088256
37,1770208320908,0.411117,-117.7949,441.6019,-829.9268,0.693967,-0.144192,0.152289,0.688786,1.552615,-0.322601,0.340716,0.213378,0.376254,0.461749,-2.861060,1.254790,-0.088249
38,1770208320919,0.422228,-117.7844,441.6772,-829.9565,0.694000,-0.144222,0.152260,0.688753,1.552709,-0.322673,0.340657,0.213372,0.376255,0.461756,-2.861075,1.254756,-0.088250
39,1770208320930,0.433339,-117.6663,441.6119,-829.9634,0.693974,-0.144267,0.152295,0.688762,1.552644,-0.322772,0.340734,0.213375,0.376261,0.461741,-2.861082,1.254778,-0.088200
40,1770208320941,0.444450,-117.5753,441.4506,-829.9234,0.693974,-0.144315,0.152242,0.688764,1.552644,-0.322880,0.340615,0.213380,0.376254,0.461743,-2.861075,1.254776,-0.088225
41,1770208320952,0.455562,-117.5851,441.5324,-829.8963,0.693982,-0.144351,0.152257,0.688745,1.552674,-0.322961,0.340650,0.213410,0.376257,0.461732,-2.861097,1.254906,-0.088204
42,1770208320963,0.466673,-117.6779,441.6236,-829.8949,0.693997,-0.144349,0.152264,0.688728,1.552718,-0.322959,0.340669,0.213375,0.376258,0.461751,-2.861085,1.254760,-0.088243
43,1770208320974,0.477784,-117.7347,441.4790,-829.9128,0.694040,-0.144340,0.152231,0.688695,1.552833,-0.322944,0.340598,0.213390,0.376250,0.461751,-2.861052,1.254869,-0.088296
44,1770208320985,0.488895,-117.8116,441.4908,-829.9257,0.694016,-0.144341,0.152252,0.688714,1.552769,-0.322944,0.340645,0.213386,0.376262,0.461746,-2.861084,1.254820,-0.088230
45,1770208320997,0.500007,-117.8414,441.4563,-829.9661,0.694026,-0.144368,0.152217,0.688706,1.552797,-0.323005,0.340566,0.213378,0.376247,0.461753,-2.861043,1.254804,-0.088256
46,1770208321008,0.511118,-117.9253,441.4796,-829.9816,0.694026,-0.144375,0.152216,0.688704,1.552797,-0.323021,0.340565,0.213371,0.376272,0.461740,-2.861110,1.254751,-0.088271
47,1770208321019,0.522229,-117.8814,441.4892,-830.0367,0.694018,-0.144394,0.152172,0.688718,1.552771,-0.323061,0.340465,0.213371,0.376247,0.461767,-2.861003,1.254808,-0.088275
48,1770208321030,0.533340,-117.8313,441.4841,-829.9604,0.693982,-0.144387,0.152202,0.688749,1.552671,-0.323042,0.340528,0.213377,0.376264,0.461739,-2.861079,1.254879,-0.088257
49,1770208321041,0.544452,-117.7916,441.6016,-830.0082,0.693969,-0.144392,0.152180,0.688767,1.552630,-0.323052,0.340477,0.213382,0.376246,0.461753,-2.861032,1.254840,-0.088273
50,1770208321052,0.555563,-117.6518,441.5070,-829.9355,0.693944,-0.144435,0.152194,0.688779,1.552569,-0.323146,0.340504,0.213369,0.376252,0.461758,-2.861065,1.254752,-0.088256
51,1770208321063,0.566674,-117.5600,441.4718,-829.9668,0.693947,-0.144417,0.152243,0.688770,1.552580,-0.323107,0.340615,0.213353,0.376252,0.461764,-2.861058,1.254689,-0.088293
52,1770208321074,0.577785,-117.3981,441.6208,-830.0253,0.693939,-0.144422,0.152239,0.688777,1.552557,-0.323117,0.340606,0.213373,0.376256,0.461747,-2.861078,1.254778,-0.088242
53,1770208321085,0.588897,-117.3498,441.6504,-830.0358,0.693943,-0.144412,0.152223,0.688780,1.552564,-0.323094,0.340569,0.213373,0.376256,0.461747,-2.861063,1.254812,-0.088242
54,1770208321097,0.600008,-117.3137,441.6777,-830.0525,0.693940,-0.144419,0.152248,0.688775,1.552561,-0.323111,0.340627,0.213376,0.376243,0.461761,-2.861039,1.254802,-0.088238
55,1770208321108,0.611119,-117.5070,441.3832,-829.8804,0.693964,-0.144416,0.152256,0.688750,1.552629,-0.323108,0.340648,0.213366,0.376256,0.461754,-2.861041,1.254803,-0.088255
56,1770208321119,0.622230,-117.6473,441.4699,-829.7999,0.693979,-0.144417,0.152248,0.688736,1.552671,-0.323112,0.340631,0.213369,0.376257,0.461753,-2.861041,1.254823,-0.088231
57,1770208321130,0.633341,-117.6845,441.4147,-829.8360,0.693939,-0.144382,0.152287,0.688775,1.552560,-0.323028,0.340713,0.213399,0.376256,0.461736,-2.861088,1.254882,-0.088235
58,1770208321141,0.644453,-117.7039,441.4775,-829.8165,0.693971,-0.144364,0.152258,0.688753,1.552643,-0.322991,0.340652,0.213363,0.376250,0.461767,-2.861046,1.254786,-0.088297
59,1770208321152,0.655564,-117.7058,441.5041,-829.7912,0.693981,-0.144363,0.152230,0.688749,1.552669,-0.322989,0.340589,0.213359,0.376256,0.461759,-2.861031,1.254799,-0.088261
60,1770208321163,0.666675,-117.6885,441.6442,-829.7971,0.693983,-0.144320,0.152209,0.688761,1.552666,-0.322891,0.340540,0.213371,0.376245,0.461765,-2.861006,1.254849,-0.088244
61,1770208321174,0.677787,-117.6676,441.6663,-829.7877,0.693991,-0.144311,0.152223,0.688752,1.552690,-0.322871,0.340574,0.213352,0.376230,0.461783,-2.860957,1.254749,-0.088273
62,1770208321185,0.688898,-117.7706,441.6493,-829.8800,0.693993,-0.144297,0.152264,0.688743,1.552700,-0.322842,0.340666,0.213357,0.376242,0.461779,-2.861029,1.254758,-0.088293
63,1770208321197,0.700009,-117.6742,441.6938,-829.9803,0.694006,-0.144291,0.152245,0.688736,1.552733,-0.322829,0.340625,0.213350,0.376233,0.461797,-2.860978,1.254779,-0.088295
64,1770208321208,0.711120,-117.6311,441.7062,-829.9661,0.693998,-0.144308,0.152263,0.688737,1.552714,-0.322867,0.340665,0.213338,0.376229,0.461803,-2.860959,1.254710,-0.088321
65,1770208321219,0.722231,-117.6102,441.7089,-829.8748,0.694019,-0.144295,0.152287,0.688713,1.552775,-0.322842,0.340721,0.213335,0.376218,0.461815,-2.860920,1.254715,-0.088340
66,1770208321230,0.733343,-117.6947,441.6684,-829.8240,0.694003,-0.144275,0.152278,0.688735,1.552727,-0.322794,0.340699,0.213349,0.376211,0.461811,-2.860878,1.254839,-0.088334
67,1770208321241,0.744454,-117.6468,441.6129,-829.8179,0.693987,-0.144311,0.152306,0.688737,1.552690,-0.322874,0.340761,0.213322,0.376212,0.461845,-2.860908,1.254711,-0.088347
