FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770208354198,0.000000,-117.7412,441.4926,-829.8954,0.694047,-0.144117,0.152297,0.688720,1.552834,-0.322441,0.340744,0.213383,0.376257,0.461746,-2.861092,1.254823,-0.088206
1,1770208354209,0.011112,-117.7718,441.4973,-829.9143,0.694043,-0.144112,0.152299,0.688724,1.552823,-0.322431,0.340746,0.213380,0.376254,0.461748,-2.861068,1.254793,-0.088225
2,1770208354220,0.022223,-117.7368,441.3813,-829.9612,0.694040,-0.144088,0.152322,0.688728,1.552813,-0.322375,0.340797,0.213376,0.376249,0.461756,-2.861083,1.254760,-0.088285
3,1770208354231,0.033334,-117.7546,441.4767,-829.9861,0.694039,-0.144123,0.152344,0.688716,1.552819,-0.322457,0.340848,0.213367,0.376257,0.461756,-2.861093,1.254743,-0.088243
4,1770208354242,0.044446,-117.8473,441.5186,-829.9742,0.694042,-0.144140,0.152326,0.688713,1.552827,-0.322495,0.340809,0.213378,0.376258,0.461748,-2.861092,1.254824,-0.088265
5,1770208354253,0.055557,-117.8971,441.5295,-829.9676,0.694046,-0.144078,0.152332,0.688721,1.552832,-0.322354,0.340822,0.213369,0.376259,0.461755,-2.861077,1.254778,-0.088242
6,1770208354264,0.066668,-117.7446,441.4970,-830.0266,0.694048,-0.144117,0.152313,0.688715,1.552839,-0.322442,0.340781,0.213387,0.376260,0.461743,-2.861084,1.254840,-0.088206
7,1770208354275,0.077779,-117.6543,441.5587,-830.0006,0.694036,-0.144150,0.152307,0.688722,1.552807,-0.322515,0.340766,0.213363,0.376251,0.461758,-2.861046,1.254785,-0.088238
8,1770208354286,0.088890,-117.6277,441.5809,-829.9957,0.694052,-0.144162,0.152301,0.688704,1.552855,-0.322544,0.340754,0.213370,0.376251,0.461759,-2.861064,1.254772,-0.088232
9,1770208354298,0.100002,-117.6623,441.6418,-829.8047,0.694076,-0.144151,0.152245,0.688695,1.552915,-0.322520,0.340630,0.213374,0.376271,0.461741,-2.861130,1.254798,-0.088210
